<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGNG.US,60,20240411,170000,29.15,29.15,29.09,29.09,200,0
AGNG.US,60,20240411,180000,29.11,29.11,29.11,29.11,100,0
AGNG.US,60,20240411,200000,29.25,29.2698,29.25,29.26,840,0
AGNG.US,60,20240411,210000,29.3426,29.3426,29.27,29.27,300,0
AGNG.US,60,20240411,220000,29.22,29.29,29.19,29.23,1152,0
AGNG.US,60,20240412,170000,28.98,28.98,28.98,28.98,100,0
AGNG.US,60,20240412,190000,28.825,28.825,28.8,28.8,1306,0
AGNG.US,60,20240412,210000,28.81,28.81,28.67,28.71,485,0
AGNG.US,60,20240412,220000,28.686,28.686,28.686,28.686,500,0
AGNG.US,60,20240415,160000,28.75,28.89,28.75,28.89,830,0
AGNG.US,60,20240415,170000,28.89,28.89,28.89,28.89,100,0
AGNG.US,60,20240415,180000,28.72,28.765,28.71,28.76,600,0
AGNG.US,60,20240415,210000,28.57,28.5992,28.5,28.5,3629,0
AGNG.US,60,20240415,220000,28.47,28.47,28.47,28.47,100,0
AGNG.US,60,20240416,160000,28.52,28.52,28.52,28.52,131,0
AGNG.US,60,20240416,180000,28.4901,28.4901,28.4901,28.4901,100,0
AGNG.US,60,20240416,190000,28.475,28.475,28.45,28.45,235,0
AGNG.US,60,20240416,200000,28.42,28.47,28.28,28.3401,800,0
AGNG.US,60,20240416,210000,28.55,28.55,28.55,28.55,228,0
AGNG.US,60,20240416,220000,28.48,28.48,28.385,28.385,621,0
AGNG.US,60,20240417,170000,28.36,28.36,28.36,28.36,100,0
AGNG.US,60,20240417,180000,28.34,28.34,28.34,28.34,323,0
AGNG.US,60,20240417,220000,28.29,28.29,28.29,28.29,200,0
AGNG.US,60,20240418,170000,28.35,28.35,28.35,28.35,310,0
AGNG.US,60,20240418,180000,28.4039,28.4039,28.36,28.36,671,0
AGNG.US,60,20240418,190000,28.3966,28.3966,28.3966,28.3966,100,0
AGNG.US,60,20240418,210000,28.17,28.17,28.17,28.17,100,0
AGNG.US,60,20240419,160000,28.26,28.3707,28.26,28.3707,585,0
AGNG.US,60,20240419,170000,28.27,28.27,28.27,28.27,100,0
AGNG.US,60,20240419,200000,28.2153,28.2153,28.2153,28.2153,178,0
AGNG.US,60,20240419,210000,28.09,28.09,28.09,28.09,200,0
AGNG.US,60,20240419,220000,28.17,28.195,28.01,28.17,1341,0
AGNG.US,60,20240422,160000,28.54,28.54,28.03,28.12,604,0
AGNG.US,60,20240422,170000,28.13,28.5847,28.13,28.48,1100,0
AGNG.US,60,20240422,180000,28.47,28.47,28.4,28.43,1300,0
AGNG.US,60,20240422,190000,28.44,28.46,28.41,28.44,1100,0
AGNG.US,60,20240422,200000,28.45,28.53,28.39,28.53,1106,0
AGNG.US,60,20240422,210000,28.53,28.615,28.48,28.49,2079,0
AGNG.US,60,20240422,220000,28.49,28.49,28.4,28.42,900,0
AGNG.US,60,20240423,160000,28.71,29.15,28.71,28.929,3136,0
AGNG.US,60,20240423,170000,28.82,28.87,28.76,28.87,1064,0
AGNG.US,60,20240423,190000,28.94,28.94,28.94,28.94,260,0
AGNG.US,60,20240423,210000,28.9899,28.9899,28.93,28.93,310,0
AGNG.US,60,20240423,220000,28.97,28.97,28.94,28.94,200,0
AGNG.US,60,20240424,170000,28.82,28.82,28.82,28.82,100,0
AGNG.US,60,20240424,180000,28.8,28.8,28.8,28.8,100,0
AGNG.US,60,20240424,200000,28.8492,28.8666,28.8492,28.8666,400,0
AGNG.US,60,20240424,210000,28.8525,28.8525,28.8525,28.8525,200,0
AGNG.US,60,20240425,220000,28.83,28.85,28.55,28.5703,58693,0
AGNG.US,60,20240426,170000,28.5352,28.5352,28.5352,28.5352,378,0
AGNG.US,60,20240426,180000,28.5,28.5022,28.5,28.5022,370,0
AGNG.US,60,20240426,200000,28.58,28.61,28.58,28.61,200,0
AGNG.US,60,20240426,220000,28.52,28.57,28.52,28.57,278,0
AGNG.US,60,20240429,160000,28.68,28.68,28.68,28.68,364,0
AGNG.US,60,20240429,200000,28.94,28.94,28.94,28.94,170,0
AGNG.US,60,20240429,220000,28.85,28.88,28.6,28.88,1585,0
AGNG.US,60,20240430,180000,28.8334,28.8334,28.8174,28.8174,860,0
AGNG.US,60,20240430,190000,28.8,28.8,28.8,28.8,300,0
AGNG.US,60,20240501,160000,28.7099,28.7099,28.7,28.7,341,0
AGNG.US,60,20240501,170000,28.7699,28.7699,28.7699,28.7699,105,0
AGNG.US,60,20240501,220000,29.0596,29.0596,28.96,28.96,800,0
AGNG.US,60,20240502,160000,28.97,28.97,28.97,28.97,132,0
AGNG.US,60,20240502,180000,28.97,28.97,28.89,28.8901,503,0
AGNG.US,60,20240502,190000,28.955,28.955,28.955,28.955,156,0
AGNG.US,60,20240502,220000,29.02,29.02,28.99,28.99,733,0
AGNG.US,60,20240503,170000,29.23,29.23,29.23,29.23,162,0
AGNG.US,60,20240503,180000,29.309,29.309,29.309,29.309,150,0
AGNG.US,60,20240506,170000,29.32,29.32,29.32,29.32,250,0
AGNG.US,60,20240506,180000,29.3,29.3,29.3,29.3,100,0
AGNG.US,60,20240506,190000,29.3597,29.3597,29.3597,29.3597,500,0
AGNG.US,60,20240506,210000,29.39,29.39,29.39,29.39,100,0
AGNG.US,60,20240507,160000,29.22,29.22,29.22,29.22,294,0
AGNG.US,60,20240507,170000,29.48,29.49,29.48,29.49,700,0
AGNG.US,60,20240507,180000,29.475,29.475,29.475,29.475,203,0
AGNG.US,60,20240507,220000,29.4978,29.4978,29.44,29.44,405,0
AGNG.US,60,20240508,180000,29.4269,29.4269,29.4269,29.4269,300,0
AGNG.US,60,20240508,200000,29.26,29.2601,29.18,29.18,891,0
AGNG.US,60,20240508,210000,29.3999,29.3999,29.3999,29.3999,2900,0
AGNG.US,60,20240508,220000,29.332,29.332,29.332,29.332,100,0
AGNG.US,60,20240509,160000,29.439,29.479,29.43,29.479,420,0
AGNG.US,60,20240509,170000,29.4848,29.4992,29.4728,29.4992,2300,0
AGNG.US,60,20240509,180000,29.5,29.5,29.4999,29.4999,1350,0
AGNG.US,60,20240509,190000,29.4985,29.4985,29.4985,29.4985,100,0
AGNG.US,60,20240509,220000,29.495,29.4989,29.46,29.46,676,0
AGNG.US,60,20240510,160000,29.5,29.5,29.5,29.5,699,0
AGNG.US,60,20240510,170000,29.64,29.64,29.64,29.64,200,0
AGNG.US,60,20240510,180000,29.6398,29.6398,29.6398,29.6398,3400,0
AGNG.US,60,20240510,220000,29.545,29.57,29.51,29.57,2203,0
AGNG.US,60,20240513,160000,29.69,29.69,29.06,29.06,1386,0
AGNG.US,60,20240513,180000,29.619,29.619,29.565,29.565,623,0
AGNG.US,60,20240513,190000,29.62,29.62,29.43,29.53,5573,0
AGNG.US,60,20240513,200000,29.54,29.54,29.53,29.53,2200,0
AGNG.US,60,20240513,210000,29.555,29.555,29.555,29.555,1694,0
AGNG.US,60,20240513,220000,29.576,29.579,29.576,29.579,427,0
AGNG.US,60,20240514,180000,29.763,29.763,29.763,29.763,467,0
AGNG.US,60,20240514,190000,29.72,29.72,29.72,29.72,100,0
AGNG.US,60,20240514,200000,29.72,29.72,29.71,29.71,840,0
AGNG.US,60,20240514,210000,29.67,29.6701,29.67,29.6701,400,0
AGNG.US,60,20240514,220000,29.785,29.785,29.785,29.785,560,0
AGNG.US,60,20240515,160000,29.99,29.99,29.99,29.99,430,0
AGNG.US,60,20240515,170000,30,30.105,30,30.062,800,0
AGNG.US,60,20240515,210000,30.2,30.245,30.2,30.245,248,0
AGNG.US,60,20240515,220000,30.28,30.28,30.28,30.28,100,0
AGNG.US,60,20240516,160000,30.36,30.36,30.3195,30.3195,986,0
AGNG.US,60,20240516,170000,30.27,30.32,30.27,30.32,200,0
AGNG.US,60,20240516,180000,30.34,30.34,30.31,30.31,200,0
AGNG.US,60,20240516,220000,30.35,30.36,30.31,30.31,446,0
AGNG.US,60,20240517,170000,30.225,30.225,30.225,30.225,100,0
AGNG.US,60,20240517,180000,30.24,30.24,30.24,30.24,100,0
AGNG.US,60,20240517,190000,30.2841,30.2841,30.2841,30.2841,260,0
AGNG.US,60,20240517,200000,30.34,30.34,30.34,30.34,170,0
AGNG.US,60,20240517,220000,30.2401,30.251,30.2401,30.251,613,0
AGNG.US,60,20240520,160000,30.33,30.33,30.33,30.33,128,0
AGNG.US,60,20240520,210000,30.2993,30.2993,30.23,30.23,300,0
AGNG.US,60,20240520,220000,30.24,30.24,30.24,30.24,100,0
AGNG.US,60,20240521,170000,30.205,30.2282,30.08,30.215,1430,0
AGNG.US,60,20240522,200000,30.09,30.2,29.9775,30.13,1316,0
AGNG.US,60,20240522,210000,30.1,30.1,30.04,30.04,999,0
AGNG.US,60,20240522,220000,30.08,30.08,30.07,30.07,881,0
AGNG.US,60,20240523,160000,30.11,30.11,30.11,30.11,552,0
AGNG.US,60,20240523,170000,30.04,30.06,30.04,30.06,900,0
AGNG.US,60,20240523,190000,29.91,29.91,29.91,29.91,100,0
AGNG.US,60,20240523,200000,29.81,29.81,29.81,29.81,100,0
AGNG.US,60,20240523,210000,29.74,29.74,29.62,29.62,434,0
AGNG.US,60,20240523,220000,29.65,29.7,29.62,29.62,1362,0
