<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVGU.US,60,20250716,160000,25.12,25.12,25.12,25.12,100,0
AVGU.US,60,20250716,170000,25.55,25.55,25.5076,25.539,1800,0
AVGU.US,60,20250716,180000,25.47,25.47,25.29,25.29,200,0
AVGU.US,60,20250716,210000,25.5,25.5,25.5,25.5,500,0
AVGU.US,60,20250716,220000,25.74,26,25.6,26,1200,0
AVGU.US,60,20250717,170000,26.61,26.75,26.61,26.75,1100,0
AVGU.US,60,20250717,180000,26.969,26.969,26.969,26.969,200,0
AVGU.US,60,20250717,190000,27.3192,27.3192,27.19,27.19,625,0
AVGU.US,60,20250717,210000,26.83,26.92,26.83,26.92,700,0
AVGU.US,60,20250717,220000,26.89,26.89,26.89,26.89,500,0
AVGU.US,60,20250718,160000,27.41,27.41,26.82,26.83,7833,0
AVGU.US,60,20250718,170000,26.43,26.529,26.356,26.356,6370,0
AVGU.US,60,20250718,180000,26.205,26.42,26.159,26.389,2217,0
AVGU.US,60,20250718,190000,26.309,26.309,26.309,26.309,363,0
AVGU.US,60,20250718,200000,26.34,26.35,26.34,26.35,400,0
AVGU.US,60,20250718,210000,26.47,26.495,26.29,26.369,1270,0
AVGU.US,60,20250721,170000,27.02,27.64,27.02,27.64,1500,0
AVGU.US,60,20250721,180000,27.39,27.62,27.38,27.6096,4913,0
AVGU.US,60,20250721,190000,27.44,27.44,27.299,27.299,300,0
AVGU.US,60,20250721,200000,27.34,27.42,27.29,27.42,5398,0
AVGU.US,60,20250721,210000,27.379,27.3876,27.3,27.3,687,0
AVGU.US,60,20250721,220000,27.299,27.302,27.25,27.25,600,0
AVGU.US,60,20250722,160000,27,27,25.9,25.9,1627,0
AVGU.US,60,20250722,170000,25.74,25.87,25.74,25.87,9580,0
AVGU.US,60,20250722,180000,26.04,26.0496,26,26,1200,0
AVGU.US,60,20250722,200000,25.571,25.65,25.571,25.65,1842,0
AVGU.US,60,20250722,210000,25.39,25.54,25.39,25.54,10000,0
AVGU.US,60,20250722,220000,25.5,25.58,25.459,25.48,668,0
AVGU.US,60,20250723,160000,25.66,25.66,24.3818,25.35,1706,0
AVGU.US,60,20250723,170000,25.101,25.101,25.021,25.021,20200,0
AVGU.US,60,20250723,200000,25.55,25.55,25.5315,25.5315,1000,0
AVGU.US,60,20250723,210000,25.805,25.805,25.797,25.797,1100,0
AVGU.US,60,20250723,220000,25.9,26.56,25.9,26.56,1448,0
AVGU.US,60,20250724,160000,27.49,27.63,27,27.63,950,0
AVGU.US,60,20250724,170000,26.493,27.0348,26.45,27.0348,2298,0
AVGU.US,60,20250724,180000,27.01,27.115,26.8435,26.85,2400,0
AVGU.US,60,20250724,190000,27.3881,27.3881,27.3881,27.3881,100,0
AVGU.US,60,20250724,200000,27.415,27.5,27.415,27.5,482,0
AVGU.US,60,20250724,210000,27.4492,27.4492,27.4492,27.4492,928,0
AVGU.US,60,20250724,220000,27.33,27.33,27.3,27.3,318,0
AVGU.US,60,20250725,160000,27.15,27.6,27.13,27.6,3000,0
AVGU.US,60,20250725,170000,27.68,27.68,27.4901,27.5015,2700,0
AVGU.US,60,20250725,180000,27.395,27.47,27.3372,27.3372,700,0
AVGU.US,60,20250725,190000,27.6328,27.985,27.6,27.86,2226,0
AVGU.US,60,20250725,200000,27.8,27.88,27.8,27.88,200,0
AVGU.US,60,20250725,210000,27.82,27.82,27.75,27.75,900,0
AVGU.US,60,20250725,220000,27.72,27.8,27.69,27.69,6139,0
AVGU.US,60,20250728,160000,27.79,27.9558,27.79,27.9513,1083,0
AVGU.US,60,20250728,170000,27.88,28.0259,27.76,27.76,1542,0
AVGU.US,60,20250728,180000,27.9,27.9,27.9,27.9,900,0
AVGU.US,60,20250728,190000,27.95,27.95,27.8,27.8,200,0
AVGU.US,60,20250728,210000,28.08,28.08,28.08,28.08,100,0
AVGU.US,60,20250728,220000,28.38,28.38,28.38,28.38,442,0
AVGU.US,60,20250729,160000,29.47,29.575,29.37,29.569,2506,0
AVGU.US,60,20250729,170000,29.2026,29.42,29.2,29.2,691,0
AVGU.US,60,20250729,180000,28.83,28.83,28.6101,28.6101,1020,0
AVGU.US,60,20250729,200000,29.12,29.12,29.12,29.12,130,0
AVGU.US,60,20250729,210000,29.2196,29.2196,29.0001,29.0899,750,0
AVGU.US,60,20250729,220000,28.85,28.85,28.786,28.786,350,0
AVGU.US,60,20250730,160000,29.2354,29.429,29.07,29.429,1761,0
AVGU.US,60,20250730,170000,29.35,29.658,29.35,29.639,3791,0
AVGU.US,60,20250730,180000,29.505,29.505,29.2,29.2,308,0
AVGU.US,60,20250730,190000,29.31,29.395,29.31,29.395,420,0
AVGU.US,60,20250730,200000,29.56,29.59,29.49,29.49,1111,0
AVGU.US,60,20250730,210000,29.89,30.019,29.689,29.689,1737,0
AVGU.US,60,20250730,220000,29.575,29.78,29.575,29.78,1085,0
AVGU.US,60,20250731,160000,30,30.47,29.75,29.9501,4084,0
AVGU.US,60,20250731,170000,29.7706,29.7706,29.68,29.68,200,0
AVGU.US,60,20250731,180000,29,29.202,29,29.202,802,0
AVGU.US,60,20250731,190000,29.15,29.15,28.91,28.91,203,0
AVGU.US,60,20250731,200000,28.77,28.77,28.15,28.15,2306,0
AVGU.US,60,20250731,210000,28.08,28.45,28.08,28.39,1378,0
AVGU.US,60,20250731,220000,28.4703,28.4703,28.1572,28.1572,1400,0
AVGU.US,60,20250801,160000,26.88,26.88,26.45,26.45,965,0
AVGU.US,60,20250801,170000,26.45,27,26.45,27,2296,0
AVGU.US,60,20250801,180000,27.2053,27.25,27.2053,27.25,200,0
AVGU.US,60,20250801,210000,27.053,27.053,27.01,27.01,1197,0
AVGU.US,60,20250801,220000,27.2249,27.2249,27.16,27.16,1100,0
AVGU.US,60,20250804,160000,28.515,28.57,28.515,28.55,2800,0
AVGU.US,60,20250804,170000,28.68,28.68,28.65,28.65,600,0
AVGU.US,60,20250804,190000,28.9,28.9,28.9,28.9,100,0
AVGU.US,60,20250804,210000,28.7676,28.7676,28.689,28.689,400,0
AVGU.US,60,20250804,220000,29,29.009,28.69,28.69,937,0
AVGU.US,60,20250805,160000,29.22,29.52,29.18,29.239,8091,0
AVGU.US,60,20250805,170000,28.83,28.83,27.87,27.87,3304,0
AVGU.US,60,20250805,180000,27.9,27.95,27.78,27.95,500,0
AVGU.US,60,20250805,210000,28.5,28.5,28.28,28.28,374,0
AVGU.US,60,20250805,220000,28.15,28.18,28.15,28.18,300,0
AVGU.US,60,20250806,160000,28.32,28.4,27.9999,27.9999,2482,0
AVGU.US,60,20250806,170000,28.31,28.58,28.31,28.58,2840,0
AVGU.US,60,20250806,180000,28.615,29.04,28.615,29.04,1600,0
AVGU.US,60,20250806,220000,29.7,29.71,29.5808,29.66,1075,0
AVGU.US,60,20250807,160000,30.4425,31.0693,30.4425,31.0693,300,0
AVGU.US,60,20250807,170000,30.912,30.912,30.23,30.23,462,0
AVGU.US,60,20250807,180000,30.2134,30.2134,30.2134,30.2134,432,0
AVGU.US,60,20250807,210000,29.649,29.65,29.5819,29.5819,3797,0
AVGU.US,60,20250807,220000,29.91,29.91,29.91,29.91,400,0
AVGU.US,60,20250808,160000,30.06,30.79,30.06,30.5899,1209,0
AVGU.US,60,20250808,170000,30.49,30.49,30.49,30.49,138,0
AVGU.US,60,20250808,180000,30.52,30.52,30.4,30.4,1000,0
AVGU.US,60,20250808,190000,30.2514,30.261,29.96,29.96,600,0
AVGU.US,60,20250808,210000,30.0728,30.2116,30.0728,30.2116,1324,0
