<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMAX.US,60,20250314,150000,25.34,25.76,25.34,25.55,2401,0
BMAX.US,60,20250314,160000,25.44,25.52,25.34,25.505,5700,0
BMAX.US,60,20250314,170000,25.68,26.3,25.68,25.95,9217,0
BMAX.US,60,20250314,180000,26.0795,26.75,25.94,26.175,18950,0
BMAX.US,60,20250314,190000,26.17,26.22,26,26.1,133850,0
BMAX.US,60,20250314,200000,26.1,26.37,26.1,26.36,17579,0
BMAX.US,60,20250314,210000,26.35,26.52,26.3,26.51,24722,0
BMAX.US,60,20250317,150000,26.51,26.56,26.01,26.11,31488,0
BMAX.US,60,20250317,160000,26,26.081,25.8501,25.901,13565,0
BMAX.US,60,20250317,170000,25.9,26.2583,25.9,26.035,8958,0
BMAX.US,60,20250317,180000,26.08,26.2,25.9,26.1101,9520,0
BMAX.US,60,20250317,190000,26.1,26.3599,26.07,26.25,7816,0
BMAX.US,60,20250317,200000,26.308,26.4191,26.275,26.38,10105,0
BMAX.US,60,20250317,210000,26.39,26.46,26.25,26.305,9487,0
BMAX.US,60,20250318,150000,25.99,26,25.28,25.37,20300,0
BMAX.US,60,20250318,160000,25.38,25.89,25.37,25.86,7808,0
BMAX.US,60,20250318,170000,25.818,25.89,25.69,25.78,3290,0
BMAX.US,60,20250318,180000,25.8003,25.8003,25.78,25.78,550,0
BMAX.US,60,20250318,190000,25.9,25.9,25.43,25.49,7434,0
BMAX.US,60,20250318,200000,25.49,25.6327,25.31,25.6327,10342,0
BMAX.US,60,20250318,210000,25.605,25.605,25.36,25.55,12264,0
BMAX.US,60,20250319,150000,25.645,26.009,25.64,25.87,1100,0
BMAX.US,60,20250319,160000,25.83,26.01,25.83,25.8854,20315,0
BMAX.US,60,20250319,170000,25.915,25.945,25.915,25.945,300,0
BMAX.US,60,20250319,180000,26.0607,26.1,26.0111,26.07,10892,0
BMAX.US,60,20250319,190000,26.06,26.06,25.805,25.9,24859,0
BMAX.US,60,20250319,200000,25.925,26.28,25.925,26.28,3050,0
BMAX.US,60,20250319,210000,26.3996,26.52,26.2201,26.424,17646,0
BMAX.US,60,20250320,150000,25.79,26.2013,25.79,26.095,1415,0
BMAX.US,60,20250320,160000,26.025,26.4,26.025,26.2864,1550,0
BMAX.US,60,20250320,170000,26.2314,26.36,25.9855,25.9855,3866,0
BMAX.US,60,20250320,180000,25.95,25.95,25.74,25.85,7287,0
BMAX.US,60,20250320,190000,26.0045,26.008,25.91,25.91,974,0
BMAX.US,60,20250320,200000,26.0283,26.0283,26.0283,26.0283,100,0
BMAX.US,60,20250320,210000,25.9564,26.05,25.9564,26.05,512,0
BMAX.US,60,20250321,150000,25.73,25.755,25.73,25.755,552,0
BMAX.US,60,20250321,160000,25.8206,26,25.8206,25.9765,643,0
BMAX.US,60,20250321,170000,25.8662,25.8662,25.78,25.8364,1959,0
BMAX.US,60,20250321,180000,25.7092,26.02,25.7092,26.02,3818,0
BMAX.US,60,20250321,190000,25.95,25.95,25.95,25.95,800,0
BMAX.US,60,20250321,200000,25.87,26.04,25.87,26.015,1100,0
BMAX.US,60,20250321,210000,26.02,26.2,26.02,26.15,4637,0
BMAX.US,60,20250324,150000,26.2813,26.76,26.2813,26.76,4513,0
BMAX.US,60,20250324,160000,26.87,27.14,26.85,26.94,16668,0
BMAX.US,60,20250324,170000,26.92,27,26.86,26.9967,6763,0
BMAX.US,60,20250324,180000,27.0096,27.212,26.9202,26.9202,15768,0
BMAX.US,60,20250324,190000,27,27.2,26.9995,27.2,1388,0
BMAX.US,60,20250324,200000,27.208,27.275,27.0234,27.029,13065,0
BMAX.US,60,20250324,210000,27.18,27.5,27.15,27.24,13347,0
BMAX.US,60,20250325,150000,27.57,27.57,27.3,27.3,1925,0
BMAX.US,60,20250325,160000,27.3954,27.4496,27.3,27.3,5946,0
BMAX.US,60,20250325,170000,27.5682,27.6492,27.4759,27.4759,2600,0
BMAX.US,60,20250325,180000,27.5126,27.7,27.42,27.6649,2180,0
BMAX.US,60,20250325,190000,27.7458,27.7458,27.547,27.547,4796,0
BMAX.US,60,20250325,200000,27.55,27.65,27.47,27.47,7157,0
BMAX.US,60,20250325,210000,27.6088,27.74,27.415,27.74,3978,0
BMAX.US,60,20250326,150000,27.64,27.64,27.36,27.36,2183,0
BMAX.US,60,20250326,160000,27.11,27.43,26.95,27.3,3396,0
BMAX.US,60,20250326,170000,27.4476,27.4476,27.18,27.26,1042,0
BMAX.US,60,20250326,180000,27.27,27.27,27.0211,27.0211,482,0
BMAX.US,60,20250326,190000,27.0111,27.05,27.01,27.05,678,0
BMAX.US,60,20250326,200000,27.005,27.05,27,27.05,725,0
BMAX.US,60,20250326,210000,27.05,27.05,27.05,27.05,100,0
BMAX.US,60,20250327,150000,26.85,26.85,26.84,26.85,1559,0
BMAX.US,60,20250327,160000,27.135,27.22,26.87,27.08,8107,0
BMAX.US,60,20250327,170000,27.08,27.2328,26.875,26.875,1100,0
BMAX.US,60,20250327,180000,26.9228,26.9228,26.9228,26.9228,100,0
BMAX.US,60,20250327,190000,26.95,26.98,26.91,26.91,1400,0
BMAX.US,60,20250327,200000,26.98,27.1099,26.9448,27.1099,553,0
BMAX.US,60,20250327,210000,27.1,27.1,26.96,26.98,1150,0
BMAX.US,60,20250328,150000,26.88,26.88,26.6846,26.6846,564,0
BMAX.US,60,20250328,160000,26.17,26.215,26.1,26.11,6560,0
BMAX.US,60,20250328,170000,26,26.3,26,26.2,1352,0
BMAX.US,60,20250328,180000,26,26,26,26,634,0
BMAX.US,60,20250328,190000,25.94,25.94,25.88,25.88,696,0
BMAX.US,60,20250328,200000,25.99,25.99,25.828,25.86,1894,0
BMAX.US,60,20250328,210000,25.87,25.8982,25.79,25.8,2146,0
BMAX.US,60,20250331,160000,25.24,25.3297,25.145,25.1753,916,0
BMAX.US,60,20250331,170000,25.2797,25.6,25.2797,25.5721,1463,0
BMAX.US,60,20250331,180000,25.65,25.78,25.535,25.62,896,0
BMAX.US,60,20250331,190000,25.565,25.68,25.3562,25.6,3534,0
BMAX.US,60,20250331,200000,25.55,25.55,25.12,25.23,1500,0
BMAX.US,60,20250331,210000,25.57,25.72,25.35,25.35,1300,0
BMAX.US,60,20250331,220000,25.292,25.42,25.27,25.315,2610,0
BMAX.US,60,20250401,160000,25.45,25.45,25.3193,25.38,860,0
BMAX.US,60,20250401,170000,25.35,25.67,25.34,25.63,900,0
BMAX.US,60,20250401,180000,25.769,26.08,25.7675,26.01,29656,0
BMAX.US,60,20250401,190000,26.01,26.01,25.75,25.796,6125,0
BMAX.US,60,20250401,200000,25.81,25.83,25.74,25.74,2400,0
BMAX.US,60,20250401,210000,25.62,25.66,25.56,25.5701,4287,0
BMAX.US,60,20250401,220000,25.9,25.9,25.9,25.9,200,0
BMAX.US,60,20250402,160000,25.82,26.23,25.82,26.18,2956,0
BMAX.US,60,20250402,170000,26.07,26.07,26,26.0401,1831,0
BMAX.US,60,20250402,180000,26.1304,26.4,26.1304,26.3494,4877,0
BMAX.US,60,20250402,190000,26.24,26.24,26.24,26.24,100,0
BMAX.US,60,20250402,200000,26.19,26.19,26.19,26.19,1396,0
BMAX.US,60,20250402,210000,26.061,26.09,26.02,26.09,1830,0
BMAX.US,60,20250402,220000,26.0727,26.09,26.05,26.09,425,0
BMAX.US,60,20250403,160000,25.56,25.8,25.5,25.625,5052,0
BMAX.US,60,20250403,170000,25.5,25.5,25.13,25.31,800,0
BMAX.US,60,20250403,180000,25.24,25.28,25.24,25.28,200,0
BMAX.US,60,20250403,190000,25.275,25.275,25,25,2931,0
BMAX.US,60,20250403,200000,24.94,24.98,24.94,24.95,700,0
BMAX.US,60,20250403,210000,24.71,24.92,24.71,24.92,300,0
BMAX.US,60,20250403,220000,24.9961,25,24.9,24.9643,2801,0
BMAX.US,60,20250404,160000,24.11,24.49,24.11,24.25,2046,0
BMAX.US,60,20250404,170000,24.2462,24.2462,24.2462,24.2462,200,0
BMAX.US,60,20250404,180000,24.57,25.4575,24.57,24.6695,1000,0
BMAX.US,60,20250404,190000,24.64,24.69,24.3,24.465,1700,0
BMAX.US,60,20250404,200000,24.2201,24.63,24.2201,24.63,520,0
BMAX.US,60,20250404,210000,24.845,24.845,24.36,24.36,265,0
BMAX.US,60,20250404,220000,25.035,25.8086,25.035,25.53,5064,0
BMAX.US,60,20250407,160000,23.75,23.76,23.11,23.42,2725,0
BMAX.US,60,20250407,170000,24.7,24.7,23.51,24.285,589,0
BMAX.US,60,20250407,180000,23.61,23.61,23.6,23.6,202,0
BMAX.US,60,20250407,190000,23.865,23.865,23.7215,23.81,375,0
BMAX.US,60,20250407,200000,23.6201,23.805,23.6201,23.805,700,0
BMAX.US,60,20250407,210000,23.755,23.755,23.755,23.755,100,0
BMAX.US,60,20250407,220000,23.75,24.2,23.75,24.1312,2403,0
BMAX.US,60,20250408,160000,24.51,24.51,24.51,24.51,1405,0
BMAX.US,60,20250408,170000,24.735,25.01,24.42,25.01,3830,0
BMAX.US,60,20250408,190000,24.195,24.195,23.88,23.88,2201,0
BMAX.US,60,20250408,200000,23.55,23.55,23.34,23.4,935,0
BMAX.US,60,20250408,210000,23.8,23.8,23.8,23.8,299,0
BMAX.US,60,20250408,220000,23.49,23.52,22.562,22.562,1966,0
BMAX.US,60,20250409,160000,23.31,23.31,23.31,23.31,125,0
