<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUFC.US,60,20240411,160000,36.37,36.37,36.37,36.37,226,0
BUFC.US,60,20240411,210000,36.54,36.54,36.45,36.45,13414,0
BUFC.US,60,20240411,220000,36.45,36.45,36.43,36.43,1500,0
BUFC.US,60,20240412,170000,36.41,36.42,36.41,36.41,1589,0
BUFC.US,60,20240412,210000,36.39,36.39,36.38,36.38,116947,0
BUFC.US,60,20240415,180000,36.32,36.33,36.31,36.33,8448,0
BUFC.US,60,20240415,190000,36.33,36.33,36.29,36.29,400,0
BUFC.US,60,20240415,200000,36.28,36.28,36.28,36.28,100,0
BUFC.US,60,20240415,210000,36.24,36.25,36.24,36.25,14628,0
BUFC.US,60,20240415,220000,36.2,36.2,36.16,36.2,3700,0
BUFC.US,60,20240416,160000,36.27,36.27,36.27,36.27,139,0
BUFC.US,60,20240416,200000,36.21,36.25,36.15,36.15,2850,0
BUFC.US,60,20240416,210000,36.2735,36.2735,36.13,36.18,50526,0
BUFC.US,60,20240416,220000,36.19,36.19,36.15,36.17,700,0
BUFC.US,60,20240417,210000,36.21,36.21,36.2,36.2,25255,0
BUFC.US,60,20240417,220000,36.18,36.19,36.17,36.17,2073,0
BUFC.US,60,20240418,160000,36.2,36.2,36.2,36.2,109,0
BUFC.US,60,20240418,170000,36.09,36.09,36.09,36.09,4436,0
BUFC.US,60,20240419,210000,36.15,36.15,35.97,35.97,21775,0
BUFC.US,60,20240419,220000,36.01,36.04,36.01,36.04,1102,0
BUFC.US,60,20240422,210000,36.18,36.18,36.17,36.17,497,0
BUFC.US,60,20240422,220000,36.19,36.19,35.96,36.06,50938,0
BUFC.US,60,20240423,170000,36.16,36.16,36.16,36.16,134,0
BUFC.US,60,20240423,180000,36.22,36.22,36.22,36.22,250,0
BUFC.US,60,20240423,210000,36.22,36.22,36.19,36.19,28303,0
BUFC.US,60,20240423,220000,36.18,36.2199,36.14,36.18,3484,0
BUFC.US,60,20240424,160000,36.27,36.27,36.27,36.27,825,0
BUFC.US,60,20240424,170000,36.2301,36.24,36.2301,36.24,800,0
BUFC.US,60,20240424,180000,36.2051,36.2051,36.2051,36.2051,2532,0
BUFC.US,60,20240424,190000,36.16,36.16,36.16,36.16,694,0
BUFC.US,60,20240424,200000,36.14,36.14,36.14,36.14,100,0
BUFC.US,60,20240424,210000,36.21,36.27,36.17,36.18,8343,0
BUFC.US,60,20240424,220000,36.225,36.27,36.15,36.19,4035,0
BUFC.US,60,20240425,170000,36.1133,36.1133,36.1133,36.1133,700,0
BUFC.US,60,20240425,190000,36.158,36.158,36.158,36.158,210,0
BUFC.US,60,20240425,210000,36.24,36.24,36.23,36.23,17190,0
BUFC.US,60,20240425,220000,36.14,36.18,36.14,36.18,1400,0
BUFC.US,60,20240426,160000,36.23,36.23,36.23,36.23,100,0
BUFC.US,60,20240426,220000,36.265,36.39,36.265,36.32,24164,0
BUFC.US,60,20240429,160000,36.33,36.33,36.32,36.32,300,0
BUFC.US,60,20240429,170000,36.39,36.39,36.32,36.32,1548,0
BUFC.US,60,20240429,180000,36.3001,36.3001,36.29,36.29,3092,0
BUFC.US,60,20240429,190000,36.3,36.31,36.3,36.31,1500,0
BUFC.US,60,20240429,200000,36.38,36.38,36.32,36.38,958,0
BUFC.US,60,20240429,210000,36.3101,36.3482,36.28,36.29,1800,0
BUFC.US,60,20240429,220000,36.36,36.38,36.26,36.37,13609,0
BUFC.US,60,20240430,160000,36.24,36.24,36.24,36.24,1978,0
BUFC.US,60,20240430,170000,36.37,36.37,36.37,36.37,100,0
BUFC.US,60,20240430,180000,36.3199,36.3199,36.3199,36.3199,1000,0
BUFC.US,60,20240430,210000,36.29,36.29,36.28,36.28,12590,0
BUFC.US,60,20240430,220000,36.1701,36.1701,36.1701,36.1701,800,0
BUFC.US,60,20240501,200000,36.12,36.12,36.12,36.12,250,0
BUFC.US,60,20240501,210000,36.15,36.28,36.15,36.185,16373,0
BUFC.US,60,20240501,220000,36.205,36.205,36.1,36.1,1115,0
BUFC.US,60,20240502,170000,36.17,36.17,36.08,36.09,6782,0
BUFC.US,60,20240502,200000,36.145,36.15,36.14,36.14,2100,0
BUFC.US,60,20240502,210000,36.12,36.19,36.12,36.18,4470,0
BUFC.US,60,20240503,220000,36.26,36.45,36.16,36.35,72987,0
BUFC.US,60,20240506,180000,36.44,36.44,36.43,36.43,457,0
BUFC.US,60,20240506,200000,36.43,36.43,36.43,36.43,300,0
BUFC.US,60,20240506,210000,36.57,36.57,36.56,36.56,10215,0
BUFC.US,60,20240506,220000,36.5,36.5,36.5,36.5,356,0
BUFC.US,60,20240507,160000,36.65,36.65,36.53,36.53,500,0
BUFC.US,60,20240507,170000,36.58,36.58,36.58,36.58,1000,0
BUFC.US,60,20240507,180000,36.5681,36.637,36.5681,36.637,1400,0
BUFC.US,60,20240507,210000,36.62,36.62,36.61,36.61,20955,0
BUFC.US,60,20240507,220000,36.6065,36.62,36.53,36.62,780,0
BUFC.US,60,20240508,160000,36.6,36.6,36.6,36.6,183,0
BUFC.US,60,20240508,210000,36.63,36.63,36.62,36.62,34100,0
BUFC.US,60,20240508,220000,36.53,36.57,36.42,36.57,1400,0
BUFC.US,60,20240509,160000,36.54,36.54,36.53,36.53,1510,0
BUFC.US,60,20240509,170000,36.635,36.67,36.635,36.6498,3320,0
BUFC.US,60,20240509,180000,36.61,36.61,36.59,36.59,300,0
BUFC.US,60,20240509,210000,36.6,36.61,36.6,36.61,5110,0
BUFC.US,60,20240509,220000,36.63,36.63,36.63,36.63,300,0
BUFC.US,60,20240510,160000,36.66,36.66,36.66,36.66,300,0
BUFC.US,60,20240510,170000,36.645,36.6701,36.64,36.64,3975,0
BUFC.US,60,20240510,180000,36.655,36.655,36.58,36.64,3000,0
BUFC.US,60,20240510,190000,36.65,36.65,36.65,36.65,100,0
BUFC.US,60,20240510,200000,36.53,36.53,36.53,36.53,100,0
BUFC.US,60,20240510,210000,36.76,36.76,36.75,36.75,7247,0
BUFC.US,60,20240510,220000,36.67,36.68,36.67,36.68,770,0
BUFC.US,60,20240513,160000,36.71,36.71,36.65,36.65,600,0
BUFC.US,60,20240513,170000,36.67,36.695,36.67,36.695,700,0
BUFC.US,60,20240513,180000,36.68,36.68,36.67,36.67,13300,0
BUFC.US,60,20240513,190000,36.67,36.67,36.67,36.67,7100,0
BUFC.US,60,20240513,210000,36.75,36.75,36.65,36.65,20659,0
BUFC.US,60,20240513,220000,36.63,36.65,36.62,36.65,81661,0
BUFC.US,60,20240514,160000,36.8,36.8,36.8,36.8,4156,0
BUFC.US,60,20240514,190000,36.68,36.68,36.67,36.67,200,0
BUFC.US,60,20240514,210000,36.83,36.83,36.73,36.73,42613,0
BUFC.US,60,20240514,220000,36.76,36.8,36.76,36.8,201,0
BUFC.US,60,20240515,160000,36.9484,36.9484,36.9484,36.9484,350,0
BUFC.US,60,20240515,210000,37.01,37.01,37,37,134791,0
BUFC.US,60,20240515,220000,36.9152,36.99,36.9152,36.93,1041,0
BUFC.US,60,20240516,160000,37.05,37.05,37.04,37.05,20535,0
BUFC.US,60,20240516,170000,36.94,36.94,36.94,36.94,169,0
BUFC.US,60,20240516,210000,37.02,37.02,37.01,37.01,24117,0
BUFC.US,60,20240516,220000,36.96,36.98,36.93,36.98,370,0
BUFC.US,60,20240517,160000,37.1,37.1,37.1,37.1,330,0
BUFC.US,60,20240517,170000,37.025,37.025,37.025,37.025,100,0
BUFC.US,60,20240517,190000,36.99,36.99,36.99,36.99,269,0
BUFC.US,60,20240517,210000,37.02,37.03,36.995,36.995,4529,0
BUFC.US,60,20240517,220000,37,37,36.97,36.97,266,0
BUFC.US,60,20240520,160000,36.97,36.97,36.97,36.97,11734,0
BUFC.US,60,20240520,200000,37.04,37.04,37.04,37.04,375,0
BUFC.US,60,20240520,210000,37.07,37.07,37.06,37.06,6893,0
BUFC.US,60,20240520,220000,36.97,37.05,36.97,37.05,300,0
BUFC.US,60,20240521,160000,36.96,36.96,36.96,36.96,206,0
BUFC.US,60,20240521,210000,37.09,37.09,37.08,37.08,43313,0
BUFC.US,60,20240521,220000,37.08,37.08,37.08,37.08,1753,0
BUFC.US,60,20240522,170000,37,37,37,37,864,0
BUFC.US,60,20240522,180000,37.06,37.06,37.06,37.06,10000,0
BUFC.US,60,20240522,210000,37.05,37.05,37.04,37.04,10796,0
BUFC.US,60,20240522,220000,37.04,37.04,36.98,36.98,384,0
BUFC.US,60,20240523,170000,37.07,37.07,37.07,37.07,129,0
BUFC.US,60,20240523,180000,37.02,37.0695,37.02,37.0695,575,0
BUFC.US,60,20240523,210000,36.98,36.98,36.92,36.92,6682,0
BUFC.US,60,20240523,220000,36.94,36.96,36.89,36.9,3141,0
BUFC.US,60,20240524,170000,36.95,36.95,36.95,36.95,100,0
BUFC.US,60,20240524,210000,37.09,37.09,37.08,37.08,20244,0
BUFC.US,60,20240524,220000,37.02,37.06,36.98,37.06,1639,0
BUFC.US,60,20240528,190000,37.03,37.03,37.03,37.03,375,0
BUFC.US,60,20240528,200000,36.99,36.99,36.9879,36.9879,172808,0
BUFC.US,60,20240528,210000,37.08,37.08,37.07,37.07,36241,0
BUFC.US,60,20240528,220000,37.04,37.04,36.98,37,2249,0
BUFC.US,60,20240529,160000,36.64,37.28,36.54,36.92,771,0
BUFC.US,60,20240529,200000,37,37,37,37,350,0
BUFC.US,60,20240529,210000,37.02,37.02,37,37,12626,0
BUFC.US,60,20240530,160000,37.02,37.02,36.9,36.95,18279,0
BUFC.US,60,20240530,170000,36.95,36.95,36.95,36.95,1100,0
BUFC.US,60,20240530,190000,36.96,36.96,36.945,36.945,400,0
BUFC.US,60,20240530,200000,36.97,36.97,36.97,36.97,300,0
BUFC.US,60,20240530,210000,36.99,36.99,36.97,36.97,34437,0
BUFC.US,60,20240530,220000,36.88,36.94,36.87,36.87,651,0
BUFC.US,60,20240531,160000,36.89,36.89,36.89,36.89,200,0
BUFC.US,60,20240531,210000,36.8411,36.95,36.8411,36.94,28515,0
BUFC.US,60,20240531,220000,36.91,36.91,36.9,36.9,500,0
BUFC.US,60,20240603,160000,37.01,37.01,37.01,37.01,217,0
BUFC.US,60,20240603,210000,37.029,37.029,37.029,37.029,700,0
BUFC.US,60,20240603,220000,37.03,37.03,36.95,36.98,74402,0
BUFC.US,60,20240604,160000,36.96,36.96,36.96,36.96,200,0
BUFC.US,60,20240604,200000,36.97,36.97,36.97,36.97,960,0
BUFC.US,60,20240604,210000,37.1,37.1,37.09,37.09,42056,0
BUFC.US,60,20240605,190000,37.09,37.09,37.09,37.09,892,0
BUFC.US,60,20240605,210000,37.12,37.13,37.12,37.1201,6920,0
BUFC.US,60,20240605,220000,37.2,37.2,37.2,37.2,469,0
BUFC.US,60,20240606,210000,37.21,37.21,37.2,37.2,120738,0
BUFC.US,60,20240606,220000,36.98,37.2,36.98,37.2,1395,0
BUFC.US,60,20240607,210000,37.15,37.24,37.15,37.24,80121,0
BUFC.US,60,20240607,220000,37.21,37.21,37.21,37.21,577,0
BUFC.US,60,20240610,160000,37.23,37.23,37.23,37.23,2710,0
BUFC.US,60,20240610,210000,37.25,37.25,37.24,37.24,5264,0
BUFC.US,60,20240611,180000,37.1735,37.1735,37.1735,37.1735,500,0
BUFC.US,60,20240611,220000,37.28,37.28,37.2,37.27,75830,0
BUFC.US,60,20240612,160000,37.5,37.5,37.5,37.5,199,0
BUFC.US,60,20240612,180000,37.33,37.33,37.33,37.33,206,0
BUFC.US,60,20240612,210000,37.42,37.42,37.31,37.31,8076,0
BUFC.US,60,20240612,220000,37.31,37.37,37.28,37.29,3277,0
BUFC.US,60,20240613,170000,37.31,37.31,37.31,37.31,4636,0
BUFC.US,60,20240613,180000,37.2901,37.2901,37.2901,37.2901,836,0
BUFC.US,60,20240613,190000,37.29,37.29,37.29,37.29,200,0
BUFC.US,60,20240613,210000,37.41,37.41,37.4,37.4,3576,0
BUFC.US,60,20240613,220000,37.39,37.39,37.39,37.39,100,0
BUFC.US,60,20240614,160000,37.29,37.29,37.29,37.29,200,0
BUFC.US,60,20240614,210000,37.41,37.41,37.29,37.29,10695,0
BUFC.US,60,20240614,220000,37.34,37.34,37.32,37.34,579,0
BUFC.US,60,20240617,160000,37.32,37.32,37.32,37.32,935,0
BUFC.US,60,20240617,210000,37.51,37.51,37.5,37.5,14260,0
BUFC.US,60,20240617,220000,37.5,37.5,37.5,37.5,2150,0
BUFC.US,60,20240618,210000,37.45,37.46,37.45,37.46,9542,0
BUFC.US,60,20240618,220000,37.4397,37.51,37.4397,37.51,1847,0
BUFC.US,60,20240620,160000,37.45,37.45,37.45,37.45,1494,0
BUFC.US,60,20240620,180000,37.55,37.55,37.55,37.55,2026,0
BUFC.US,60,20240620,210000,37.51,37.51,37.5,37.5,3264,0
BUFC.US,60,20240620,220000,37.4213,37.4213,37.4213,37.4213,200,0
BUFC.US,60,20240621,160000,37.52,37.52,37.52,37.52,900,0
BUFC.US,60,20240621,210000,37.51,37.51,37.5,37.5,9408,0
BUFC.US,60,20240621,220000,37.41,37.41,37.41,37.41,100,0
BUFC.US,60,20240624,160000,37.42,37.42,37.42,37.42,112,0
BUFC.US,60,20240624,210000,37.5,37.52,37.5,37.5,44858,0
BUFC.US,60,20240624,220000,37.5,37.5,37.5,37.5,126,0
BUFC.US,60,20240625,160000,37.41,37.41,37.41,37.41,1511,0
BUFC.US,60,20240625,180000,37.43,37.43,37.43,37.43,128,0
BUFC.US,60,20240625,210000,37.52,37.52,37.51,37.51,22163,0
BUFC.US,60,20240625,220000,37.42,37.44,37.34,37.44,6231,0
BUFC.US,60,20240626,160000,37.54,37.54,37.54,37.54,1171,0
BUFC.US,60,20240626,210000,37.4792,37.4792,37.4792,37.4792,1200,0
BUFC.US,60,20240626,220000,37.53,37.53,37.52,37.52,35732,0
BUFC.US,60,20240627,190000,37.55,37.56,37.55,37.55,2750,0
BUFC.US,60,20240627,210000,37.47,37.48,37.47,37.48,4722,0
BUFC.US,60,20240627,220000,37.54,37.54,37.54,37.54,1091,0
BUFC.US,60,20240628,160000,37.52,37.52,37.52,37.52,117,0
BUFC.US,60,20240628,210000,37.59,37.59,37.58,37.58,18887,0
BUFC.US,60,20240628,220000,37.54,37.54,37.54,37.54,2012,0
BUFC.US,60,20240701,160000,37.5,37.5,37.5,37.5,486,0
BUFC.US,60,20240701,170000,37.49,37.49,37.49,37.49,100,0
BUFC.US,60,20240701,220000,37.498,37.57,37.49,37.53,33835,0
BUFC.US,60,20240702,160000,37.57,37.57,37.57,37.57,256,0
BUFC.US,60,20240702,170000,37.52,37.5201,37.5112,37.5112,3161,0
BUFC.US,60,20240702,200000,37.53,37.53,37.53,37.53,810,0
BUFC.US,60,20240702,210000,37.64,37.64,37.63,37.63,35679,0
BUFC.US,60,20240702,220000,37.6,37.6212,37.6,37.6,1067,0
BUFC.US,60,20240703,190000,37.7,37.7,37.62,37.62,8032,0
BUFC.US,60,20240705,160000,37.75,37.75,37.75,37.75,1470,0
BUFC.US,60,20240705,210000,37.69,37.69,37.68,37.68,32149,0
BUFC.US,60,20240705,220000,37.67,37.69,37.67,37.69,200,0
BUFC.US,60,20240708,210000,37.74,37.74,37.73,37.73,33968,0
BUFC.US,60,20240708,220000,37.71,37.71,37.71,37.71,178,0
BUFC.US,60,20240709,160000,37.72,37.72,37.72,37.72,153,0
BUFC.US,60,20240709,210000,37.78,37.78,37.77,37.77,28780,0
BUFC.US,60,20240709,220000,37.7207,37.7207,37.69,37.69,1700,0
BUFC.US,60,20240710,170000,37.7501,37.7501,37.7501,37.7501,2500,0
BUFC.US,60,20240710,190000,37.73,37.73,37.72,37.72,2000,0
