<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CATH.US,60,20240411,160000,62.65,62.65,62.4308,62.4308,2027,0
CATH.US,60,20240411,170000,62.13,62.28,62.125,62.27,5010,0
CATH.US,60,20240411,180000,62.3449,62.3449,62.3449,62.3449,123,0
CATH.US,60,20240411,190000,62.43,62.43,62.42,62.42,204,0
CATH.US,60,20240411,200000,62.655,62.76,62.655,62.76,4862,0
CATH.US,60,20240411,210000,62.79,62.9231,62.79,62.909,916,0
CATH.US,60,20240411,220000,62.9,62.9399,62.8,62.8,2942,0
CATH.US,60,20240412,160000,62.45,62.45,62.45,62.45,367,0
CATH.US,60,20240412,170000,62.28,62.28,62.26,62.28,2174,0
CATH.US,60,20240412,180000,62.14,62.2269,62.14,62.1886,5026,0
CATH.US,60,20240412,190000,61.97,61.97,61.97,61.97,3525,0
CATH.US,60,20240412,210000,61.91,61.9299,61.91,61.9299,335,0
CATH.US,60,20240412,220000,61.7301,61.87,61.7301,61.87,2591,0
CATH.US,60,20240415,160000,62.49,62.49,62.345,62.345,880,0
CATH.US,60,20240415,170000,62.36,62.36,61.96,61.96,400,0
CATH.US,60,20240415,180000,61.91,61.9128,61.91,61.9128,497,0
CATH.US,60,20240415,190000,61.9948,61.9948,61.9948,61.9948,215,0
CATH.US,60,20240415,200000,61.3417,61.35,61.29,61.29,2414,0
CATH.US,60,20240415,210000,61.1399,61.1399,61.1399,61.1399,200,0
CATH.US,60,20240415,220000,61.1099,61.1501,61.0801,61.1,4405,0
CATH.US,60,20240416,160000,61.24,61.24,60.8899,61.02,1644,0
CATH.US,60,20240416,170000,61,61,60.899,60.899,200,0
CATH.US,60,20240416,180000,60.96,61.0082,60.94,61.0082,743,0
CATH.US,60,20240416,190000,61.0799,61.085,61.0799,61.085,628,0
CATH.US,60,20240416,200000,60.94,60.94,60.94,60.94,100,0
CATH.US,60,20240416,210000,60.979,60.979,60.979,60.979,472,0
CATH.US,60,20240416,220000,61.1001,61.1001,60.94,60.94,2401,0
CATH.US,60,20240417,160000,61.3,61.3,61.1146,61.1146,2433,0
CATH.US,60,20240417,170000,61,61,60.8,60.82,12236,0
CATH.US,60,20240417,180000,60.93,60.95,60.64,60.6852,10924,0
CATH.US,60,20240417,190000,60.6,60.634,60.42,60.505,698,0
CATH.US,60,20240417,200000,60.58,60.615,60.58,60.61,7808,0
CATH.US,60,20240417,210000,60.7361,60.89,60.71,60.89,1825,0
CATH.US,60,20240417,220000,60.65,60.65,60.65,60.65,378,0
CATH.US,60,20240418,160000,60.86,60.86,60.86,60.86,633,0
CATH.US,60,20240418,170000,60.61,60.96,60.61,60.96,3438,0
CATH.US,60,20240418,180000,60.9106,60.9701,60.85,60.8699,2284,0
CATH.US,60,20240418,190000,60.8399,60.8399,60.748,60.748,2622,0
CATH.US,60,20240418,200000,60.4019,60.4478,60.4019,60.4478,489,0
CATH.US,60,20240418,210000,60.44,60.54,60.4198,60.4198,680,0
CATH.US,60,20240418,220000,60.5101,60.535,60.4653,60.47,2798,0
CATH.US,60,20240419,160000,60.55,60.55,60.4799,60.4799,2269,0
CATH.US,60,20240419,170000,60.37,60.38,60.37,60.38,3700,0
CATH.US,60,20240419,190000,60.2494,60.2494,59.96,59.96,1049,0
CATH.US,60,20240419,200000,60.1602,60.34,60.16,60.34,37061,0
CATH.US,60,20240419,210000,60.21,60.21,59.849,59.939,14483,0
CATH.US,60,20240419,220000,59.89,59.98,59.86,59.98,14482,0
CATH.US,60,20240422,160000,60.23,60.25,60.23,60.25,3232,0
CATH.US,60,20240422,170000,60.11,60.11,60.11,60.11,250,0
CATH.US,60,20240422,180000,60.095,60.095,60.095,60.095,450,0
CATH.US,60,20240422,190000,60.24,60.2861,60.24,60.2861,5000,0
CATH.US,60,20240422,200000,60.52,60.52,60.51,60.51,2696,0
CATH.US,60,20240422,210000,60.76,60.76,60.76,60.76,7900,0
CATH.US,60,20240422,220000,60.65,60.66,60.44,60.44,3541,0
CATH.US,60,20240423,160000,60.83,60.83,60.83,60.83,289,0
CATH.US,60,20240423,170000,61.03,61.08,61.03,61.08,200,0
CATH.US,60,20240423,180000,61.06,61.1381,61.06,61.0849,789,0
CATH.US,60,20240423,190000,61.1,61.17,61.1,61.17,200,0
CATH.US,60,20240423,200000,61.16,61.2699,61.16,61.2699,600,0
CATH.US,60,20240423,210000,61.25,61.25,61.2,61.21,982,0
CATH.US,60,20240423,220000,61.1971,61.1971,61.1719,61.1719,1289,0
CATH.US,60,20240424,160000,61.47,61.49,61.4175,61.42,9657,0
CATH.US,60,20240424,170000,61.2601,61.2601,61.2601,61.2601,245,0
CATH.US,60,20240424,180000,61.2201,61.2201,61.11,61.11,2364,0
CATH.US,60,20240424,190000,61.065,61.14,61.0249,61.0249,18991,0
CATH.US,60,20240424,210000,61.33,61.36,61.22,61.22,1114,0
CATH.US,60,20240424,220000,61.199,61.38,61.199,61.35,906,0
CATH.US,60,20240425,160000,60.67,60.67,60.67,60.67,10941,0
CATH.US,60,20240425,180000,60.5701,60.62,60.5616,60.62,474,0
CATH.US,60,20240425,200000,60.9245,60.9245,60.8975,60.9177,564,0
CATH.US,60,20240425,210000,61.1,61.1,60.9325,60.97,769,0
CATH.US,60,20240425,220000,61.195,61.195,61.05,61.11,10056,0
CATH.US,60,20240426,160000,61.56,61.56,61.5359,61.5359,810,0
CATH.US,60,20240426,170000,61.71,61.7301,61.68,61.7301,1592,0
CATH.US,60,20240426,180000,61.65,61.65,61.645,61.645,550,0
CATH.US,60,20240426,190000,61.68,61.72,61.6713,61.72,16621,0
CATH.US,60,20240426,200000,61.79,61.79,61.7761,61.7761,900,0
CATH.US,60,20240426,210000,61.755,61.755,61.71,61.71,1455,0
CATH.US,60,20240426,220000,61.68,61.72,61.64,61.64,500,0
CATH.US,60,20240429,160000,61.79,61.82,61.77,61.8032,2711,0
CATH.US,60,20240429,170000,61.88,61.88,61.86,61.86,200,0
CATH.US,60,20240429,180000,61.8463,61.8496,61.8,61.8052,1285,0
CATH.US,60,20240429,190000,61.9,61.9,61.89,61.89,283,0
CATH.US,60,20240429,200000,61.871,61.89,61.871,61.89,526,0
CATH.US,60,20240429,210000,61.85,61.85,61.7,61.8081,3459,0
CATH.US,60,20240429,220000,61.75,61.93,61.57,61.93,5113,0
CATH.US,60,20240430,160000,61.5392,61.67,61.5392,61.6275,425,0
CATH.US,60,20240430,170000,61.6518,61.6518,61.585,61.62,6910,0
CATH.US,60,20240430,180000,61.5,61.5,61.3196,61.36,3000,0
CATH.US,60,20240430,190000,61.3,61.3123,61.21,61.21,356,0
CATH.US,60,20240430,200000,61.117,61.27,61.117,61.27,1182,0
CATH.US,60,20240430,210000,61.24,61.24,61.08,61.12,1086,0
CATH.US,60,20240430,220000,61.165,61.17,61,61,1590,0
CATH.US,60,20240501,160000,60.48,60.48,60.48,60.48,100,0
CATH.US,60,20240501,170000,60.49,60.59,60.41,60.59,2710,0
CATH.US,60,20240501,180000,60.56,60.56,60.47,60.53,1527,0
CATH.US,60,20240501,190000,60.569,60.6,60.489,60.489,33500,0
CATH.US,60,20240501,200000,60.49,60.58,60.4499,60.53,5083,0
CATH.US,60,20240501,210000,60.63,61.299,60.54,61.299,4714,0
CATH.US,60,20240501,220000,61.3633,61.4,60.51,60.51,6658,0
CATH.US,60,20240502,160000,60.85,60.85,60.6641,60.6641,1354,0
CATH.US,60,20240502,170000,60.56,60.625,60.45,60.625,2287,0
CATH.US,60,20240502,180000,60.67,60.725,60.67,60.7201,1747,0
CATH.US,60,20240502,190000,60.625,60.64,60.625,60.64,1168,0
CATH.US,60,20240502,200000,60.725,60.7901,60.725,60.7901,831,0
CATH.US,60,20240502,210000,60.84,61.015,60.84,61.015,962,0
CATH.US,60,20240502,220000,61.01,61.05,60.9,60.98,4550,0
CATH.US,60,20240503,160000,61.83,61.84,61.72,61.8213,782,0
CATH.US,60,20240503,170000,61.5,61.54,61.4857,61.54,300,0
CATH.US,60,20240503,180000,61.49,61.64,61.47,61.64,670,0
CATH.US,60,20240503,190000,61.685,61.725,61.6701,61.725,1769,0
CATH.US,60,20240503,200000,61.73,61.75,61.66,61.75,12300,0
CATH.US,60,20240503,210000,61.82,61.82,61.7631,61.7631,516,0
CATH.US,60,20240503,220000,61.75,61.75,61.7,61.71,86258,0
CATH.US,60,20240506,160000,62,62,62,62,121,0
CATH.US,60,20240506,170000,62.0501,62.1001,62.0501,62.1001,601,0
CATH.US,60,20240506,180000,62.0274,62.0695,62.0201,62.0695,1753,0
CATH.US,60,20240506,190000,62.08,62.08,62.045,62.045,419,0
CATH.US,60,20240506,200000,62.095,62.11,62.095,62.095,806,0
CATH.US,60,20240506,210000,62.15,62.19,62.15,62.19,59271,0
CATH.US,60,20240506,220000,62.15,62.18,62.125,62.18,5902,0
CATH.US,60,20240507,160000,62.49,62.49,62.39,62.39,1512,0
CATH.US,60,20240507,170000,62.4264,62.4699,62.4264,62.4699,438,0
CATH.US,60,20240507,180000,62.5,62.52,62.4706,62.4706,548,0
CATH.US,60,20240507,210000,62.36,62.36,62.325,62.345,1403,0
CATH.US,60,20240507,220000,62.4,62.4,62.3905,62.3905,508,0
CATH.US,60,20240508,160000,62.2,62.2,62.2,62.2,242,0
CATH.US,60,20240508,170000,62.265,62.3642,62.24,62.3642,5963,0
CATH.US,60,20240508,190000,62.31,62.31,62.285,62.285,13571,0
CATH.US,60,20240508,200000,62.2257,62.33,62.2257,62.33,2841,0
CATH.US,60,20240508,210000,62.33,62.36,62.305,62.305,4596,0
CATH.US,60,20240508,220000,62.305,62.4,62.2939,62.36,18322,0
CATH.US,60,20240509,160000,62.45,62.45,62.3,62.3,548,0
CATH.US,60,20240509,170000,62.414,62.59,62.414,62.59,3121,0
CATH.US,60,20240509,180000,62.615,62.615,62.615,62.615,312,0
CATH.US,60,20240509,190000,62.535,62.54,62.535,62.54,711,0
CATH.US,60,20240509,200000,62.62,62.62,62.62,62.62,400,0
CATH.US,60,20240509,210000,62.63,62.64,62.63,62.64,3900,0
CATH.US,60,20240509,220000,62.69,62.71,62.67,62.71,2312,0
CATH.US,60,20240510,160000,63.01,63.03,62.99,63.02,1419,0
CATH.US,60,20240510,170000,62.9,62.9199,62.9,62.905,1960,0
CATH.US,60,20240510,180000,62.82,62.82,62.82,62.82,100,0
CATH.US,60,20240510,190000,62.8,62.82,62.8,62.82,21946,0
CATH.US,60,20240510,200000,62.74,62.74,62.74,62.74,4061,0
CATH.US,60,20240510,220000,62.86,62.8771,62.85,62.8771,3490,0
CATH.US,60,20240513,160000,63.06,63.07,63.0119,63.0119,2249,0
CATH.US,60,20240513,170000,62.9932,62.9932,62.94,62.96,3616,0
CATH.US,60,20240513,180000,62.8993,62.916,62.895,62.916,2090,0
CATH.US,60,20240513,200000,62.8437,62.8437,62.8437,62.8437,563,0
CATH.US,60,20240513,210000,62.87,62.87,62.8545,62.87,4477,0
CATH.US,60,20240513,220000,62.9,62.9,62.83,62.84,6465,0
CATH.US,60,20240514,160000,62.99,63.0001,62.99,63.0001,525,0
CATH.US,60,20240514,170000,63.0697,63.14,62.92,62.9401,14865,0
CATH.US,60,20240514,180000,62.9851,63.015,62.98,62.985,1752,0
CATH.US,60,20240514,190000,62.8861,62.89,62.875,62.875,4345,0
CATH.US,60,20240514,200000,62.92,62.92,62.92,62.92,148,0
CATH.US,60,20240514,210000,62.95,63.105,62.95,63.105,350,0
CATH.US,60,20240514,220000,63.17,63.17,63.14,63.17,4842,0
CATH.US,60,20240515,170000,63.5951,63.7,63.5802,63.7,8761,0
CATH.US,60,20240515,180000,63.71,63.75,63.71,63.7467,431,0
CATH.US,60,20240515,190000,63.7431,63.8,63.7431,63.8,1575,0
CATH.US,60,20240515,200000,63.8357,63.8357,63.8357,63.8357,204,0
CATH.US,60,20240515,210000,63.8601,63.8601,63.8601,63.8601,100,0
CATH.US,60,20240515,220000,63.8703,63.95,63.8703,63.93,2444,0
CATH.US,60,20240516,160000,64.04,64.04,63.9701,63.9701,2703,0
CATH.US,60,20240516,180000,64.08,64.08,64.08,64.08,136,0
CATH.US,60,20240516,190000,64.03,64.03,64.03,64.03,218,0
