<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CONI.US,60,20240906,160000,510.56,510.56,510.364,510.56,79.95924566437499,0
CONI.US,60,20240906,210000,551.334,562.168,551.334,560.788,15.230332507499998,0
CONI.US,60,20240910,170000,546.58,546.58,546.58,546.58,18.276399009,0
CONI.US,60,20240910,180000,536.166,536.166,536.166,536.166,48.22938627375,0
CONI.US,60,20240910,190000,539.712,539.712,539.712,539.712,17.76872125875,0
CONI.US,60,20240910,210000,523.758,523.758,523.758,523.758,6.142900778025,0
CONI.US,60,20240911,170000,543.72,544.046,543.72,544.046,61.42900778025,0
CONI.US,60,20240911,180000,537.742,537.742,537.148,537.148,15.078029182424999,0
CONI.US,60,20240912,160000,522.378,527.5,522.378,527.5,55.84455252749999,0
CONI.US,60,20240913,170000,517.652,517.652,499.924,499.924,444.16726369372,0
CONI.US,60,20240916,160000,521.394,521.394,520.212,520.212,331.51357091325,0
CONI.US,60,20240916,180000,513.12,513.12,513.12,513.12,8.427450654149998,0
CONI.US,60,20240917,160000,510.166,510.166,510.166,510.166,5.0767775025,0
CONI.US,60,20240917,170000,504.06,504.06,495.984,495.984,155.3493915765,0
CONI.US,60,20240917,220000,507.802,508.59,507.802,508.59,64.982752032,0
CONI.US,60,20240918,160000,509.576,509.772,509.576,509.772,58.636780153875,0
CONI.US,60,20240918,200000,506.424,506.424,506.424,506.424,15.230332507499998,0
CONI.US,60,20240918,220000,507.606,507.606,506.03,506.03,10.153555005,0
CONI.US,60,20240919,160000,475.892,482.984,475.892,482.984,60.92133002999999,0
CONI.US,60,20240919,180000,472.74,472.74,472.74,472.74,5.0767775025,0
CONI.US,60,20240919,220000,491.848,492.242,491.848,491.848,86.30521754249999,0
CONI.US,60,20240920,160000,487.318,487.318,485.742,485.742,76.15166253749999,0
CONI.US,60,20240920,170000,485.15,491.06,485.15,486.726,30.460665015,0
CONI.US,60,20240920,180000,496.772,497.166,496.772,497.166,10.153555005,0
CONI.US,60,20240920,190000,489.68,489.68,488.696,488.696,20.30711001,0
CONI.US,60,20240920,220000,481.21,481.21,481.21,481.21,5.0767775025,0
CONI.US,60,20240923,160000,480.846,480.846,478.06,478.256,106.61232755249999,0
CONI.US,60,20240923,170000,477.468,483.772,477.074,483.772,35.5374425175,0
CONI.US,60,20240923,190000,479.044,485.15,479.044,485.15,20.30711001,0
CONI.US,60,20240923,200000,483.378,483.378,483.378,483.378,5.0767775025,0
CONI.US,60,20240924,160000,482.392,482.786,480.028,481.998,30.460665014999996,0
CONI.US,60,20240924,170000,486.53,501.5,486.53,500.514,81.22844004,0
CONI.US,60,20240924,180000,492.438,493.226,491.848,493.226,15.230332507499998,0
CONI.US,60,20240924,190000,491.848,491.848,488.104,488.104,15.2303325075,0
CONI.US,60,20240924,200000,485.84,485.84,485.84,485.84,7.615166253749999,0
CONI.US,60,20240924,210000,483.968,483.968,483.968,483.968,5.0767775025,0
CONI.US,60,20240925,160000,483.18,483.18,481.014,481.014,76.15166253749999,0
CONI.US,60,20240925,170000,480.226,482.984,480.226,482.196,106.6123275525,0
CONI.US,60,20240925,180000,480.226,484.166,477.468,483.574,216.6768638067,0
CONI.US,60,20240925,190000,487.318,488.104,487.318,488.104,144.07894552095,0
CONI.US,60,20240925,210000,490.468,490.468,490.468,490.468,9.5443417047,0
CONI.US,60,20240925,220000,492.832,493.62,491.454,493.62,88.488231868575,0
CONI.US,60,20240926,160000,481.408,481.408,481.21,481.21,106.61232755249999,0
CONI.US,60,20240926,180000,461.908,462.104,461.514,461.514,294.453095145,0
CONI.US,60,20240926,200000,462.302,462.302,462.302,462.302,37.111243543275,0
CONI.US,60,20240926,220000,453.634,453.634,453.634,453.634,10.610464980225,0
CONI.US,60,20240927,160000,447.922,452.058,447.922,449.702,455.69154862439996,0
CONI.US,60,20240927,170000,448.512,450.876,438.27,442.406,204.84797222587,0
CONI.US,60,20240927,180000,441.41,441.41,441.41,441.41,5.0767775025,0
CONI.US,60,20240927,210000,427.24,431.724,427.24,429.998,91.5850661451,0
CONI.US,60,20240927,220000,428.224,428.816,426.648,426.648,37.821992393625,0
CONI.US,60,20240930,160000,443.982,451.862,442.406,449.498,663.2302129266,0
CONI.US,60,20240930,170000,452.846,455.604,451.074,451.074,57.57065687835,0
CONI.US,60,20240930,180000,450.174,456.194,450.174,456.194,12.48887265615,0
CONI.US,60,20240930,190000,456.38,456.38,456.372,456.372,19.6978967097,0
CONI.US,60,20240930,200000,453.062,453.062,452.69,452.69,20.9163233103,0
CONI.US,60,20240930,210000,458.164,458.164,458.164,458.164,5.0767775025,0
CONI.US,60,20240930,220000,455.604,455.604,455.604,455.604,5.0767775025,0
CONI.US,60,20241001,160000,467.994,470.574,467.994,470.574,96.4587725475,0
CONI.US,60,20241001,170000,472.938,489.878,472.938,489.858,40.61422002,0
CONI.US,60,20241001,180000,493.458,493.458,486.134,486.134,10.204322780025,0
CONI.US,60,20241001,190000,486.136,492.244,486.136,492.244,54.829197027,0
CONI.US,60,20241001,200000,500.12,501.696,493.226,494.408,91.381995045,0
CONI.US,60,20241001,210000,491.62,491.828,491.62,491.65,47.874011848575,0
CONI.US,60,20241001,220000,492.438,492.438,492.438,492.438,10.153555005,0
CONI.US,60,20241002,160000,495.392,498.544,495.392,495.786,72.4963827357,0
CONI.US,60,20241002,170000,492.832,492.832,492.832,492.832,5.0767775025,0
CONI.US,60,20241002,180000,490.272,491.06,490.272,491.06,40.61422002,0
CONI.US,60,20241002,190000,479.242,481.998,477.862,480.03,30.511432790025,0
CONI.US,60,20241002,210000,490.272,490.272,490.272,490.272,5.0767775025,0
CONI.US,60,20241003,160000,494.624,496.988,493.03,495.59,165.858321006675,0
CONI.US,60,20241003,170000,496.378,497.954,496.18,496.18,106.6123275525,0
CONI.US,60,20241003,200000,494.408,494.408,494.408,494.408,5.0767775025,0
CONI.US,60,20241004,160000,481.014,484.362,481.014,481.604,184.5916299909,0
CONI.US,60,20241004,170000,491.06,491.65,489.484,491.65,77.9793024384,0
CONI.US,60,20241004,180000,488.498,489.286,487.514,489.286,288.86863989225,0
CONI.US,60,20241004,190000,479.93,479.93,479.93,479.93,5.9905974529499995,0
CONI.US,60,20241004,220000,472.74,472.74,472.74,472.74,5.0767775025,0
CONI.US,60,20241009,160000,467.028,482.964,467.028,482.964,11.06737495545,0
CONI.US,60,20241009,180000,471.46,471.46,471.46,471.46,5.0767775025,0
CONI.US,60,20241009,200000,485.348,485.348,485.348,485.348,5.0767775025,0
CONI.US,60,20241010,160000,494.212,494.212,494.212,494.212,5.0767775025,0
CONI.US,60,20241011,180000,467.128,467.128,459.544,459.544,23.86085426175,0
CONI.US,60,20241011,190000,457.376,457.376,454.422,455.21,101.53555005,0
CONI.US,60,20241011,210000,455.99,455.99,455.99,455.99,25.333119737475,0
CONI.US,60,20241011,220000,456.884,458.756,456.884,458.756,76.1516625375,0
CONI.US,60,20241014,160000,442.8,452.846,442.8,445.194,238.60854261749998,0
CONI.US,60,20241014,170000,434.33,434.33,434.33,434.33,5.0767775025,0
CONI.US,60,20241014,180000,424.282,424.284,417.588,417.784,147.2265475725,0
CONI.US,60,20241014,190000,418.376,422.512,418.376,422.512,30.460665014999996,0
CONI.US,60,20241014,200000,417.588,417.588,417.588,417.588,5.0767775025,0
CONI.US,60,20241014,210000,409.708,409.708,409.708,409.708,6.4982752031999995,0
CONI.US,60,20241014,220000,408.31,408.31,406.744,406.744,59.753671204425,0
CONI.US,60,20241015,160000,404.784,404.784,397.3,400.254,65.64273310732499,0
CONI.US,60,20241015,170000,389.404,417.588,389.394,417.588,163.42146780548,0
CONI.US,60,20241015,180000,415.618,415.618,404.588,404.588,66.2011786326,0
CONI.US,60,20241015,200000,398.484,406.466,398.484,404.194,93.92038379625,0
CONI.US,60,20241015,220000,409.314,409.314,408.24,408.428,22.84549876125,0
CONI.US,60,20241016,160000,390.208,402.42,387.274,402.42,263.48475237975,0
CONI.US,60,20241016,170000,393.296,393.296,387.156,389.034,86.7113597427,0
CONI.US,60,20241016,180000,388.042,388.042,382.132,382.33,331.51357091325,0
CONI.US,60,20241016,190000,378.192,380.97,376.598,379.966,159.91849132875,0
CONI.US,60,20241016,200000,380.716,382.526,378.37,378.39,330.75205428788,0
CONI.US,60,20241016,210000,377.996,377.996,377.996,377.996,10.153555005,0
CONI.US,60,20241016,220000,377.602,377.602,374.45,376.616,40.258845594825,0
CONI.US,60,20241017,160000,380.162,386.86,380.162,386.662,963.623137749525,0
