<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELIS.US,60,20250401,170000,26.32,26.32,26.32,26.32,100,0
ELIS.US,60,20250401,220000,26.72,26.72,26.72,26.72,100,0
ELIS.US,60,20250402,170000,26.33,26.33,26.33,26.33,239,0
ELIS.US,60,20250402,210000,26.1882,26.1882,26.1882,26.1882,200,0
ELIS.US,60,20250403,170000,26.44,26.56,26.44,26.56,1714,0
ELIS.US,60,20250403,180000,26.759,26.759,26.759,26.759,123,0
ELIS.US,60,20250403,190000,26.5043,26.5043,26.5043,26.5043,100,0
ELIS.US,60,20250403,200000,26.55,26.72,26.55,26.72,300,0
ELIS.US,60,20250404,170000,28.14,28.36,28.14,28.34,400,0
ELIS.US,60,20250404,190000,28.515,28.515,28.515,28.515,230,0
ELIS.US,60,20250404,210000,28.79,28.79,28.715,28.715,304,0
ELIS.US,60,20250407,160000,30.49,30.49,30.48,30.48,401,0
ELIS.US,60,20250407,170000,28.65,29.09,28.65,29.09,300,0
ELIS.US,60,20250407,200000,30.08,30.089,29.5496,29.55,3960,0
ELIS.US,60,20250408,220000,29.15,29.15,29.15,29.15,100,0
ELIS.US,60,20250409,170000,30.339,30.529,30.339,30.519,13100,0
ELIS.US,60,20250409,180000,30.42,30.54,30.42,30.54,200,0
ELIS.US,60,20250409,200000,30.4935,30.56,28.9501,28.9501,2050,0
ELIS.US,60,20250409,210000,28.4,28.4,28.4,28.4,100,0
ELIS.US,60,20250409,220000,28.441,28.441,28.15,28.15,324,0
ELIS.US,60,20250410,160000,29.22,29.22,29.22,29.22,100,0
ELIS.US,60,20250414,180000,29.51,29.92,28.6,28.6,400,0
ELIS.US,60,20250415,160000,27.99,27.99,27.99,27.99,100,0
ELIS.US,60,20250415,170000,27.71,27.71,27.71,27.71,179,0
ELIS.US,60,20250415,210000,27.99,27.99,27.99,27.99,1000,0
ELIS.US,60,20250415,220000,28,28,28,28,100,0
ELIS.US,60,20250416,160000,28.21,28.9,28.21,28.9,500,0
ELIS.US,60,20250416,170000,28.5534,28.5534,28.5534,28.5534,175,0
ELIS.US,60,20250416,180000,28.38,28.38,28.37,28.37,1000,0
ELIS.US,60,20250416,190000,28.53,28.53,28.53,28.53,100,0
ELIS.US,60,20250416,210000,28.79,28.79,28.79,28.79,100,0
ELIS.US,60,20250417,160000,24.6,25.338,24.08,24.14,6763,0
ELIS.US,60,20250417,170000,24.58,25.07,24.53,24.95,922,0
ELIS.US,60,20250417,180000,24.799,24.799,24.48,24.48,2503,0
ELIS.US,60,20250417,190000,24.53,24.53,24.0941,24.11,2837,0
ELIS.US,60,20250417,200000,24.33,24.33,24.175,24.18,465,0
ELIS.US,60,20250417,210000,24.11,24.11,24.05,24.07,615,0
ELIS.US,60,20250417,220000,24.17,24.62,24.17,24.6,9127,0
ELIS.US,60,20250421,160000,24.9216,24.9216,24.7416,24.7416,1100,0
ELIS.US,60,20250421,170000,25,25.1108,24.94,25.1108,1783,0
ELIS.US,60,20250421,180000,25.0501,25.18,25.0501,25.16,1300,0
ELIS.US,60,20250421,190000,25.21,25.21,25.21,25.21,100,0
ELIS.US,60,20250421,220000,25.3,25.3,25.3,25.3,1435,0
