<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVMT.US,60,20240411,160000,17.279,17.279,17.279,17.279,100,0
EVMT.US,60,20240411,170000,17.201,17.201,17.201,17.201,3743,0
EVMT.US,60,20240411,200000,17.219,17.22,17.219,17.2199,1528,0
EVMT.US,60,20240412,210000,17.24,17.2899,17.24,17.2899,2163,0
EVMT.US,60,20240412,220000,17.27,17.3,17.25,17.25,4796,0
EVMT.US,60,20240415,170000,17.42,17.42,17.42,17.42,100,0
EVMT.US,60,20240415,190000,17.65,17.65,17.5101,17.5101,352,0
EVMT.US,60,20240415,200000,17.47,17.58,17.47,17.5,348,0
EVMT.US,60,20240415,220000,17.5996,17.5997,17.5996,17.5997,904,0
EVMT.US,60,20240416,170000,17.3058,17.3058,17.3058,17.3058,450,0
EVMT.US,60,20240417,190000,17.6,17.6,17.6,17.6,137,0
EVMT.US,60,20240417,220000,17.5702,17.5702,17.5702,17.5702,569,0
EVMT.US,60,20240418,180000,17.73,17.73,17.73,17.73,100,0
EVMT.US,60,20240418,200000,17.82,17.82,17.82,17.82,400,0
EVMT.US,60,20240418,210000,18.03,18.03,17.91,17.91,800,0
EVMT.US,60,20240418,220000,17.91,17.9298,17.91,17.9298,650,0
EVMT.US,60,20240419,160000,18.3299,18.3299,18.235,18.2798,1955,0
EVMT.US,60,20240419,170000,18.26,18.27,18.26,18.261,900,0
EVMT.US,60,20240419,200000,18.25,18.25,18.25,18.25,100,0
EVMT.US,60,20240419,210000,18.3179,18.3179,18.3179,18.3179,300,0
EVMT.US,60,20240419,220000,18.29,18.29,18.29,18.29,546,0
EVMT.US,60,20240422,160000,18.295,18.355,18.295,18.355,386,0
EVMT.US,60,20240422,180000,18.36,18.36,18.36,18.36,100,0
EVMT.US,60,20240422,220000,18.4199,18.4199,18.4199,18.4199,100,0
EVMT.US,60,20240423,170000,17.95,17.95,17.95,17.95,100,0
EVMT.US,60,20240423,190000,18.0035,18.0035,18.0035,18.0035,836,0
EVMT.US,60,20240424,170000,18.14,18.14,18.14,18.14,100,0
EVMT.US,60,20240424,200000,18.02,18.02,18.02,18.02,5665,0
EVMT.US,60,20240425,210000,18.12,18.14,18.12,18.14,400,0
EVMT.US,60,20240426,160000,18.18,18.18,18.18,18.18,312,0
EVMT.US,60,20240426,180000,18.14,18.14,18.14,18.14,363,0
EVMT.US,60,20240426,190000,18.41,18.41,18.41,18.41,167,0
EVMT.US,60,20240426,200000,18.09,18.09,18.09,18.09,211,0
EVMT.US,60,20240426,210000,18.08,18.08,18.08,18.08,100,0
EVMT.US,60,20240426,220000,18.1112,18.159,18.1112,18.115,644,0
EVMT.US,60,20240429,180000,18.199,18.2,18.199,18.2,500,0
EVMT.US,60,20240430,210000,18.1399,18.1399,18.1399,18.1399,433,0
EVMT.US,60,20240501,200000,17.95,17.95,17.85,17.89,1500,0
EVMT.US,60,20240501,210000,17.96,17.96,17.96,17.96,100,0
EVMT.US,60,20240502,160000,17.7362,17.76,17.6801,17.76,1711,0
EVMT.US,60,20240502,170000,17.7,17.74,17.7,17.7107,1555,0
EVMT.US,60,20240502,180000,17.66,17.6941,17.66,17.6701,1581,0
EVMT.US,60,20240502,190000,17.7012,17.7541,17.7001,17.745,600,0
EVMT.US,60,20240502,200000,17.72,17.72,17.7001,17.7001,400,0
EVMT.US,60,20240502,210000,17.7983,17.86,17.7501,17.86,1500,0
EVMT.US,60,20240502,220000,17.812,17.84,17.781,17.7855,8168,0
EVMT.US,60,20240503,190000,18,18,18,18,129,0
EVMT.US,60,20240503,210000,18,18,17.9999,17.9999,305,0
EVMT.US,60,20240503,220000,18,18,18,18,101,0
EVMT.US,60,20240507,170000,18.1124,18.1124,18.1124,18.1124,300,0
EVMT.US,60,20240507,190000,18.05,18.05,18.0301,18.0301,363,0
EVMT.US,60,20240507,210000,18.0424,18.0424,18.0424,18.0424,180,0
EVMT.US,60,20240508,160000,17.7412,17.7412,17.7412,17.7412,324,0
EVMT.US,60,20240508,170000,17.71,17.71,17.71,17.71,1800,0
EVMT.US,60,20240508,220000,17.78,17.78,17.78,17.78,100,0
EVMT.US,60,20240509,160000,17.77,17.77,17.77,17.77,600,0
EVMT.US,60,20240510,170000,17.88,17.88,17.88,17.88,306,0
EVMT.US,60,20240513,160000,17.99,18.03,17.99,18.03,212,0
EVMT.US,60,20240513,180000,18.0019,18.0019,18.0019,18.0019,500,0
