<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCEF.US,60,20240411,210000,20.2458,20.3,20.2458,20.279,3192,0
FCEF.US,60,20240411,220000,20.27,20.27,20.27,20.27,100,0
FCEF.US,60,20240412,170000,20.04,20.04,20.04,20.04,200,0
FCEF.US,60,20240412,190000,19.99,19.99,19.99,19.99,126,0
FCEF.US,60,20240412,200000,20.06,20.06,20.06,20.06,1000,0
FCEF.US,60,20240412,210000,20.03,20.03,19.95,19.96,662,0
FCEF.US,60,20240415,160000,20.0024,20.0372,20,20.0372,498,0
FCEF.US,60,20240415,180000,19.915,19.915,19.915,19.915,296,0
FCEF.US,60,20240415,200000,19.87,19.87,19.7861,19.83,1000,0
FCEF.US,60,20240415,210000,19.7684,19.78,19.7353,19.7353,2300,0
FCEF.US,60,20240415,220000,19.72,19.72,19.675,19.675,1100,0
FCEF.US,60,20240416,160000,19.62,19.62,19.61,19.61,1022,0
FCEF.US,60,20240416,170000,19.68,19.68,19.63,19.63,850,0
FCEF.US,60,20240416,180000,19.68,19.68,19.645,19.645,300,0
FCEF.US,60,20240416,190000,19.71,19.71,19.6865,19.71,2350,0
FCEF.US,60,20240416,200000,19.7001,19.7001,19.68,19.68,500,0
FCEF.US,60,20240416,220000,19.7,19.7,19.6999,19.6999,200,0
FCEF.US,60,20240417,170000,19.78,19.78,19.73,19.73,594,0
FCEF.US,60,20240417,210000,19.7337,19.7337,19.7337,19.7337,353,0
FCEF.US,60,20240417,220000,19.76,19.76,19.7599,19.7599,200,0
FCEF.US,60,20240418,160000,19.79,19.79,19.79,19.79,1200,0
FCEF.US,60,20240418,170000,19.79,19.81,19.79,19.81,1000,0
FCEF.US,60,20240418,190000,19.81,19.81,19.81,19.81,500,0
FCEF.US,60,20240422,170000,19.85,19.9,19.7902,19.7902,1100,0
FCEF.US,60,20240422,180000,19.8431,19.8431,19.8431,19.8431,230,0
FCEF.US,60,20240422,190000,19.89,19.89,19.89,19.89,225,0
FCEF.US,60,20240422,200000,19.93,19.93,19.93,19.93,100,0
FCEF.US,60,20240423,170000,20.05,20.0597,20.05,20.0597,200,0
FCEF.US,60,20240423,190000,20.04,20.15,20.04,20.15,1100,0
FCEF.US,60,20240423,200000,20.05,20.1,20.05,20.07,423,0
FCEF.US,60,20240424,160000,20.105,20.16,20.105,20.16,1088,0
FCEF.US,60,20240424,220000,20.12,20.13,20.02,20.13,4866,0
FCEF.US,60,20240425,190000,19.9001,19.9001,19.9001,19.9001,692,0
FCEF.US,60,20240425,200000,20.02,20.02,19.9663,19.9663,1075,0
FCEF.US,60,20240425,210000,19.94,19.94,19.94,19.94,365,0
FCEF.US,60,20240425,220000,19.9699,19.98,19.96,19.96,928,0
FCEF.US,60,20240426,160000,20.09,20.09,20.09,20.09,181,0
FCEF.US,60,20240426,190000,20.19,20.19,20.19,20.19,100,0
FCEF.US,60,20240426,210000,20.2,20.2,20.2,20.2,250,0
FCEF.US,60,20240426,220000,20.19,20.19,20.169,20.169,581,0
FCEF.US,60,20240429,160000,20.13,20.2399,20.13,20.2399,1118,0
FCEF.US,60,20240429,170000,20.1736,20.19,20.1736,20.19,280,0
FCEF.US,60,20240429,210000,20.2399,20.2399,20.2399,20.2399,815,0
FCEF.US,60,20240429,220000,20.2,20.2,20.16,20.16,200,0
FCEF.US,60,20240430,170000,20.1779,20.1779,20.1779,20.1779,317,0
FCEF.US,60,20240430,190000,20.15,20.15,20.15,20.15,100,0
FCEF.US,60,20240430,200000,20.12,20.12,20.12,20.12,227,0
FCEF.US,60,20240430,220000,20.1001,20.12,20.1001,20.12,1400,0
FCEF.US,60,20240501,160000,20.1297,20.15,20.105,20.105,850,0
FCEF.US,60,20240501,170000,20.14,20.1499,20.0848,20.0912,3000,0
FCEF.US,60,20240501,180000,20.14,20.14,20.1,20.1,500,0
FCEF.US,60,20240501,200000,20.16,20.16,20.16,20.16,100,0
FCEF.US,60,20240501,220000,20.33,20.3399,20.25,20.25,1970,0
FCEF.US,60,20240502,170000,20.27,20.27,20.2215,20.2215,280,0
FCEF.US,60,20240502,180000,20.29,20.29,20.29,20.29,100,0
FCEF.US,60,20240502,190000,20.24,20.24,20.24,20.24,100,0
FCEF.US,60,20240502,200000,20.3025,20.3025,20.3025,20.3025,300,0
FCEF.US,60,20240502,210000,20.29,20.35,20.29,20.3499,2010,0
FCEF.US,60,20240503,170000,20.38,20.38,20.38,20.38,300,0
FCEF.US,60,20240503,190000,20.46,20.46,20.4584,20.4584,489,0
FCEF.US,60,20240503,220000,20.455,20.48,20.455,20.48,300,0
FCEF.US,60,20240506,170000,20.6,20.6,20.598,20.598,414,0
FCEF.US,60,20240506,200000,20.502,20.51,20.502,20.51,212,0
FCEF.US,60,20240507,170000,20.645,20.645,20.645,20.645,100,0
FCEF.US,60,20240507,180000,20.71,20.72,20.665,20.72,600,0
FCEF.US,60,20240507,200000,20.6614,20.72,20.6614,20.7199,6900,0
FCEF.US,60,20240507,210000,20.6,20.6,20.58,20.58,821,0
FCEF.US,60,20240507,220000,20.69,20.69,20.69,20.69,100,0
FCEF.US,60,20240508,160000,20.6668,20.6668,20.6668,20.6668,250,0
FCEF.US,60,20240508,170000,20.6622,20.6622,20.6622,20.6622,300,0
FCEF.US,60,20240508,220000,20.7,20.7,20.7,20.7,100,0
FCEF.US,60,20240509,170000,20.725,20.74,20.725,20.74,350,0
FCEF.US,60,20240509,200000,20.75,20.75,20.75,20.75,200,0
FCEF.US,60,20240509,220000,20.81,20.81,20.76,20.76,653,0
FCEF.US,60,20240510,170000,20.81,20.81,20.81,20.81,300,0
FCEF.US,60,20240510,190000,20.7891,20.7891,20.7891,20.7891,120,0
FCEF.US,60,20240513,180000,20.8601,20.8601,20.8601,20.8601,180,0
FCEF.US,60,20240514,170000,20.7,20.7,20.68,20.68,700,0
FCEF.US,60,20240514,210000,20.67,20.77,20.67,20.77,870,0
FCEF.US,60,20240515,170000,20.9,20.9,20.8999,20.8999,300,0
FCEF.US,60,20240515,180000,20.91,20.93,20.8831,20.9299,1960,0
FCEF.US,60,20240515,190000,20.93,20.95,20.875,20.95,6048,0
FCEF.US,60,20240515,200000,20.9063,20.9063,20.9063,20.9063,100,0
FCEF.US,60,20240516,160000,20.95,20.95,20.95,20.95,244,0
FCEF.US,60,20240516,170000,20.8794,20.8794,20.8794,20.8794,300,0
FCEF.US,60,20240516,220000,20.91,20.91,20.91,20.91,100,0
FCEF.US,60,20240517,160000,20.96,20.96,20.96,20.96,1908,0
FCEF.US,60,20240517,180000,20.93,20.94,20.88,20.939,5900,0
FCEF.US,60,20240517,190000,20.93,20.94,20.93,20.94,200,0
FCEF.US,60,20240517,200000,20.93,20.93,20.93,20.93,100,0
FCEF.US,60,20240517,220000,20.8885,20.93,20.8885,20.93,498,0
FCEF.US,60,20240520,180000,21,21.03,20.9967,21.01,9946,0
FCEF.US,60,20240520,190000,21.02,21.03,21.0199,21.029,5092,0
FCEF.US,60,20240520,200000,21.03,21.03,21.03,21.03,100,0
FCEF.US,60,20240520,220000,20.99,21,20.99,20.99,1100,0
FCEF.US,60,20240521,160000,20.91,20.91,20.91,20.91,104,0
FCEF.US,60,20240521,170000,20.93,20.93,20.93,20.93,938,0
FCEF.US,60,20240521,180000,20.94,20.99,20.94,20.99,830,0
FCEF.US,60,20240521,190000,21.0399,21.0399,21.0399,21.0399,100,0
FCEF.US,60,20240521,220000,21.0124,21.059,20.995,21.059,1315,0
FCEF.US,60,20240522,180000,21.01,21.01,21.01,21.01,100,0
FCEF.US,60,20240522,200000,21.005,21.005,21.005,21.005,294,0
FCEF.US,60,20240522,210000,20.9001,20.98,20.9001,20.935,1056,0
FCEF.US,60,20240523,160000,21,21,21,21,500,0
FCEF.US,60,20240523,170000,20.86,20.86,20.84,20.8401,445,0
FCEF.US,60,20240523,180000,20.92,20.92,20.92,20.92,1439,0
