<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMET.US,60,20240411,160000,28.46,28.46,28.46,28.46,193,0
FMET.US,60,20240411,170000,28.465,28.465,28.44,28.44,683,0
FMET.US,60,20240411,180000,28.38,28.4617,28.38,28.46,1310,0
FMET.US,60,20240411,190000,28.5302,28.5302,28.5302,28.5302,300,0
FMET.US,60,20240411,210000,28.71,28.7101,28.71,28.7101,600,0
FMET.US,60,20240411,220000,28.72,28.79,28.72,28.76,1907,0
FMET.US,60,20240412,160000,28.38,28.38,28.19,28.2,3228,0
FMET.US,60,20240412,170000,28.11,28.1843,28.11,28.1843,1919,0
FMET.US,60,20240412,180000,28.175,28.175,28.12,28.12,300,0
FMET.US,60,20240412,190000,28.12,28.12,28.12,28.12,300,0
FMET.US,60,20240412,200000,28.05,28.05,27.92,27.951,1135,0
FMET.US,60,20240412,210000,27.995,27.995,27.995,27.995,1178,0
FMET.US,60,20240412,220000,27.965,27.965,27.89,27.92,2563,0
FMET.US,60,20240415,160000,28.14,28.14,28.03,28.03,371,0
FMET.US,60,20240415,170000,28.03,28.0301,27.9,27.9,700,0
FMET.US,60,20240415,180000,27.86,27.98,27.86,27.92,813,0
FMET.US,60,20240415,190000,27.93,27.93,27.77,27.7701,1054,0
FMET.US,60,20240415,200000,27.781,27.8699,27.5335,27.57,1305,0
FMET.US,60,20240415,210000,27.54,27.54,27.54,27.54,100,0
FMET.US,60,20240415,220000,27.52,27.52,27.47,27.47,600,0
FMET.US,60,20240416,170000,27.41,27.41,27.35,27.35,947,0
FMET.US,60,20240416,190000,27.38,27.38,27.38,27.38,110,0
FMET.US,60,20240416,200000,27.46,27.46,27.46,27.46,100,0
FMET.US,60,20240416,210000,27.465,27.515,27.465,27.4982,1200,0
FMET.US,60,20240416,220000,27.57,27.57,27.57,27.57,180,0
FMET.US,60,20240417,160000,27.66,27.66,27.66,27.66,235,0
FMET.US,60,20240417,170000,27.44,27.44,27.44,27.44,200,0
FMET.US,60,20240417,180000,27.42,27.42,27.375,27.375,391,0
FMET.US,60,20240417,190000,27.32,27.32,27.23,27.2301,1148,0
FMET.US,60,20240417,200000,27.2801,27.2801,27.2801,27.2801,350,0
FMET.US,60,20240417,210000,27.37,27.41,27.37,27.41,501,0
FMET.US,60,20240417,220000,27.29,27.29,27.29,27.29,100,0
FMET.US,60,20240418,170000,27.265,27.5,27.265,27.5,800,0
FMET.US,60,20240418,180000,27.515,27.515,27.435,27.435,464,0
FMET.US,60,20240418,190000,27.43,27.455,27.43,27.43,354,0
FMET.US,60,20240418,200000,27.35,27.35,27.35,27.35,100,0
FMET.US,60,20240418,220000,27.235,27.235,27.235,27.235,128,0
FMET.US,60,20240419,160000,27.1,27.1,27.1,27.1,206,0
FMET.US,60,20240419,170000,27.07,27.07,26.86,26.97,9911,0
FMET.US,60,20240419,180000,26.8501,26.8501,26.8501,26.8501,300,0
FMET.US,60,20240419,200000,26.815,26.84,26.815,26.84,473,0
FMET.US,60,20240419,210000,26.5701,26.6322,26.57,26.6322,835,0
FMET.US,60,20240419,220000,26.6785,26.6785,26.55,26.55,2462,0
FMET.US,60,20240422,160000,26.83,27.15,26.825,27.06,31102,0
FMET.US,60,20240422,170000,27,27.0299,26.98,27.0299,525,0
FMET.US,60,20240422,180000,26.885,27.05,26.885,27.05,600,0
FMET.US,60,20240422,200000,27.1401,27.1401,27.1401,27.1401,200,0
FMET.US,60,20240422,210000,27.21,27.26,27.21,27.26,443,0
FMET.US,60,20240422,220000,27.1401,27.155,27.1,27.155,466,0
FMET.US,60,20240423,170000,27.585,27.585,27.585,27.585,365,0
FMET.US,60,20240423,180000,27.55,27.56,27.525,27.53,5000,0
FMET.US,60,20240423,200000,27.5383,27.5782,27.5383,27.5782,811,0
FMET.US,60,20240423,220000,27.59,27.59,27.59,27.59,144,0
