<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSIB.US,60,20240415,160000,27.58,27.58,27.16,27.3,306,0
GSIB.US,60,20240415,220000,26.98,26.98,26.98,26.98,100,0
GSIB.US,60,20240417,160000,27.03,27.03,26.88,26.88,200,0
GSIB.US,60,20240417,220000,26.78,26.78,26.78,26.78,100,0
GSIB.US,60,20240419,160000,26.95,27.26,26.95,27.26,200,0
GSIB.US,60,20240422,170000,27.55,27.55,27.55,27.55,100,0
GSIB.US,60,20240422,190000,27.66,27.66,27.66,27.66,400,0
GSIB.US,60,20240423,160000,27.84,27.84,27.84,27.84,100,0
GSIB.US,60,20240423,180000,28.02,28.03,28.02,28.0299,1440,0
GSIB.US,60,20240425,160000,28.22,28.22,28.22,28.22,100,0
GSIB.US,60,20240425,210000,28.15,28.15,28.15,28.15,1000,0
GSIB.US,60,20240426,160000,28.21,28.21,28.21,28.21,121,0
GSIB.US,60,20240426,180000,28.07,28.07,28.07,28.07,500,0
GSIB.US,60,20240426,220000,28.18,28.18,28.14,28.14,200,0
GSIB.US,60,20240429,160000,28.15,28.15,28.15,28.15,248,0
GSIB.US,60,20240429,220000,28.17,28.17,28.17,28.17,432,0
GSIB.US,60,20240430,160000,28.09,28.09,28.09,28.09,100,0
GSIB.US,60,20240430,200000,28.0075,28.0696,28.0075,28.0696,961,0
GSIB.US,60,20240430,210000,28.08,28.09,28.08,28.09,1339,0
GSIB.US,60,20240501,160000,27.99,27.99,27.99,27.99,100,0
GSIB.US,60,20240501,210000,28.08,28.08,28.08,28.08,100,0
GSIB.US,60,20240502,220000,28.26,28.37,28.04,28.37,439,0
GSIB.US,60,20240503,160000,28.52,28.52,28.52,28.52,102,0
GSIB.US,60,20240503,180000,28.42,28.42,28.42,28.42,100,0
GSIB.US,60,20240503,190000,28.449,28.449,28.449,28.449,100,0
GSIB.US,60,20240503,220000,28.412,28.44,28.412,28.44,400,0
GSIB.US,60,20240506,160000,28.6,28.62,28.6,28.62,281,0
GSIB.US,60,20240506,170000,28.66,28.68,28.6066,28.6486,1549,0
GSIB.US,60,20240506,190000,28.6394,28.6394,28.6394,28.6394,300,0
GSIB.US,60,20240506,220000,28.67,28.67,28.67,28.67,389,0
GSIB.US,60,20240507,160000,28.93,28.96,28.93,28.96,750,0
GSIB.US,60,20240507,170000,28.91,28.92,28.8844,28.92,660,0
GSIB.US,60,20240507,180000,28.867,28.89,28.867,28.89,528,0
GSIB.US,60,20240507,200000,28.9,28.9,28.9,28.9,100,0
GSIB.US,60,20240507,210000,28.86,28.86,28.84,28.84,1500,0
GSIB.US,60,20240507,220000,28.86,28.86,28.86,28.86,200,0
GSIB.US,60,20240508,160000,28.83,28.83,28.83,28.83,100,0
GSIB.US,60,20240508,170000,28.86,28.86,28.86,28.86,250,0
GSIB.US,60,20240508,200000,28.93,28.94,28.892,28.94,3901,0
GSIB.US,60,20240509,160000,29.04,29.04,29.04,29.04,100,0
GSIB.US,60,20240509,210000,29.22,29.22,29.22,29.22,150,0
GSIB.US,60,20240509,220000,29.23,29.24,29.1856,29.24,508,0
GSIB.US,60,20240510,160000,29.55,29.55,29.53,29.53,2100,0
GSIB.US,60,20240510,200000,29.4898,29.5076,29.4898,29.5076,507,0
GSIB.US,60,20240513,160000,29.75,29.75,29.75,29.75,430,0
GSIB.US,60,20240513,180000,29.6444,29.69,29.6444,29.69,317,0
GSIB.US,60,20240513,220000,29.62,29.66,29.62,29.63,650,0
GSIB.US,60,20240514,160000,29.71,29.71,29.71,29.71,100,0
GSIB.US,60,20240514,170000,29.72,29.72,29.72,29.72,200,0
GSIB.US,60,20240514,220000,29.78,29.79,29.78,29.79,1500,0
GSIB.US,60,20240515,160000,30.18,30.18,29.92,29.92,216,0
GSIB.US,60,20240515,170000,29.8744,29.8744,29.8744,29.8744,250,0
GSIB.US,60,20240515,220000,30,30.04,30,30.04,1994,0
GSIB.US,60,20240517,160000,30.16,30.23,30.16,30.23,200,0
GSIB.US,60,20240517,180000,30.2814,30.2814,30.2814,30.2814,395,0
GSIB.US,60,20240517,220000,30.39,30.39,30.39,30.39,340,0
GSIB.US,60,20240520,160000,30.47,30.47,30.47,30.47,217,0
GSIB.US,60,20240520,190000,30.38,30.38,30.38,30.38,500,0
GSIB.US,60,20240521,160000,30.25,30.25,30.25,30.25,100,0
GSIB.US,60,20240521,220000,30.34,30.4,30.34,30.37,1640,0
GSIB.US,60,20240522,160000,30.34,30.34,30.12,30.125,1214,0
GSIB.US,60,20240522,180000,30.17,30.17,30.1189,30.15,1319,0
GSIB.US,60,20240522,190000,30.17,30.17,30.17,30.17,100,0
GSIB.US,60,20240522,200000,30.14,30.14,30.14,30.14,223,0
GSIB.US,60,20240522,220000,30.04,30.08,30.04,30.07,1500,0
GSIB.US,60,20240523,160000,30.07,30.16,30.06,30.16,1100,0
GSIB.US,60,20240523,220000,29.85,29.85,29.85,29.85,500,0
GSIB.US,60,20240524,160000,29.91,30.09,29.91,30.09,525,0
GSIB.US,60,20240524,190000,30.085,30.16,30.085,30.16,310,0
GSIB.US,60,20240524,220000,30.085,30.14,30.085,30.14,940,0
GSIB.US,60,20240528,160000,30.18,30.18,30.18,30.18,100,0
GSIB.US,60,20240528,170000,30.13,30.15,30.0562,30.1098,2252,0
GSIB.US,60,20240528,190000,30.149,30.18,30.149,30.18,894,0
GSIB.US,60,20240528,200000,30.13,30.13,30.13,30.13,165,0
GSIB.US,60,20240528,210000,30.11,30.11,30.1,30.1,200,0
GSIB.US,60,20240528,220000,30.14,30.14,30.14,30.14,100,0
GSIB.US,60,20240529,160000,29.81,29.81,29.81,29.81,115,0
GSIB.US,60,20240529,180000,29.6078,29.6078,29.6078,29.6078,100,0
GSIB.US,60,20240529,190000,29.62,29.62,29.5801,29.5801,634,0
GSIB.US,60,20240529,200000,29.58,29.581,29.58,29.58,1244,0
GSIB.US,60,20240529,210000,29.65,29.65,29.5813,29.63,1692,0
GSIB.US,60,20240530,160000,29.66,29.66,29.66,29.66,200,0
GSIB.US,60,20240530,180000,29.7,29.7,29.7,29.7,100,0
GSIB.US,60,20240530,220000,29.8268,29.84,29.8268,29.84,300,0
GSIB.US,60,20240531,170000,29.82,29.82,29.82,29.82,100,0
GSIB.US,60,20240531,180000,29.84,29.84,29.84,29.84,100,0
GSIB.US,60,20240531,220000,29.95,30.05,29.95,30.05,900,0
GSIB.US,60,20240603,160000,30.05,30.05,30.05,30.05,187,0
GSIB.US,60,20240604,170000,30.6,30.6,29.77,29.77,1098,0
GSIB.US,60,20240604,180000,29.74,29.74,29.67,29.7299,1375,0
GSIB.US,60,20240604,190000,29.7,29.7,29.6,29.6352,873,0
GSIB.US,60,20240604,200000,29.71,29.71,29.71,29.71,100,0
GSIB.US,60,20240604,220000,29.77,29.77,29.77,29.77,386,0
GSIB.US,60,20240605,210000,29.68,29.7,29.68,29.7,941,0
GSIB.US,60,20240606,180000,29.73,29.73,29.73,29.73,100,0
GSIB.US,60,20240607,160000,29.95,29.95,29.95,29.95,106,0
GSIB.US,60,20240607,200000,29.71,29.71,29.71,29.71,100,0
GSIB.US,60,20240607,220000,29.72,29.72,29.72,29.72,100,0
GSIB.US,60,20240610,160000,29.38,29.38,29.38,29.38,100,0
GSIB.US,60,20240610,190000,29.53,29.53,29.53,29.53,219,0
GSIB.US,60,20240610,220000,29.43,29.43,29.43,29.43,100,0
GSIB.US,60,20240612,160000,29.2,29.2,29.2,29.2,100,0
GSIB.US,60,20240612,170000,29.03,29.09,29.02,29.09,1342,0
GSIB.US,60,20240613,160000,28.87,28.87,28.4901,28.565,601,0
GSIB.US,60,20240613,170000,28.5745,28.5745,28.5301,28.54,1800,0
GSIB.US,60,20240613,190000,28.46,28.495,28.46,28.495,1114,0
GSIB.US,60,20240614,160000,28.28,28.28,28.28,28.28,163,0
GSIB.US,60,20240614,170000,28.18,28.18,28.06,28.1789,1365,0
GSIB.US,60,20240614,220000,28.31,28.31,28.26,28.2869,2000,0
GSIB.US,60,20240617,160000,28.44,28.44,28.44,28.44,100,0
GSIB.US,60,20240617,170000,28.51,28.51,28.51,28.51,100,0
GSIB.US,60,20240617,220000,28.56,28.71,28.56,28.7,964,0
GSIB.US,60,20240618,160000,28.89,28.89,28.89,28.89,100,0
GSIB.US,60,20240618,180000,28.73,28.73,28.73,28.73,100,0
GSIB.US,60,20240620,160000,28.89,28.89,28.89,28.89,156,0
GSIB.US,60,20240620,210000,28.9601,29.0483,28.9601,29.0483,5625,0
GSIB.US,60,20240620,220000,28.95,28.966,28.8906,28.9,2090,0
GSIB.US,60,20240621,160000,28.68,28.68,28.68,28.68,100,0
