<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIMZ.US,60,20250313,150000,19.5,19.5,16.8,17.07,4200,0
HIMZ.US,60,20250313,160000,16.7,18.45,16.7,18.3002,7939,0
HIMZ.US,60,20250313,170000,18.06,18.06,17.9,17.9,2600,0
HIMZ.US,60,20250313,180000,17.65,18.03,17.24,17.71,2153,0
HIMZ.US,60,20250313,190000,17.14,17.3,16.9237,17.05,7731,0
HIMZ.US,60,20250313,200000,17.2,17.58,17.2,17.58,661,0
HIMZ.US,60,20250313,210000,17.64,17.7,17.6,17.6,432,0
HIMZ.US,60,20250314,150000,17.55,18.18,17.55,17.6,7545,0
HIMZ.US,60,20250314,160000,17.5,18.5,17.49,18.5,5461,0
HIMZ.US,60,20250314,170000,18.679,18.95,18.3,18.35,10888,0
HIMZ.US,60,20250314,180000,18.409,18.409,18.2884,18.34,2010,0
HIMZ.US,60,20250314,190000,18.45,18.48,18.02,18.02,565,0
HIMZ.US,60,20250314,200000,17.89,18.42,17.89,18.42,850,0
HIMZ.US,60,20250314,210000,18.15,19,18.11,18.96,3000,0
HIMZ.US,60,20250317,150000,19.12,20.49,18.53,19.67,9795,0
HIMZ.US,60,20250317,160000,19.36,20.08,19,19.97,5960,0
HIMZ.US,60,20250317,170000,19.8,20.9605,19.8,20.22,16300,0
HIMZ.US,60,20250317,180000,20.14,20.3,19.91,20.22,12601,0
HIMZ.US,60,20250317,190000,20.3093,20.885,20.1,20.69,5150,0
HIMZ.US,60,20250317,200000,20.89,21.74,20.89,21.531,9907,0
HIMZ.US,60,20250317,210000,21.44,21.69,20.655,20.655,46914,0
HIMZ.US,60,20250318,150000,20,20,18.6,18.6,5706,0
HIMZ.US,60,20250318,160000,18.42,19.17,17.78,17.78,26999,0
HIMZ.US,60,20250318,170000,17.6188,17.81,17.3,17.3891,9937,0
HIMZ.US,60,20250318,180000,17.62,17.799,17.2948,17.799,9670,0
HIMZ.US,60,20250318,190000,17.75,17.75,17.22,17.2784,26424,0
HIMZ.US,60,20250318,200000,17.21,17.3,16.74,17.059,5796,0
HIMZ.US,60,20250318,210000,17.06,17.28,16.75,16.82,8595,0
HIMZ.US,60,20250319,150000,17.02,17.02,16.49,16.9369,6707,0
HIMZ.US,60,20250319,160000,16.94,17.82,16.9053,17.65,10374,0
HIMZ.US,60,20250319,170000,17.39,18.44,17.39,18.306,8263,0
HIMZ.US,60,20250319,180000,18.44,18.73,18.44,18.64,19099,0
HIMZ.US,60,20250319,190000,18.95,18.95,18.51,18.7999,4327,0
HIMZ.US,60,20250319,200000,18.6,19.6209,18.6,19.62,15586,0
HIMZ.US,60,20250319,210000,20.0029,20.4877,19.05,19.3319,18695,0
HIMZ.US,60,20250320,150000,19,19.33,18.56,19.2,12624,0
HIMZ.US,60,20250320,160000,19.36,19.73,18.6736,18.6736,13931,0
HIMZ.US,60,20250320,170000,18.655,19.71,18.655,18.95,17385,0
HIMZ.US,60,20250320,180000,18.94,18.94,18.19,18.31,8887,0
HIMZ.US,60,20250320,190000,18.61,18.61,18.11,18.23,9413,0
HIMZ.US,60,20250320,200000,18.269,18.269,17.745,17.86,7226,0
HIMZ.US,60,20250320,210000,17.82,18.305,17.76,18.22,7324,0
HIMZ.US,60,20250321,150000,17.72,18.55,17.15,18.55,3644,0
HIMZ.US,60,20250321,160000,18.22,18.65,18.1661,18.47,8280,0
HIMZ.US,60,20250321,170000,18.57,18.88,18.32,18.3501,2070,0
HIMZ.US,60,20250321,180000,18.24,19.8038,18.24,19.78,20025,0
HIMZ.US,60,20250321,190000,19.8729,20.515,19.6899,20.515,4815,0
HIMZ.US,60,20250321,200000,20.2,20.3089,20,20,16137,0
HIMZ.US,60,20250321,210000,19.8,20.28,19.597,20.13,4558,0
HIMZ.US,60,20250324,150000,21.87,21.875,20.5807,21.54,28732,0
HIMZ.US,60,20250324,160000,21.65,22.5041,21,22.21,34785,0
HIMZ.US,60,20250324,170000,22.5043,23.2094,22.2,22.971,26323,0
HIMZ.US,60,20250324,180000,22.975,23.8,22.975,23.5,25009,0
HIMZ.US,60,20250324,190000,23.8,24.2592,22.7188,23,7181,0
HIMZ.US,60,20250324,200000,23.5045,23.5045,22.93,23.22,6480,0
HIMZ.US,60,20250324,210000,23.2,23.88,23.2,23.7,10538,0
HIMZ.US,60,20250325,150000,24.22,24.9937,22.79,23.69,31708,0
HIMZ.US,60,20250325,160000,23.7799,23.7799,22.2,22.7985,57442,0
HIMZ.US,60,20250325,170000,22.8783,22.8783,22.1039,22.31,21325,0
HIMZ.US,60,20250325,180000,22.14,22.2892,21.6,22.08,21161,0
HIMZ.US,60,20250325,190000,22.2,22.2195,21.45,21.51,17473,0
HIMZ.US,60,20250325,200000,21.6347,21.77,21.43,21.64,22461,0
HIMZ.US,60,20250325,210000,22.07,23.2,22.03,22.98,26495,0
HIMZ.US,60,20250326,150000,23.37,23.74,20.38,20.53,13681,0
HIMZ.US,60,20250326,160000,20.65,21.71,19.8136,20.88,26749,0
HIMZ.US,60,20250326,170000,20.78,20.806392,19.95,19.95,9966,0
HIMZ.US,60,20250326,180000,19.8297,20.06,19.57,19.57,27045,0
HIMZ.US,60,20250326,190000,19.455,19.676453,19.066,19.18,9014,0
HIMZ.US,60,20250326,200000,18.85,19.08,18.499,18.499,14576,0
HIMZ.US,60,20250326,210000,18.5,18.74,18.1856,18.4,25591,0
HIMZ.US,60,20250327,150000,17.8,17.88,16.8835,17.7598,24972,0
HIMZ.US,60,20250327,160000,17.92,18.17,17.55,17.9364,19787,0
HIMZ.US,60,20250327,170000,17.96,17.96,16.73,16.76,18071,0
HIMZ.US,60,20250327,180000,16.8005,17.5211,16.8005,17.2204,5531,0
HIMZ.US,60,20250327,190000,16.8441,17.06,16.7872,16.85,1917,0
HIMZ.US,60,20250327,200000,16.85,17.2,16.81,16.91,19442,0
HIMZ.US,60,20250327,210000,17.02,17.059,16.685,16.7518,5229,0
HIMZ.US,60,20250328,150000,16.54,16.54,15.83,16.0199,29815,0
HIMZ.US,60,20250328,160000,15.95,15.95,14.83,14.99,48855,0
HIMZ.US,60,20250328,170000,14.9289,15.03,14.33,14.33,44707,0
HIMZ.US,60,20250328,180000,14.3203,14.51,14.21,14.51,8161,0
HIMZ.US,60,20250328,190000,14.4556,14.4603,14.066,14.2783,4892,0
HIMZ.US,60,20250328,200000,14.081,14.15,13.87,13.9386,15936,0
HIMZ.US,60,20250328,210000,13.9142,13.9142,13.5322,13.84,26137,0
HIMZ.US,60,20250331,160000,12.26,12.86,12.08,12.71,40920,0
HIMZ.US,60,20250331,170000,12.97,13.5,12.92,13,20010,0
HIMZ.US,60,20250331,180000,13.02,13.7895,13.01,13.7,5289,0
HIMZ.US,60,20250331,190000,13.355,13.8907,13.355,13.79,3327,0
HIMZ.US,60,20250331,200000,13.98,14.04,13.83,13.99,24045,0
HIMZ.US,60,20250331,210000,14.107731,14.751,14.107731,14.51,11280,0
HIMZ.US,60,20250331,220000,14.56,14.56,14.113,14.13,21214,0
