<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOOI.US,60,20250819,160000,18.93,18.93,18.93,18.93,100,0
HOOI.US,60,20250819,170000,19.76,19.76,18.5706,18.64,5325,0
HOOI.US,60,20250819,180000,18.62,18.79,18.62,18.79,368,0
HOOI.US,60,20250819,190000,18,18.065,17.5868,17.63,2412,0
HOOI.US,60,20250819,200000,17.59,18.03,17.59,18.03,300,0
HOOI.US,60,20250819,210000,18.07,18.12,18.07,18.12,900,0
HOOI.US,60,20250819,220000,17.43,17.43,17.43,17.43,256,0
HOOI.US,60,20250820,160000,17.34,17.34,15.4968,15.4968,681,0
HOOI.US,60,20250820,170000,15.8,15.83,15.28,15.685,3355,0
HOOI.US,60,20250820,180000,16.07,16.79,16.05,16.63,2407,0
HOOI.US,60,20250820,190000,16.21,16.21,16.21,16.21,100,0
HOOI.US,60,20250820,200000,16.46,16.53,16.21,16.53,636,0
HOOI.US,60,20250820,210000,16.19,16.26,16.19,16.26,200,0
HOOI.US,60,20250821,160000,18.149,18.149,16.77,16.77,200,0
HOOI.US,60,20250821,170000,16.74,17.345,16.74,17.345,4499,0
HOOI.US,60,20250821,190000,17.54,17.54,17.5,17.5,3613,0
HOOI.US,60,20250821,210000,17.06,17.17,17.06,17.13,7200,0
HOOI.US,60,20250821,220000,17.38,17.38,17.28,17.36,300,0
HOOI.US,60,20250822,160000,16.65,16.85,16.62,16.85,2075,0
HOOI.US,60,20250822,170000,17.68,18.4596,17.68,18.4596,2062,0
HOOI.US,60,20250822,180000,18.39,18.39,18.38,18.38,1500,0
HOOI.US,60,20250822,190000,18.06,18.06,18.05,18.05,300,0
HOOI.US,60,20250822,200000,18.15,18.25,18.15,18.25,500,0
HOOI.US,60,20250822,210000,18.13,18.13,18.13,18.13,100,0
HOOI.US,60,20250822,220000,18.11,18.15,18.08,18.08,300,0
HOOI.US,60,20250825,160000,17.76,17.76,17.76,17.76,400,0
HOOI.US,60,20250825,170000,17.53,17.7,17.5299,17.7,300,0
HOOI.US,60,20250825,180000,18.1914,18.1914,18.0074,18.0074,247,0
HOOI.US,60,20250825,200000,17.6689,17.6689,17.6689,17.6689,169,0
HOOI.US,60,20250825,210000,17.918,17.918,17.918,17.918,100,0
HOOI.US,60,20250825,220000,18,18,18,18,100,0
HOOI.US,60,20250826,160000,17.1964,17.1964,17.1964,17.1964,100,0
HOOI.US,60,20250826,170000,17.4532,17.52,17.3512,17.52,490,0
HOOI.US,60,20250826,180000,17.53,17.53,17.53,17.53,100,0
HOOI.US,60,20250827,160000,17.8589,17.8589,17.8589,17.8589,479,0
HOOI.US,60,20250827,190000,16.7199,16.75,16.7199,16.75,653,0
HOOI.US,60,20250827,200000,16.67,16.85,16.67,16.85,450,0
HOOI.US,60,20250827,210000,17.0155,17.0155,17.0155,17.0155,300,0
HOOI.US,60,20250827,220000,16.76,16.76,16.5,16.5,300,0
HOOI.US,60,20250828,170000,16.64,16.64,16.64,16.64,100,0
HOOI.US,60,20250828,210000,16.38,16.38,16.31,16.31,400,0
HOOI.US,60,20250829,160000,16.33,16.33,16.33,16.33,141,0
HOOI.US,60,20250829,170000,16.03,16.25,16.03,16.25,2100,0
HOOI.US,60,20250829,190000,16.3797,16.3797,16.3797,16.3797,100,0
HOOI.US,60,20250829,210000,16.4703,16.4703,16.4703,16.4703,100,0
HOOI.US,60,20250902,160000,16.89,16.89,15.45,15.45,228,0
HOOI.US,60,20250902,170000,15.57,15.6,15.22,15.22,3230,0
HOOI.US,60,20250902,180000,15.42,15.42,15.42,15.42,200,0
HOOI.US,60,20250902,190000,15.14,15.14,15.13,15.13,907,0
HOOI.US,60,20250902,200000,15.74,15.74,15.6968,15.6968,900,0
HOOI.US,60,20250902,210000,15.77,15.77,15.77,15.77,100,0
HOOI.US,60,20250902,220000,15.8831,15.8831,15.88,15.88,200,0
HOOI.US,60,20250903,160000,15.52,15.52,15.5199,15.5199,300,0
HOOI.US,60,20250903,170000,15.56,15.87,15.5,15.87,2314,0
HOOI.US,60,20250903,180000,15.718,15.718,15.6072,15.6072,975,0
HOOI.US,60,20250903,190000,15.71,15.71,15.4097,15.5,2496,0
HOOI.US,60,20250903,200000,15.47,15.47,15.42,15.42,200,0
HOOI.US,60,20250903,210000,15.31,15.31,15.31,15.31,100,0
HOOI.US,60,20250903,220000,15.3,15.46,15.26,15.46,3037,0
HOOI.US,60,20250904,170000,15.99,16.1,15.76,15.76,2199,0
HOOI.US,60,20250904,180000,15.88,15.9311,15.88,15.9,392,0
HOOI.US,60,20250904,190000,16.1,16.4503,16.1,16.4503,3000,0
HOOI.US,60,20250904,200000,16.46,16.46,16.43,16.43,200,0
HOOI.US,60,20250904,210000,16.49,16.49,16.39,16.39,500,0
HOOI.US,60,20250905,160000,16.69,16.69,15.5,15.5,2014,0
HOOI.US,60,20250905,170000,15.03,15.14,14.25,14.25,2610,0
HOOI.US,60,20250905,180000,14.65,14.835,14.63,14.835,1168,0
HOOI.US,60,20250905,200000,15.125,15.125,15.125,15.125,100,0
HOOI.US,60,20250905,210000,15.34,15.34,15.34,15.34,100,0
HOOI.US,60,20250908,160000,17.3,18.95,17.3,18.925,10291,0
HOOI.US,60,20250908,170000,18.76,19.08,18.76,19.08,319,0
HOOI.US,60,20250908,180000,18.89,19.1699,18.89,19.06,4097,0
HOOI.US,60,20250908,190000,19.06,19.06,19.06,19.06,100,0
HOOI.US,60,20250908,200000,19.09,19.09,18.74,18.82,955,0
HOOI.US,60,20250908,220000,19.25,19.25,19.25,19.25,2500,0
HOOI.US,60,20250909,160000,19.33,19.35,18.98,18.995,2005,0
HOOI.US,60,20250909,170000,18.7,18.88,18.7,18.74,3303,0
HOOI.US,60,20250909,180000,18.52,18.7,18.52,18.7,200,0
HOOI.US,60,20250909,190000,18.71,18.91,18.65,18.91,2063,0
HOOI.US,60,20250909,200000,18.755,19.01,18.755,19.01,4078,0
HOOI.US,60,20250909,210000,19.03,19.64,19.03,19.64,412,0
HOOI.US,60,20250909,220000,19.61,19.82,19.61,19.82,1700,0
HOOI.US,60,20250910,160000,20.22,20.66,20.04,20.66,701,0
HOOI.US,60,20250910,170000,20.615,20.93,20.47,20.8939,3886,0
HOOI.US,60,20250910,180000,20.23,20.23,20.08,20.08,1400,0
HOOI.US,60,20250910,190000,19.96,19.96,19.71,19.72,1700,0
HOOI.US,60,20250910,210000,19.59,19.59,19.35,19.35,1100,0
HOOI.US,60,20250910,220000,19.36,19.36,19.1622,19.22,2940,0
HOOI.US,60,20250911,160000,19.44,20.035,19.44,20.035,830,0
HOOI.US,60,20250911,170000,20,20.24,19.73,19.73,1816,0
HOOI.US,60,20250911,180000,20.15,20.39,20.15,20.39,3520,0
HOOI.US,60,20250911,190000,20.35,20.463,20.35,20.436,1424,0
HOOI.US,60,20250911,200000,20.3,20.3,20.3,20.3,100,0
HOOI.US,60,20250911,210000,19.81,19.8655,19.81,19.81,700,0
HOOI.US,60,20250911,220000,19.6,19.6,19.6,19.6,100,0
HOOI.US,60,20250912,160000,19.47,19.5385,18.8,18.8,3513,0
HOOI.US,60,20250912,170000,18.709,19.23,18.55,19.23,900,0
HOOI.US,60,20250912,180000,18.97,18.97,18.59,18.7,1807,0
HOOI.US,60,20250912,190000,18.62,18.79,18.62,18.79,200,0
