<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBB.US,60,20240411,160000,132.32,133.36,131.91,132,167702,0
IBB.US,60,20240411,170000,132,132.04,131.56,131.57,64841,0
IBB.US,60,20240411,180000,131.5627,131.95,131.45,131.95,46684,0
IBB.US,60,20240411,190000,131.94,132.06,131.8,131.81,49430,0
IBB.US,60,20240411,200000,131.85,132.66,131.75,132.65,259838,0
IBB.US,60,20240411,210000,132.63,132.92,132.53,132.53,129396,0
IBB.US,60,20240411,220000,132.52,132.76,132.265,132.34,290126,0
IBB.US,60,20240412,160000,131.44,131.63,131.01,131.46,57832,0
IBB.US,60,20240412,170000,131.5,131.5,130.52,130.54,116344,0
IBB.US,60,20240412,180000,130.55,130.7,130.33,130.45,172917,0
IBB.US,60,20240412,190000,130.445,130.46,129.73,129.73,261255,0
IBB.US,60,20240412,200000,129.73,129.92,129.46,129.71,194934,0
IBB.US,60,20240412,210000,129.7,129.84,129.32,129.33,221333,0
IBB.US,60,20240412,220000,129.33,129.59,128.975,129.59,586790,0
IBB.US,60,20240415,160000,130.41,130.41,129.61,129.96,175641,0
IBB.US,60,20240415,170000,129.95,129.96,128.9,128.93,152188,0
IBB.US,60,20240415,180000,128.94,129.51,128.89,129.375,448645,0
IBB.US,60,20240415,190000,129.38,129.48,128.7,128.87,269086,0
IBB.US,60,20240415,200000,128.84,128.93,128.115,128.5,232108,0
IBB.US,60,20240415,210000,128.5,128.5,127.75,127.83,244282,0
IBB.US,60,20240415,220000,127.77,127.975,127.48,127.85,473144,0
IBB.US,60,20240416,160000,127.54,127.54,126.83,127.3,69093,0
IBB.US,60,20240416,170000,127.29,127.71,127.16,127.51,206960,0
IBB.US,60,20240416,180000,127.52,127.88,127.42,127.755,185695,0
IBB.US,60,20240416,190000,127.72,127.75,127.44,127.67,112120,0
IBB.US,60,20240416,200000,127.69,127.7,127.11,127.38,133340,0
IBB.US,60,20240416,210000,127.35,127.89,126.98,127.55,172096,0
IBB.US,60,20240416,220000,127.555,127.56,126.89,126.95,279133,0
IBB.US,60,20240417,160000,127.49,127.62,126.82,127.03,189640,0
IBB.US,60,20240417,170000,127,127,126.49,126.5,134261,0
IBB.US,60,20240417,180000,126.51,126.8,126.29,126.58,197289,0
IBB.US,60,20240417,190000,126.56,126.65,126.09,126.36,93400,0
IBB.US,60,20240417,200000,126.3,126.82,126.3,126.81,95280,0
IBB.US,60,20240417,210000,126.78,127.02,126.421,126.52,129432,0
IBB.US,60,20240417,220000,126.52,126.52,125.88,125.88,237401,0
IBB.US,60,20240418,160000,125.31,125.47,124.56,125.21,202918,0
IBB.US,60,20240418,170000,125.24,125.92,124.98,125.86,254918,0
IBB.US,60,20240418,180000,125.87,125.92,125.37,125.5501,376590,0
IBB.US,60,20240418,190000,125.55,125.9,125.19,125.3,118831,0
IBB.US,60,20240418,200000,125.3,125.45,124.84,125.06,135338,0
IBB.US,60,20240418,210000,125.03,125.113,124.71,124.85,93550,0
IBB.US,60,20240418,220000,124.85,125.07,124.59,124.64,305667,0
IBB.US,60,20240419,160000,125.03,125.57,124.71,125.41,176208,0
IBB.US,60,20240419,170000,125.36,125.44,124.8,124.86,146284,0
IBB.US,60,20240419,180000,124.86,124.86,124.53,124.65,149485,0
IBB.US,60,20240419,190000,124.65,124.78,124.18,124.42,103966,0
IBB.US,60,20240419,200000,124.39,124.48,124.12,124.28,108951,0
IBB.US,60,20240419,210000,124.27,124.27,123.6,123.74,204109,0
IBB.US,60,20240419,220000,123.73,124.76,123.67,124.73,496324,0
IBB.US,60,20240422,160000,125.32,125.94,124.0547,125.22,212543,0
IBB.US,60,20240422,170000,125.23,125.9701,125.21,125.56,128631,0
IBB.US,60,20240422,180000,125.55,125.68,125.22,125.65,197350,0
IBB.US,60,20240422,190000,125.65,126.14,125.62,126.14,161902,0
IBB.US,60,20240422,200000,126.16,127.07,126.1,126.97,159732,0
IBB.US,60,20240422,210000,126.98,127.09,126.68,126.72,130887,0
IBB.US,60,20240422,220000,126.72,126.72,125.965,126.11,462213,0
IBB.US,60,20240423,160000,126.59,128.33,126.59,128.27,103983,0
IBB.US,60,20240423,170000,128.26,128.88,128.14,128.83,121410,0
IBB.US,60,20240423,180000,128.86,128.88,128.2,128.24,215732,0
IBB.US,60,20240423,190000,128.25,128.55,128.2,128.46,158214,0
IBB.US,60,20240423,200000,128.46,128.715,128.24,128.69,122421,0
IBB.US,60,20240423,210000,128.685,128.82,128.57,128.77,213189,0
IBB.US,60,20240423,220000,128.765,128.765,127.98,128.01,497877,0
IBB.US,60,20240424,160000,128,128.815,128,128.65,89125,0
IBB.US,60,20240424,170000,128.68,128.86,127.71,127.85,173592,0
IBB.US,60,20240424,180000,127.87,127.93,127.491,127.6,68858,0
IBB.US,60,20240424,190000,127.61,127.65,127.38,127.51,98464,0
IBB.US,60,20240424,200000,127.51,128.21,127.47,128.195,61567,0
IBB.US,60,20240424,210000,128.19,128.195,127.58,127.77,81055,0
IBB.US,60,20240424,220000,127.75,127.96,127.565,127.76,349235,0
IBB.US,60,20240425,160000,126.78,127.27,125.33,125.33,115612,0
IBB.US,60,20240425,170000,125.36,125.36,124.4,124.51,157453,0
IBB.US,60,20240425,180000,124.5,125.06,124.45,125.025,269600,0
IBB.US,60,20240425,190000,125.025,125.67,124.98,125.65,209314,0
IBB.US,60,20240425,200000,125.65,126.3,125.21,126.15,193335,0
IBB.US,60,20240425,210000,126.13,126.17,125.665,125.78,166739,0
IBB.US,60,20240425,220000,125.81,126.105,125.52,125.67,389316,0
IBB.US,60,20240426,160000,125.95,126.18,125.052,126,119686,0
IBB.US,60,20240426,170000,125.98,126.64,125.97,126.42,66599,0
IBB.US,60,20240426,180000,126.46,126.64,126.23,126.64,42782,0
IBB.US,60,20240426,190000,126.66,126.78,126.5,126.73,60638,0
