<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBGL.US,60,20250331,220000,25.3,25.3,25.3,25.3,100,0
IBGL.US,60,20250402,200000,25.42,25.42,25.42,25.42,100,0
IBGL.US,60,20250408,160000,25.11,25.11,25.11,25.11,400,0
IBGL.US,60,20250408,170000,25.04,25.04,25.04,25.04,100,0
IBGL.US,60,20250408,200000,25.19,25.19,25.19,25.19,100,0
IBGL.US,60,20250408,220000,24.81,24.81,24.81,24.81,100,0
IBGL.US,60,20250409,200000,24.6,24.6,24.6,24.6,122,0
IBGL.US,60,20250410,170000,24.6699,24.6699,24.62,24.62,302,0
IBGL.US,60,20250410,210000,24.46,24.46,24.46,24.46,500,0
IBGL.US,60,20250411,220000,24.32,24.32,24.28,24.28,201,0
IBGL.US,60,20250415,190000,24.59,24.59,24.59,24.59,100,0
IBGL.US,60,20250415,220000,24.6,24.6,24.575,24.575,300,0
IBGL.US,60,20250421,170000,24.36,24.36,24.36,24.36,200,0
IBGL.US,60,20250421,180000,24.2244,24.245,24.22,24.2382,1295,0
IBGL.US,60,20250421,190000,24.22,24.25,24.22,24.25,2901,0
IBGL.US,60,20250423,160000,24.69,24.69,24.69,24.69,424,0
IBGL.US,60,20250423,170000,24.66,24.66,24.66,24.66,1952,0
IBGL.US,60,20250505,160000,24.44,24.44,24.44,24.44,123,0
IBGL.US,60,20250512,220000,24.06,24.0709,24.06,24.0709,400,0
IBGL.US,60,20250513,180000,23.975,23.975,23.975,23.975,100,0
IBGL.US,60,20250515,170000,23.94,23.94,23.9299,23.9299,1200,0
IBGL.US,60,20250515,190000,24.1,24.1,24.1,24.1,100,0
IBGL.US,60,20250516,170000,24.2799,24.2799,24.2238,24.2238,300,0
IBGL.US,60,20250516,180000,24.13,24.13,24.13,24.13,100,0
IBGL.US,60,20250516,200000,24.12,24.12,24.11,24.11,1400,0
IBGL.US,60,20250519,160000,23.79,23.79,23.75,23.75,1600,0
IBGL.US,60,20250519,180000,23.89,23.89,23.89,23.89,600,0
IBGL.US,60,20250520,170000,23.86,23.86,23.86,23.86,1000,0
IBGL.US,60,20250520,190000,23.82,23.82,23.82,23.82,500,0
IBGL.US,60,20250521,160000,23.66,23.73,23.66,23.73,308,0
IBGL.US,60,20250521,170000,23.73,23.73,23.71,23.71,700,0
IBGL.US,60,20250521,200000,23.5,23.5,23.5,23.5,120,0
IBGL.US,60,20250521,210000,23.47,23.47,23.47,23.47,100,0
IBGL.US,60,20250522,160000,23.33,23.33,23.33,23.33,500,0
IBGL.US,60,20250522,170000,23.39,23.39,23.39,23.39,100,0
IBGL.US,60,20250527,210000,23.99,23.99,23.9899,23.9899,600,0
IBGL.US,60,20250529,170000,23.82,23.9405,23.82,23.94,1552,0
IBGL.US,60,20250612,200000,24.045,24.31,24.045,24.31,200,0
IBGL.US,60,20250613,170000,24.11,24.11,24.11,24.11,288,0
IBGL.US,60,20250613,190000,24.06,24.06,24.06,24.06,100,0
IBGL.US,60,20250624,210000,24.38,24.38,24.38,24.38,100,0
IBGL.US,60,20250624,220000,24.43,24.43,24.39,24.39,300,0
IBGL.US,60,20250627,160000,24.4,24.4,24.4,24.4,100,0
IBGL.US,60,20250627,200000,24.4668,24.4668,24.4668,24.4668,634,0
IBGL.US,60,20250701,170000,24.58,24.59,24.57,24.59,3200,0
IBGL.US,60,20250702,180000,24.34,24.34,24.34,24.34,427,0
IBGL.US,60,20250703,190000,24.26,24.26,24.26,24.26,427,0
IBGL.US,60,20250707,160000,24.13,24.13,24.13,24.13,200,0
IBGL.US,60,20250711,210000,23.92,23.92,23.91,23.91,879,0
IBGL.US,60,20250715,190000,23.68,23.68,23.68,23.68,100,0
IBGL.US,60,20250716,220000,23.71,23.71,23.71,23.71,154,0
IBGL.US,60,20250717,160000,23.81,23.81,23.81,23.81,400,0
IBGL.US,60,20250717,190000,23.78,23.78,23.78,23.78,200,0
IBGL.US,60,20250721,220000,24,24,24,24,100,0
IBGL.US,60,20250722,170000,24.0456,24.05,24.0456,24.05,300,0
IBGL.US,60,20250723,200000,23.96,23.96,23.96,23.96,300,0
IBGL.US,60,20250724,160000,23.9033,23.9033,23.9033,23.9033,5250,0
IBGL.US,60,20250725,210000,24.06,24.06,24.06,24.06,240,0
IBGL.US,60,20250725,220000,24.08,24.08,24.08,24.08,240,0
IBGL.US,60,20250801,180000,24.32,24.32,24.32,24.32,100,0
IBGL.US,60,20250801,220000,24.415,24.415,24.415,24.415,1000,0
IBGL.US,60,20250804,200000,24.49,24.49,24.49,24.49,179,0
IBGL.US,60,20250805,170000,24.5,24.5,24.5,24.5,250,0
IBGL.US,60,20250806,160000,24.45,24.45,24.45,24.45,100,0
IBGL.US,60,20250806,170000,24.47,24.47,24.44,24.44,200,0
IBGL.US,60,20250806,190000,24.4196,24.4196,24.41,24.41,209,0
IBGL.US,60,20250807,200000,24.47,24.47,24.47,24.47,100,0
IBGL.US,60,20250814,220000,24.19,24.19,24.19,24.19,2223,0
IBGL.US,60,20250815,170000,24.0924,24.0924,24.0924,24.0924,250,0
IBGL.US,60,20250818,160000,24.1,24.1,24.06,24.1,3112,0
IBGL.US,60,20250819,190000,24.087,24.087,24.087,24.087,132,0
IBGL.US,60,20250820,170000,24.15,24.15,24.148,24.15,1000,0
IBGL.US,60,20250820,190000,24.14,24.14,24.14,24.14,100,0
IBGL.US,60,20250820,210000,24.1082,24.1082,24.1082,24.1082,500,0
IBGL.US,60,20250821,160000,24.09,24.09,24.005,24.005,1000,0
IBGL.US,60,20250821,200000,24.0497,24.0592,24.0409,24.0592,12263,0
IBGL.US,60,20250821,210000,24.06,24.06,24.06,24.06,100,0
IBGL.US,60,20250821,220000,24.04,24.04,24.0396,24.0396,319,0
IBGL.US,60,20250822,170000,24.17,24.17,24.17,24.17,100,0
IBGL.US,60,20250822,180000,24.24,24.24,24.24,24.24,100,0
IBGL.US,60,20250825,160000,24.09,24.12,24.09,24.12,600,0
IBGL.US,60,20250825,170000,24.09,24.09,24.09,24.09,500,0
IBGL.US,60,20250825,180000,24.16,24.16,24.16,24.16,100,0
IBGL.US,60,20250825,220000,24.16,24.16,24.16,24.16,2068,0
IBGL.US,60,20250826,170000,23.995,23.995,23.995,23.995,161,0
IBGL.US,60,20250826,200000,24.1,24.1,24.09,24.09,670,0
IBGL.US,60,20250827,170000,23.945,23.97,23.945,23.97,800,0
IBGL.US,60,20250828,180000,24.01,24.23,24.01,24.22,1100,0
IBGL.US,60,20250828,210000,24.218,24.218,24.218,24.218,550,0
IBGL.US,60,20250828,220000,24.24,24.24,24.24,24.24,100,0
IBGL.US,60,20250829,170000,24.15,24.15,24.15,24.15,100,0
IBGL.US,60,20250829,220000,24.12,24.12,24.12,24.12,100,0
IBGL.US,60,20250902,160000,23.85,23.85,23.84,23.85,300,0
IBGL.US,60,20250902,170000,23.85,23.85,23.85,23.85,100,0
IBGL.US,60,20250902,200000,23.8,23.8,23.8,23.8,100,0
IBGL.US,60,20250903,170000,24.05,24.05,24.05,24.05,100,0
IBGL.US,60,20250903,180000,24.02,24.02,24.02,24.02,100,0
IBGL.US,60,20250903,200000,24.08,24.08,24.0606,24.0606,5451,0
IBGL.US,60,20250903,210000,24.07,24.1,24.06,24.091,7239,0
IBGL.US,60,20250905,160000,24.5,24.5,24.5,24.5,400,0
IBGL.US,60,20250905,180000,24.5799,24.59,24.5599,24.59,6888,0
IBGL.US,60,20250905,190000,24.5789,24.5789,24.57,24.57,30726,0
IBGL.US,60,20250908,180000,24.85,24.85,24.8495,24.8495,823,0
IBGL.US,60,20250908,190000,24.83,24.83,24.83,24.83,100,0
IBGL.US,60,20250908,210000,24.8496,24.8697,24.8496,24.8697,1553,0
IBGL.US,60,20250908,220000,24.9,25.12,24.89,24.9275,12632,0
IBGL.US,60,20250909,180000,24.75,24.75,24.75,24.75,216,0
IBGL.US,60,20250910,190000,24.8801,24.8801,24.86,24.8673,1492,0
IBGL.US,60,20250910,200000,24.9,24.9798,24.9,24.9798,342,0
IBGL.US,60,20250910,210000,24.9462,24.9462,24.9462,24.9462,272,0
IBGL.US,60,20250911,160000,25,25.0001,25,25.0001,208,0
IBGL.US,60,20250911,170000,25.0553,25.0553,25.0553,25.0553,217,0
IBGL.US,60,20250911,220000,25.07,25.07,25.07,25.07,100,0
IBGL.US,60,20250912,160000,24.94,24.94,24.94,24.94,400,0
IBGL.US,60,20250912,170000,24.89,24.89,24.89,24.89,1715,0
IBGL.US,60,20250912,190000,24.8899,24.8899,24.8899,24.8899,2008,0
IBGL.US,60,20250912,220000,24.98,24.98,24.98,24.98,100,0
IBGL.US,60,20250915,200000,25.0654,25.0654,25.062,25.0642,400,0
IBGL.US,60,20250915,220000,25.0391,25.0391,25.0391,25.0391,1994,0
IBGL.US,60,20250916,160000,25.03,25.03,25.03,25.03,107,0
IBGL.US,60,20250916,170000,25.05,25.05,25.0497,25.0497,217,0
IBGL.US,60,20250916,210000,25.0816,25.0816,25.0816,25.0816,221,0
IBGL.US,60,20250917,160000,25.1735,25.1735,25.1735,25.1735,100,0
IBGL.US,60,20250917,170000,25.16,25.16,25.16,25.16,100,0
IBGL.US,60,20250917,210000,25.185,25.185,25.185,25.185,100,0
IBGL.US,60,20250918,160000,24.8,24.8,24.74,24.74,300,0
IBGL.US,60,20250918,220000,24.77,24.77,24.77,24.77,100,0
IBGL.US,60,20250919,160000,24.7799,24.7799,24.7799,24.7799,100,0
IBGL.US,60,20250919,170000,24.78,24.78,24.78,24.78,100,0
IBGL.US,60,20250919,190000,24.68,24.68,24.68,24.68,100,0
IBGL.US,60,20250925,170000,24.65,24.69,24.63,24.63,400,0
IBGL.US,60,20250926,160000,24.7,24.7,24.7,24.7,100,0
IBGL.US,60,20250926,190000,24.68,24.68,24.68,24.68,100,0
IBGL.US,60,20250929,170000,24.88,24.88,24.88,24.88,100,0
IBGL.US,60,20250930,160000,24.96,24.9692,24.96,24.9692,6370,0
IBGL.US,60,20251001,170000,24.97,24.97,24.85,24.85,200,0
IBGL.US,60,20251001,180000,24.83,24.83,24.83,24.83,200,0
IBGL.US,60,20251002,170000,24.83,24.83,24.83,24.83,100,0
IBGL.US,60,20251003,160000,24.88,24.88,24.88,24.88,600,0
IBGL.US,60,20251003,170000,24.81,24.81,24.81,24.81,100,0
IBGL.US,60,20251003,200000,24.83,24.83,24.83,24.83,100,0
IBGL.US,60,20251003,210000,24.8097,24.8097,24.8097,24.8097,255,0
IBGL.US,60,20251006,160000,24.65,24.65,24.65,24.65,500,0
IBGL.US,60,20251006,170000,24.714,24.72,24.714,24.72,500,0
IBGL.US,60,20251006,180000,24.67,24.67,24.67,24.67,250,0
IBGL.US,60,20251006,210000,24.64,24.64,24.64,24.64,100,0
IBGL.US,60,20251008,200000,24.8082,24.8082,24.8082,24.8082,200,0
IBGL.US,60,20251008,210000,24.76,24.77,24.76,24.77,300,0
IBGL.US,60,20251010,200000,25.0881,25.0881,25.07,25.07,1300,0
IBGL.US,60,20251014,220000,25.21,25.22,25.21,25.21,965,0
IBGL.US,60,20251021,180000,25.51,25.53,25.51,25.53,882,0
IBGL.US,60,20251023,210000,25.41,25.41,25.4099,25.4099,200,0
IBGL.US,60,20251023,220000,25.37,25.37,25.37,25.37,500,0
IBGL.US,60,20251027,160000,25.3834,25.3834,25.34,25.34,278,0
IBGL.US,60,20251028,200000,25.5,25.5,25.5,25.5,156,0
IBGL.US,60,20251029,210000,25.3,25.3,25.3,25.3,995,0
IBGL.US,60,20251031,160000,25.11,25.125,25.11,25.11,1132,0
IBGL.US,60,20251104,170000,24.88,25.01,24.85,24.99,3211,0
IBGL.US,60,20251104,200000,24.97,24.97,24.97,24.97,300,0
IBGL.US,60,20251106,170000,24.92,24.92,24.92,24.92,166,0
IBGL.US,60,20251107,180000,24.9491,24.9491,24.9491,24.9491,320,0
IBGL.US,60,20251110,160000,24.83,24.835,24.83,24.835,200,0
IBGL.US,60,20251110,200000,24.87,24.87,24.87,24.87,200,0
IBGL.US,60,20251112,160000,24.97,24.97,24.97,24.97,160,0
IBGL.US,60,20251113,200000,24.89,24.8955,24.89,24.8955,400,0
IBGL.US,60,20251114,170000,24.81,24.81,24.81,24.81,268,0
IBGL.US,60,20251114,180000,24.73,24.74,24.72,24.73,3363,0
IBGL.US,60,20251114,190000,24.7,24.7,24.7,24.7,100,0
IBGL.US,60,20251114,220000,24.7,24.7,24.7,24.7,100,0
IBGL.US,60,20251120,210000,24.78,24.78,24.78,24.78,679,0
IBGL.US,60,20251120,220000,24.7932,24.7932,24.7801,24.79,1149,0
IBGL.US,60,20251121,160000,24.8601,24.8601,24.85,24.85,350,0
IBGL.US,60,20251121,190000,24.78,24.78,24.78,24.78,100,0
IBGL.US,60,20251124,160000,24.98,24.98,24.98,24.98,100,0
IBGL.US,60,20251126,170000,24.98,24.98,24.98,24.98,100,0
IBGL.US,60,20251202,200000,24.6799,24.6799,24.6799,24.6799,650,0
IBGL.US,60,20251202,220000,24.68,24.68,24.68,24.68,400,0
IBGL.US,60,20251203,170000,24.7491,24.7491,24.7491,24.7491,144,0
IBGL.US,60,20251205,200000,24.49,24.49,24.49,24.49,100,0
IBGL.US,60,20251209,170000,24.49,24.49,24.49,24.49,300,0
IBGL.US,60,20251209,180000,24.446,24.46,24.445,24.46,3348,0
IBGL.US,60,20251209,190000,24.48,24.48,24.46,24.46,4544,0
IBGL.US,60,20251210,220000,24.51,24.51,24.51,24.51,200,0
IBGL.US,60,20251211,160000,24.64,24.64,24.64,24.64,100,0
IBGL.US,60,20251211,170000,24.64,24.64,24.62,24.63,1671,0
IBGL.US,60,20251212,160000,24.3,24.3,24.3,24.3,100,0
IBGL.US,60,20251212,170000,24.31,24.31,24.3097,24.3097,200,0
IBGL.US,60,20251212,220000,24.267,24.267,24.267,24.267,126,0
IBGL.US,60,20251215,160000,24.3808,24.3808,24.3808,24.3808,103,0
IBGL.US,60,20251215,170000,24.4,24.41,24.4,24.41,4000,0
IBGL.US,60,20251216,160000,24.2394,24.2394,24.2394,24.2394,100,0
IBGL.US,60,20251216,170000,24.3201,24.37,24.3201,24.37,500,0
IBGL.US,60,20251217,160000,24.39,24.39,24.39,24.39,202,0
IBGL.US,60,20251217,200000,24.38,24.38,24.3519,24.3519,660,0
IBGL.US,60,20251217,220000,24.42,24.42,24.42,24.42,336,0
IBGL.US,60,20251218,160000,24.51,24.51,24.5098,24.5098,200,0
IBGL.US,60,20251222,190000,24.2944,24.2944,24.29,24.29,2122,0
IBGL.US,60,20251222,220000,24.2699,24.29,24.2699,24.29,3500,0
IBGL.US,60,20251224,170000,24.27,24.38,24.27,24.38,962,0
