<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTQ.US,60,20250331,160000,24.89,25.27,24.89,25.2699,2900,0
IBTQ.US,60,20250331,180000,25.1891,25.19,25.1891,25.19,696,0
IBTQ.US,60,20250331,220000,25.21,25.21,25.21,25.21,100,0
IBTQ.US,60,20250401,180000,25.36,25.44,25.35,25.35,8200,0
IBTQ.US,60,20250401,210000,25.36,25.36,25.35,25.35,1500,0
IBTQ.US,60,20250401,220000,25.34,25.34,25.34,25.34,300,0
IBTQ.US,60,20250403,170000,25.37,25.61,25.37,25.61,200,0
IBTQ.US,60,20250403,210000,25.57,25.57,25.57,25.57,100,0
IBTQ.US,60,20250404,200000,25.8099,25.8099,25.8099,25.8099,100,0
IBTQ.US,60,20250407,180000,25.51,25.51,25.51,25.51,100,0
IBTQ.US,60,20250408,170000,25.19,25.19,25.179,25.1899,1744,0
IBTQ.US,60,20250408,180000,25.26,25.2749,25.26,25.2749,512,0
IBTQ.US,60,20250408,190000,25.28,25.325,25.2727,25.29,2200,0
IBTQ.US,60,20250408,200000,25.32,25.32,25.2954,25.2954,300,0
IBTQ.US,60,20250408,210000,25.18,25.2,25.15,25.1828,900,0
IBTQ.US,60,20250408,220000,25.2061,25.227,25.1999,25.21,4650,0
IBTQ.US,60,20250409,160000,24.97,24.99,24.92,24.98,2300,0
IBTQ.US,60,20250409,170000,25,25,24.94,24.97,1200,0
IBTQ.US,60,20250409,200000,24.9251,24.93,24.8958,24.93,3320,0
IBTQ.US,60,20250409,220000,24.93,24.94,24.9297,24.9297,1400,0
IBTQ.US,60,20250410,180000,25.06,25.06,25.06,25.06,100,0
IBTQ.US,60,20250410,220000,24.88,24.89,24.88,24.89,2100,0
IBTQ.US,60,20250411,190000,24.699,24.699,24.699,24.699,100,0
IBTQ.US,60,20250411,210000,24.73,24.73,24.7197,24.7197,1813,0
IBTQ.US,60,20250411,220000,24.74,24.77,24.74,24.77,600,0
IBTQ.US,60,20250414,160000,24.8804,24.8804,24.8804,24.8804,100,0
IBTQ.US,60,20250414,170000,24.8692,24.8692,24.86,24.86,423,0
IBTQ.US,60,20250414,190000,24.88,24.88,24.88,24.88,100,0
IBTQ.US,60,20250414,200000,24.879,24.879,24.879,24.879,200,0
IBTQ.US,60,20250414,210000,24.98,24.98,24.97,24.98,900,0
IBTQ.US,60,20250415,220000,24.96,25.06,24.949,25.06,3068,0
IBTQ.US,60,20250416,200000,25.08,25.08,25.08,25.08,217,0
IBTQ.US,60,20250416,210000,25.1305,25.14,25.1305,25.14,520,0
IBTQ.US,60,20250416,220000,25.15,25.15,25.15,25.15,100,0
IBTQ.US,60,20250417,170000,25.15,25.15,25.1251,25.1251,2420,0
IBTQ.US,60,20250417,180000,25.1274,25.1274,25.12,25.12,350,0
IBTQ.US,60,20250417,220000,25.02,25.02,25.02,25.02,200,0
IBTQ.US,60,20250421,170000,25.03,25.03,25.03,25.03,280,0
IBTQ.US,60,20250421,210000,24.94,24.94,24.9399,24.9399,800,0
IBTQ.US,60,20250422,160000,24.94,24.9509,24.93,24.9509,1582,0
IBTQ.US,60,20250422,180000,24.93,24.93,24.93,24.93,100,0
IBTQ.US,60,20250422,190000,24.9532,24.9532,24.9532,24.9532,200,0
IBTQ.US,60,20250422,200000,24.95,24.95,24.95,24.95,100,0
IBTQ.US,60,20250425,170000,25.15,25.15,25.15,25.15,100,0
IBTQ.US,60,20250425,190000,25.2099,25.2099,25.2099,25.2099,10904,0
IBTQ.US,60,20250429,170000,25.21,25.35,25.21,25.35,379,0
IBTQ.US,60,20250501,190000,25.19,25.19,25.19,25.19,100,0
IBTQ.US,60,20250501,210000,25.1765,25.1765,25.1765,25.1765,596,0
IBTQ.US,60,20250501,220000,25.18,25.18,25.18,25.18,100,0
IBTQ.US,60,20250505,200000,24.9417,24.9484,24.9417,24.9484,1000,0
IBTQ.US,60,20250505,210000,24.93,24.93,24.93,24.93,100,0
IBTQ.US,60,20250505,220000,24.98,24.98,24.98,24.98,18551,0
IBTQ.US,60,20250506,190000,24.96,24.9665,24.9599,24.9665,1304,0
IBTQ.US,60,20250506,220000,25.05,25.05,25.04,25.0464,2139,0
IBTQ.US,60,20250507,200000,25.1183,25.1183,25.1183,25.1183,240,0
IBTQ.US,60,20250507,210000,25.16,25.16,25.1547,25.155,300,0
IBTQ.US,60,20250508,180000,25.06,25.06,25.05,25.05,900,0
IBTQ.US,60,20250508,200000,24.96,24.96,24.96,24.96,100,0
IBTQ.US,60,20250508,220000,24.94,24.94,24.94,24.94,100,0
IBTQ.US,60,20250509,210000,24.96,24.97,24.96,24.97,1493,0
IBTQ.US,60,20250509,220000,24.95,24.95,24.95,24.95,382,0
IBTQ.US,60,20250512,160000,24.8,24.8,24.8,24.8,220,0
IBTQ.US,60,20250512,190000,24.8098,24.8098,24.8098,24.8098,2180,0
IBTQ.US,60,20250513,170000,24.75,24.76,24.75,24.76,1000,0
IBTQ.US,60,20250513,180000,24.778,24.778,24.778,24.778,3000,0
IBTQ.US,60,20250513,190000,24.71,24.71,24.7,24.7,2180,0
IBTQ.US,60,20250514,170000,24.73,24.73,24.6992,24.6992,600,0
IBTQ.US,60,20250514,180000,24.7,24.7,24.7,24.7,200,0
IBTQ.US,60,20250514,190000,24.67,24.67,24.67,24.67,271,0
IBTQ.US,60,20250514,210000,24.67,24.68,24.665,24.67,10360,0
IBTQ.US,60,20250515,200000,24.8204,24.8204,24.8204,24.8204,1268,0
IBTQ.US,60,20250516,160000,25.45,25.45,24.91,24.9198,2480,0
IBTQ.US,60,20250519,200000,24.7383,24.7383,24.7383,24.7383,385,0
IBTQ.US,60,20250520,220000,24.79,24.81,24.77,24.77,5300,0
