<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LMTL.US,60,20250806,190000,25.675,25.9292,25.51,25.9292,1750,0
LMTL.US,60,20250806,200000,25.85,25.85,25.85,25.85,500,0
LMTL.US,60,20250807,160000,25.65,25.65,25.45,25.45,12300,0
LMTL.US,60,20250807,170000,25.13,25.2,25.13,25.2,241,0
LMTL.US,60,20250807,200000,25.19,25.19,25.19,25.19,200,0
LMTL.US,60,20250808,220000,24.725,24.725,24.725,24.725,200,0
LMTL.US,60,20250811,160000,24.7,24.7,24.65,24.65,800,0
LMTL.US,60,20250811,170000,24.58,24.65,24.58,24.6,1412,0
LMTL.US,60,20250811,180000,24.65,24.65,24.65,24.65,4000,0
LMTL.US,60,20250811,210000,24.7,24.7,24.62,24.63,600,0
LMTL.US,60,20250812,170000,24.9,24.9,24.81,24.81,200,0
LMTL.US,60,20250812,190000,24.85,24.85,24.85,24.85,100,0
LMTL.US,60,20250813,170000,25.93,25.969,25.78,25.969,652,0
LMTL.US,60,20250813,190000,26.1,26.1,26.045,26.045,900,0
LMTL.US,60,20250813,200000,26.265,26.265,26.265,26.265,100,0
LMTL.US,60,20250813,210000,26.3,26.3,26.3,26.3,3200,0
LMTL.US,60,20250813,220000,26.4115,26.639,26.3801,26.609,5947,0
LMTL.US,60,20250814,160000,26.3768,26.64,26.319,26.319,3450,0
LMTL.US,60,20250814,170000,26.34,26.34,26.29,26.3283,389,0
LMTL.US,60,20250814,180000,26.41,26.41,25.82,25.82,4975,0
LMTL.US,60,20250814,190000,25.9482,25.98,25.8,25.86,6500,0
LMTL.US,60,20250814,200000,25.82,25.8891,25.71,25.86,900,0
LMTL.US,60,20250814,210000,25.89,25.89,25.79,25.79,1100,0
LMTL.US,60,20250814,220000,25.78,27.045,25.76,25.97,1550,0
LMTL.US,60,20250815,160000,26.2,26.42,26.0608,26.0608,1438,0
LMTL.US,60,20250815,170000,26.13,26.87,25.9,26.3517,5375,0
LMTL.US,60,20250815,180000,26.505,26.505,26,26.445,1200,0
LMTL.US,60,20250815,190000,26.54,26.6642,26.12,26.12,387,0
LMTL.US,60,20250815,200000,26.56,26.56,26.28,26.28,500,0
LMTL.US,60,20250815,210000,26.12,26.5,26,26.29,4286,0
LMTL.US,60,20250815,220000,26.2225,26.27,26.03,26.03,1700,0
LMTL.US,60,20250818,160000,26.3398,26.3694,26.26,26.27,884,0
LMTL.US,60,20250818,170000,26.27,26.46,26.27,26.46,200,0
LMTL.US,60,20250818,180000,26.6291,26.6291,26.61,26.61,200,0
LMTL.US,60,20250818,190000,26.61,26.68,26.6099,26.68,599,0
LMTL.US,60,20250818,200000,26.68,26.68,26.638,26.638,1675,0
LMTL.US,60,20250818,210000,26.59,26.59,26.5,26.5,700,0
LMTL.US,60,20250818,220000,26.38,26.39,26.38,26.39,400,0
LMTL.US,60,20250819,160000,26.1519,26.46,26.1519,26.46,520,0
LMTL.US,60,20250819,170000,26.52,26.5786,26.52,26.5786,254,0
LMTL.US,60,20250819,180000,26.5685,26.5685,26.45,26.45,234,0
LMTL.US,60,20250819,200000,26.41,26.41,26.41,26.41,500,0
LMTL.US,60,20250819,210000,26.2078,26.28,26.19,26.235,3283,0
LMTL.US,60,20250819,220000,26.27,26.27,26.27,26.27,100,0
LMTL.US,60,20250820,160000,26.54,26.99,26.54,26.92,3900,0
LMTL.US,60,20250820,170000,26.64,26.71,26.63,26.71,1597,0
LMTL.US,60,20250820,180000,26.7,26.7,26.631,26.631,687,0
LMTL.US,60,20250820,190000,26.745,26.745,26.745,26.745,100,0
