<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LMTS.US,60,20250811,170000,24.85,25.199,24.85,25.199,617,0
LMTS.US,60,20250908,210000,24.51,24.51,23.299,23.2999,3700,0
LMTS.US,60,20250917,200000,22.57,22.57,22.57,22.57,100,0
LMTS.US,60,20250924,220000,21.899,21.899,21.899,21.899,660,0
LMTS.US,60,20250925,190000,21.87,21.87,21.86,21.87,600,0
LMTS.US,60,20251001,170000,21.28,21.28,21.28,21.28,100,0
LMTS.US,60,20251001,180000,21.21,21.21,21.21,21.21,100,0
LMTS.US,60,20251010,190000,20.79,20.79,20.79,20.79,100,0
LMTS.US,60,20251010,220000,21.0437,21.0437,21.0437,21.0437,2146,0
LMTS.US,60,20251015,170000,21.21,21.21,21.21,21.21,100,0
LMTS.US,60,20251015,190000,21.79,21.79,21.79,21.79,100,0
LMTS.US,60,20251015,220000,21.24,21.24,21.24,21.24,100,0
LMTS.US,60,20251021,170000,21.66,21.66,21.46,21.51,1000,0
LMTS.US,60,20251022,160000,21.73,21.76,21.72,21.76,400,0
LMTS.US,60,20251027,170000,21.72,22.06,21.6,21.99,2186,0
LMTS.US,60,20251027,180000,21.97,21.97,21.97,21.97,100,0
LMTS.US,60,20251028,210000,21.97,22.0199,21.92,21.9355,1056,0
LMTS.US,60,20251104,220000,22.02,22.02,22.02,22.02,100,0
LMTS.US,60,20251105,170000,22.15,22.2,22.13,22.2,850,0
LMTS.US,60,20251106,160000,22.54,22.54,22.54,22.54,100,0
LMTS.US,60,20251106,170000,22.54,22.58,22.5,22.56,800,0
LMTS.US,60,20251110,160000,23.58,23.58,23.58,23.58,100,0
LMTS.US,60,20251113,170000,23.54,23.64,23.2,23.24,3100,0
LMTS.US,60,20251113,200000,23.31,23.31,23.31,23.31,100,0
LMTS.US,60,20251114,160000,23.55,23.56,23.11,23.2,2271,0
LMTS.US,60,20251114,170000,23.2,23.29,23.19,23.19,600,0
LMTS.US,60,20251114,180000,23.12,23.12,23.1,23.1,300,0
LMTS.US,60,20251114,190000,23.1,23.1,23.1,23.1,100,0
LMTS.US,60,20251117,220000,22.66,22.66,22.66,22.66,100,0
LMTS.US,60,20251118,160000,22.55,22.55,22.55,22.55,100,0
LMTS.US,60,20251119,170000,22.58,22.68,22.52,22.64,1500,0
LMTS.US,60,20251120,180000,22.88,22.9,22.87,22.9,300,0
LMTS.US,60,20251120,190000,22.92,22.92,22.85,22.85,499,0
LMTS.US,60,20251120,220000,22.77,22.77,22.76,22.76,600,0
LMTS.US,60,20251121,190000,22.8,22.8,22.8,22.8,450,0
LMTS.US,60,20251121,210000,22.98,22.99,22.955,22.96,12663,0
LMTS.US,60,20251124,170000,23.37,23.38,23.35,23.38,900,0
LMTS.US,60,20251124,190000,23.52,23.52,23.52,23.52,260,0
LMTS.US,60,20251124,200000,23.51,23.59,23.51,23.58,1460,0
LMTS.US,60,20251124,210000,23.59,23.59,23.59,23.59,2100,0
LMTS.US,60,20251125,170000,23.66,23.66,23.62,23.64,421,0
LMTS.US,60,20251125,180000,23.64,23.64,23.61,23.63,700,0
LMTS.US,60,20251202,170000,24.03,24.04,24.01,24.04,850,0
LMTS.US,60,20251203,210000,23.96,23.96,23.76,23.8,400,0
LMTS.US,60,20251203,220000,23.625,23.73,23.625,23.73,200,0
LMTS.US,60,20251204,190000,23.75,23.75,23.72,23.72,600,0
LMTS.US,60,20251204,200000,23.75,23.75,23.75,23.75,500,0
LMTS.US,60,20251205,170000,23.635,23.635,23.56,23.57,1100,0
LMTS.US,60,20251205,180000,23.5717,23.5717,23.5717,23.5717,195,0
LMTS.US,60,20251208,220000,22.83,22.83,22.83,22.83,400,0
LMTS.US,60,20251209,180000,22.49,22.53,22.49,22.53,460,0
LMTS.US,60,20251209,190000,22.57,22.57,22.5,22.57,500,0
LMTS.US,60,20251209,200000,22.64,22.64,22.64,22.64,100,0
LMTS.US,60,20251209,220000,22.7496,22.7496,22.7496,22.7496,876,0
LMTS.US,60,20251210,160000,23.08,23.08,22.99,22.99,250,0
LMTS.US,60,20251210,170000,23.01,23.04,22.9,22.9,650,0
LMTS.US,60,20251210,180000,22.82,22.82,22.82,22.82,260,0
LMTS.US,60,20251211,220000,22.24,22.34,22.23,22.34,600,0
LMTS.US,60,20251212,190000,22.16,22.16,22.09,22.09,1280,0
LMTS.US,60,20251212,220000,22.15,22.15,22.15,22.15,280,0
LMTS.US,60,20251215,190000,22,22.01,22,22,12300,0
LMTS.US,60,20251218,170000,22.45,22.45,22.45,22.45,200,0
LMTS.US,60,20251218,180000,22.57,22.57,22.57,22.57,200,0
LMTS.US,60,20251218,210000,22.5,22.5,22.5,22.5,200,0
