<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYCF.US,60,20240927,160000,25.0066,25.03,25.0066,25.0197,5359,0
MYCF.US,60,20240927,170000,25.03,25.03,25.03,25.03,145,0
MYCF.US,60,20240927,190000,25.03,25.78,25.02,25.03,7998,0
MYCF.US,60,20240927,200000,25.05,25.06,25.0333,25.04,6191,0
MYCF.US,60,20240927,210000,25.0233,25.04,25.0233,25.0399,6127,0
MYCF.US,60,20240927,220000,25.04,25.05,25.0233,25.0249,14028,0
MYCF.US,60,20240930,160000,25.03,25.03,25.01,25.01,520,0
MYCF.US,60,20240930,170000,25.03,25.03,25.0199,25.0299,8050,0
MYCF.US,60,20240930,190000,25.02,25.07,25.02,25.07,3100,0
MYCF.US,60,20240930,210000,25.02,25.02,25.0199,25.0199,200,0
MYCF.US,60,20241001,190000,25.01,25.02,25.0099,25.01,9562,0
MYCF.US,60,20241001,210000,25,25,25,25,1223,0
MYCF.US,60,20241001,220000,25.01,25.01,25.01,25.01,100,0
MYCF.US,60,20241003,190000,25.01,25.06,25.01,25.0299,79646,0
MYCF.US,60,20241003,200000,25.07,25.07,25.03,25.03,10700,0
MYCF.US,60,20241008,180000,25,25,25,25,45792,0
MYCF.US,60,20241009,220000,25.0092,25.0092,25.0092,25.0092,708,0
MYCF.US,60,20241010,190000,25.02,25.02,25.02,25.02,200,0
MYCF.US,60,20241011,180000,25.04,25.04,25.04,25.04,200,0
MYCF.US,60,20241014,220000,25.03,25.03,25.03,25.03,1473,0
MYCF.US,60,20241015,160000,25.02,25.02,25.02,25.02,129,0
MYCF.US,60,20241015,210000,25.04,25.06,25.04,25.045,36000,0
MYCF.US,60,20241015,220000,25.04,25.04,25.04,25.04,127,0
MYCF.US,60,20241016,180000,25.0233,25.0233,25.0233,25.0233,220,0
MYCF.US,60,20241024,220000,25.06,25.06,25.02,25.02,885,0
MYCF.US,60,20241025,190000,25.0229,25.05,25.0229,25.05,12600,0
MYCF.US,60,20241025,210000,25.04,25.04,25.0399,25.0399,200,0
MYCF.US,60,20241028,190000,25.0157,25.03,25.0157,25.03,8000,0
MYCF.US,60,20241029,200000,25.0144,25.0144,25.0144,25.0144,120,0
MYCF.US,60,20241101,170000,25.02,25.02,24.91,24.91,260,0
MYCF.US,60,20241104,180000,24.92,24.9201,24.92,24.9201,240,0
MYCF.US,60,20241104,210000,24.9255,24.9255,24.9255,24.9255,200,0
MYCF.US,60,20241104,220000,24.9219,24.95,24.9219,24.9499,1331,0
MYCF.US,60,20241105,180000,24.92,24.94,24.92,24.94,2560,0
MYCF.US,60,20241105,220000,24.935,24.935,24.935,24.935,102,0
MYCF.US,60,20241106,200000,24.94,24.94,24.94,24.94,100,0
MYCF.US,60,20241106,220000,24.935,24.94,24.935,24.94,1338,0
MYCF.US,60,20241107,190000,24.956,24.956,24.956,24.956,163,0
MYCF.US,60,20241107,220000,24.9895,24.99,24.9757,24.9899,1100,0
MYCF.US,60,20241108,180000,27.47,27.47,27.47,27.47,220,0
MYCF.US,60,20241108,190000,24.9892,24.9892,24.9892,24.9892,2001,0
MYCF.US,60,20241112,210000,24.9101,24.9101,24.9101,24.9101,127,0
MYCF.US,60,20241112,220000,24.9189,24.9189,24.9189,24.9189,897,0
MYCF.US,60,20241113,190000,24.97,24.97,24.97,24.97,1000,0
MYCF.US,60,20241113,210000,24.96,24.96,24.94,24.9599,2610,0
MYCF.US,60,20241113,220000,24.9388,24.9388,24.9388,24.9388,249,0
MYCF.US,60,20241114,170000,24.9331,24.9331,24.9331,24.9331,2000,0
MYCF.US,60,20241114,220000,24.94,24.94,24.94,24.94,400,0
