<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYCI.US,60,20241008,180000,24.75,24.75,24.74,24.74,400,0
MYCI.US,60,20241010,190000,24.7613,24.7613,24.7613,24.7613,386,0
MYCI.US,60,20241010,210000,24.75,24.75,24.75,24.75,12392,0
MYCI.US,60,20241010,220000,24.76,24.76,24.76,24.76,6044,0
MYCI.US,60,20241011,180000,24.81,24.81,24.8099,24.8099,347,0
MYCI.US,60,20241011,200000,24.81,24.81,24.8099,24.8099,200,0
MYCI.US,60,20241015,170000,24.83,24.84,24.82,24.84,595,0
MYCI.US,60,20241015,180000,24.82,24.85,24.81,24.82,1000,0
MYCI.US,60,20241015,190000,24.82,24.84,24.81,24.83,600,0
MYCI.US,60,20241015,200000,24.82,24.82,24.82,24.82,400,0
MYCI.US,60,20241015,210000,24.82,24.83,24.82,24.83,600,0
MYCI.US,60,20241015,220000,24.83,24.86,24.82,24.86,1310,0
MYCI.US,60,20241016,180000,24.86,24.86,24.8457,24.8457,442,0
MYCI.US,60,20241016,210000,24.85,24.85,24.85,24.85,173,0
MYCI.US,60,20241017,160000,24.82,24.82,24.82,24.82,160,0
MYCI.US,60,20241017,210000,24.795,24.8,24.795,24.8,300,0
MYCI.US,60,20241018,220000,24.81,24.81,24.81,24.81,1257,0
MYCI.US,60,20241021,190000,24.6933,24.7197,24.6933,24.7197,264,0
MYCI.US,60,20241022,200000,24.69,24.6997,24.69,24.6997,550,0
MYCI.US,60,20241023,220000,24.6781,24.6781,24.64,24.65,870,0
MYCI.US,60,20241030,210000,24.6,24.6,24.6,24.6,315,0
MYCI.US,60,20241101,180000,24.46,24.46,24.46,24.46,315,0
MYCI.US,60,20241104,170000,24.52,24.52,24.51,24.51,200,0
MYCI.US,60,20241104,180000,24.51,24.51,24.51,24.51,400,0
MYCI.US,60,20241104,190000,24.51,24.51,24.51,24.51,149,0
MYCI.US,60,20241105,220000,24.5,24.53,24.5,24.53,1775,0
MYCI.US,60,20241106,190000,24.48,24.48,24.48,24.48,13320,0
MYCI.US,60,20241107,180000,24.579,24.58,24.579,24.58,713,0
MYCI.US,60,20241107,220000,24.6,24.6,24.6,24.6,485,0
MYCI.US,60,20241108,180000,24.6191,24.6191,24.6191,24.6191,224,0
MYCI.US,60,20241108,220000,24.59,24.59,24.59,24.59,138,0
MYCI.US,60,20241112,200000,24.47,24.47,24.47,24.47,1565,0
MYCI.US,60,20241112,220000,24.47,24.47,24.47,24.47,800,0
MYCI.US,60,20241113,160000,24.52,24.52,24.52,24.52,300,0
MYCI.US,60,20241114,180000,24.48,24.48,24.48,24.48,100,0
MYCI.US,60,20241115,170000,24.41,24.41,24.41,24.41,100,0
MYCI.US,60,20241118,190000,24.48,24.48,24.48,24.48,100,0
MYCI.US,60,20241118,210000,24.51,24.51,24.51,24.51,2039,0
MYCI.US,60,20241119,170000,24.53,24.53,24.53,24.53,100,0
MYCI.US,60,20241119,190000,24.55,24.55,24.5499,24.5499,12430,0
MYCI.US,60,20241119,220000,24.53,24.54,24.525,24.54,4400,0
MYCI.US,60,20241120,180000,24.51,24.51,24.51,24.51,100,0
MYCI.US,60,20241121,190000,24.49,24.49,24.49,24.49,265,0
MYCI.US,60,20241122,180000,24.49,24.49,24.49,24.49,200,0
MYCI.US,60,20241125,200000,24.59,24.59,24.59,24.59,100,0
MYCI.US,60,20241125,220000,24.61,24.61,24.61,24.61,250,0
MYCI.US,60,20241126,190000,24.56,24.56,24.56,24.56,100,0
MYCI.US,60,20241126,220000,24.59,24.59,24.59,24.59,175,0
MYCI.US,60,20241127,170000,24.62,24.63,24.62,24.63,300,0
MYCI.US,60,20241127,220000,24.66,24.66,24.66,24.66,247,0
MYCI.US,60,20241129,190000,24.71,24.71,24.71,24.71,100,0
MYCI.US,60,20241202,180000,24.62,24.62,24.62,24.62,100,0
MYCI.US,60,20241203,200000,24.64,24.64,24.64,24.64,100,0
MYCI.US,60,20241204,170000,24.63,24.63,24.63,24.63,100,0
MYCI.US,60,20241205,180000,24.63,24.63,24.63,24.63,1157,0
MYCI.US,60,20241205,190000,24.64,24.64,24.64,24.64,100,0
MYCI.US,60,20241206,170000,24.69,24.69,24.69,24.69,100,0
MYCI.US,60,20241206,180000,24.69,24.69,24.69,24.69,100,0
MYCI.US,60,20241210,220000,24.6892,24.6892,24.68,24.68,470,0
MYCI.US,60,20241211,180000,24.69,24.69,24.69,24.69,100,0
MYCI.US,60,20241213,200000,24.56,24.56,24.56,24.56,133,0
MYCI.US,60,20241213,220000,24.55,24.55,24.55,24.55,415,0
MYCI.US,60,20241216,180000,24.56,24.56,24.56,24.56,100,0
MYCI.US,60,20241217,170000,24.56,24.56,24.56,24.56,100,0
MYCI.US,60,20241217,190000,24.56,24.57,24.56,24.57,600,0
MYCI.US,60,20241217,200000,24.56,24.63,24.56,24.63,4073,0
MYCI.US,60,20241218,180000,24.56,24.56,24.56,24.56,250,0
MYCI.US,60,20241218,190000,24.56,24.56,24.56,24.56,521,0
MYCI.US,60,20241218,210000,24.47,24.47,24.45,24.45,800,0
MYCI.US,60,20241218,220000,24.38,24.38,24.38,24.38,500,0
MYCI.US,60,20241219,170000,24.29,24.29,24.29,24.29,100,0
MYCI.US,60,20241219,180000,24.29,24.3,24.29,24.3,842,0
MYCI.US,60,20241220,170000,24.32,24.32,24.32,24.32,100,0
MYCI.US,60,20241220,220000,24.35,24.35,24.33,24.33,2314,0
MYCI.US,60,20241223,190000,24.2975,24.2975,24.2975,24.2975,214,0
MYCI.US,60,20241226,180000,24.29,24.29,24.29,24.29,100,0
MYCI.US,60,20241226,210000,24.3562,24.3562,24.3562,24.3562,798,0
MYCI.US,60,20241227,190000,24.34,24.34,24.34,24.34,8413,0
MYCI.US,60,20241227,220000,24.32,24.32,24.32,24.32,100,0
MYCI.US,60,20241230,200000,24.38,24.38,24.38,24.38,100,0
MYCI.US,60,20241230,220000,24.39,24.39,24.39,24.39,200,0
MYCI.US,60,20241231,210000,24.355,24.36,24.355,24.36,400,0
MYCI.US,60,20250102,160000,24.39,24.39,24.39,24.39,100,0
MYCI.US,60,20250102,200000,24.37,24.37,24.37,24.37,100,0
MYCI.US,60,20250102,220000,24.39,24.39,24.39,24.39,2182,0
