<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NERD.US,60,20240411,160000,15.29,15.29,15.29,15.29,781,0
NERD.US,60,20240411,170000,15.1,15.1,15.08,15.08,1551,0
NERD.US,60,20240411,180000,15.08,15.0927,15.07,15.0701,2820,0
NERD.US,60,20240411,190000,15.1,15.1,15.1,15.1,330,0
NERD.US,60,20240411,200000,15.15,15.17,15.15,15.17,400,0
NERD.US,60,20240411,210000,15.18,15.19,15.18,15.19,450,0
NERD.US,60,20240411,220000,15.19,15.19,15.19,15.19,1450,0
NERD.US,60,20240412,160000,14.98,14.98,14.98,14.98,186,0
NERD.US,60,20240412,170000,14.93,14.93,14.93,14.93,110,0
NERD.US,60,20240412,180000,14.92,14.92,14.92,14.92,115,0
NERD.US,60,20240412,200000,14.88,14.88,14.88,14.88,400,0
NERD.US,60,20240415,160000,14.81,14.815,14.81,14.815,233,0
NERD.US,60,20240415,170000,14.79,14.79,14.79,14.79,123,0
NERD.US,60,20240415,190000,14.67,14.6827,14.67,14.6827,300,0
NERD.US,60,20240415,200000,14.6501,14.6501,14.5787,14.5787,200,0
NERD.US,60,20240415,220000,14.55,14.5501,14.55,14.5501,300,0
NERD.US,60,20240416,160000,14.5287,14.5287,14.5287,14.5287,301,0
NERD.US,60,20240416,170000,14.5282,14.56,14.5282,14.56,1990,0
NERD.US,60,20240416,190000,14.55,14.56,14.55,14.56,400,0
NERD.US,60,20240416,200000,14.53,14.53,14.53,14.53,100,0
NERD.US,60,20240416,210000,14.56,14.6,14.54,14.54,2700,0
NERD.US,60,20240417,160000,14.56,14.56,14.56,14.56,117,0
NERD.US,60,20240417,180000,14.5744,14.5744,14.5744,14.5744,100,0
NERD.US,60,20240417,190000,14.53,14.53,14.53,14.53,203,0
NERD.US,60,20240417,200000,14.5636,14.5779,14.5636,14.5779,512,0
NERD.US,60,20240417,210000,14.6,14.6,14.6,14.6,100,0
NERD.US,60,20240418,160000,14.54,14.54,14.54,14.54,200,0
NERD.US,60,20240418,200000,14.5,14.5,14.495,14.5,700,0
NERD.US,60,20240418,210000,14.5,14.5,14.49,14.49,1100,0
NERD.US,60,20240418,220000,14.49,14.49,14.49,14.49,180,0
NERD.US,60,20240419,160000,14.5,14.5,14.5,14.5,101,0
NERD.US,60,20240419,190000,14.4003,14.4003,14.4003,14.4003,1034,0
NERD.US,60,20240419,220000,14.3692,14.3692,14.3692,14.3692,145,0
NERD.US,60,20240422,160000,14.47,14.47,14.47,14.47,419,0
NERD.US,60,20240422,200000,14.55,14.55,14.55,14.55,100,0
NERD.US,60,20240423,170000,14.67,14.69,14.67,14.6701,1492,0
NERD.US,60,20240423,190000,14.67,14.67,14.67,14.67,300,0
NERD.US,60,20240424,210000,14.6139,14.6139,14.61,14.61,1100,0
NERD.US,60,20240424,220000,14.64,14.64,14.64,14.64,100,0
NERD.US,60,20240425,160000,14.35,14.35,14.35,14.35,100,0
NERD.US,60,20240425,180000,14.4,14.4,14.4,14.4,100,0
NERD.US,60,20240425,190000,14.425,14.46,14.425,14.46,308,0
NERD.US,60,20240425,200000,14.48,14.48,14.48,14.48,100,0
NERD.US,60,20240425,220000,14.52,14.52,14.51,14.51,2800,0
NERD.US,60,20240426,160000,14.48,14.6101,14.48,14.6101,313,0
NERD.US,60,20240426,220000,14.65,14.65,14.65,14.65,100,0
NERD.US,60,20240429,170000,14.78,14.78,14.78,14.78,1205,0
NERD.US,60,20240429,190000,14.85,14.865,14.85,14.865,700,0
NERD.US,60,20240429,200000,14.86,14.86,14.86,14.86,100,0
NERD.US,60,20240429,220000,14.84,14.84,14.84,14.84,100,0
NERD.US,60,20240430,160000,14.7,14.7,14.7,14.7,139,0
NERD.US,60,20240430,170000,14.6927,14.6927,14.68,14.68,200,0
NERD.US,60,20240430,220000,14.6,14.6,14.6,14.6,3362,0
NERD.US,60,20240501,170000,14.6003,14.6003,14.5804,14.5804,470,0
NERD.US,60,20240501,200000,14.61,14.6101,14.61,14.6101,240,0
NERD.US,60,20240502,160000,14.77,14.77,14.77,14.77,400,0
NERD.US,60,20240502,170000,14.75,14.75,14.75,14.75,100,0
NERD.US,60,20240502,180000,14.77,14.7801,14.77,14.7801,1170,0
NERD.US,60,20240502,210000,14.83,14.83,14.83,14.83,100,0
NERD.US,60,20240503,160000,15,15,15,15,213,0
NERD.US,60,20240503,170000,15.0601,15.0601,15.0601,15.0601,300,0
NERD.US,60,20240503,190000,15.08,15.08,15,15,3750,0
NERD.US,60,20240503,210000,15.07,15.0701,15.07,15.0701,2200,0
NERD.US,60,20240503,220000,15.09,15.09,15.09,15.09,107,0
NERD.US,60,20240506,160000,15,15,15,15,3212,0
NERD.US,60,20240506,220000,15.19,15.2,15.19,15.2,217,0
NERD.US,60,20240507,180000,15.28,15.31,15.28,15.31,4200,0
NERD.US,60,20240507,200000,15.29,15.31,15.28,15.28,8300,0
NERD.US,60,20240507,220000,15.28,15.31,15.275,15.3,19946,0
NERD.US,60,20240508,160000,15.0603,15.0603,15.01,15.02,20100,0
NERD.US,60,20240508,180000,14.994,14.994,14.994,14.994,165,0
NERD.US,60,20240508,200000,14.97,14.97,14.97,14.97,200,0
NERD.US,60,20240508,210000,14.99,14.99,14.99,14.99,383,0
NERD.US,60,20240509,160000,15,15.0037,15,15.0037,853,0
NERD.US,60,20240509,170000,15.01,15.11,15.01,15.11,1300,0
NERD.US,60,20240509,180000,15.07,15.07,15.07,15.07,400,0
NERD.US,60,20240509,200000,15.09,15.09,15.09,15.09,200,0
NERD.US,60,20240509,210000,15.08,15.08,15.08,15.08,300,0
NERD.US,60,20240510,160000,15.18,15.18,15.18,15.18,2070,0
NERD.US,60,20240510,220000,15.32,15.32,15.31,15.31,203,0
NERD.US,60,20240513,160000,15.33,15.44,15.33,15.44,200,0
NERD.US,60,20240513,220000,15.4,15.4,15.4,15.4,260,0
NERD.US,60,20240514,160000,15.6099,15.6099,15.6099,15.6099,100,0
NERD.US,60,20240514,170000,15.6301,15.6301,15.6301,15.6301,500,0
NERD.US,60,20240514,180000,15.64,15.644,15.64,15.644,850,0
NERD.US,60,20240514,190000,15.635,15.635,15.63,15.63,400,0
NERD.US,60,20240514,220000,15.64,15.66,15.64,15.66,577,0
NERD.US,60,20240515,160000,15.67,15.67,15.67,15.67,203,0
NERD.US,60,20240515,180000,15.7013,15.7013,15.7013,15.7013,162,0
NERD.US,60,20240515,190000,15.72,15.72,15.72,15.72,141,0
NERD.US,60,20240515,220000,15.74,15.75,15.74,15.75,266,0
NERD.US,60,20240516,170000,15.74,15.74,15.74,15.74,500,0
NERD.US,60,20240516,180000,15.74,15.7525,15.74,15.75,950,0
NERD.US,60,20240516,220000,15.6901,15.6901,15.67,15.67,2108,0
NERD.US,60,20240517,160000,15.68,15.68,15.68,15.68,160,0
NERD.US,60,20240517,220000,15.7,15.7,15.7,15.7,100,0
NERD.US,60,20240520,160000,15.64,15.64,15.64,15.64,305,0
NERD.US,60,20240520,170000,15.75,15.75,15.7401,15.7401,515,0
NERD.US,60,20240520,180000,15.7401,15.7401,15.7401,15.7401,480,0
NERD.US,60,20240520,190000,15.77,15.77,15.77,15.77,125,0
NERD.US,60,20240521,170000,15.71,15.71,15.71,15.71,100,0
NERD.US,60,20240521,180000,15.705,15.705,15.67,15.685,5190,0
NERD.US,60,20240521,200000,15.68,15.68,15.68,15.68,250,0
NERD.US,60,20240521,220000,15.68,15.68,15.68,15.68,206,0
NERD.US,60,20240522,160000,15.55,15.7,15.55,15.7,293,0
NERD.US,60,20240522,170000,15.7,15.715,15.7,15.715,200,0
NERD.US,60,20240522,180000,15.69,15.69,15.69,15.69,100,0
NERD.US,60,20240522,190000,15.692,15.7,15.692,15.7,319,0
NERD.US,60,20240522,220000,15.63,15.63,15.63,15.63,500,0
NERD.US,60,20240523,170000,15.52,15.54,15.52,15.54,300,0
NERD.US,60,20240523,180000,15.4801,15.4801,15.4801,15.4801,100,0
NERD.US,60,20240523,190000,15.49,15.49,15.46,15.46,272,0
NERD.US,60,20240523,200000,15.46,15.46,15.44,15.44,250,0
NERD.US,60,20240523,220000,15.4,15.4,15.4,15.4,400,0
NERD.US,60,20240524,160000,15.4,15.5,15.4,15.47,2371,0
NERD.US,60,20240524,170000,15.51,15.54,15.5,15.52,754,0
NERD.US,60,20240524,180000,15.5801,15.5801,15.57,15.57,408,0
NERD.US,60,20240524,200000,15.57,15.6,15.57,15.6,200,0
NERD.US,60,20240524,210000,15.585,15.59,15.585,15.59,501,0
NERD.US,60,20240524,220000,15.5803,15.59,15.5803,15.59,628,0
NERD.US,60,20240528,160000,15.35,15.41,15.35,15.41,502,0
NERD.US,60,20240528,190000,15.4742,15.475,15.46,15.475,476,0
NERD.US,60,20240528,220000,15.38,15.4,15.38,15.4,342,0
NERD.US,60,20240529,160000,15.12,15.12,15.12,15.12,644,0
NERD.US,60,20240529,190000,15.3194,15.3194,15.29,15.29,400,0
NERD.US,60,20240529,200000,15.3051,15.3051,15.29,15.29,218,0
NERD.US,60,20240530,220000,15.47,15.47,15.46,15.46,421,0
NERD.US,60,20240531,160000,15.6,15.6,15.6,15.6,200,0
NERD.US,60,20240531,220000,15.58,15.59,15.58,15.59,430,0
NERD.US,60,20240603,160000,15.7,15.7,15.7,15.7,100,0
NERD.US,60,20240603,170000,15.74,15.74,15.74,15.74,100,0
NERD.US,60,20240603,220000,15.75,15.75,15.75,15.75,217,0
NERD.US,60,20240604,160000,15.89,15.91,15.89,15.91,300,0
NERD.US,60,20240604,190000,15.9002,15.9002,15.9002,15.9002,100,0
NERD.US,60,20240604,210000,15.96,15.96,15.96,15.96,100,0
NERD.US,60,20240605,170000,15.945,15.945,15.945,15.945,101,0
NERD.US,60,20240605,190000,16,16,16,16,438,0
NERD.US,60,20240605,210000,16.03,16.0301,16.03,16.0301,200,0
NERD.US,60,20240605,220000,16.04,16.0404,16.04,16.04,700,0
NERD.US,60,20240606,160000,15.83,15.83,15.83,15.83,754,0
NERD.US,60,20240606,170000,15.99,15.99,15.99,15.99,800,0
NERD.US,60,20240606,200000,16.01,16.01,16.01,16.01,100,0
NERD.US,60,20240606,210000,16,16,15.98,15.98,3025,0
NERD.US,60,20240606,220000,15.98,15.98,15.98,15.98,189,0
NERD.US,60,20240607,160000,15.89,15.9089,15.89,15.9089,600,0
NERD.US,60,20240607,170000,15.88,15.88,15.88,15.88,100,0
NERD.US,60,20240607,180000,15.9,15.9,15.9,15.9,100,0
NERD.US,60,20240607,190000,15.9,15.9,15.9,15.9,227,0
NERD.US,60,20240610,160000,15.8,15.8,15.8,15.8,150,0
NERD.US,60,20240610,180000,15.7501,15.7501,15.7501,15.7501,200,0
NERD.US,60,20240611,200000,15.73,15.7301,15.55,15.55,700,0
NERD.US,60,20240611,220000,15.632,15.632,15.62,15.63,910,0
NERD.US,60,20240612,160000,15.62,15.79,15.62,15.79,2368,0
NERD.US,60,20240612,180000,15.7619,15.7619,15.74,15.74,415,0
NERD.US,60,20240612,200000,15.74,15.74,15.73,15.73,750,0
NERD.US,60,20240612,220000,15.7,15.7,15.67,15.67,200,0
NERD.US,60,20240613,160000,15.6,15.61,15.6,15.61,534,0
NERD.US,60,20240613,170000,15.5,15.5001,15.5,15.5001,610,0
NERD.US,60,20240614,160000,15.53,15.53,15.53,15.53,800,0
NERD.US,60,20240614,170000,15.5201,15.5201,15.5,15.5,421,0
NERD.US,60,20240614,180000,15.51,15.525,15.51,15.525,262,0
NERD.US,60,20240614,190000,15.53,15.53,15.53,15.53,500,0
NERD.US,60,20240617,160000,15.41,15.41,15.41,15.41,474,0
NERD.US,60,20240617,180000,15.55,15.5501,15.55,15.5501,200,0
NERD.US,60,20240617,190000,15.595,15.595,15.595,15.595,143,0
NERD.US,60,20240617,210000,15.64,15.64,15.64,15.64,100,0
NERD.US,60,20240618,160000,15.57,15.7042,15.57,15.6811,1682,0
NERD.US,60,20240618,190000,15.68,15.6801,15.68,15.6801,200,0
NERD.US,60,20240618,210000,15.71,15.71,15.71,15.71,380,0
NERD.US,60,20240620,160000,15.66,15.66,15.57,15.5701,480,0
NERD.US,60,20240620,180000,15.57,15.57,15.54,15.54,700,0
NERD.US,60,20240620,200000,15.49,15.49,15.45,15.46,1400,0
NERD.US,60,20240620,210000,15.51,15.51,15.51,15.51,500,0
NERD.US,60,20240620,220000,15.48,15.4936,15.48,15.48,940,0
NERD.US,60,20240621,160000,15.48,15.48,15.46,15.47,4700,0
NERD.US,60,20240621,170000,15.48,15.49,15.46,15.46,4150,0
NERD.US,60,20240621,180000,15.4401,15.4701,15.4401,15.4701,330,0
NERD.US,60,20240621,220000,15.49,15.5,15.49,15.5,200,0
NERD.US,60,20240624,170000,15.61,15.6101,15.61,15.61,500,0
NERD.US,60,20240624,190000,15.61,15.6147,15.61,15.6147,260,0
NERD.US,60,20240624,210000,15.59,15.59,15.59,15.59,100,0
NERD.US,60,20240624,220000,15.62,15.62,15.62,15.62,250,0
NERD.US,60,20240625,160000,15.6,15.6,15.6,15.6,345,0
NERD.US,60,20240625,170000,15.69,15.69,15.69,15.69,6000,0
NERD.US,60,20240625,180000,15.71,15.71,15.71,15.71,500,0
NERD.US,60,20240625,220000,15.72,15.72,15.72,15.72,102,0
NERD.US,60,20240626,160000,15.65,15.76,15.65,15.76,863,0
NERD.US,60,20240626,170000,15.74,15.76,15.74,15.76,500,0
NERD.US,60,20240626,190000,15.77,15.8,15.77,15.8,1207,0
NERD.US,60,20240626,210000,15.76,15.76,15.76,15.76,326,0
NERD.US,60,20240626,220000,15.75,15.75,15.75,15.75,101,0
NERD.US,60,20240627,160000,15.83,15.83,15.7201,15.82,457,0
NERD.US,60,20240627,180000,15.746,15.746,15.746,15.746,120,0
NERD.US,60,20240627,190000,15.77,15.77,15.77,15.77,100,0
NERD.US,60,20240628,160000,15.86,15.87,15.86,15.87,1200,0
NERD.US,60,20240628,180000,15.8322,15.8322,15.8322,15.8322,200,0
NERD.US,60,20240701,160000,15.77,15.82,15.77,15.82,279,0
NERD.US,60,20240701,210000,15.75,15.75,15.75,15.75,199,0
NERD.US,60,20240702,170000,15.79,15.7901,15.79,15.7901,244,0
NERD.US,60,20240702,210000,15.805,15.86,15.805,15.8599,1714,0
NERD.US,60,20240703,160000,15.94,15.94,15.94,15.94,101,0
NERD.US,60,20240703,170000,15.9576,15.9576,15.95,15.95,300,0
NERD.US,60,20240703,180000,15.94,15.94,15.92,15.9342,1500,0
NERD.US,60,20240705,160000,15.99,15.99,15.99,15.99,295,0
NERD.US,60,20240705,170000,15.96,15.9601,15.96,15.9601,704,0
NERD.US,60,20240705,180000,16,16,15.96,15.98,1078,0
NERD.US,60,20240705,190000,15.965,15.965,15.965,15.965,180,0
NERD.US,60,20240705,200000,15.93,15.93,15.93,15.93,227,0
NERD.US,60,20240705,210000,15.94,15.95,15.94,15.95,580,0
NERD.US,60,20240708,160000,15.85,16,15.85,16,772,0
NERD.US,60,20240708,180000,15.965,15.99,15.965,15.99,400,0
NERD.US,60,20240708,190000,15.98,15.9895,15.98,15.9895,1596,0
NERD.US,60,20240708,200000,16,16,15.9983,15.9983,300,0
NERD.US,60,20240708,220000,16,16,16,16,100,0
NERD.US,60,20240709,160000,16.11,16.23,16.11,16.18,843,0
NERD.US,60,20240709,170000,16.13,16.15,16.13,16.1499,539,0
NERD.US,60,20240709,200000,16.14,16.1401,16.14,16.1401,1000,0
NERD.US,60,20240710,170000,16.24,16.2401,16.24,16.2401,200,0
NERD.US,60,20240710,190000,16.25,16.28,16.25,16.27,350,0
NERD.US,60,20240710,200000,16.29,16.29,16.29,16.29,100,0
NERD.US,60,20240710,210000,16.28,16.29,16.28,16.285,400,0
NERD.US,60,20240710,220000,16.28,16.3,16.28,16.3,906,0
NERD.US,60,20240711,160000,16.36,16.5,16.36,16.5,522,0
NERD.US,60,20240711,190000,16.4301,16.4301,16.4301,16.4301,397,0
NERD.US,60,20240711,220000,16.43,16.43,16.43,16.43,106,0
NERD.US,60,20240712,160000,16.5,16.5,16.5,16.5,199,0
NERD.US,60,20240712,170000,16.6462,16.6501,16.6462,16.6501,335,0
NERD.US,60,20240712,210000,16.682,16.682,16.682,16.682,207,0
NERD.US,60,20240712,220000,16.68,16.6942,16.64,16.65,4825,0
NERD.US,60,20240715,160000,16.61,16.61,16.61,16.61,100,0
NERD.US,60,20240715,170000,16.64,16.65,16.64,16.65,260,0
NERD.US,60,20240715,200000,16.5951,16.5951,16.576,16.576,350,0
NERD.US,60,20240715,210000,16.581,16.581,16.58,16.58,300,0
NERD.US,60,20240717,160000,16.54,16.55,16.43,16.55,1225,0
NERD.US,60,20240717,170000,16.55,16.56,16.54,16.56,2640,0
NERD.US,60,20240718,160000,16.41,16.41,16.41,16.41,500,0
NERD.US,60,20240718,210000,16.26,16.26,16.26,16.26,100,0
NERD.US,60,20240718,220000,16.22,16.22,16.22,16.22,100,0
NERD.US,60,20240722,170000,16.22,16.22,16.21,16.21,2317,0
NERD.US,60,20240722,190000,16.1999,16.1999,16.1999,16.1999,175,0
NERD.US,60,20240722,200000,16.2101,16.2101,16.2101,16.2101,146,0
NERD.US,60,20240722,210000,16.23,16.23,16.23,16.23,534,0
NERD.US,60,20240723,160000,16.15,16.15,16.15,16.15,449,0
NERD.US,60,20240723,170000,16.17,16.17,16.17,16.17,100,0
NERD.US,60,20240723,190000,16.1978,16.1978,16.1978,16.1978,102,0
NERD.US,60,20240724,160000,16.09,16.09,16.09,16.09,134,0
NERD.US,60,20240724,180000,16.2,16.215,16.2,16.215,302,0
NERD.US,60,20240724,190000,16.185,16.185,16.185,16.185,100,0
NERD.US,60,20240725,200000,16.1901,16.1901,16.1901,16.1901,300,0
NERD.US,60,20240725,220000,16.08,16.12,16.08,16.12,300,0
NERD.US,60,20240726,160000,16.23,16.23,16.23,16.23,600,0
NERD.US,60,20240726,170000,16.24,16.25,16.24,16.25,800,0
NERD.US,60,20240726,190000,16.26,16.26,16.26,16.26,239,0
NERD.US,60,20240726,200000,16.27,16.2701,16.27,16.2701,780,0
NERD.US,60,20240726,220000,16.24,16.2401,16.24,16.2401,200,0
NERD.US,60,20240729,170000,16.34,16.34,16.34,16.34,100,0
NERD.US,60,20240729,180000,16.31,16.31,16.31,16.31,300,0
NERD.US,60,20240729,210000,16.27,16.27,16.27,16.27,600,0
NERD.US,60,20240729,220000,16.28,16.29,16.28,16.29,532,0
NERD.US,60,20240730,160000,16.26,16.26,16.26,16.26,186,0
NERD.US,60,20240730,180000,16.19,16.215,16.19,16.2,382,0
NERD.US,60,20240730,200000,16.2,16.23,16.2,16.23,500,0
NERD.US,60,20240730,220000,16.23,16.23,16.22,16.22,1100,0
NERD.US,60,20240731,160000,16.41,16.49,16.41,16.49,408,0
NERD.US,60,20240731,180000,16.5504,16.5504,16.5504,16.5504,100,0
NERD.US,60,20240731,210000,16.4975,16.5,16.495,16.5,499,0
NERD.US,60,20240731,220000,16.5701,16.5701,16.5198,16.53,490,0
NERD.US,60,20240801,160000,16.2,16.25,16.2,16.25,2300,0
NERD.US,60,20240801,180000,16.1404,16.1404,16.1299,16.1299,563,0
NERD.US,60,20240801,200000,16.0009,16.0009,15.97,15.97,201,0
