<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPFI.US,60,20240530,190000,25.39,25.39,25.39,25.39,47183,0
NPFI.US,60,20240605,220000,25.38,25.38,25.38,25.38,100,0
NPFI.US,60,20240607,200000,25.3,25.3,25.25,25.2835,1513,0
NPFI.US,60,20240610,170000,25.32,25.32,25.32,25.32,1000,0
NPFI.US,60,20240627,200000,25.47,25.48,25.47,25.4766,1500,0
NPFI.US,60,20240628,180000,25.45,25.45,25.45,25.45,450,0
NPFI.US,60,20240702,190000,25.2816,25.2816,25.2816,25.2816,237,0
NPFI.US,60,20240716,210000,25.54,25.54,25.54,25.54,666,0
NPFI.US,60,20240717,160000,25.51,25.5101,25.51,25.5101,394,0
NPFI.US,60,20240723,220000,25.59,25.59,25.59,25.59,100,0
NPFI.US,60,20240724,170000,25.5999,25.5999,25.5999,25.5999,225,0
NPFI.US,60,20240731,180000,25.6124,25.6124,25.6124,25.6124,200,0
NPFI.US,60,20240802,200000,25.4419,25.4419,25.4419,25.4419,150,0
NPFI.US,60,20240805,160000,25.3425,25.3425,25.3425,25.3425,400,0
NPFI.US,60,20240808,170000,25.35,25.4386,25.35,25.43,300,0
NPFI.US,60,20240812,220000,25.48,25.48,25.48,25.48,100,0
NPFI.US,60,20240815,180000,25.62,25.62,25.62,25.62,82826,0
NPFI.US,60,20240816,170000,25.6389,25.6389,25.6389,25.6389,500,0
NPFI.US,60,20240816,190000,25.65,25.83,25.65,25.77,47723,0
NPFI.US,60,20240820,210000,25.7085,25.7085,25.7085,25.7085,578,0
NPFI.US,60,20240821,180000,25.72,25.84,25.72,25.74,157740,0
NPFI.US,60,20240821,220000,25.7689,25.7689,25.75,25.75,3917,0
NPFI.US,60,20240822,190000,25.7488,25.7488,25.7281,25.7281,894,0
NPFI.US,60,20240822,200000,25.69,25.69,25.69,25.69,483,0
NPFI.US,60,20240823,180000,25.78,25.78,25.761,25.7627,844,0
NPFI.US,60,20240823,200000,25.78,25.78,25.7799,25.7799,200,0
NPFI.US,60,20240826,220000,25.8,25.89,25.79,25.83,2540,0
