<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORCX.US,60,20250211,160000,21.3,21.48,21.25,21.27,4018,0
ORCX.US,60,20250211,170000,21.39,21.45,21.23,21.45,3804,0
ORCX.US,60,20250211,180000,21.22,21.22,21.125,21.13,940,0
ORCX.US,60,20250211,190000,21,21.21,20.96,20.99,3000,0
ORCX.US,60,20250211,200000,20.965,21.081,20.965,21.05,1400,0
ORCX.US,60,20250211,210000,21.1,21.19,21.1,21.11,2490,0
ORCX.US,60,20250211,220000,21.11,21.17,21.0898,21.0898,650,0
ORCX.US,60,20250212,160000,20.47,20.47,19.99,20.22,2375,0
ORCX.US,60,20250212,170000,20.2,20.2,19.58,19.8603,2300,0
ORCX.US,60,20250212,180000,19.89,19.99,19.82,19.99,1600,0
ORCX.US,60,20250212,190000,20.1037,20.2837,20.1,20.2837,5217,0
ORCX.US,60,20250212,200000,20.23,20.28,19.9101,19.98,1796,0
ORCX.US,60,20250212,210000,19.8701,19.931,19.8701,19.931,1000,0
ORCX.US,60,20250212,220000,19.94,19.96,19.92,19.96,3413,0
ORCX.US,60,20250213,160000,20.13,20.14,19.91,20.06,2010,0
ORCX.US,60,20250213,170000,20.1,20.1,20,20.04,1034,0
ORCX.US,60,20250213,180000,20.04,20.04,20.001,20.001,1100,0
ORCX.US,60,20250213,190000,20.18,20.2199,20.18,20.2199,223,0
ORCX.US,60,20250213,200000,20.04,20.04,19.88,19.98,2667,0
ORCX.US,60,20250213,210000,20.0335,20.28,20.0335,20.28,1848,0
ORCX.US,60,20250213,220000,20.28,20.34,20.22,20.34,1100,0
ORCX.US,60,20250214,160000,20.28,20.28,20.01,20.2001,3323,0
ORCX.US,60,20250214,170000,20.33,20.41,20.28,20.41,501,0
ORCX.US,60,20250214,180000,20.2,20.2,20.2,20.2,290,0
ORCX.US,60,20250214,190000,20.2499,20.2499,20.17,20.2,508,0
ORCX.US,60,20250214,200000,20.161,20.161,20.161,20.161,100,0
ORCX.US,60,20250214,210000,20.149,20.159,20.1,20.1,2400,0
ORCX.US,60,20250214,220000,20.011,20.39,20.011,20.36,2416,0
ORCX.US,60,20250218,160000,20.87,21.3,20.8138,20.93,3443,0
ORCX.US,60,20250218,170000,21.191,21.23,21.08,21.14,1543,0
ORCX.US,60,20250218,180000,21.2494,22.04,21.23,21.91,6043,0
ORCX.US,60,20250218,190000,21.9,22.06,21.871,21.871,3511,0
ORCX.US,60,20250218,200000,21.77,21.77,21.6201,21.6201,711,0
ORCX.US,60,20250218,210000,21.4,21.409,21.29,21.31,650,0
ORCX.US,60,20250218,220000,21.41,21.41,21.22,21.27,3216,0
ORCX.US,60,20250219,160000,21.32,21.43,20.9,21,3793,0
ORCX.US,60,20250219,170000,20.97,20.97,20.694,20.9182,3200,0
ORCX.US,60,20250219,180000,21,21.1,21,21.1,1100,0
ORCX.US,60,20250219,190000,21.07,21.15,21.01,21.15,400,0
ORCX.US,60,20250219,200000,21.13,21.13,21.13,21.13,100,0
ORCX.US,60,20250219,210000,21.5,21.635,21.48,21.635,1750,0
ORCX.US,60,20250219,220000,21.791,22,21.791,22,6000,0
ORCX.US,60,20250220,160000,21.45,21.45,21.31,21.38,935,0
ORCX.US,60,20250220,170000,20.91,21.31,20.91,21.08,2877,0
ORCX.US,60,20250220,180000,20.6,20.6894,20.3807,20.56,1975,0
ORCX.US,60,20250220,190000,20.67,20.85,20.67,20.85,1200,0
ORCX.US,60,20250220,200000,20.58,20.58,20.439,20.439,500,0
ORCX.US,60,20250220,210000,20.81,20.81,20.81,20.81,100,0
ORCX.US,60,20250220,220000,20.675,20.689,20.675,20.689,1400,0
ORCX.US,60,20250221,160000,20.65,20.65,20.6,20.6,500,0
ORCX.US,60,20250221,170000,20.08,20.08,19.948,20,2202,0
ORCX.US,60,20250221,180000,19.98,19.98,19.98,19.98,250,0
ORCX.US,60,20250221,190000,20.17,20.17,20,20.02,1919,0
ORCX.US,60,20250221,200000,19.67,19.68,19.291,19.291,4692,0
ORCX.US,60,20250221,210000,19,19,19,19,100,0
ORCX.US,60,20250221,220000,18.869,18.869,18.7,18.7,1350,0
ORCX.US,60,20250224,160000,20.19,20.19,18.54,18.5734,31287,0
ORCX.US,60,20250224,170000,18.2786,18.64,18.215,18.5515,5792,0
ORCX.US,60,20250224,180000,19.11,19.11,19,19,1123,0
ORCX.US,60,20250224,190000,19,19.409,18.9801,19.3,1948,0
ORCX.US,60,20250224,200000,19.37,19.37,19.34,19.34,2225,0
ORCX.US,60,20250224,210000,19.2124,19.2124,19.2124,19.2124,400,0
ORCX.US,60,20250224,220000,19.0655,19.36,19.03,19.23,3453,0
ORCX.US,60,20250225,160000,19.02,19.26,18.3001,18.3001,22500,0
ORCX.US,60,20250225,170000,18.31,18.31,18.0657,18.22,1475,0
ORCX.US,60,20250225,180000,18.25,18.37,18.24,18.27,3595,0
ORCX.US,60,20250225,190000,18.5862,18.74,18.481,18.74,2624,0
ORCX.US,60,20250225,200000,18.762,18.77,18.76,18.77,875,0
ORCX.US,60,20250225,210000,18.7,18.7,18.7,18.7,540,0
ORCX.US,60,20250226,160000,19.47,19.7375,19.15,19.7375,3934,0
ORCX.US,60,20250226,170000,19.82,20.05,19.566,19.59,4792,0
ORCX.US,60,20250226,180000,19.89,20,19.89,20,1281,0
ORCX.US,60,20250226,190000,19.89,19.89,19.89,19.89,592,0
ORCX.US,60,20250226,200000,19.5816,19.5816,19.57,19.57,1125,0
ORCX.US,60,20250226,220000,19.72,19.72,19.72,19.72,549,0
ORCX.US,60,20250227,160000,19.94,19.94,19.94,19.94,403,0
ORCX.US,60,20250227,170000,19.239,19.5,19.13,19.5,4188,0
ORCX.US,60,20250227,180000,19.465,19.465,19.45,19.45,747,0
ORCX.US,60,20250227,190000,19.199,19.287,19.199,19.287,1129,0
ORCX.US,60,20250227,200000,19.36,19.36,19.36,19.36,100,0
ORCX.US,60,20250227,210000,19.13,19.13,19.13,19.13,100,0
ORCX.US,60,20250227,220000,18.28,18.35,18.02,18.02,600,0
ORCX.US,60,20250228,160000,17.62,17.62,17.1401,17.4,1058,0
ORCX.US,60,20250228,170000,17.489,17.6,17.4885,17.6,2707,0
ORCX.US,60,20250228,190000,17.5899,17.61,17.52,17.52,793,0
