<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORR.US,60,20250117,170000,25.96,25.96,25.93,25.93,6300,0
ORR.US,60,20250117,190000,25.98,26.02,25.97,25.97,700,0
ORR.US,60,20250117,200000,26,26.02,25.93,25.93,2200,0
ORR.US,60,20250117,210000,25.94,25.97,25.93,25.93,1600,0
ORR.US,60,20250117,220000,25.94,26.01,25.94,26.01,2600,0
ORR.US,60,20250121,170000,26.06,26.06,26.04,26.0599,8516,0
ORR.US,60,20250121,180000,26.07,26.07,26.07,26.07,553,0
ORR.US,60,20250121,190000,26.16,26.16,26.14,26.14,300,0
ORR.US,60,20250121,210000,26.16,26.16,26.1399,26.16,5319,0
ORR.US,60,20250121,220000,26.16,26.17,26.08,26.115,1900,0
ORR.US,60,20250122,160000,26.47,26.47,26.188,26.188,850,0
ORR.US,60,20250122,170000,26.1954,26.25,26.175,26.23,14975,0
ORR.US,60,20250122,180000,26.22,26.23,26.22,26.22,4437,0
ORR.US,60,20250122,190000,26.28,26.28,26.28,26.28,100,0
ORR.US,60,20250122,200000,26.25,26.26,26.23,26.23,4600,0
ORR.US,60,20250122,210000,26.23,26.23,26.2081,26.218,42727,0
ORR.US,60,20250122,220000,26.22,26.23,26.16,26.18,6300,0
ORR.US,60,20250123,160000,26.35,26.35,26.17,26.17,4100,0
ORR.US,60,20250123,170000,26.175,26.23,26.175,26.23,2721,0
ORR.US,60,20250123,180000,26.2,26.2,26.2,26.2,2020,0
ORR.US,60,20250123,200000,26.23,26.25,26.23,26.2499,1083,0
ORR.US,60,20250123,210000,26.235,26.24,26.23,26.24,4541,0
ORR.US,60,20250123,220000,26.23,26.23,26.17,26.17,1342,0
ORR.US,60,20250124,160000,26.46,26.54,26.46,26.54,2100,0
ORR.US,60,20250124,170000,26.54,26.54,26.53,26.53,1661,0
ORR.US,60,20250124,180000,26.5,26.55,26.5,26.5,6400,0
ORR.US,60,20250124,190000,26.535,26.58,26.535,26.58,1000,0
ORR.US,60,20250124,200000,26.58,26.61,26.58,26.61,7726,0
ORR.US,60,20250124,210000,26.62,26.63,26.62,26.63,25018,0
ORR.US,60,20250124,220000,26.63,26.63,26.59,26.63,4025,0
ORR.US,60,20250127,160000,26.39,26.41,26.36,26.41,4868,0
ORR.US,60,20250127,170000,26.42,26.42,26.42,26.42,1201,0
ORR.US,60,20250127,180000,26.47,26.47,26.42,26.42,3057,0
ORR.US,60,20250127,190000,26.415,26.48,26.415,26.48,4619,0
ORR.US,60,20250127,200000,26.5,26.5,26.46,26.46,3967,0
