<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDDL.US,60,20250717,200000,28.17,28.17,28.17,28.17,100,0
PDDL.US,60,20250718,210000,28.56,28.56,28.56,28.56,276,0
PDDL.US,60,20250721,160000,29.23,29.23,29.14,29.14,357,0
PDDL.US,60,20250721,170000,29.78,29.78,29.78,29.78,145,0
PDDL.US,60,20250721,200000,29.839,29.839,29.839,29.839,500,0
PDDL.US,60,20250722,170000,30.739,30.8196,30.739,30.8196,831,0
PDDL.US,60,20250722,180000,31.2645,31.2645,31.03,31.03,980,0
PDDL.US,60,20250722,190000,31.525,31.56,31.525,31.56,600,0
PDDL.US,60,20250722,200000,31.28,31.28,31.28,31.28,100,0
PDDL.US,60,20250722,210000,31.4059,31.4059,31.4059,31.4059,111,0
PDDL.US,60,20250723,160000,34,34,33.16,33.92,500,0
PDDL.US,60,20250723,170000,34.2,34.569,33.6,33.6,1700,0
PDDL.US,60,20250723,180000,33.82,34.36,33.82,34.36,713,0
PDDL.US,60,20250723,190000,34.17,34.17,34.17,34.17,920,0
PDDL.US,60,20250723,200000,33.67,33.67,33.67,33.67,200,0
PDDL.US,60,20250723,220000,33.45,33.45,33.45,33.45,100,0
PDDL.US,60,20250724,160000,33.57,33.57,33.3753,33.3753,386,0
PDDL.US,60,20250724,170000,33.02,33.02,32.66,32.66,2067,0
PDDL.US,60,20250724,210000,33.27,33.27,33.27,33.27,100,0
PDDL.US,60,20250725,190000,33.1,33.1,33.1,33.1,100,0
PDDL.US,60,20250725,200000,33.14,33.14,33.14,33.14,100,0
PDDL.US,60,20250725,220000,33.23,33.27,33.23,33.27,200,0
PDDL.US,60,20250728,160000,34.25,34.25,34.25,34.25,520,0
PDDL.US,60,20250728,170000,32.925,33.005,32.925,33.005,200,0
PDDL.US,60,20250728,210000,32.21,32.21,32.15,32.15,400,0
PDDL.US,60,20250729,170000,32.09,32.09,32.01,32.01,387,0
PDDL.US,60,20250729,180000,31.97,31.97,31.97,31.97,100,0
PDDL.US,60,20250730,160000,31.48,31.48,31.48,31.48,100,0
PDDL.US,60,20250730,200000,30.8114,30.88,30.8114,30.88,300,0
PDDL.US,60,20250730,220000,30.25,30.25,30.25,30.25,300,0
PDDL.US,60,20250731,190000,30.75,30.75,30.75,30.75,100,0
PDDL.US,60,20250806,160000,29.35,30.37,29.35,30.32,1230,0
PDDL.US,60,20250807,170000,31.418,31.418,31.418,31.418,400,0
PDDL.US,60,20250808,190000,30.54,30.54,30.54,30.54,100,0
PDDL.US,60,20250811,180000,29.761,29.761,29.761,29.761,170,0
PDDL.US,60,20250812,160000,30.12,30.13,30.01,30.01,360,0
PDDL.US,60,20250812,180000,31.8824,31.8824,31.8824,31.8824,500,0
PDDL.US,60,20250812,190000,31.5869,31.5869,31.5869,31.5869,500,0
PDDL.US,60,20250813,160000,32.81,32.81,32.81,32.81,100,0
PDDL.US,60,20250813,170000,32.37,32.37,32.37,32.37,200,0
PDDL.US,60,20250813,180000,31.8,32,31.8,31.91,2000,0
PDDL.US,60,20250813,190000,31.915,31.94,31.89,31.94,427,0
PDDL.US,60,20250814,210000,31.039,31.039,31.039,31.039,100,0
PDDL.US,60,20250815,160000,32.33,32.77,32.33,32.77,200,0
PDDL.US,60,20250815,170000,32.65,33.28,32.65,33.2,779,0
PDDL.US,60,20250815,180000,33.28,33.4245,33.15,33.4245,2350,0
PDDL.US,60,20250815,190000,33.4038,33.4038,33.4038,33.4038,150,0
PDDL.US,60,20250815,200000,33.449,33.4499,33.18,33.18,3500,0
PDDL.US,60,20250815,210000,33.2722,33.2722,33.2722,33.2722,150,0
PDDL.US,60,20250815,220000,33.17,33.17,33.17,33.17,150,0
PDDL.US,60,20250818,170000,33.74,33.74,33.3,33.4,857,0
PDDL.US,60,20250818,180000,33.48,33.48,33.48,33.48,100,0
PDDL.US,60,20250818,190000,33.33,33.33,33.33,33.33,100,0
PDDL.US,60,20250818,210000,33,33.1,33,33.1,342,0
PDDL.US,60,20250818,220000,32.8501,32.8501,32.8501,32.8501,250,0
PDDL.US,60,20250819,170000,33.75,33.7691,32.99,32.99,5875,0
PDDL.US,60,20250819,180000,32.45,32.45,32.23,32.23,350,0
PDDL.US,60,20250819,200000,32.65,32.66,32.6,32.66,7207,0
PDDL.US,60,20250820,160000,33.24,34.13,33.04,33.04,789,0
PDDL.US,60,20250820,170000,33,33,33,33,100,0
PDDL.US,60,20250820,180000,32.81,32.81,32.81,32.81,208,0
PDDL.US,60,20250820,190000,33.07,33.07,33.07,33.07,100,0
PDDL.US,60,20250821,160000,33.66,34.17,33.66,34.17,1800,0
PDDL.US,60,20250821,170000,34.5896,34.804,34.37,34.479,2728,0
PDDL.US,60,20250821,180000,34.749,34.7922,34.739,34.739,580,0
PDDL.US,60,20250821,190000,34.71,34.985,34.71,34.985,350,0
PDDL.US,60,20250821,200000,35.14,35.14,35.14,35.14,100,0
PDDL.US,60,20250821,210000,35.059,35.12,35.059,35.12,1200,0
PDDL.US,60,20250821,220000,35.361,35.4,35.33,35.4,943,0
PDDL.US,60,20250822,160000,38.09,38.36,37.19,37.19,14549,0
PDDL.US,60,20250822,170000,37.43,38.2618,37.39,37.929,7327,0
PDDL.US,60,20250822,180000,37.9,37.9499,37.761,37.7904,2866,0
PDDL.US,60,20250822,190000,37.85,37.85,37.61,37.74,5294,0
PDDL.US,60,20250822,200000,37.729,37.84,37.65,37.84,2190,0
PDDL.US,60,20250822,210000,37.72,38.45,37.72,38.39,6173,0
PDDL.US,60,20250822,220000,38.14,38.349,37.76,37.76,7404,0
PDDL.US,60,20250825,160000,37.6,41.4591,36.3,39.6743,54054,0
PDDL.US,60,20250825,170000,39.7,39.7,37.18,37.18,31816,0
PDDL.US,60,20250825,180000,37.561,38.84,37.45,37.98,4710,0
PDDL.US,60,20250825,190000,38.12,38.12,37.71,37.785,7037,0
PDDL.US,60,20250825,200000,37.75,37.75,37.1732,37.39,2255,0
PDDL.US,60,20250825,210000,37.62,37.62,37.47,37.47,200,0
PDDL.US,60,20250825,220000,38.5065,38.58,38.26,38.46,980,0
PDDL.US,60,20250826,160000,39,41.089,38.24,38.24,9026,0
PDDL.US,60,20250826,170000,38.24,38.25,37.32,37.66,9093,0
PDDL.US,60,20250826,180000,36.7318,36.755,36.5,36.5,1542,0
PDDL.US,60,20250826,190000,36.6,36.6,35.82,35.868,15722,0
PDDL.US,60,20250826,200000,35.8698,35.8698,35.25,35.5,9800,0
PDDL.US,60,20250826,210000,35.6013,35.65,35.52,35.64,2500,0
PDDL.US,60,20250826,220000,35.41,35.72,35.33,35.72,3400,0
PDDL.US,60,20250827,160000,34.42,34.42,33.51,33.94,4160,0
PDDL.US,60,20250827,170000,33.92,33.95,33.78,33.95,1000,0
PDDL.US,60,20250827,180000,34.3699,34.3699,34.01,34.01,341,0
PDDL.US,60,20250827,190000,34.16,34.16,33.94,33.94,500,0
PDDL.US,60,20250827,200000,33.94,33.94,33.94,33.94,200,0
PDDL.US,60,20250827,210000,34.4,34.5,34.4,34.5,717,0
PDDL.US,60,20250827,220000,34.56,34.761,34.56,34.761,400,0
PDDL.US,60,20250828,160000,34.78,34.78,34.21,34.411,355,0
PDDL.US,60,20250828,170000,34.49,34.64,34.23,34.64,2935,0
PDDL.US,60,20250828,180000,34.63,34.72,34.35,34.35,300,0
PDDL.US,60,20250828,190000,34.55,34.58,34.42,34.42,755,0
PDDL.US,60,20250828,200000,34.519,34.6077,34.46,34.48,2102,0
PDDL.US,60,20250828,210000,34.73,34.73,34.67,34.67,1308,0
PDDL.US,60,20250828,220000,34.64,34.81,34.64,34.7,1121,0
PDDL.US,60,20250829,160000,34.74,34.74,33.53,33.5827,5294,0
PDDL.US,60,20250829,170000,33.49,34.3,33.49,33.79,2244,0
PDDL.US,60,20250829,180000,34.16,34.16,33.92,33.92,449,0
PDDL.US,60,20250829,210000,33.781,33.8,33.759,33.8,2604,0
PDDL.US,60,20250829,220000,33.7,33.72,33.41,33.72,412,0
PDDL.US,60,20250902,160000,32.97,33.9,32.97,33.7,1953,0
PDDL.US,60,20250902,170000,34.499,34.5,34.4693,34.4693,1108,0
PDDL.US,60,20250902,180000,34.2435,34.26,34.18,34.26,350,0
PDDL.US,60,20250902,190000,34.42,34.42,34.3,34.3,246,0
PDDL.US,60,20250902,200000,34.475,34.489,34.475,34.489,200,0
PDDL.US,60,20250903,160000,34.16,34.16,33.53,33.54,1412,0
PDDL.US,60,20250903,170000,34.56,34.5705,34.56,34.5705,4000,0
PDDL.US,60,20250903,180000,35.0495,35.33,34.7801,35.33,3704,0
PDDL.US,60,20250903,190000,35.38,35.38,35.25,35.38,317,0
PDDL.US,60,20250903,200000,35.8946,35.92,35.62,35.88,1935,0
PDDL.US,60,20250903,210000,36,36,35.8325,35.8325,200,0
PDDL.US,60,20250903,220000,35.95,35.95,35.8,35.8,1635,0
PDDL.US,60,20250904,160000,35.51,36.16,35.17,35.55,10840,0
PDDL.US,60,20250904,170000,35.45,36.1799,35.423,36.14,1463,0
PDDL.US,60,20250904,180000,36.3241,36.3241,36.04,36.04,540,0
PDDL.US,60,20250904,210000,36.01,36.01,35.991,36.0073,2100,0
PDDL.US,60,20250904,220000,35.5292,35.5292,35.5292,35.5292,390,0
PDDL.US,60,20250905,160000,36.48,36.48,36.08,36.08,3771,0
PDDL.US,60,20250905,170000,36.36,36.36,35.96,35.96,900,0
PDDL.US,60,20250905,180000,36.2631,36.3,36.24,36.24,1800,0
PDDL.US,60,20250905,190000,36.07,36.142,36.07,36.142,550,0
PDDL.US,60,20250905,200000,36.29,36.29,36.21,36.21,300,0
PDDL.US,60,20250905,220000,35.85,36.19,35.85,36.05,1700,0
PDDL.US,60,20250908,160000,36.29,36.29,35.8,35.8,697,0
PDDL.US,60,20250908,170000,35.84,36.01,35.84,35.999,624,0
PDDL.US,60,20250908,180000,36.25,36.56,36.25,36.56,10064,0
PDDL.US,60,20250908,220000,36.2,36.2,36.2,36.2,300,0
PDDL.US,60,20250909,160000,36.7667,36.901,36.75,36.901,788,0
PDDL.US,60,20250909,170000,37.39,37.889,37.39,37.75,3600,0
PDDL.US,60,20250909,180000,37.77,37.77,37.29,37.31,4307,0
PDDL.US,60,20250909,200000,36.906,36.909,36.906,36.909,400,0
PDDL.US,60,20250909,210000,37.07,37.07,36.68,36.68,1780,0
PDDL.US,60,20250909,220000,36.81,36.98,36.81,36.9,1422,0
