<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIE.US,60,20240411,160000,21.45,21.45,21.45,21.45,179,0
PIE.US,60,20240411,170000,21.41,21.435,21.3901,21.41,1528,0
PIE.US,60,20240411,180000,21.41,21.41,21.41,21.41,1300,0
PIE.US,60,20240411,190000,21.4013,21.4013,21.4013,21.4013,233,0
PIE.US,60,20240411,220000,21.455,21.56,21.455,21.56,685,0
PIE.US,60,20240412,160000,21.69,21.69,21.69,21.69,128,0
PIE.US,60,20240412,170000,21.61,21.64,21.61,21.61,2805,0
PIE.US,60,20240412,180000,21.55,21.59,21.54,21.59,7783,0
PIE.US,60,20240412,190000,21.59,21.59,21.54,21.54,2000,0
PIE.US,60,20240412,200000,21.55,21.55,21.55,21.55,100,0
PIE.US,60,20240412,220000,21.53,21.53,21.495,21.525,999,0
PIE.US,60,20240415,160000,21.45,21.45,21.36,21.36,1499,0
PIE.US,60,20240415,170000,21.37,21.37,21.37,21.37,200,0
PIE.US,60,20240415,180000,21.32,21.36,21.25,21.265,11337,0
PIE.US,60,20240415,200000,21.285,21.31,21.115,21.115,3308,0
PIE.US,60,20240415,210000,21.16,21.16,21.0301,21.1039,6458,0
PIE.US,60,20240415,220000,21.1283,21.1283,21.09,21.12,1266,0
PIE.US,60,20240416,160000,20.74,20.74,20.74,20.74,680,0
PIE.US,60,20240416,170000,20.66,20.68,20.66,20.68,10807,0
PIE.US,60,20240416,180000,20.74,20.81,20.7196,20.81,729,0
PIE.US,60,20240416,190000,20.77,20.77,20.77,20.77,100,0
PIE.US,60,20240416,200000,20.78,20.78,20.75,20.76,500,0
PIE.US,60,20240416,210000,20.73,20.83,20.73,20.83,400,0
PIE.US,60,20240416,220000,20.77,20.77,20.69,20.69,1106,0
PIE.US,60,20240417,160000,21.22,21.305,21.22,21.305,712,0
PIE.US,60,20240417,170000,21.13,21.13,21.12,21.12,1000,0
PIE.US,60,20240417,180000,21.115,21.115,21.1126,21.1126,484,0
PIE.US,60,20240417,190000,21.085,21.085,21.085,21.085,738,0
PIE.US,60,20240417,200000,21.09,21.1582,21.09,21.1582,228,0
PIE.US,60,20240417,210000,21.1,21.16,21.1,21.15,5152,0
PIE.US,60,20240417,220000,21.13,21.13,21.13,21.13,400,0
PIE.US,60,20240418,160000,21.19,21.19,21.19,21.19,181,0
PIE.US,60,20240418,170000,21.23,21.26,21.23,21.23,300,0
PIE.US,60,20240418,180000,21.23,21.24,21.23,21.2399,554,0
PIE.US,60,20240418,190000,21.2199,21.22,21.21,21.21,371,0
PIE.US,60,20240418,200000,21.13,21.14,21.1149,21.1149,4366,0
PIE.US,60,20240418,210000,21.1142,21.1399,21.1042,21.1042,1662,0
PIE.US,60,20240418,220000,21.14,21.19,21.14,21.19,1977,0
PIE.US,60,20240419,160000,21,21,20.9001,20.9001,549,0
PIE.US,60,20240419,170000,20.92,20.9892,20.91,20.9892,4049,0
PIE.US,60,20240419,180000,20.92,20.96,20.92,20.96,525,0
PIE.US,60,20240419,190000,20.92,20.95,20.9,20.9209,1791,0
PIE.US,60,20240419,200000,20.92,20.92,20.92,20.92,737,0
PIE.US,60,20240419,220000,20.92,20.9492,20.92,20.9492,2206,0
PIE.US,60,20240422,160000,20.48,20.48,20.44,20.44,738,0
PIE.US,60,20240422,170000,20.63,20.63,20.46,20.46,501,0
PIE.US,60,20240422,180000,20.43,20.478,20.4157,20.4358,928,0
PIE.US,60,20240422,190000,20.48,20.5,20.4502,20.5,700,0
PIE.US,60,20240422,200000,20.4913,20.5122,20.4913,20.5122,1752,0
PIE.US,60,20240422,210000,20.57,20.57,20.57,20.57,100,0
PIE.US,60,20240422,220000,20.5006,20.578,20.5006,20.578,4413,0
PIE.US,60,20240423,170000,20.6073,20.69,20.6073,20.69,1100,0
PIE.US,60,20240423,180000,20.67,20.68,20.6348,20.645,2180,0
PIE.US,60,20240423,190000,20.645,20.69,20.6323,20.69,3157,0
PIE.US,60,20240423,200000,20.7,20.7,20.7,20.7,500,0
PIE.US,60,20240423,210000,20.74,20.76,20.66,20.7,2764,0
PIE.US,60,20240423,220000,20.6601,20.71,20.6601,20.67,353,0
PIE.US,60,20240424,160000,20.7717,20.7717,20.7717,20.7717,100,0
PIE.US,60,20240424,180000,20.77,20.77,20.77,20.77,1713,0
PIE.US,60,20240424,190000,20.79,20.79,20.79,20.79,100,0
PIE.US,60,20240424,200000,20.7667,20.7667,20.75,20.75,1719,0
PIE.US,60,20240424,220000,20.755,20.85,20.755,20.85,1504,0
PIE.US,60,20240425,160000,20.6799,20.6799,20.61,20.61,1285,0
PIE.US,60,20240425,170000,20.685,20.685,20.685,20.685,150,0
PIE.US,60,20240425,180000,20.6763,20.75,20.66,20.75,1308,0
PIE.US,60,20240425,190000,20.76,20.79,20.76,20.79,300,0
PIE.US,60,20240425,200000,20.8,20.82,20.8,20.82,297,0
PIE.US,60,20240425,210000,20.86,20.88,20.86,20.88,1967,0
PIE.US,60,20240425,220000,20.86,20.88,20.86,20.88,200,0
PIE.US,60,20240426,160000,21.05,21.05,21.05,21.05,2788,0
PIE.US,60,20240426,170000,20.98,20.98,20.97,20.97,200,0
PIE.US,60,20240426,180000,20.97,20.97,20.97,20.97,6718,0
PIE.US,60,20240426,190000,21.04,21.04,20.9932,20.9932,1100,0
PIE.US,60,20240426,200000,21.0076,21.0076,21.0076,21.0076,304,0
PIE.US,60,20240426,210000,21.04,21.09,21.01,21.01,7047,0
PIE.US,60,20240426,220000,21.0538,21.1,21.0538,21.1,960,0
PIE.US,60,20240429,170000,21.185,21.25,21.18,21.25,1186,0
PIE.US,60,20240429,180000,21.215,21.215,21.215,21.215,101,0
PIE.US,60,20240429,190000,21.28,21.28,21.28,21.28,100,0
PIE.US,60,20240429,210000,21.24,21.3,21.21,21.3,2210,0
PIE.US,60,20240429,220000,21.23,21.23,21.23,21.23,100,0
PIE.US,60,20240430,160000,21.24,21.24,21.24,21.24,100,0
PIE.US,60,20240430,170000,21.17,21.23,21.17,21.17,822,0
PIE.US,60,20240430,180000,21.17,21.17,21.16,21.16,700,0
PIE.US,60,20240430,190000,21.16,21.2,21.09,21.09,1894,0
PIE.US,60,20240430,200000,21.125,21.125,21.125,21.125,100,0
PIE.US,60,20240430,210000,21.1,21.12,21.1,21.115,1270,0
PIE.US,60,20240430,220000,21.0724,21.11,20.96,20.96,892,0
PIE.US,60,20240501,160000,21.1,21.1,21.1,21.1,137,0
PIE.US,60,20240501,170000,21.05,21.08,20.98,21.08,6920,0
