<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QB.US,60,20250702,160000,40.254,40.26,40.14,40.2567,4326,0
QB.US,60,20250702,200000,40.24,40.24,40.24,40.24,620,0
QB.US,60,20250702,210000,40.28,40.28,40.27,40.27,6536,0
QB.US,60,20250702,220000,40.3,40.3,40.225,40.225,596,0
QB.US,60,20250703,160000,40.36,40.36,40.2733,40.2733,3827,0
QB.US,60,20250703,180000,40.519,40.519,40.519,40.519,260,0
QB.US,60,20250707,160000,40.465,40.4699,40.465,40.4699,200,0
QB.US,60,20250707,220000,40.465,40.465,40.46,40.46,300,0
QB.US,60,20250714,190000,40.38,40.38,40.26,40.26,450,0
QB.US,60,20250715,170000,40.355,40.355,40.355,40.355,110,0
QB.US,60,20250715,200000,40.34,40.34,40.25,40.25,200,0
QB.US,60,20250716,170000,40.24,40.24,40.24,40.24,100,0
QB.US,60,20250716,180000,40.3,40.3,40.3,40.3,100,0
QB.US,60,20250717,220000,40.51,40.51,40.391,40.391,500,0
QB.US,60,20250718,180000,40.41,40.41,40.41,40.41,17415,0
QB.US,60,20250721,220000,40.4006,40.4006,40.4006,40.4006,500,0
QB.US,60,20250729,180000,40.36,40.36,40.36,40.36,100,0
QB.US,60,20250730,220000,40.305,40.305,40.2765,40.2765,300,0
QB.US,60,20250801,200000,39.8903,39.8903,39.83,39.83,282,0
QB.US,60,20250804,170000,40.17,40.17,40.17,40.17,100,0
QB.US,60,20250807,210000,40.47,40.47,40.37,40.37,200,0
QB.US,60,20250812,170000,40.58,40.58,40.58,40.58,17333,0
QB.US,60,20250813,200000,40.817,40.817,40.817,40.817,100,0
QB.US,60,20250813,220000,40.77,40.77,40.77,40.77,5000,0
QB.US,60,20250814,180000,40.72,40.72,40.72,40.72,8000,0
QB.US,60,20250814,220000,40.64,40.65,40.62,40.63,8000,0
QB.US,60,20250815,180000,40.61,40.62,40.6,40.61,2500,0
QB.US,60,20250818,170000,40.71,40.71,40.71,40.71,12313,0
QB.US,60,20250818,180000,40.53,40.55,40.53,40.53,4100,0
QB.US,60,20250819,190000,40.525,40.55,40.47,40.47,3900,0
QB.US,60,20250819,200000,40.5608,40.63,40.5608,40.63,5445,0
QB.US,60,20250819,210000,40.55,40.55,40.45,40.45,5022,0
QB.US,60,20250820,160000,40.53,40.53,40.52,40.52,1900,0
QB.US,60,20250822,190000,40.4,40.68,40.39,40.68,1750,0
QB.US,60,20250825,170000,40.74,40.75,40.74,40.75,200,0
QB.US,60,20250825,190000,40.849,40.849,40.849,40.849,287,0
QB.US,60,20250825,220000,40.74,40.75,40.74,40.74,5000,0
QB.US,60,20250828,180000,40.77,40.77,40.77,40.77,6000,0
QB.US,60,20250828,190000,40.72,40.72,40.69,40.69,11635,0
QB.US,60,20250903,170000,40.83,40.84,40.83,40.83,2400,0
QB.US,60,20250904,200000,40.83,40.84,40.81,40.83,7600,0
QB.US,60,20250904,220000,40.91,40.91,40.91,40.91,300,0
QB.US,60,20250905,170000,41.17,41.18,41.17,41.17,7500,0
QB.US,60,20250910,220000,40.9585,40.9585,40.92,40.92,700,0
QB.US,60,20250911,190000,41.02,41.03,40.99,41,1800,0
QB.US,60,20250911,200000,41,41,41,41,600,0
QB.US,60,20250911,220000,41.02,41.02,41,41,1700,0
QB.US,60,20250912,170000,41,41.02,41,41.02,2400,0
QB.US,60,20250912,190000,41,41,40.99,41,1300,0
QB.US,60,20250912,200000,41,41.01,40.96,40.96,1100,0
QB.US,60,20250912,220000,40.96,40.97,40.96,40.96,300,0
QB.US,60,20250924,160000,41.159,41.47,41.102,41.47,1302,0
QB.US,60,20250925,200000,41.35,41.35,41.35,41.35,14358,0
QB.US,60,20250929,160000,41.45,41.45,41.45,41.45,198,0
QB.US,60,20251001,170000,41.242,41.242,41.242,41.242,100,0
QB.US,60,20251001,210000,41.32,41.32,41.32,41.32,6753,0
QB.US,60,20251001,220000,41.41,41.41,41.41,41.41,100,0
QB.US,60,20251003,180000,41.27,41.27,41.27,41.27,14339,0
QB.US,60,20251007,210000,41.36,41.36,41.2501,41.33,7400,0
QB.US,60,20251008,180000,41.41,41.4876,41.41,41.4876,211,0
QB.US,60,20251008,190000,41.46,41.46,41.46,41.46,100,0
QB.US,60,20251008,210000,41.51,41.51,41.49,41.51,5300,0
QB.US,60,20251009,170000,41.55,41.55,41.55,41.55,100,0
QB.US,60,20251013,160000,41.03,41.03,41.03,41.03,100,0
QB.US,60,20251013,190000,41.24,41.24,41.24,41.24,100,0
QB.US,60,20251015,170000,41.437,41.437,41.36,41.36,400,0
QB.US,60,20251020,200000,41.6506,41.6506,41.6506,41.6506,500,0
QB.US,60,20251027,150000,42.3399,42.3399,42.3399,42.3399,100,0
QB.US,60,20251027,160000,42.27,42.27,42.27,42.27,100,0
QB.US,60,20251027,190000,42.31,42.32,42.3,42.32,5100,0
QB.US,60,20251028,160000,42.39,42.4238,42.35,42.35,500,0
QB.US,60,20251110,180000,42.22,42.23,42.21,42.21,7800,0
QB.US,60,20251110,200000,42.23,42.24,42.22,42.22,5500,0
QB.US,60,20251111,170000,42.19,42.19,42.18,42.19,600,0
QB.US,60,20251111,200000,42.19,42.19,42.18,42.18,500,0
QB.US,60,20251111,210000,42.18,42.19,42.14,42.15,4300,0
QB.US,60,20251111,220000,42.12,42.12,42.11,42.11,2500,0
QB.US,60,20251112,170000,42.26,42.27,42.14,42.14,1460,0
QB.US,60,20251112,180000,42.14,42.14,42.13,42.13,200,0
QB.US,60,20251120,200000,41.785,41.785,41.785,41.785,496,0
QB.US,60,20251124,160000,42.13,42.13,42.13,42.13,200,0
QB.US,60,20251125,180000,42.284,42.3401,42.284,42.3401,950,0
QB.US,60,20251209,220000,42.47,42.47,42.29,42.29,460,0
QB.US,60,20251210,170000,42.56,42.57,42.56,42.57,540,0
QB.US,60,20251215,180000,42.19,42.2,42.19,42.2,400,0
QB.US,60,20251222,210000,42.599,42.6,42.599,42.5999,3100,0
