<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSEL.US,60,20250107,200000,25.47,25.47,25.46,25.46,20092,0
TSEL.US,60,20250107,220000,25.27,25.27,25.27,25.27,269,0
TSEL.US,60,20250108,160000,25.3,25.3,25.3,25.3,400,0
TSEL.US,60,20250108,170000,25.18,25.18,25.18,25.18,100,0
TSEL.US,60,20250108,210000,25.3,25.3,25.3,25.3,392,0
TSEL.US,60,20250110,180000,24.74,24.74,24.6742,24.7086,400,0
TSEL.US,60,20250113,200000,24.5643,24.5643,24.56,24.56,1100,0
TSEL.US,60,20250114,170000,24.9,24.9,24.9,24.9,100,0
TSEL.US,60,20250114,190000,24.6,24.65,24.6,24.65,25467,0
TSEL.US,60,20250115,180000,25.27,25.27,25.27,25.27,100,0
TSEL.US,60,20250115,210000,25.36,25.36,25.35,25.36,353403,0
TSEL.US,60,20250115,220000,25.37,25.37,25.37,25.37,349433,0
TSEL.US,60,20250116,170000,25.45,25.45,25.45,25.45,100,0
TSEL.US,60,20250116,180000,25.47,25.47,25.47,25.47,5301,0
TSEL.US,60,20250116,200000,25.43,25.43,25.43,25.43,100,0
TSEL.US,60,20250121,190000,25.85,25.85,25.85,25.85,14330,0
TSEL.US,60,20250122,170000,26.39,26.4,26.38,26.4,3088,0
TSEL.US,60,20250122,190000,26.45,26.45,26.45,26.45,100,0
TSEL.US,60,20250123,180000,26.41,26.4599,26.41,26.45,5860,0
TSEL.US,60,20250123,200000,26.45,26.4599,26.45,26.4599,526,0
TSEL.US,60,20250123,210000,26.47,26.51,26.465,26.5,5324,0
TSEL.US,60,20250123,220000,26.53,26.54,26.51,26.53,10213,0
TSEL.US,60,20250124,160000,26.7,26.7,26.7,26.7,100,0
TSEL.US,60,20250124,170000,26.7,26.7,26.662,26.662,2823,0
TSEL.US,60,20250124,180000,26.67,26.67,26.6635,26.6635,3712,0
TSEL.US,60,20250124,190000,26.71,26.71,26.71,26.71,100,0
TSEL.US,60,20250124,200000,26.69,26.69,26.64,26.64,200,0
TSEL.US,60,20250124,220000,26.53,26.56,26.53,26.55,3636,0
TSEL.US,60,20250127,160000,25.7,25.8426,25.6715,25.8426,600,0
TSEL.US,60,20250127,170000,26.19,26.19,26.19,26.19,100,0
TSEL.US,60,20250127,200000,25.8,25.8,25.79,25.79,1821,0
