<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XRPT.US,60,20250523,160000,14.549,14.8,14.549,14.6,12550,0
XRPT.US,60,20250523,170000,14.81,14.95,14.77,14.9329,17784,0
XRPT.US,60,20250523,180000,14.86,14.86,14.76,14.76,2038,0
XRPT.US,60,20250523,190000,14.66,14.68,14.51,14.61,5428,0
XRPT.US,60,20250523,200000,14.69,14.77,14.69,14.7,1000,0
XRPT.US,60,20250523,210000,14.76,14.76,14.55,14.55,13025,0
XRPT.US,60,20250523,220000,14.6296,14.6296,14.39,14.39,5723,0
XRPT.US,60,20250527,160000,14.41,14.5086,14.26,14.39,11093,0
XRPT.US,60,20250527,170000,14.3,14.399,14,14.215,9162,0
XRPT.US,60,20250527,180000,14.296,14.4,14.26,14.4,1288,0
XRPT.US,60,20250527,190000,14.33,14.426,14.31,14.41,824,0
XRPT.US,60,20250527,200000,14.42,14.51,14.31,14.42,2034,0
XRPT.US,60,20250527,210000,14.41,14.46,14.34,14.34,978,0
XRPT.US,60,20250527,220000,14.359,14.36,14.34,14.34,565,0
XRPT.US,60,20250528,160000,14,14,13.71,13.71,2706,0
XRPT.US,60,20250528,170000,13.7084,13.709,13.54,13.55,3109,0
XRPT.US,60,20250528,180000,13.5899,13.5899,13.4,13.47,1600,0
XRPT.US,60,20250528,190000,13.3,13.5092,13.3,13.42,4619,0
XRPT.US,60,20250528,200000,13.44,13.4785,13.16,13.16,4304,0
XRPT.US,60,20250528,210000,13.305,13.3822,13.29,13.31,1114,0
XRPT.US,60,20250528,220000,13.2,13.33,13.04,13.04,19124,0
XRPT.US,60,20250529,160000,13.76,13.76,13.67,13.7,1650,0
XRPT.US,60,20250529,170000,13.78,13.78,13.54,13.54,2529,0
XRPT.US,60,20250529,180000,13.64,13.77,13.55,13.63,16211,0
XRPT.US,60,20250529,190000,13.62,13.62,13.55,13.59,1420,0
XRPT.US,60,20250529,200000,13.615,13.7,13.615,13.7,1766,0
XRPT.US,60,20250529,210000,13.75,13.75,13.57,13.5894,1367,0
XRPT.US,60,20250529,220000,13.48,13.5099,13.36,13.369,1867,0
XRPT.US,60,20250530,160000,12.61,12.68,12.42,12.42,4313,0
XRPT.US,60,20250530,170000,12.38,12.51,12.28,12.3999,5179,0
XRPT.US,60,20250530,180000,12.53,12.55,12.5,12.5,2020,0
XRPT.US,60,20250530,190000,12.47,12.47,11.96,11.96,7472,0
XRPT.US,60,20250530,200000,12.1,12.3,12.1,12.3,2300,0
XRPT.US,60,20250530,210000,12.5486,12.619,12.5486,12.61,2254,0
XRPT.US,60,20250530,220000,12.6671,12.67,12.6101,12.6101,700,0
XRPT.US,60,20250602,160000,11.99,12.17,11.99,12.01,9588,0
XRPT.US,60,20250602,170000,11.98,12.1,11.95,12.01,3250,0
XRPT.US,60,20250602,180000,12.0771,12.09,12,12.09,3473,0
XRPT.US,60,20250602,190000,12.1674,12.1674,12.08,12.1643,400,0
XRPT.US,60,20250602,200000,12.255,12.293,12.255,12.293,964,0
XRPT.US,60,20250602,210000,12.3206,12.3206,12.25,12.25,825,0
XRPT.US,60,20250602,220000,12.2,12.2,12.2,12.2,150,0
XRPT.US,60,20250603,160000,12.81,12.86,12.7201,12.84,7500,0
XRPT.US,60,20250603,170000,12.72,13,12.72,13,3400,0
XRPT.US,60,20250603,180000,13.0178,13.454,12.99,13.44,11441,0
XRPT.US,60,20250603,190000,13.2881,13.449,13.195,13.39,9828,0
