<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XT.US,60,20240411,160000,58.73,58.79,58.56,58.61,10259,0
XT.US,60,20240411,170000,58.55,58.55,58.2201,58.33,1988,0
XT.US,60,20240411,180000,58.2908,58.53,58.2908,58.53,1975,0
XT.US,60,20240411,190000,58.535,58.535,58.4701,58.495,2213,0
XT.US,60,20240411,200000,58.5,58.7938,58.5,58.79,2215,0
XT.US,60,20240411,210000,58.8163,58.99,58.8163,58.9255,26793,0
XT.US,60,20240411,220000,58.93,59.0064,58.9001,58.91,12711,0
XT.US,60,20240412,160000,58.16,58.2199,58.0475,58.15,7177,0
XT.US,60,20240412,170000,58.02,58.03,57.835,57.8799,13328,0
XT.US,60,20240412,180000,57.815,57.8811,57.75,57.88,5516,0
XT.US,60,20240412,190000,57.8657,57.8657,57.575,57.6101,3390,0
XT.US,60,20240412,200000,57.58,57.58,57.4,57.55,5644,0
XT.US,60,20240412,210000,57.5199,57.5911,57.38,57.41,46404,0
XT.US,60,20240412,220000,57.35,57.48,57.34,57.42,10871,0
XT.US,60,20240415,160000,57.83,57.83,57.66,57.68,9295,0
XT.US,60,20240415,170000,57.6637,57.6637,57.16,57.16,8475,0
XT.US,60,20240415,180000,57.14,57.35,57.1,57.35,7472,0
XT.US,60,20240415,190000,57.3,57.3582,57.01,57.0319,5860,0
XT.US,60,20240415,200000,57,57.06,56.48,56.57,17497,0
XT.US,60,20240415,210000,56.5373,56.6,56.42,56.44,54798,0
XT.US,60,20240415,220000,56.44,56.445,56.2799,56.39,23108,0
XT.US,60,20240416,160000,56.1,56.1,55.89,55.95,29509,0
XT.US,60,20240416,170000,55.95,56.03,55.9,55.95,3761,0
XT.US,60,20240416,180000,55.98,56.2365,55.98,56.14,15299,0
XT.US,60,20240416,190000,56.045,56.205,56.045,56.15,7220,0
XT.US,60,20240416,200000,56.12,56.2195,55.9401,56.07,6378,0
XT.US,60,20240416,210000,56.1,56.3909,55.98,56.25,35266,0
XT.US,60,20240416,220000,56.23,56.24,56.04,56.05,12161,0
XT.US,60,20240417,160000,56.23,56.325,56.1925,56.2,10059,0
XT.US,60,20240417,170000,56.11,56.11,55.84,55.88,21085,0
XT.US,60,20240417,180000,55.92,56,55.75,55.8467,6215,0
XT.US,60,20240417,190000,55.72,55.725,55.54,55.6325,6368,0
XT.US,60,20240417,200000,55.61,55.92,55.61,55.92,8426,0
XT.US,60,20240417,210000,55.885,56.04,55.78,55.78,48626,0
XT.US,60,20240417,220000,55.7201,55.81,55.61,55.61,15151,0
XT.US,60,20240418,160000,55.57,55.57,55.14,55.28,3597,0
XT.US,60,20240418,170000,55.36,55.715,55.36,55.715,4573,0
XT.US,60,20240418,180000,55.65,55.83,55.65,55.6801,2951,0
XT.US,60,20240418,190000,55.715,55.715,55.44,55.49,10969,0
XT.US,60,20240418,200000,55.47,55.48,55.235,55.285,5559,0
XT.US,60,20240418,210000,55.2922,55.36,55.16,55.19,41135,0
XT.US,60,20240418,220000,55.22,55.3192,55.18,55.2,10676,0
XT.US,60,20240419,160000,54.9,55.21,54.84,55.09,3295,0
XT.US,60,20240419,170000,55.0407,55.105,54.87,54.95,11799,0
XT.US,60,20240419,180000,54.95,54.95,54.81,54.81,6544,0
XT.US,60,20240419,190000,54.73,54.75,54.5,54.6464,6669,0
XT.US,60,20240419,200000,54.778,54.7901,54.675,54.7175,2333,0
XT.US,60,20240419,210000,54.5713,54.6101,54.3,54.355,27242,0
XT.US,60,20240419,220000,54.355,54.4832,54.33,54.46,12007,0
XT.US,60,20240422,160000,54.74,54.825,54.59,54.825,4701,0
XT.US,60,20240422,170000,54.7901,54.82,54.61,54.7298,3383,0
XT.US,60,20240422,180000,54.565,54.66,54.5011,54.635,5852,0
XT.US,60,20240422,190000,54.7001,54.85,54.7001,54.7801,2252,0
XT.US,60,20240422,200000,54.84,55.2802,54.84,55.22,5340,0
XT.US,60,20240422,210000,55.215,55.3499,55.192,55.2535,29877,0
XT.US,60,20240422,220000,55.24,55.24,55.0401,55.09,10184,0
XT.US,60,20240423,160000,55.22,55.8,55.22,55.79,4626,0
XT.US,60,20240423,170000,55.81,56.0031,55.795,55.94,7218,0
XT.US,60,20240423,180000,55.93,55.93,55.82,55.8301,6481,0
XT.US,60,20240423,190000,55.84,56.005,55.825,55.975,4300,0
XT.US,60,20240423,200000,55.93,56.1092,55.93,56.1083,5745,0
XT.US,60,20240423,210000,56.065,56.18,56.06,56.115,36726,0
XT.US,60,20240423,220000,56.131,56.131,55.94,55.96,22742,0
XT.US,60,20240424,160000,56.42,56.575,56.34,56.3711,4463,0
XT.US,60,20240424,170000,56.365,56.43,56.0854,56.0951,9170,0
XT.US,60,20240424,180000,56.01,56.01,55.845,55.8939,3333,0
XT.US,60,20240424,190000,55.86,55.91,55.785,55.91,4375,0
XT.US,60,20240424,200000,55.9453,56.16,55.92,56.16,5879,0
XT.US,60,20240424,210000,56.125,56.125,55.94,55.94,27835,0
XT.US,60,20240424,220000,55.915,56.11,55.905,56.08,3728,0
XT.US,60,20240425,160000,55.3,55.49,55.2525,55.2575,4778,0
XT.US,60,20240425,170000,55.17,55.525,55.1534,55.28,4717,0
XT.US,60,20240425,180000,55.25,55.422,55.25,55.422,5876,0
XT.US,60,20240425,190000,55.435,55.65,55.435,55.65,2896,0
XT.US,60,20240425,200000,55.6714,55.913,55.611,55.9,6638,0
XT.US,60,20240425,210000,55.91,55.925,55.75,55.7918,21807,0
XT.US,60,20240425,220000,55.8377,55.97,55.77,55.81,8667,0
XT.US,60,20240426,160000,56.1075,56.4093,56.08,56.4093,1424,0
XT.US,60,20240426,170000,56.5812,56.5943,56.4797,56.485,4025,0
XT.US,60,20240426,180000,56.53,56.53,56.3901,56.455,3792,0
XT.US,60,20240426,190000,56.45,56.525,56.4401,56.525,1738,0
XT.US,60,20240426,200000,56.565,56.6454,56.565,56.595,2252,0
XT.US,60,20240426,210000,56.57,56.5941,56.4816,56.53,19216,0
XT.US,60,20240426,220000,56.6153,56.6153,56.48,56.48,4289,0
XT.US,60,20240429,160000,56.73,57,56.69,56.725,6207,0
XT.US,60,20240429,170000,56.7786,56.9299,56.7786,56.8401,5255,0
XT.US,60,20240429,180000,56.9101,56.9101,56.84,56.897,4100,0
XT.US,60,20240429,190000,56.93,56.9835,56.93,56.935,2429,0
XT.US,60,20240429,200000,56.9414,57.005,56.94,56.975,2620,0
XT.US,60,20240429,210000,56.95,56.9634,56.8277,56.895,18358,0
XT.US,60,20240429,220000,56.87,56.91,56.6595,56.89,10227,0
XT.US,60,20240430,160000,56.46,56.52,56.46,56.52,1153,0
XT.US,60,20240430,170000,56.5621,56.6201,56.45,56.45,3660,0
XT.US,60,20240430,180000,56.4,56.4,56.1501,56.215,5525,0
XT.US,60,20240430,190000,56.25,56.265,56.045,56.0703,2150,0
XT.US,60,20240430,200000,56.1386,56.1998,56.0384,56.1998,7171,0
XT.US,60,20240430,210000,56.2143,56.22,55.99,56.02,20466,0
XT.US,60,20240430,220000,56.08,56.09,55.95,55.9884,6333,0
XT.US,60,20240501,160000,55.62,55.83,55.62,55.7967,2764,0
XT.US,60,20240501,170000,55.67,55.72,55.56,55.72,3000,0
XT.US,60,20240501,180000,55.705,55.705,55.5014,55.5785,5429,0
XT.US,60,20240501,190000,55.4577,55.65,55.4577,55.6,2639,0
XT.US,60,20240501,200000,55.62,55.7535,55.57,55.7235,2133,0
XT.US,60,20240501,210000,55.74,56.6,55.74,56.6,21871,0
XT.US,60,20240501,220000,56.77,56.77,55.79,55.79,4783,0
XT.US,60,20240502,160000,56.47,56.48,56.08,56.1,3876,0
XT.US,60,20240502,170000,56.082,56.2299,55.76,56.19,8269,0
XT.US,60,20240502,180000,56.3467,56.395,56.28,56.395,2683,0
XT.US,60,20240502,190000,56.44,56.455,56.35,56.43,2518,0
XT.US,60,20240502,200000,56.565,56.63,56.5318,56.58,5520,0
XT.US,60,20240502,210000,56.609,56.82,56.609,56.82,33166,0
XT.US,60,20240502,220000,56.775,56.85,56.65,56.76,12828,0
XT.US,60,20240503,160000,57.51,57.7333,57.4575,57.7333,3232,0
XT.US,60,20240503,170000,57.74,57.75,57.1954,57.23,4464,0
XT.US,60,20240503,180000,57.205,57.345,57.185,57.345,2653,0
XT.US,60,20240503,190000,57.352,57.352,57.225,57.225,1049,0
XT.US,60,20240503,200000,57.2596,57.29,57.21,57.2456,14274,0
XT.US,60,20240503,210000,57.34,57.42,57.32,57.36,22729,0
XT.US,60,20240503,220000,57.3279,57.41,57.325,57.38,29788,0
XT.US,60,20240506,160000,57.61,57.82,57.61,57.82,5932,0
XT.US,60,20240506,170000,57.86,57.8916,57.79,57.79,4211,0
XT.US,60,20240506,180000,57.7573,57.825,57.75,57.825,1439,0
XT.US,60,20240506,190000,57.795,57.84,57.7825,57.84,3877,0
XT.US,60,20240506,200000,57.86,57.93,57.79,57.93,4933,0
XT.US,60,20240506,210000,57.94,57.96,57.89,57.92,18969,0
XT.US,60,20240506,220000,57.88,57.98,57.8392,57.95,28929,0
XT.US,60,20240507,160000,57.9,57.97,57.8,57.85,3881,0
XT.US,60,20240507,170000,57.83,58.0382,57.83,58.0382,1733,0
XT.US,60,20240507,180000,58.035,58.035,57.9401,58.025,2602,0
XT.US,60,20240507,190000,58.0338,58.06,57.97,57.97,2229,0
XT.US,60,20240507,200000,57.985,58,57.86,57.86,6071,0
XT.US,60,20240507,210000,57.84,57.8599,57.815,57.855,26893,0
XT.US,60,20240507,220000,57.84,57.8937,57.825,57.83,10242,0
XT.US,60,20240508,160000,57.34,57.5401,57.34,57.5401,3734,0
XT.US,60,20240508,170000,57.5505,57.7001,57.5505,57.69,6094,0
XT.US,60,20240508,180000,57.61,57.61,57.505,57.58,8392,0
XT.US,60,20240508,190000,57.5858,57.5923,57.51,57.5923,2932,0
XT.US,60,20240508,200000,57.56,57.56,57.485,57.5051,2508,0
XT.US,60,20240508,210000,57.5601,57.58,57.55,57.5711,26929,0
XT.US,60,20240508,220000,57.5,57.64,57.5,57.64,10448,0
XT.US,60,20240509,160000,57.7,57.78,57.6086,57.66,5852,0
XT.US,60,20240509,170000,57.7168,57.9,57.7101,57.87,4116,0
XT.US,60,20240509,180000,57.9014,57.94,57.8212,57.8212,3521,0
XT.US,60,20240509,190000,57.83,57.9149,57.83,57.88,4580,0
XT.US,60,20240509,200000,57.9,57.9419,57.885,57.9419,3347,0
XT.US,60,20240509,210000,57.87,57.9879,57.87,57.9879,20409,0
XT.US,60,20240509,220000,57.99,58.0299,57.95,57.96,8218,0
XT.US,60,20240510,160000,58.21,58.3912,58.21,58.38,5141,0
XT.US,60,20240510,170000,58.306,58.306,57.995,57.995,2889,0
XT.US,60,20240510,180000,58.01,58.0399,57.969,58.0141,10078,0
XT.US,60,20240510,190000,58.0142,58.0142,57.94,58.0007,3738,0
XT.US,60,20240510,200000,57.9312,57.9312,57.891,57.92,7550,0
XT.US,60,20240510,210000,57.91,57.9644,57.88,57.95,20131,0
XT.US,60,20240510,220000,57.9151,57.97,57.88,57.89,7099,0
XT.US,60,20240513,160000,58,58.38,58,58.38,11328,0
XT.US,60,20240513,170000,58.38,58.38,58.3,58.35,1647,0
XT.US,60,20240513,180000,58.3183,58.38,58.23,58.28,2551,0
XT.US,60,20240513,190000,58.31,58.31,58.26,58.27,2104,0
XT.US,60,20240513,200000,58.25,58.25,58.09,58.17,5051,0
XT.US,60,20240513,210000,58.2199,58.25,58.17,58.2,32638,0
XT.US,60,20240513,220000,58.2001,58.24,58.15,58.2,17512,0
XT.US,60,20240514,160000,58.54,58.8,58.54,58.8,12282,0
XT.US,60,20240514,170000,58.745,58.785,58.5999,58.685,14049,0
XT.US,60,20240514,180000,58.7489,58.78,58.68,58.6801,1390,0
XT.US,60,20240514,190000,58.695,58.7,58.58,58.58,6122,0
XT.US,60,20240514,200000,58.575,58.59,58.52,58.56,3108,0
XT.US,60,20240514,210000,58.565,58.71,58.54,58.7,28901,0
XT.US,60,20240514,220000,58.7,58.815,58.68,58.8,11863,0
XT.US,60,20240515,160000,59.33,59.36,59.1134,59.1134,3833,0
XT.US,60,20240515,170000,59.14,59.33,59.14,59.3239,4310,0
XT.US,60,20240515,180000,59.35,59.45,59.35,59.42,1193,0
XT.US,60,20240515,190000,59.4,59.58,59.38,59.58,5784,0
XT.US,60,20240515,200000,59.5519,59.62,59.5519,59.605,6294,0
XT.US,60,20240515,210000,59.62,59.63,59.5572,59.61,32008,0
XT.US,60,20240515,220000,59.62,59.72,59.605,59.72,7803,0
XT.US,60,20240516,160000,59.61,59.61,59.4,59.4,10042,0
XT.US,60,20240516,170000,59.41,59.495,59.38,59.495,9932,0
