<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABUS.US,60,20240411,160000,2.95,3.02,2.94,2.97,167412,0
ABUS.US,60,20240411,170000,2.97,2.9999,2.97,2.98,56427,0
ABUS.US,60,20240411,180000,2.98,3.01,2.975,3.005,85450,0
ABUS.US,60,20240411,190000,3.01,3.01,2.98,2.985,20360,0
ABUS.US,60,20240411,200000,2.98,3.02,2.98,3.015,122106,0
ABUS.US,60,20240411,210000,3.02,3.05,3.01,3.03,80713,0
ABUS.US,60,20240411,220000,3.03,3.04,3.02,3.03,185086,0
ABUS.US,60,20240412,160000,2.99,3.03,2.98,3.025,88670,0
ABUS.US,60,20240412,170000,3.02,3.02,2.98,2.99,64850,0
ABUS.US,60,20240412,180000,2.995,2.995,2.95,2.97,39396,0
ABUS.US,60,20240412,190000,2.96,2.97,2.94,2.96,56330,0
ABUS.US,60,20240412,200000,2.965,2.979,2.96,2.965,58723,0
ABUS.US,60,20240412,210000,2.96,2.97,2.93,2.935,95044,0
ABUS.US,60,20240412,220000,2.935,2.94,2.9,2.91,188001,0
ABUS.US,60,20240415,160000,2.9,2.9,2.86,2.87,193150,0
ABUS.US,60,20240415,170000,2.865,2.865,2.82,2.83,826434,0
ABUS.US,60,20240415,180000,2.835,2.875,2.825,2.87,193998,0
ABUS.US,60,20240415,190000,2.87,2.89,2.85,2.855,260281,0
ABUS.US,60,20240415,200000,2.855,2.94,2.85,2.928,192036,0
ABUS.US,60,20240415,210000,2.9201,2.925,2.88,2.8825,347716,0
ABUS.US,60,20240415,220000,2.89,2.99,2.88,2.98,1040519,0
ABUS.US,60,20240416,160000,2.92,2.9398,2.885,2.9398,21127,0
ABUS.US,60,20240416,170000,2.9393,2.9393,2.91,2.9125,33803,0
ABUS.US,60,20240416,180000,2.915,2.925,2.9,2.9,32137,0
ABUS.US,60,20240416,190000,2.9,2.915,2.89,2.91,25265,0
ABUS.US,60,20240416,200000,2.91,2.91,2.88,2.88,36426,0
ABUS.US,60,20240416,210000,2.88,2.92,2.88,2.92,68068,0
ABUS.US,60,20240416,220000,2.92,2.93,2.9,2.92,363375,0
ABUS.US,60,20240417,160000,2.91,2.9377,2.89,2.895,19678,0
ABUS.US,60,20240417,170000,2.895,2.905,2.88,2.88,55672,0
ABUS.US,60,20240417,180000,2.88,2.885,2.825,2.84,127372,0
ABUS.US,60,20240417,190000,2.845,2.85,2.815,2.8287,63859,0
ABUS.US,60,20240417,200000,2.825,2.855,2.82,2.845,41458,0
ABUS.US,60,20240417,210000,2.8499,2.86,2.83,2.83,72164,0
ABUS.US,60,20240417,220000,2.83,2.83,2.78,2.785,132179,0
ABUS.US,60,20240418,160000,2.78,2.8,2.72,2.74,48046,0
ABUS.US,60,20240418,170000,2.745,2.775,2.73,2.77,96109,0
ABUS.US,60,20240418,180000,2.76,2.77,2.75,2.75,71965,0
ABUS.US,60,20240418,190000,2.75,2.76,2.74,2.74,53929,0
ABUS.US,60,20240418,200000,2.74,2.745,2.72,2.72,28997,0
ABUS.US,60,20240418,210000,2.725,2.73,2.7,2.7,96814,0
ABUS.US,60,20240418,220000,2.7,2.75,2.69,2.74,341477,0
ABUS.US,60,20240419,160000,2.71,2.81,2.69,2.75,235406,0
ABUS.US,60,20240419,170000,2.75,2.75,2.705,2.71,30536,0
ABUS.US,60,20240419,180000,2.71,2.715,2.7,2.7,29351,0
ABUS.US,60,20240419,190000,2.705,2.7099,2.68,2.7,31856,0
ABUS.US,60,20240419,200000,2.695,2.7,2.68,2.695,18003,0
ABUS.US,60,20240419,210000,2.69,2.695,2.65,2.685,107543,0
ABUS.US,60,20240419,220000,2.685,2.74,2.6813,2.73,271431,0
ABUS.US,60,20240422,160000,2.73,2.765,2.715,2.715,28420,0
ABUS.US,60,20240422,170000,2.71,2.73,2.695,2.695,38244,0
ABUS.US,60,20240422,180000,2.7,2.705,2.675,2.685,117354,0
ABUS.US,60,20240422,190000,2.685,2.69,2.67,2.69,86410,0
ABUS.US,60,20240422,200000,2.6882,2.7,2.68,2.7,82239,0
