<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABVX.US,60,20240411,160000,15.81,16.14,15.73,15.945,14983,0
ABVX.US,60,20240411,170000,15.95,16.02,15.745,15.8,13413,0
ABVX.US,60,20240411,180000,15.77,15.77,15.4575,15.4575,1908,0
ABVX.US,60,20240411,190000,15.33,15.4,15.09,15.36,8254,0
ABVX.US,60,20240411,200000,15.45,15.45,15.25,15.34,2419,0
ABVX.US,60,20240411,210000,15.25,15.25,15.02,15.02,2353,0
ABVX.US,60,20240411,220000,15.02,15.18,14.92,14.98,9573,0
ABVX.US,60,20240412,160000,14.57,14.87,14.57,14.77,2627,0
ABVX.US,60,20240412,170000,14.895,14.91,14.66,14.78,5240,0
ABVX.US,60,20240412,180000,14.74,14.85,14.58,14.75,5993,0
ABVX.US,60,20240412,190000,14.7,14.925,14.6975,14.76,4600,0
ABVX.US,60,20240412,200000,14.79,15.06,14.76,14.94,13966,0
ABVX.US,60,20240412,210000,14.6875,15,14.6875,14.921,2210,0
ABVX.US,60,20240412,220000,14.84,15.09,14.72,15.09,3210,0
ABVX.US,60,20240415,160000,14.82,14.82,14.78,14.8,1300,0
ABVX.US,60,20240415,170000,14.74,14.835,14.66,14.67,5446,0
ABVX.US,60,20240415,180000,14.69,15.41,14.69,14.94,8257,0
ABVX.US,60,20240415,190000,14.94,15,14.8,14.84,3029,0
ABVX.US,60,20240415,200000,14.81,15.1,14.81,14.85,2902,0
ABVX.US,60,20240415,210000,14.82,14.9,14.78,14.78,1700,0
ABVX.US,60,20240415,220000,14.905,14.915,14.51,14.7,5981,0
ABVX.US,60,20240416,160000,14.48,14.66,14.48,14.66,909,0
ABVX.US,60,20240416,170000,14.67,14.71,14.5,14.5,900,0
ABVX.US,60,20240416,180000,14.75,15.09,14.75,15.09,1800,0
ABVX.US,60,20240416,190000,14.94,15.255,14.94,15.11,3009,0
ABVX.US,60,20240416,200000,15.245,15.245,14.92,15.09,2852,0
