<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIXC.US,60,20240411,160000,19.4,19.4,18.6,18.6,658.44,0
AIXC.US,60,20240411,170000,18.5055,18.5055,17.765,18.5,1570.12,0
AIXC.US,60,20240411,180000,17.775,18.175,17.765,17.85,86.54,0
AIXC.US,60,20240411,190000,18.175,18.175,17.85,18,41.98,0
AIXC.US,60,20240411,200000,17.85,18,17.85,17.85,26.38,0
AIXC.US,60,20240411,210000,17.85,17.85,17.5,17.5,1391.54,0
AIXC.US,60,20240411,220000,17.55,18.5,17.5,18.3,362.84,0
AIXC.US,60,20240412,160000,18,18,14.73,17,259.4,0
AIXC.US,60,20240412,170000,16.3874,17,16.3874,16.7599,94.26,0
AIXC.US,60,20240412,180000,16.5,16.995,16.5,16.8926,33.6,0
AIXC.US,60,20240412,190000,16.99,16.995,16.505,16.745,64.84,0
AIXC.US,60,20240412,210000,16.74,16.74,16.505,16.505,27.94,0
AIXC.US,60,20240412,220000,16.735,16.745,16.5055,16.6,207.94,0
AIXC.US,60,20240415,160000,16.21,16.5,15.55,16.245,205.54,0
AIXC.US,60,20240415,170000,16,16.245,16,16,119.72,0
AIXC.US,60,20240415,180000,16.05,16.245,16,16,142.44,0
AIXC.US,60,20240415,190000,16.02,16.02,15.8,15.8,66.54,0
AIXC.US,60,20240415,200000,15.7505,15.995,15.75,15.75,48.2,0
AIXC.US,60,20240415,210000,15.75,15.75,15.75,15.75,45.28,0
AIXC.US,60,20240415,220000,15.75,15.995,15.75,15.995,63.44,0
AIXC.US,60,20240416,160000,15.5,15.55,15.155,15.395,473.98,0
AIXC.US,60,20240416,170000,15.35,15.395,15.16,15.27,283.64,0
AIXC.US,60,20240416,180000,15.23,15.385,15,15.1876,161.7,0
AIXC.US,60,20240416,190000,15.05,15.375,15.05,15.37,71.66,0
AIXC.US,60,20240416,200000,15.37,15.375,15.0189,15.365,222.72,0
AIXC.US,60,20240416,210000,15.37,15.375,14.7724,14.99,569.48,0
AIXC.US,60,20240416,220000,14.55,14.995,14.55,14.99,166.74,0
AIXC.US,60,20240417,160000,15,15.32,14.575,14.575,29.76,0
AIXC.US,60,20240417,170000,14.155,15,14.155,14.505,153.7,0
AIXC.US,60,20240417,180000,14.55,14.7475,14.155,14.7475,140.22,0
AIXC.US,60,20240417,190000,14.55,14.7476,14.5,14.7476,58.9,0
AIXC.US,60,20240417,200000,14.95,15,14.95,15,8.02,0
AIXC.US,60,20240417,210000,15,15,14.5,14.995,106,0
