<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APXT.US,60,20251117,160000,9.96,9.96,9.9,9.9,1100,0
APXT.US,60,20251117,180000,9.94,9.94,9.94,9.94,100,0
APXT.US,60,20251117,190000,9.93,9.94,9.93,9.94,300,0
APXT.US,60,20251117,200000,9.94,9.94,9.94,9.94,5900,0
APXT.US,60,20251117,210000,9.93,9.93,9.93,9.93,3000,0
APXT.US,60,20251117,220000,9.93,9.93,9.9,9.92,17900,0
APXT.US,60,20251118,160000,9.9,9.94,9.9,9.9,20481,0
APXT.US,60,20251118,170000,9.901,9.9045,9.9,9.9045,8200,0
APXT.US,60,20251118,190000,9.91,9.91,9.9023,9.9023,3955,0
APXT.US,60,20251118,210000,9.9,9.92,9.9,9.92,300,0
APXT.US,60,20251119,180000,9.92,9.92,9.91,9.91,4100,0
APXT.US,60,20251119,190000,9.9,9.92,9.9,9.92,300,0
APXT.US,60,20251119,200000,9.915,9.915,9.91,9.91,5400,0
APXT.US,60,20251119,210000,9.9,9.91,9.9,9.91,1500,0
APXT.US,60,20251119,220000,9.9,9.91,9.89,9.9,1273399,0
APXT.US,60,20251120,160000,9.91,9.91,9.8985,9.9,246670,0
APXT.US,60,20251120,170000,9.9,9.9,9.9,9.9,500000,0
APXT.US,60,20251120,180000,9.895,9.9,9.895,9.9,799671,0
APXT.US,60,20251120,190000,9.9,9.9,9.895,9.8961,54347,0
APXT.US,60,20251120,200000,9.895,9.9,9.89,9.9,577959,0
APXT.US,60,20251120,210000,9.895,9.9,9.895,9.9,283613,0
APXT.US,60,20251120,220000,9.895,9.9,9.89,9.89,735632,0
APXT.US,60,20251121,160000,9.9,9.9,9.895,9.9,103600,0
APXT.US,60,20251121,170000,9.89,9.89,9.89,9.89,542,0
APXT.US,60,20251121,180000,9.9,9.9,9.9,9.9,100,0
APXT.US,60,20251121,200000,9.89,9.89,9.89,9.89,7114,0
APXT.US,60,20251121,220000,9.89,9.89,9.89,9.89,68685,0
APXT.US,60,20251124,160000,9.9,9.9,9.9,9.9,938,0
APXT.US,60,20251124,170000,9.895,9.895,9.895,9.895,100,0
APXT.US,60,20251124,180000,9.9,9.9,9.9,9.9,100,0
APXT.US,60,20251124,190000,9.895,9.895,9.895,9.895,800,0
APXT.US,60,20251124,200000,9.895,9.895,9.895,9.895,100,0
APXT.US,60,20251124,220000,9.89,9.89,9.89,9.89,912,0
APXT.US,60,20251125,160000,9.89,9.89,9.89,9.89,1500,0
APXT.US,60,20251125,180000,9.89,9.895,9.89,9.89,10800,0
APXT.US,60,20251125,190000,9.89,9.89,9.89,9.89,600,0
APXT.US,60,20251125,210000,9.89,9.89,9.89,9.89,1800,0
APXT.US,60,20251125,220000,9.89,9.89,9.89,9.89,1275,0
APXT.US,60,20251126,180000,9.9,9.9,9.9,9.9,100,0
APXT.US,60,20251126,190000,9.895,9.895,9.885,9.89,28180,0
APXT.US,60,20251126,200000,9.889,9.895,9.88,9.88,14260,0
APXT.US,60,20251126,210000,9.885,9.885,9.87,9.88,67430,0
APXT.US,60,20251126,220000,9.885,9.885,9.88,9.88,951,0
APXT.US,60,20251128,170000,9.885,9.885,9.885,9.885,700,0
