<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAERW.US,60,20240416,210000,0.17,0.1783,0.17,0.17,7232,0
BAERW.US,60,20240416,220000,0.1782,0.18,0.1782,0.18,400,0
BAERW.US,60,20240417,160000,0.1623,0.1623,0.1623,0.1623,1000,0
BAERW.US,60,20240417,190000,0.18,0.18,0.18,0.18,200,0
BAERW.US,60,20240423,180000,0.1638,0.1638,0.1638,0.1638,100,0
BAERW.US,60,20240423,190000,0.163,0.163,0.163,0.163,1000,0
BAERW.US,60,20240423,200000,0.1626,0.1626,0.1624,0.1624,400,0
BAERW.US,60,20240423,210000,0.1624,0.1624,0.1624,0.1624,200,0
BAERW.US,60,20240423,220000,0.1624,0.163,0.16,0.16,59954,0
BAERW.US,60,20240424,170000,0.159,0.159,0.159,0.159,948,0
BAERW.US,60,20240424,180000,0.155201,0.155201,0.1552,0.1552,1200,0
BAERW.US,60,20240424,210000,0.1552,0.16155,0.1552,0.16155,3400,0
BAERW.US,60,20240425,170000,0.1552,0.1552,0.1552,0.1552,1000,0
BAERW.US,60,20240425,210000,0.15515,0.15515,0.15515,0.15515,1200,0
BAERW.US,60,20240426,170000,0.155,0.1551,0.155,0.1551,2300,0
BAERW.US,60,20240426,190000,0.152,0.152,0.15,0.15,23939,0
BAERW.US,60,20240426,210000,0.1521,0.1552,0.15,0.1525,21500,0
BAERW.US,60,20240426,220000,0.1525,0.1551,0.15,0.15,1539,0
BAERW.US,60,20240429,210000,0.14,0.14,0.14,0.14,500,0
BAERW.US,60,20240429,220000,0.1393,0.1395,0.1391,0.1395,1246,0
BAERW.US,60,20240430,170000,0.14,0.14,0.14,0.14,1000,0
BAERW.US,60,20240430,180000,0.14,0.14,0.14,0.14,2700,0
BAERW.US,60,20240501,200000,0.1386,0.15,0.1386,0.1386,3817,0
BAERW.US,60,20240501,210000,0.1386,0.15,0.1386,0.15,5100,0
BAERW.US,60,20240501,220000,0.1534,0.1534,0.1534,0.1534,100,0
BAERW.US,60,20240503,170000,0.1414,0.1414,0.1414,0.1414,100,0
BAERW.US,60,20240506,180000,0.1414,0.1414,0.1414,0.1414,950,0
BAERW.US,60,20240506,200000,0.15,0.15,0.14,0.1498,5760,0
