<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDMD.US,60,20241003,160000,5.65,5.83,5.4,5.74,9962,0
BDMD.US,60,20241003,170000,5.64,5.75,5,5.1517,27760,0
BDMD.US,60,20241003,180000,5.25,5.35,5.1801,5.3,3006,0
BDMD.US,60,20241003,190000,5.43,5.77,5.2,5.25,20831,0
BDMD.US,60,20241003,200000,5.3,5.41,5.06,5.34,5288,0
BDMD.US,60,20241003,210000,5.35,5.45,4.68,5.2,21969,0
BDMD.US,60,20241003,220000,5,5.1535,4.85,5.07,3728,0
BDMD.US,60,20241004,160000,4.98,5.46,4.8,4.9098,16328,0
BDMD.US,60,20241004,170000,4.8,4.94,4.0137,4.25,24430,0
BDMD.US,60,20241004,180000,4.1883,4.77,4.155,4.77,6157,0
BDMD.US,60,20241004,190000,4.515,4.6199,4.26,4.6199,5526,0
BDMD.US,60,20241004,200000,4.2317,4.59,4.2317,4.27,519,0
BDMD.US,60,20241004,210000,4.6,4.6,4.5967,4.5967,2080,0
BDMD.US,60,20241004,220000,4.5635,4.6,4.27,4.32,3758,0
BDMD.US,60,20241007,160000,4.22,4.67,4.22,4.5795,5650,0
BDMD.US,60,20241007,170000,4.6,4.6,4.2,4.2,3253,0
BDMD.US,60,20241007,180000,4.19,4.53,3.58,4.0001,12358,0
BDMD.US,60,20241007,190000,4.01,4.25,4,4.25,1265,0
BDMD.US,60,20241007,200000,4.25,4.2501,4.25,4.25,1775,0
BDMD.US,60,20241007,210000,4.25,4.25,4.25,4.25,100,0
BDMD.US,60,20241007,220000,4.25,4.44,4.01,4.15,7046,0
BDMD.US,60,20241008,160000,4.5191,5.1,4.35,4.35,8408,0
BDMD.US,60,20241008,170000,4.6,4.92,4.4107,4.4996,7860,0
BDMD.US,60,20241008,180000,4.5,4.8091,4.36,4.8,6624,0
BDMD.US,60,20241008,190000,4.68,4.7,4.4501,4.452,8904,0
BDMD.US,60,20241008,200000,4.4778,4.5023,4.4,4.4,1108,0
BDMD.US,60,20241008,210000,4.43,5,4.2,4.55,24068,0
BDMD.US,60,20241008,220000,4.47,4.94,3.62,3.885,33471,0
BDMD.US,60,20241009,160000,4.09,4.4674,3.89,4.2,17196,0
BDMD.US,60,20241009,170000,4.2851,4.4001,3.89,3.89,20046,0
BDMD.US,60,20241009,180000,3.8566,4.1884,3.8566,4.1539,1397,0
