<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFC.US,60,20240411,170000,79.5,79.5,79.5,79.5,100,0
BFC.US,60,20240411,190000,79.71,79.71,79.71,79.71,100,0
BFC.US,60,20240411,200000,79.97,79.97,79.97,79.97,121,0
BFC.US,60,20240411,210000,80,80.06,80,80.06,200,0
BFC.US,60,20240412,160000,79.4,79.4,79.4,79.4,100,0
BFC.US,60,20240412,170000,79.33,79.33,79.05,79.05,300,0
BFC.US,60,20240412,180000,79.42,79.58,79.42,79.58,200,0
BFC.US,60,20240412,210000,79.53,79.53,79.53,79.53,100,0
BFC.US,60,20240412,220000,79.31,79.67,79.31,79.67,400,0
BFC.US,60,20240415,170000,79.5,79.5,78.93,79.47,500,0
BFC.US,60,20240415,180000,78.75,78.93,78.75,78.93,496,0
BFC.US,60,20240415,190000,78.7701,78.92,78.51,78.59,2251,0
BFC.US,60,20240415,200000,78.51,78.76,78.45,78.45,1106,0
BFC.US,60,20240415,220000,78.96,79,78.96,79,532,0
BFC.US,60,20240416,160000,79.15,79.15,79.15,79.15,217,0
BFC.US,60,20240416,210000,79.4,79.4,79.4,79.4,100,0
BFC.US,60,20240416,220000,78.4,78.54,78.2,78.48,500,0
BFC.US,60,20240417,160000,75.7,77.125,74.9,77.125,1444,0
BFC.US,60,20240417,190000,76.99,77.25,76.68,76.89,1400,0
BFC.US,60,20240417,200000,77.03,77.31,77.03,77.31,914,0
BFC.US,60,20240417,210000,76.82,76.82,76.1,76.1,400,0
BFC.US,60,20240417,220000,76.25,77.73,76.16,76.75,3512,0
BFC.US,60,20240418,160000,76.26,76.945,76.26,76.5,484,0
BFC.US,60,20240418,170000,76.45,76.6,76.45,76.6,200,0
BFC.US,60,20240418,200000,76.08,76.08,76.08,76.08,100,0
BFC.US,60,20240418,210000,76,76.25,75.59,75.59,860,0
BFC.US,60,20240418,220000,75.2687,75.82,74.95,75.82,1930,0
BFC.US,60,20240419,160000,75.11,75.14,75.11,75.14,1885,0
BFC.US,60,20240419,170000,76.25,76.25,76.25,76.25,5100,0
BFC.US,60,20240419,190000,77.375,77.75,77.375,77.75,300,0
BFC.US,60,20240419,200000,77.75,78.45,77.75,78.18,430,0
BFC.US,60,20240419,220000,77.52,78.5,77.52,78.5,4650,0
BFC.US,60,20240422,170000,78.36,78.36,78.36,78.36,100,0
BFC.US,60,20240422,210000,80.02,80.2797,80.02,80.12,1400,0
BFC.US,60,20240422,220000,80.05,80.05,79.29,79.69,3042,0
BFC.US,60,20240423,160000,80.2,80.2,80.2,80.2,137,0
BFC.US,60,20240423,170000,80,80,80,80,15000,0
BFC.US,60,20240423,200000,80.66,80.66,80.66,80.66,100,0
BFC.US,60,20240423,210000,80,80,79.92,79.92,200,0
BFC.US,60,20240423,220000,79.01,79.51,78.6,78.66,1600,0
BFC.US,60,20240424,170000,77.12,77.24,77.12,77.19,728,0
BFC.US,60,20240424,180000,76.79,76.81,76.79,76.81,300,0
BFC.US,60,20240424,190000,77.3518,77.3518,77.3518,77.3518,300,0
BFC.US,60,20240424,200000,77.97,77.97,77.97,77.97,100,0
BFC.US,60,20240424,210000,77.97,78.33,77.97,78.33,400,0
BFC.US,60,20240424,220000,78.605,78.91,78.51,78.54,5611,0
BFC.US,60,20240425,160000,78.25,78.25,78.25,78.25,160,0
BFC.US,60,20240425,170000,78.13,78.13,78,78,300,0
BFC.US,60,20240425,190000,77.82,77.82,77.82,77.82,100,0
BFC.US,60,20240425,200000,77.88,77.91,77.82,77.91,400,0
BFC.US,60,20240425,210000,77.84,77.84,77.83,77.83,400,0
BFC.US,60,20240425,220000,78.34,78.53,78.34,78.53,5696,0
BFC.US,60,20240426,210000,78.87,79.22,78.87,79,1419,0
BFC.US,60,20240426,220000,78.97,78.97,78.55,78.86,5624,0
BFC.US,60,20240429,210000,76.98,77.04,76.98,77.04,200,0
BFC.US,60,20240429,220000,77.07,77.69,77.07,77.69,2961,0
BFC.US,60,20240430,160000,77.83,79.2699,77.64,79.2699,2488,0
BFC.US,60,20240430,170000,77.84,77.87,77.5,77.54,628,0
BFC.US,60,20240430,190000,77.29,77.29,77.29,77.29,200,0
BFC.US,60,20240430,200000,77.08,77.08,77.08,77.08,100,0
BFC.US,60,20240430,210000,76.75,76.75,76.75,76.75,100,0
BFC.US,60,20240430,220000,76.75,77.36,76.75,77.35,400,0
BFC.US,60,20240501,160000,77.4,77.4,77.4,77.4,107,0
BFC.US,60,20240501,180000,78.19,78.42,78.19,78.42,892,0
BFC.US,60,20240501,200000,78.91,78.91,78.19,78.19,1700,0
BFC.US,60,20240501,210000,78.77,79.74,78.77,79.69,1600,0
BFC.US,60,20240501,220000,79.85,79.85,79.01,79.01,6265,0
BFC.US,60,20240502,170000,79.585,79.585,79.585,79.585,100,0
BFC.US,60,20240502,210000,80.13,80.355,80,80.355,2438,0
BFC.US,60,20240502,220000,80.71,80.71,79.85,79.85,5652,0
BFC.US,60,20240503,170000,79.5642,79.5642,79.5642,79.5642,100,0
BFC.US,60,20240503,190000,80.4,80.43,80.38,80.43,1762,0
BFC.US,60,20240503,200000,80,80.895,80,80.87,5142,0
BFC.US,60,20240503,210000,80.25,80.25,80,80,579,0
BFC.US,60,20240506,220000,80.01,81.08,79.12,80.98,11661,0
BFC.US,60,20240507,170000,81.8,81.8,81.8,81.8,104,0
BFC.US,60,20240507,190000,82.31,82.625,82.31,82.625,485,0
BFC.US,60,20240507,200000,82.72,82.72,82.72,82.72,100,0
BFC.US,60,20240507,210000,82.63,82.845,82.63,82.64,500,0
BFC.US,60,20240507,220000,82.64,83.075,82.38,82.38,1685,0
BFC.US,60,20240508,180000,82.155,82.215,81.9201,82.215,900,0
BFC.US,60,20240508,190000,82.16,82.16,82.16,82.16,100,0
BFC.US,60,20240508,200000,82.85,82.85,82.85,82.85,100,0
BFC.US,60,20240508,210000,82.61,82.7,82.59,82.7,300,0
BFC.US,60,20240508,220000,82.89,82.89,82.31,82.31,2708,0
BFC.US,60,20240509,160000,81.99,81.99,81.99,81.99,442,0
BFC.US,60,20240509,170000,82.02,82.685,82.02,82.685,205,0
BFC.US,60,20240509,190000,82.69,82.86,82.69,82.73,700,0
BFC.US,60,20240509,210000,82.73,82.73,82.73,82.73,100,0
BFC.US,60,20240509,220000,83.4,83.4,83.4,83.4,100,0
BFC.US,60,20240510,160000,82.57,83.035,82.57,83.035,200,0
BFC.US,60,20240510,190000,83.1354,83.1354,83.1354,83.1354,639,0
BFC.US,60,20240510,200000,83,83.28,83,83.28,700,0
BFC.US,60,20240510,220000,83.55,83.98,83.39,83.39,4382,0
BFC.US,60,20240513,160000,83.98,83.98,83.98,83.98,122,0
BFC.US,60,20240513,170000,84.33,84.5255,84,84,950,0
BFC.US,60,20240513,180000,84.25,84.25,84.25,84.25,100,0
BFC.US,60,20240513,200000,84,84,83.63,83.63,864,0
BFC.US,60,20240513,210000,83.64,83.64,83.64,83.64,100,0
BFC.US,60,20240513,220000,83.63,83.63,81.16,82.47,9493,0
BFC.US,60,20240514,160000,83,83.12,83,83.12,261,0
BFC.US,60,20240514,190000,82.8,82.8,82.8,82.8,100,0
BFC.US,60,20240514,200000,83.24,84.005,83.24,84.005,584,0
BFC.US,60,20240514,210000,83.65,83.65,83.65,83.65,200,0
BFC.US,60,20240514,220000,83.65,84.215,83.4,83.86,3261,0
BFC.US,60,20240515,160000,84.3,84.9999,84.3,84.9999,322,0
BFC.US,60,20240515,180000,84,84.02,84,84,900,0
BFC.US,60,20240515,190000,84,84,83.86,83.86,700,0
BFC.US,60,20240515,220000,83.5,84,83.5,83.88,5661,0
BFC.US,60,20240516,160000,83.502,84.3621,83.502,84.3621,321,0
BFC.US,60,20240516,190000,83.63,83.63,83.63,83.63,100,0
BFC.US,60,20240516,210000,84.23,84.26,84,84,300,0
BFC.US,60,20240516,220000,84.975,84.975,84.74,84.88,5223,0
BFC.US,60,20240517,160000,85,85.25,84.99,85,2678,0
BFC.US,60,20240517,170000,85,85.25,85,85.25,1427,0
BFC.US,60,20240517,180000,85.19,85.25,85.19,85.25,200,0
BFC.US,60,20240517,190000,85.06,85.06,85.06,85.06,100,0
BFC.US,60,20240517,200000,85.02,85.02,85.02,85.02,100,0
BFC.US,60,20240517,210000,85.02,85.02,84.67,84.67,200,0
BFC.US,60,20240517,220000,85.1,85.1,84.74,84.74,3043,0
BFC.US,60,20240520,190000,84.835,84.835,84.835,84.835,100,0
BFC.US,60,20240520,200000,84.03,84.05,84,84,600,0
BFC.US,60,20240520,210000,84,84,84,84,302,0
BFC.US,60,20240520,220000,84.26,84.26,83.71,83.71,1377,0
BFC.US,60,20240521,190000,83.08,83.08,83.08,83.08,205,0
