<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLRKU.US,60,20251212,160000,10.01,10.01,9.99,9.995,112813,0
BLRKU.US,60,20251212,170000,9.995,9.995,9.9936,9.9936,27461,0
BLRKU.US,60,20251212,190000,9.995,9.995,9.9931,9.9931,6360,0
BLRKU.US,60,20251212,200000,9.995,9.995,9.99,9.99,4948,0
BLRKU.US,60,20251212,210000,10,10,10,10,2500,0
BLRKU.US,60,20251212,220000,10,10,9.99,9.99,16175,0
BLRKU.US,60,20251215,160000,10,10.01,9.99,10.01,30126,0
BLRKU.US,60,20251215,190000,10,10,10,10,100,0
BLRKU.US,60,20251215,200000,10.01,10.01,10.01,10.01,500,0
BLRKU.US,60,20251215,210000,10,10,10,10,7698,0
BLRKU.US,60,20251215,220000,10.01,10.01,10,10.005,3227,0
BLRKU.US,60,20251216,160000,10.01,10.01,9.98,9.98,68657,0
BLRKU.US,60,20251216,170000,10,10,10,10,2700,0
BLRKU.US,60,20251216,220000,9.99,9.99,9.99,9.99,841,0
BLRKU.US,60,20251217,160000,9.98,9.98,9.98,9.98,600,0
BLRKU.US,60,20251217,170000,9.98,10.0033,9.98,10.0033,350,0
BLRKU.US,60,20251217,180000,10.01,10.01,10.01,10.01,500,0
BLRKU.US,60,20251217,210000,9.995,9.995,9.995,9.995,50220,0
BLRKU.US,60,20251217,220000,9.995,10,9.995,10,128452,0
BLRKU.US,60,20251218,160000,10,10,10,10,35000,0
BLRKU.US,60,20251218,170000,10.005,10.005,10.005,10.005,200,0
BLRKU.US,60,20251218,200000,10.005,10.005,10.005,10.005,200,0
BLRKU.US,60,20251219,170000,10,10,10,10,500,0
BLRKU.US,60,20251219,180000,10.01,10.01,10.0015,10.0015,1310,0
BLRKU.US,60,20251219,200000,10.005,10.005,10,10,88507,0
BLRKU.US,60,20251219,220000,10.005,10.005,10.005,10.005,207,0
BLRKU.US,60,20251222,170000,10.001,10.001,10.001,10.001,1407,0
BLRKU.US,60,20251222,190000,10.01,10.01,10,10,776381,0
BLRKU.US,60,20251222,200000,9.995,9.995,9.995,9.995,1000,0
BLRKU.US,60,20251222,220000,9.9954,10,9.9954,10,2416,0
BLRKU.US,60,20251223,170000,9.98,10,9.98,10,1586,0
BLRKU.US,60,20251223,180000,10,10,10,10,100,0
BLRKU.US,60,20251223,210000,9.9999,10,9.9999,10,2000,0
BLRKU.US,60,20251223,220000,10,10,10,10,3316,0
BLRKU.US,60,20251224,160000,10.01,10.01,10.01,10.01,1091,0
BLRKU.US,60,20251224,170000,10.02,10.02,10.02,10.02,100,0
BLRKU.US,60,20251224,190000,10.02,10.02,10.02,10.02,100,0
BLRKU.US,60,20251226,170000,10,10.01,10,10.01,1606,0
BLRKU.US,60,20251226,220000,10.01,10.01,10.01,10.01,100,0
