<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CETX.US,60,20240411,160000,103950,104032,103950,104032,0.006349206574603176,0
CETX.US,60,20240411,170000,108360,108675,105525,105525,0.011111111505556,0
CETX.US,60,20240411,190000,105525,105525,105525,105525,0.003174603287301588,0
CETX.US,60,20240411,220000,110052,110052,105525,105528,0.01904761972380953,0
CETX.US,60,20240412,160000,110565,110565,110565,110565,0.006349206574603176,0
CETX.US,60,20240412,170000,110565,110565,104265,107862,0.05320635109517462,0
CETX.US,60,20240412,180000,109305,109308,109305,109308,0.006349206574603176,0
CETX.US,60,20240412,200000,106785,106788,106785,106788,0.010444444815222225,0
CETX.US,60,20240412,210000,106785,106785,105840,105840,0.04247619198409525,0
CETX.US,60,20240412,220000,105210,105210,104895,105210,0.015873016436508,0
CETX.US,60,20240415,160000,103635,103635,103635,103635,0.006349206574603176,0
CETX.US,60,20240415,170000,103005,103635,102690,103635,0.09142857467428575,0
CETX.US,60,20240415,180000,102690,102690,102690,102690,0.006349206574603176,0
CETX.US,60,20240415,190000,104697,104697,102690,102690,0.03368254087827,0
CETX.US,60,20240416,160000,112770,112770,112770,112770,0.06253968475984129,0
CETX.US,60,20240416,170000,101430,102375,100800,101745,0.35015874258937,0
CETX.US,60,20240416,190000,100800,101398,100800,100800,0.11269841669920637,0
CETX.US,60,20240416,210000,100800,100800,100800,100800,0.007650793922396827,0
CETX.US,60,20240416,220000,101430,101745,100800,100800,0.071841272391635,0
CETX.US,60,20240417,160000,97335,97650,97335,97650,0.03311111228655557,0
CETX.US,60,20240417,170000,96421.5,97646.8,96390,97643.7,0.061809526003762,0
CETX.US,60,20240417,180000,97335,97650,95445,95445,0.098380955873476,0
CETX.US,60,20240417,190000,96390,96390,96075,96075,0.05352381142390478,0
CETX.US,60,20240417,200000,95775.7,96390,95445,95445,0.047619049309524,0
CETX.US,60,20240417,210000,96386.8,96386.8,96386.8,96386.8,0.003174603287301588,0
CETX.US,60,20240417,220000,96075,96075,95448.1,96075,0.038349207710603,0
CETX.US,60,20240418,170000,100170,100170,100170,100170,0.003174603287301588,0
CETX.US,60,20240418,190000,96390,96390,96390,96390,0.0060317462458730165,0
CETX.US,60,20240419,160000,96390,96390,96390,96390,0.0323809535304762,0
CETX.US,60,20240419,170000,100170,100170,100170,100170,0.008349206645603176,0
CETX.US,60,20240419,190000,95445,95760,95445,95760,0.01895238162519,0
CETX.US,60,20240419,200000,97196.4,97196.4,97196.4,97196.4,0.003587301714650795,0
CETX.US,60,20240419,210000,96078.1,96078.1,96078.1,96078.1,0.003174603287301588,0
CETX.US,60,20240419,220000,98412.3,98412.3,98412.3,98412.3,0.006349206574603176,0
CETX.US,60,20240422,160000,99225,99225,99225,99225,0.003174603287301588,0
CETX.US,60,20240422,170000,98280,98280,98280,98280,0.003174603287301588,0
CETX.US,60,20240422,180000,98910,98910,98910,98910,0.003174603287301588,0
CETX.US,60,20240422,200000,98935.2,100406,97965,98910,0.10060317817459,0
CETX.US,60,20240423,160000,98973,98973,96166.3,96166.3,0.06225397046398414,0
CETX.US,60,20240423,170000,96390,96758.5,94815,94818.1,0.40447620483509533,0
CETX.US,60,20240423,180000,95130,95334.7,89775,95334.7,0.4030476333558097,0
CETX.US,60,20240423,190000,91268.1,91268.1,74340,77175,1.4342222731371,0
CETX.US,60,20240423,200000,79065,81270,76230,81270,0.66425399183498,0
CETX.US,60,20240423,210000,81147.1,82372.5,80167.5,82372.5,0.12298413135006,0
CETX.US,60,20240423,220000,83944.3,83944.3,76230,76860,0.52304763761581,0
CETX.US,60,20240424,160000,78435,80325,73080,75600,0.351809536298762,0
CETX.US,60,20240424,170000,73395,78435,70875,75285,1.7428254586957,0
CETX.US,60,20240424,180000,74340,74340,67882.5,69300,0.30615874102737,0
CETX.US,60,20240424,190000,68985,71382.1,66351.6,66351.6,0.27022223181511,0
CETX.US,60,20240424,200000,68049.4,68966.1,67098.1,67098.1,0.1615238152579,0
CETX.US,60,20240424,210000,68370.7,68370.7,63315,63318.1,0.64053970527884,0
CETX.US,60,20240424,220000,63315,68040,63000,68040,0.65615875345237,0
CETX.US,60,20240425,160000,61425,62685,58590,60007.5,0.3411746152863017,0
CETX.US,60,20240425,170000,59850,59850,52290,54022.5,1.0218413061166,0
CETX.US,60,20240425,180000,54022.5,55125,53865,53987.8,0.61380954559976,0
CETX.US,60,20240425,190000,53550,53550,52034.8,52034.8,0.33577778969789,0
CETX.US,60,20240425,200000,52290,53865,52201.8,53235,0.70742859654229,0
CETX.US,60,20240425,210000,53707.5,53707.5,52605,53235,0.30041270907735,0
CETX.US,60,20240425,220000,53077.5,53235,52920,53235,0.196000006958,0
CETX.US,60,20240426,160000,53235,54334.3,52290,54180,0.537714304803143,0
CETX.US,60,20240426,170000,54180,57015,53550,56592.9,0.50942858951329,0
CETX.US,60,20240426,180000,57330,60165,56907.9,56907.9,0.14511111626256,0
CETX.US,60,20240426,190000,58227.7,59216.8,58227.7,58275,0.03174603287301588,0
CETX.US,60,20240426,200000,58747.5,58747.5,55440,55440,0.068126986545492,0
CETX.US,60,20240426,210000,56700,56700,52290,53550,0.26279366012283,0
CETX.US,60,20240426,220000,53849.2,55436.8,52920,53865,0.21311111867656,0
CETX.US,60,20240429,160000,52920,56070,50715,52973.5,0.2784762003620953,0
