<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CETY.US,60,20240411,170000,23.55,26.55,23.55,26.55,2014.5333343406,0
CETY.US,60,20240411,180000,26.4,26.6115,25.05,25.5,1761.0666675472,0
CETY.US,60,20240411,190000,25.5,25.5,24.6,24.6,426.000000213,0
CETY.US,60,20240411,200000,24.0855,25.275,24.0015,25.275,208.666666771,0
CETY.US,60,20240411,210000,25.35,25.35,24.15,24.6,352.8666668431,0
CETY.US,60,20240411,220000,24.8775,24.9,24.45,24.9,193.2000000966,0
CETY.US,60,20240412,160000,24.7515,24.7515,24.6,24.75,100.2000000501,0
CETY.US,60,20240412,170000,24.6,24.87,24.3,24.87,205.4666667694,0
CETY.US,60,20240412,180000,24.75,24.75,24.75,24.75,20.00000001,0
CETY.US,60,20240412,200000,24.75,24.75,24.6,24.6,179.9333334233,0
CETY.US,60,20240412,220000,24.75,24.75,24.45,24.45,567.333333617,0
CETY.US,60,20240415,160000,24,24,19.05,19.2,2114.3333343905,0
CETY.US,60,20240415,170000,19.6635,23.85,19.6635,23.4,3327.2666683303,0
CETY.US,60,20240415,180000,23.4,23.55,23.2515,23.4,649.4000003247,0
CETY.US,60,20240415,190000,23.55,23.55,23.2965,23.55,221.6666667775,0
CETY.US,60,20240415,200000,23.55,23.8965,23.2515,23.55,487.4666669104,0
CETY.US,60,20240415,220000,23.55,23.85,23.4,23.7,855.2000004276,0
CETY.US,60,20240416,160000,22.95,22.95,22.8,22.95,202.5333334346,0
CETY.US,60,20240416,170000,22.95,23.1,22.95,22.95,597.8666669656,0
CETY.US,60,20240416,180000,22.95,22.9635,22.8,22.875,462.1333335644,0
CETY.US,60,20240416,190000,22.875,24.9,22.875,24.75,1795.333334231,0
CETY.US,60,20240416,200000,24.6,24.75,24.3,24.3,305.4000001527,0
CETY.US,60,20240416,210000,24.3,24.45,24.3,24.3,719.4666670264,0
CETY.US,60,20240416,220000,24.375,24.45,24.3,24.3,466.3333335665,0
CETY.US,60,20240417,160000,23.4,23.85,22.8,23.175,390.8000001954,0
CETY.US,60,20240417,170000,22.44,24.45,22.35,24,936.000000468,0
CETY.US,60,20240417,180000,24.15,24.9,24.15,24.75,437.1333335519,0
CETY.US,60,20240417,190000,24.9,25.35,24.75,24.75,261.7333334642,0
CETY.US,60,20240417,200000,24.45,24.45,22.5,23.775,2300.666667817,0
CETY.US,60,20240417,210000,24,24.15,22.5885,22.5885,577.4000002887,0
CETY.US,60,20240417,220000,22.518,23.175,22.05,22.2,893.33333378,0
CETY.US,60,20240418,160000,21.9,22.4865,20.7015,21.75,881.5333337741,0
CETY.US,60,20240418,170000,21.15,22.95,21,22.35,846.4000004232,0
CETY.US,60,20240418,180000,23.1,23.25,22.5,22.5,702.2666670178,0
CETY.US,60,20240418,190000,22.5,22.5,22.2,22.2,40.4666666869,0
CETY.US,60,20240418,200000,22.575,22.575,22.05,22.05,671.4666670024,0
CETY.US,60,20240418,210000,22.125,22.125,21.75,21.9,92.5333333796,0
CETY.US,60,20240418,220000,21.525,21.75,21.3,21.3,223.4666667784,0
CETY.US,60,20240419,160000,22.8,22.95,21.66,21.9,163.333333415,0
CETY.US,60,20240419,170000,21.375,21.9,21.15,21.9,346.5333335066,0
CETY.US,60,20240419,180000,21.9,25.5,21.9,25.5,1499.4000007497,0
CETY.US,60,20240419,190000,24.45,24.45,22.65,22.65,263.2000001316,0
CETY.US,60,20240419,200000,23.25,23.25,23.25,23.25,33.33333335,0
CETY.US,60,20240419,210000,22.65,22.65,22.464,22.65,70.000000035,0
CETY.US,60,20240419,220000,21.75,22.05,21.75,22.05,26.666666680000002,0
CETY.US,60,20240422,170000,22.149,22.5,21,21.45,6834.666670084,0
CETY.US,60,20240422,180000,21.675,24.3,21.45,24.15,2399.4666678664,0
CETY.US,60,20240422,190000,23.9985,23.9985,22.05,22.05,511.9333335893,0
CETY.US,60,20240422,210000,21.7515,22.2,21.7515,22.2,40.00000002,0
CETY.US,60,20240422,220000,22.125,22.2,21.9,21.9,168.9333334178,0
CETY.US,60,20240423,160000,21.9,22.35,21.9,22.35,155.0000000775,0
CETY.US,60,20240423,170000,22.2,22.2,20.85,20.85,441.8000002209,0
CETY.US,60,20240423,180000,20.8515,21.375,20.85,20.85,504.3333335855,0
CETY.US,60,20240423,190000,20.7,22.5,20.7,22.2,903.333333785,0
CETY.US,60,20240423,200000,21.9,22.0515,21.9,22.0515,80.00000004,0
CETY.US,60,20240423,210000,21.9,22.05,21.9,22.05,130.666666732,0
CETY.US,60,20240423,220000,21.825,21.825,21.6,21.6,58.6000000293,0
CETY.US,60,20240424,160000,20.85,22.5,20.85,22.2,986.66666716,0
CETY.US,60,20240424,170000,22.2,22.5,22.2,22.5,536.9333336018,0
CETY.US,60,20240424,180000,22.5,22.5,22.5,22.5,9.2000000046,0
CETY.US,60,20240424,190000,22.8,23.1,22.8,23.1,246.66666679,0
CETY.US,60,20240424,200000,22.8015,22.8255,22.8,22.8255,361.8000001809,0
CETY.US,60,20240424,220000,22.8,23.4,22.65,23.1,518.8000002594,0
CETY.US,60,20240425,160000,22.35,23.1,21.9,22.6395,283.0000001415,0
CETY.US,60,20240425,170000,23.1,23.1,22.65,23.1,229.2000001146,0
CETY.US,60,20240425,180000,23.0565,23.0565,22.95,22.95,300.00000015,0
CETY.US,60,20240425,190000,23.025,23.025,22.95,22.95,26.1333333464,0
CETY.US,60,20240425,200000,22.875,23.049,22.803,22.875,135.2000000676,0
CETY.US,60,20240425,210000,22.65,22.65,22.65,22.65,66.66666670000001,0
CETY.US,60,20240425,220000,22.74,23.097,22.65,22.8,354.1333335104,0
CETY.US,60,20240426,160000,22.05,22.23,21.675,21.75,267.7333334672,0
CETY.US,60,20240426,170000,22.047,22.047,21.537,21.537,207.4000001037,0
CETY.US,60,20240426,180000,21.45,22.887,21.375,22.887,1920.3333342935,0
CETY.US,60,20240426,190000,22.5,22.5,21.975,22.2,213.33333344,0
CETY.US,60,20240426,200000,22.2,22.2,22.2,22.2,11.6666666725,0
CETY.US,60,20240426,220000,21.9015,22.2,21.9,21.9,164.0666667487,0
CETY.US,60,20240429,160000,21.6,21.6,21.6,21.6,6.666666670000001,0
CETY.US,60,20240429,170000,21.9,23.25,20.85,22.5,2829.8000014149,0
CETY.US,60,20240429,180000,22.2,24.7485,22.05,24.15,1875.333334271,0
CETY.US,60,20240429,190000,23.25,23.91,22.2,22.2,308.2000001541,0
CETY.US,60,20240429,210000,22.65,23.1,22.65,23.1,140.00000007,0
CETY.US,60,20240429,220000,22.35,22.35,22.35,22.35,108.46666672090001,0
CETY.US,60,20240430,160000,23.55,23.55,21.1785,22.65,65.4000000327,0
CETY.US,60,20240430,170000,22.65,23.2485,21.3,22.5,2929.7333347982003,0
CETY.US,60,20240430,180000,22.2,22.4985,22.2,22.2,84.4666667089,0
