<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGTL.US,60,20241126,170000,4.29,4.7,4.1,4.45,328561,0
CGTL.US,60,20241126,180000,4.43,4.88,4.35,4.6019,121092,0
CGTL.US,60,20241126,190000,4.62,4.65,4.4,4.45,20397,0
CGTL.US,60,20241126,200000,4.51,4.5391,3.98,4.1499,214481,0
CGTL.US,60,20241126,210000,4.08,4.6105,4.08,4.49,294324,0
CGTL.US,60,20241126,220000,4.55,4.56,3.58,3.91,397986,0
CGTL.US,60,20241127,160000,4.2,4.4,3.71,3.9138,81504,0
CGTL.US,60,20241127,170000,3.91,4.09,3.76,4.08,185948,0
CGTL.US,60,20241127,180000,4.06,4.06,3.89,3.95,10640,0
CGTL.US,60,20241127,190000,3.98,3.98,3.9,3.91,3747,0
CGTL.US,60,20241127,200000,3.91,3.98,3.8,3.9099,9909,0
CGTL.US,60,20241127,210000,3.88,3.97,3.86,3.88,6565,0
CGTL.US,60,20241127,220000,3.945,4,3.945,4,10445,0
CGTL.US,60,20241129,160000,3.73,4.0756,3.66,3.94,100144,0
CGTL.US,60,20241129,170000,3.915,4.15,3.83,3.87,90829,0
CGTL.US,60,20241129,180000,3.9,3.9,3.8,3.8,1050,0
CGTL.US,60,20241129,190000,3.8,3.88,3.76,3.76,6285,0
CGTL.US,60,20241129,200000,3.72,3.72,3.72,3.72,250,0
CGTL.US,60,20241202,160000,3.68,3.7408,3.3675,3.65,81770,0
CGTL.US,60,20241202,170000,3.66,3.89,3.66,3.71,4489,0
CGTL.US,60,20241202,180000,3.77,3.825,3.71,3.7829,3773,0
CGTL.US,60,20241202,190000,3.71,3.78,3.71,3.78,1097,0
CGTL.US,60,20241202,200000,3.76,3.84,3.7164,3.7164,2647,0
CGTL.US,60,20241202,210000,3.77,3.805,3.71,3.71,7930,0
CGTL.US,60,20241202,220000,3.75,3.78,3.62,3.69,3500,0
CGTL.US,60,20241203,160000,3.69,3.75,3.64,3.75,16968,0
CGTL.US,60,20241203,170000,3.8,4.1,3.5501,3.94,99347,0
CGTL.US,60,20241203,180000,3.94,4.3999,3.94,4.245,178706,0
CGTL.US,60,20241203,190000,4.3,4.61,4.09,4.2801,322419,0
CGTL.US,60,20241203,200000,4.35,4.35,4.28,4.3401,1043,0
CGTL.US,60,20241203,210000,4.315,4.45,4.28,4.44,8334,0
CGTL.US,60,20241203,220000,4.4,4.4996,4.2801,4.4811,11670,0
CGTL.US,60,20241204,160000,4.8,5.1968,4.55,5.155,105519,0
CGTL.US,60,20241204,170000,5.11,5.5,4.69,5.04,82170,0
CGTL.US,60,20241204,180000,4.95,4.95,4.72,4.82,22040,0
CGTL.US,60,20241204,190000,4.8,4.86,4.45,4.6071,16448,0
CGTL.US,60,20241204,200000,4.63,4.8399,4.61,4.61,1700,0
CGTL.US,60,20241204,210000,4.612,4.7,4.26,4.7,5400,0
CGTL.US,60,20241204,220000,4.4001,4.763,4.4001,4.763,5345,0
CGTL.US,60,20241205,160000,4.49,4.49,4.02,4.0805,23826,0
CGTL.US,60,20241205,170000,4.2,4.2,4.06,4.1421,13795,0
CGTL.US,60,20241205,180000,4.1312,4.1999,4.05,4.1365,5800,0
CGTL.US,60,20241205,190000,4.08,4.3,4.06,4.09,58680,0
CGTL.US,60,20241205,200000,4.09,4.15,4.03,4.09,33491,0
CGTL.US,60,20241205,210000,4.08,4.1494,4.07,4.1,12050,0
CGTL.US,60,20241205,220000,4.08,4.1989,4.03,4.1989,27782,0
CGTL.US,60,20241206,160000,4.26,4.26,4.05,4.1329,16812,0
CGTL.US,60,20241206,170000,4.16,4.4062,4.13,4.4062,4444,0
CGTL.US,60,20241206,180000,4.4923,4.4923,4.2,4.2377,4467,0
CGTL.US,60,20241206,190000,4.35,4.35,4.15,4.18,4793,0
CGTL.US,60,20241206,200000,4.1939,4.27,4.1924,4.27,1930,0
CGTL.US,60,20241206,210000,4.2,4.24,4.2,4.24,600,0
CGTL.US,60,20241206,220000,4.22,4.33,4.2087,4.25,9500,0
CGTL.US,60,20241209,160000,4.39,4.39,4.25,4.33,4908,0
CGTL.US,60,20241209,170000,4.3,4.58,4.3,4.53,8971,0
CGTL.US,60,20241209,180000,4.4233,4.59,4.41,4.51,4250,0
CGTL.US,60,20241209,200000,4.492,4.51,4.42,4.45,1716,0
CGTL.US,60,20241209,210000,4.45,4.8,4.42,4.6,2365,0
CGTL.US,60,20241209,220000,4.59,4.64,4.51,4.6,1792,0
CGTL.US,60,20241210,160000,4.81,4.81,4.5,4.5,1066,0
CGTL.US,60,20241210,170000,4.42,4.83,4.42,4.65,45840,0
CGTL.US,60,20241210,180000,4.6,4.72,4.6,4.68,9911,0
CGTL.US,60,20241210,190000,4.81,4.81,4.6101,4.6101,33121,0
CGTL.US,60,20241210,200000,4.6974,4.6974,4.6974,4.6974,228,0
CGTL.US,60,20241210,210000,4.6,4.61,4.55,4.55,3363,0
CGTL.US,60,20241210,220000,4.55,4.6487,4.55,4.6423,3778,0
CGTL.US,60,20241211,160000,4.5073,4.5787,4.43,4.43,2573,0
CGTL.US,60,20241211,170000,4.4865,4.59,4.465,4.58,7328,0
CGTL.US,60,20241211,180000,4.52,4.6,4.52,4.6,400,0
CGTL.US,60,20241211,190000,4.54,4.59,4.2001,4.59,77445,0
CGTL.US,60,20241211,200000,4.59,4.78,4.5,4.6501,99521,0
CGTL.US,60,20241211,210000,4.74,4.91,4.6502,4.88,104182,0
CGTL.US,60,20241211,220000,4.88,5.325,4.81,4.99,189307,0
CGTL.US,60,20241212,160000,4.97,5.74,4.9101,5.5,116085,0
CGTL.US,60,20241212,170000,5.5,5.8,5.205,5.23,30263,0
CGTL.US,60,20241212,180000,5.39,5.57,5.0614,5.4,11828,0
CGTL.US,60,20241212,190000,5.4104,5.55,5.34,5.4048,4518,0
CGTL.US,60,20241212,200000,5.4,5.48,5.25,5.39,3224,0
CGTL.US,60,20241212,210000,5.1061,5.3499,5.1061,5.32,2845,0
CGTL.US,60,20241212,220000,5.18,5.35,5.11,5.1186,9792,0
CGTL.US,60,20241213,160000,5.49,5.65,4.88,5.12,4325,0
CGTL.US,60,20241213,170000,4.82,5.35,4.82,5.35,2100,0
CGTL.US,60,20241213,180000,5.22,5.5235,5.22,5.31,1066,0
CGTL.US,60,20241213,190000,5.32,5.5499,5.32,5.435,1400,0
CGTL.US,60,20241213,200000,5.4007,5.6856,5.4007,5.64,6059,0
CGTL.US,60,20241213,210000,5.8706,6.3,5.6819,6.262,10913,0
CGTL.US,60,20241213,220000,6.18,7.5,6.11,7.1,39655,0
CGTL.US,60,20241216,160000,7.0257,8.33,6.9657,8.33,21318,0
CGTL.US,60,20241216,170000,8.22,10.5865,6.85,8.8,99680,0
CGTL.US,60,20241216,180000,8.79,9.93,8.25,9.6586,39667,0
CGTL.US,60,20241216,190000,9.7,9.97,9,9.65,35492,0
CGTL.US,60,20241216,200000,9.5968,9.97,8.67,9.25,38667,0
CGTL.US,60,20241216,210000,9.3028,9.8035,8.62,9,25954,0
CGTL.US,60,20241216,220000,9,9.2,8.8,9.15,8283,0
CGTL.US,60,20241217,160000,9.29,9.57,8.9,9.08,14942,0
