<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMCSV.US,60,20251215,180000,26.41,27.7,26.15,27.7,400,0
CMCSV.US,60,20251216,160000,26.7572,27.39,26.7572,27.33,2200,0
CMCSV.US,60,20251216,170000,27.5,27.5,27.5,27.5,200,0
CMCSV.US,60,20251216,180000,27.36,27.36,27.36,27.36,188,0
CMCSV.US,60,20251217,170000,27.73,27.7801,27.6519,27.6519,958,0
CMCSV.US,60,20251217,210000,28.7,28.7,28.63,28.63,300,0
CMCSV.US,60,20251217,220000,29.79,29.79,29.79,29.79,100,0
CMCSV.US,60,20251218,160000,29.15,29.15,28.1,28.1,902,0
CMCSV.US,60,20251218,170000,28.5284,28.5284,28.5284,28.5284,100,0
CMCSV.US,60,20251218,190000,28.715,28.715,28.705,28.705,700,0
CMCSV.US,60,20251218,200000,28.43,28.43,28.43,28.43,100,0
CMCSV.US,60,20251218,220000,28.86,28.86,28.43,28.4851,500,0
CMCSV.US,60,20251219,170000,28.05,28.05,28.05,28.05,100,0
CMCSV.US,60,20251219,220000,27.85,27.85,27.85,27.85,200,0
CMCSV.US,60,20251222,190000,27.6,27.6,27.51,27.51,300,0
CMCSV.US,60,20251223,180000,27.46,27.46,27.45,27.46,500,0
CMCSV.US,60,20251223,220000,27.36,27.37,27.36,27.37,300,0
