<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRAQR.US,60,20250623,160000,0.23,0.23,0.23,0.23,250000,0
CRAQR.US,60,20250623,170000,0.23,0.23,0.23,0.23,50000,0
CRAQR.US,60,20250623,190000,0.24,0.24,0.23,0.23,280000,0
CRAQR.US,60,20250623,200000,0.23,0.23,0.23,0.23,300000,0
CRAQR.US,60,20250623,210000,0.23,0.23,0.23,0.23,300000,0
CRAQR.US,60,20250623,220000,0.2301,0.2301,0.23,0.23,380190,0
CRAQR.US,60,20250624,160000,0.234,0.234,0.23,0.23,10000,0
CRAQR.US,60,20250624,170000,0.23,0.23,0.23,0.23,175000,0
CRAQR.US,60,20250624,180000,0.2446,0.2446,0.2446,0.2446,200,0
CRAQR.US,60,20250624,210000,0.25,0.25,0.25,0.25,17900,0
CRAQR.US,60,20250625,170000,0.2655,0.27,0.26,0.27,40000,0
CRAQR.US,60,20250625,180000,0.27,0.28,0.27,0.28,436300,0
CRAQR.US,60,20250625,200000,0.2701,0.2701,0.23,0.27,52100,0
CRAQR.US,60,20250625,210000,0.27,0.27,0.27,0.27,125000,0
CRAQR.US,60,20250625,220000,0.27,0.27,0.27,0.27,725000,0
CRAQR.US,60,20250627,160000,0.28,0.282,0.27,0.28,131300,0
CRAQR.US,60,20250627,180000,0.27,0.28,0.27,0.28,504700,0
CRAQR.US,60,20250627,190000,0.2799,0.2799,0.27,0.27,25400,0
CRAQR.US,60,20250627,210000,0.27,0.2749,0.27,0.27,24600,0
CRAQR.US,60,20250630,160000,0.275,0.275,0.275,0.275,1200,0
CRAQR.US,60,20250630,190000,0.2749,0.2749,0.2749,0.2749,400,0
CRAQR.US,60,20250630,220000,0.27,0.27,0.27,0.27,1600,0
CRAQR.US,60,20250701,160000,0.275,0.275,0.275,0.275,1200,0
CRAQR.US,60,20250701,170000,0.27,0.297,0.27,0.275,13950,0
CRAQR.US,60,20250701,220000,0.27,0.2725,0.27,0.27,197480,0
CRAQR.US,60,20250702,160000,0.27,0.27,0.27,0.27,4320,0
CRAQR.US,60,20250702,180000,0.2661,0.27,0.2661,0.27,1610,0
CRAQR.US,60,20250703,160000,0.27,0.27,0.27,0.27,105822,0
CRAQR.US,60,20250703,190000,0.27,0.27,0.27,0.27,10000,0
CRAQR.US,60,20250707,180000,0.27,0.27,0.27,0.27,36700,0
CRAQR.US,60,20250708,170000,0.2543,0.27,0.2505,0.27,57294,0
