<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGII.US,60,20240411,160000,31.26,31.3673,31.23,31.27,1411,0
DGII.US,60,20240411,170000,31.305,31.305,31.0619,31.17,5559,0
DGII.US,60,20240411,180000,31.145,31.16,30.935,31.16,4301,0
DGII.US,60,20240411,190000,31.22,31.23,31.085,31.1221,770,0
DGII.US,60,20240411,200000,31.07,31.46,31.07,31.39,3313,0
DGII.US,60,20240411,210000,31.4,31.44,31.33,31.3434,3580,0
DGII.US,60,20240411,220000,31.315,31.3967,31.23,31.34,6490,0
DGII.US,60,20240412,160000,31.15,31.37,30.88,30.88,5841,0
DGII.US,60,20240412,170000,30.86,30.86,30.37,30.4,9024,0
DGII.US,60,20240412,180000,30.395,30.6599,30.35,30.5047,15491,0
DGII.US,60,20240412,190000,30.49,30.75,30.42,30.71,7025,0
DGII.US,60,20240412,200000,30.72,30.86,30.62,30.86,1945,0
DGII.US,60,20240412,210000,30.86,30.95,30.755,30.76,3515,0
DGII.US,60,20240412,220000,30.67,30.92,30.67,30.9,8609,0
DGII.US,60,20240415,160000,30.86,31.25,30.77,31.225,10662,0
DGII.US,60,20240415,170000,31.32,31.32,30.77,30.77,4036,0
DGII.US,60,20240415,180000,30.82,30.9399,30.62,30.8601,3997,0
DGII.US,60,20240415,190000,30.87,30.91,30.43,30.55,16590,0
DGII.US,60,20240415,200000,30.51,30.55,30.28,30.39,4200,0
DGII.US,60,20240415,210000,30.475,30.475,30.17,30.17,8391,0
DGII.US,60,20240415,220000,30.2,30.44,30.005,30.39,24149,0
DGII.US,60,20240416,160000,30,30.21,29.7,29.8225,5700,0
DGII.US,60,20240416,170000,29.85,30.22,29.8,30.21,6767,0
DGII.US,60,20240416,180000,30.3,30.39,30.13,30.24,13230,0
DGII.US,60,20240416,190000,30.12,30.25,30.06,30.12,4849,0
DGII.US,60,20240416,200000,30.13,30.2,29.9208,30.082,7963,0
DGII.US,60,20240416,210000,30.0847,30.2,30,30.16,15502,0
DGII.US,60,20240416,220000,30.18,30.41,30.09,30.34,23426,0
DGII.US,60,20240417,160000,30.7,30.755,30.57,30.7,3740,0
DGII.US,60,20240417,170000,30.6,30.69,30.42,30.46,8014,0
DGII.US,60,20240417,180000,30.52,30.64,30.4,30.64,5480,0
DGII.US,60,20240417,190000,30.62,30.62,30.24,30.275,17129,0
DGII.US,60,20240417,200000,30.235,30.56,30.22,30.4796,12338,0
DGII.US,60,20240417,210000,30.6,30.7,30.37,30.37,7522,0
DGII.US,60,20240417,220000,30.365,30.47,30.15,30.16,57582,0
DGII.US,60,20240418,160000,30.15,30.25,29.82,30.03,2763,0
DGII.US,60,20240418,170000,30.05,30.21,30.05,30.15,4874,0
DGII.US,60,20240418,180000,30.16,30.19,29.86,29.86,6291,0
DGII.US,60,20240418,190000,29.8516,30.03,29.84,29.84,4107,0
DGII.US,60,20240418,200000,29.78,29.79,29.65,29.6609,4759,0
DGII.US,60,20240418,210000,29.63,29.74,29.54,29.57,5448,0
DGII.US,60,20240418,220000,29.55,29.7,29.515,29.6,46756,0
DGII.US,60,20240419,160000,29.36,29.91,29.34,29.91,8939,0
DGII.US,60,20240419,170000,29.88,29.88,29.67,29.71,8025,0
DGII.US,60,20240419,180000,29.63,29.765,29.63,29.73,5636,0
DGII.US,60,20240419,190000,29.8,29.83,29.6,29.715,5378,0
DGII.US,60,20240419,200000,29.6918,29.7825,29.65,29.7825,3708,0
DGII.US,60,20240419,210000,29.6939,29.73,29.4054,29.4054,7324,0
DGII.US,60,20240419,220000,29.45,29.46,29.25,29.31,62320,0
DGII.US,60,20240422,160000,29.51,29.65,29.37,29.65,2334,0
DGII.US,60,20240422,170000,29.655,29.71,29.505,29.57,3559,0
DGII.US,60,20240422,180000,29.58,29.585,29.29,29.29,7316,0
DGII.US,60,20240422,190000,29.2406,29.55,29.2406,29.49,5449,0
DGII.US,60,20240422,200000,29.57,29.7621,29.57,29.7361,5379,0
DGII.US,60,20240422,210000,29.72,29.73,29.65,29.68,3000,0
DGII.US,60,20240422,220000,29.69,29.75,29.46,29.5,11491,0
DGII.US,60,20240423,160000,29.56,30.14,29.56,30.0006,7430,0
