<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNMXU.US,60,20251030,160000,10.12,10.15,10.12,10.135,3138741,0
DNMXU.US,60,20251030,170000,10.135,10.14,10.13,10.13,844385,0
DNMXU.US,60,20251030,180000,10.13,10.14,10.13,10.13,403019,0
DNMXU.US,60,20251030,190000,10.13,10.135,10.12,10.125,870620,0
DNMXU.US,60,20251030,200000,10.125,10.13,10.12,10.125,686766,0
DNMXU.US,60,20251030,210000,10.125,10.13,10.12,10.12,214748,0
DNMXU.US,60,20251031,150000,10.12,10.14,10.12,10.135,181544,0
DNMXU.US,60,20251031,160000,10.14,10.14,10.1244,10.1244,40239,0
DNMXU.US,60,20251031,170000,10.12,10.1218,10.12,10.1218,69900,0
DNMXU.US,60,20251031,180000,10.13,10.135,10.13,10.13,101738,0
DNMXU.US,60,20251031,190000,10.13,10.14,10.13,10.135,17622,0
DNMXU.US,60,20251031,200000,10.135,10.14,10.12,10.12,40465,0
DNMXU.US,60,20251031,210000,10.125,10.13,10.12,10.13,33871,0
DNMXU.US,60,20251103,160000,10.15,10.15,10.14,10.15,160233,0
DNMXU.US,60,20251103,170000,10.15,10.16,10.145,10.145,69934,0
DNMXU.US,60,20251103,180000,10.145,10.1494,10.145,10.145,2000,0
DNMXU.US,60,20251103,190000,10.145,10.15,10.145,10.145,18062,0
DNMXU.US,60,20251103,200000,10.15,10.15,10.145,10.145,1900,0
DNMXU.US,60,20251103,210000,10.145,10.15,10.145,10.145,122484,0
DNMXU.US,60,20251103,220000,10.145,10.15,10.145,10.145,22604,0
DNMXU.US,60,20251104,160000,10.15,10.15,10.15,10.15,108695,0
DNMXU.US,60,20251104,170000,10.15,10.15,10.15,10.15,26946,0
DNMXU.US,60,20251104,180000,10.15,10.15,10.15,10.15,100,0
DNMXU.US,60,20251104,190000,10.1455,10.16,10.145,10.15,351982,0
DNMXU.US,60,20251104,200000,10.15,10.1599,10.15,10.1599,24621,0
DNMXU.US,60,20251104,210000,10.1599,10.16,10.15,10.155,28601,0
DNMXU.US,60,20251104,220000,10.155,10.1551,10.15,10.15,172347,0
DNMXU.US,60,20251105,160000,10.16,10.16,10.14,10.14,700,0
DNMXU.US,60,20251105,170000,10.14,10.14,10.135,10.135,3750,0
DNMXU.US,60,20251105,180000,10.135,10.135,10.135,10.135,600,0
DNMXU.US,60,20251105,190000,10.135,10.1388,10.13,10.1388,6504,0
DNMXU.US,60,20251105,200000,10.135,10.135,10.13,10.135,1826,0
DNMXU.US,60,20251105,210000,10.14,10.14,10.135,10.135,267,0
DNMXU.US,60,20251105,220000,10.135,10.15,10.135,10.145,140775,0
DNMXU.US,60,20251106,170000,10.14,10.15,10.14,10.15,2000,0
DNMXU.US,60,20251106,180000,10.145,10.145,10.145,10.145,200,0
DNMXU.US,60,20251106,190000,10.14,10.145,10.14,10.145,6354,0
DNMXU.US,60,20251106,210000,10.145,10.145,10.145,10.145,104,0
DNMXU.US,60,20251106,220000,10.14,10.14,10.14,10.14,7500,0
DNMXU.US,60,20251107,160000,10.14,10.1402,10.14,10.14,25000,0
DNMXU.US,60,20251107,170000,10.14,10.1401,10.14,10.14,5499,0
DNMXU.US,60,20251107,180000,10.14,10.145,10.14,10.145,4500,0
DNMXU.US,60,20251107,190000,10.1403,10.1403,10.14,10.14,46441,0
DNMXU.US,60,20251107,200000,10.14,10.14,10.14,10.14,434028,0
DNMXU.US,60,20251107,210000,10.14,10.14,10.13,10.13,532285,0
DNMXU.US,60,20251107,220000,10.14,10.14,10.14,10.14,100,0
DNMXU.US,60,20251110,160000,10.18,10.18,10.18,10.18,225,0
DNMXU.US,60,20251111,190000,10.1473,10.16,10.13,10.1501,3727,0
DNMXU.US,60,20251111,220000,10.17,10.17,10.15,10.15,2127,0
DNMXU.US,60,20251112,160000,10.13,10.13,10.13,10.13,300,0
DNMXU.US,60,20251112,180000,10.14,10.1405,10.14,10.1405,7650,0
DNMXU.US,60,20251113,200000,10.155,10.155,10.155,10.155,100,0
DNMXU.US,60,20251113,210000,10.16,10.16,10.16,10.16,269,0
DNMXU.US,60,20251113,220000,10.135,10.14,10.13,10.135,12732,0
DNMXU.US,60,20251114,170000,10.135,10.135,10.135,10.135,3398,0
DNMXU.US,60,20251114,180000,10.126,10.13,10.126,10.13,2600,0
DNMXU.US,60,20251114,220000,10.13,10.13,10.13,10.13,1689,0
DNMXU.US,60,20251117,160000,10.1265,10.13,10.1,10.13,10800,0
DNMXU.US,60,20251117,170000,10.117,10.125,10.117,10.125,400,0
DNMXU.US,60,20251117,180000,10.13,10.135,10.13,10.135,11500,0
DNMXU.US,60,20251117,190000,10.14,10.14,10.135,10.135,933,0
DNMXU.US,60,20251117,210000,10.13,10.13,10.125,10.13,44591,0
DNMXU.US,60,20251117,220000,10.13,10.13,10.11,10.11,21378,0
DNMXU.US,60,20251118,160000,10.1,10.11,10.1,10.1,89800,0
DNMXU.US,60,20251118,170000,10.1,10.1,10.1,10.1,300,0
DNMXU.US,60,20251118,180000,10.1,10.1004,10.1,10.1004,3400,0
DNMXU.US,60,20251118,220000,10.1,10.11,10.1,10.1076,98400,0
DNMXU.US,60,20251119,160000,10.1372,10.1628,10.1,10.1,30500,0
