<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELOG.US,60,20250828,180000,3.4,3.6,2.91,3.19,415427,0
ELOG.US,60,20250828,190000,3.305,3.305,3.1,3.13,39595,0
ELOG.US,60,20250828,200000,3.14,3.18,2.91,3,46047,0
ELOG.US,60,20250828,210000,3.02,3.12,2.8,3.0501,99142,0
ELOG.US,60,20250828,220000,2.98,3.1,2.87,2.96,56912,0
ELOG.US,60,20250829,160000,3.03,3.16,2.61,2.7196,71474,0
ELOG.US,60,20250829,170000,2.72,3.1384,2.6201,2.99,79600,0
ELOG.US,60,20250829,180000,2.99,3.09,2.93,3,31325,0
ELOG.US,60,20250829,190000,3,3.03,2.835,2.915,11321,0
ELOG.US,60,20250829,200000,2.94,2.97,2.865,2.87,1994,0
ELOG.US,60,20250829,210000,2.965,3.03,2.701,2.72,28488,0
ELOG.US,60,20250829,220000,2.725,3,2.705,2.96,30340,0
ELOG.US,60,20250902,160000,2.689,2.69,2.51,2.56,24208,0
ELOG.US,60,20250902,170000,2.53,2.55,2.31,2.4909,18443,0
ELOG.US,60,20250902,180000,2.3423,2.749,2.3423,2.515,11560,0
ELOG.US,60,20250902,190000,2.435,2.6,2.435,2.465,11886,0
ELOG.US,60,20250902,200000,2.42,2.42,2.17,2.2458,20799,0
ELOG.US,60,20250902,210000,2.25,2.45,2.18,2.22,53927,0
ELOG.US,60,20250902,220000,2.21,2.37,2.11,2.27,49143,0
ELOG.US,60,20250903,160000,2.2,2.37,2.0001,2.15,18678,0
ELOG.US,60,20250903,170000,2.08,2.15,2.0107,2.1496,7740,0
ELOG.US,60,20250903,180000,2.11,2.11,2.01,2.06,7719,0
ELOG.US,60,20250903,190000,2.03,2.05,2,2.05,12926,0
ELOG.US,60,20250903,200000,2.05,2.0645,2.025,2.025,460,0
ELOG.US,60,20250903,210000,2.03,2.23,1.82,1.82,16428,0
ELOG.US,60,20250903,220000,1.825,2.01,1.82,1.95,6688,0
ELOG.US,60,20250904,160000,1.9999,1.9999,1.82,1.92,3320,0
ELOG.US,60,20250904,170000,1.88,1.95,1.84,1.88,1867,0
ELOG.US,60,20250904,180000,1.85,2.13,1.84,2.1244,33076,0
ELOG.US,60,20250904,190000,1.99,2.02,1.99,2,4158,0
ELOG.US,60,20250904,200000,2,2.05,1.97,1.9714,1910,0
ELOG.US,60,20250904,210000,1.97,2.03,1.97,1.97,2588,0
ELOG.US,60,20250904,220000,1.99,2.08,1.97,2.07,10859,0
ELOG.US,60,20250905,160000,2.02,2.2,2.02,2.13,5368,0
ELOG.US,60,20250905,170000,2.11,2.1525,2.08,2.1,3978,0
ELOG.US,60,20250905,180000,2.1,2.19,2.1,2.17,2110,0
ELOG.US,60,20250905,190000,2.19,2.2873,2.19,2.25,3476,0
ELOG.US,60,20250905,200000,2.225,2.34,2.2,2.2201,33866,0
ELOG.US,60,20250905,210000,2.18,2.18,2.17,2.17,300,0
ELOG.US,60,20250905,220000,2.17,2.42,2.17,2.42,7599,0
ELOG.US,60,20250908,160000,2.45,2.8799,2.3037,2.47,31039,0
ELOG.US,60,20250908,170000,2.45,2.67,2.44,2.4632,37027,0
ELOG.US,60,20250908,180000,2.4705,2.488,2.3,2.3799,15547,0
ELOG.US,60,20250908,190000,2.35,2.35,2.28,2.32,3056,0
ELOG.US,60,20250908,200000,2.3,2.38,2.28,2.315,2114,0
ELOG.US,60,20250908,210000,2.28,2.35,2.28,2.28,3570,0
ELOG.US,60,20250908,220000,2.3,2.3,2.2,2.2208,16548,0
ELOG.US,60,20250909,160000,2.23,2.2492,2.08,2.13,9656,0
ELOG.US,60,20250909,170000,2.22,2.28,2.16,2.21,700,0
ELOG.US,60,20250909,180000,2.21,2.23,2.1701,2.23,1300,0
ELOG.US,60,20250909,190000,2.23,2.45,2.17,2.23,18443,0
ELOG.US,60,20250909,200000,2.29,2.345,2.21,2.28,18382,0
ELOG.US,60,20250909,210000,2.265,2.6,2.265,2.46,29715,0
ELOG.US,60,20250909,220000,2.49,2.55,2.48,2.51,3524,0
ELOG.US,60,20250910,160000,2.605,2.605,2.49,2.5,2400,0
ELOG.US,60,20250910,170000,2.525,2.57,2.3905,2.43,3891,0
ELOG.US,60,20250910,180000,2.45,2.51,2.3401,2.45,5783,0
ELOG.US,60,20250910,190000,2.52,2.54,2.51,2.51,2700,0
ELOG.US,60,20250910,200000,2.42,2.465,2.42,2.465,3064,0
ELOG.US,60,20250910,210000,2.43,2.43,2.4209,2.4209,860,0
ELOG.US,60,20250910,220000,2.5,2.5,2.43,2.48,1030,0
ELOG.US,60,20250911,160000,2.45,2.55,2.45,2.53,805,0
ELOG.US,60,20250911,170000,2.47,2.51,2.41,2.51,1236,0
ELOG.US,60,20250911,180000,2.52,2.52,2.52,2.52,205,0
ELOG.US,60,20250911,190000,2.4106,2.4106,2.4106,2.4106,2000,0
ELOG.US,60,20250911,200000,2.41,2.445,2.41,2.445,1800,0
ELOG.US,60,20250911,210000,2.412,2.4149,2.41,2.41,700,0
ELOG.US,60,20250911,220000,2.47,2.47,2.47,2.47,210,0
ELOG.US,60,20250912,160000,1.98,2.47,1.85,2.47,5804,0
ELOG.US,60,20250912,170000,2.3124,2.46,2.3124,2.395,2766,0
ELOG.US,60,20250912,180000,2.36,2.36,2.32,2.35,3500,0
ELOG.US,60,20250912,190000,2.3325,2.35,2.3,2.35,5015,0
ELOG.US,60,20250912,200000,2.44,2.44,2.44,2.44,100,0
ELOG.US,60,20250912,210000,2.4363,2.4363,2.4363,2.4363,200,0
ELOG.US,60,20250912,220000,2.41,2.41,2.41,2.41,120,0
ELOG.US,60,20250915,160000,2.42,2.602,2.4105,2.602,6186,0
ELOG.US,60,20250915,170000,2.85,2.85,2.52,2.52,3078,0
ELOG.US,60,20250915,180000,2.49,2.5,2.49,2.5,1100,0
ELOG.US,60,20250915,190000,2.45,2.5782,2.45,2.45,2924,0
ELOG.US,60,20250915,200000,2.57,2.57,2.42,2.42,2625,0
ELOG.US,60,20250915,210000,2.43,2.5399,2.42,2.42,1045,0
ELOG.US,60,20250915,220000,2.48,2.52,2.48,2.52,220,0
ELOG.US,60,20250916,160000,2.51,2.51,2.38,2.41,2318,0
ELOG.US,60,20250916,170000,2.4,2.52,2.4,2.52,1525,0
ELOG.US,60,20250916,180000,2.46,2.46,2.45,2.45,200,0
ELOG.US,60,20250916,190000,2.44,2.44,2.4,2.4,700,0
ELOG.US,60,20250916,200000,2.41,2.42,2.41,2.42,207,0
ELOG.US,60,20250916,210000,2.402,2.41,2.35,2.35,1000,0
ELOG.US,60,20250916,220000,2.31,2.3889,2.28,2.36,1800,0
ELOG.US,60,20250917,160000,2.52,2.601,2.4201,2.601,11864,0
ELOG.US,60,20250917,170000,2.61,2.69,2.51,2.57,14683,0
ELOG.US,60,20250917,180000,2.58,2.58,2.5206,2.53,1720,0
ELOG.US,60,20250917,190000,2.53,2.54,2.5,2.5,5495,0
ELOG.US,60,20250917,200000,2.53,2.5729,2.49,2.4906,17535,0
ELOG.US,60,20250917,210000,2.51,2.56,2.47,2.56,2042,0
ELOG.US,60,20250917,220000,2.53,2.6,2.49,2.6,2097,0
ELOG.US,60,20250918,160000,2.44,2.49,2.43,2.45,1950,0
ELOG.US,60,20250918,170000,2.515,2.515,2.46,2.47,22846,0
ELOG.US,60,20250918,180000,2.47,2.5699,2.3,2.5699,9879,0
ELOG.US,60,20250918,190000,2.4493,2.4499,2.38,2.4499,1600,0
ELOG.US,60,20250918,200000,2.3801,2.43,2.38,2.43,9100,0
ELOG.US,60,20250918,210000,2.4,2.4,2.4,2.4,416,0
ELOG.US,60,20250918,220000,2.4,2.44,2.36,2.4,7233,0
ELOG.US,60,20250919,160000,2.43,2.43,2.36,2.42,5500,0
ELOG.US,60,20250919,170000,2.41,2.42,2.3,2.3,4118,0
ELOG.US,60,20250919,180000,2.31,2.49,2.31,2.49,2767,0
ELOG.US,60,20250919,190000,2.4499,2.4499,2.26,2.28,9676,0
ELOG.US,60,20250919,200000,2.35,2.39,2.25,2.39,5766,0
ELOG.US,60,20250919,210000,2.3,2.3,2.29,2.29,500,0
ELOG.US,60,20250919,220000,2.3999,2.43,2.3999,2.43,621,0
ELOG.US,60,20250922,160000,2.4,2.4,2.35,2.35,1570,0
ELOG.US,60,20250922,170000,2.3501,2.5,2.35,2.5,2366,0
ELOG.US,60,20250922,180000,2.37,2.425,2.35,2.36,2000,0
ELOG.US,60,20250922,190000,2.39,2.39,2.39,2.39,2033,0
ELOG.US,60,20250922,210000,2.5,2.5,2.43,2.43,200,0
ELOG.US,60,20250922,220000,2.43,2.49,2.43,2.49,260,0
ELOG.US,60,20250923,160000,2.4,2.4,2.39,2.4,1040,0
ELOG.US,60,20250923,170000,2.4,2.4,2.28,2.3,11690,0
ELOG.US,60,20250923,180000,2.29,2.3,2.29,2.3,7683,0
ELOG.US,60,20250923,190000,2.35,2.4981,2.27,2.28,5783,0
ELOG.US,60,20250923,200000,2.4717,2.4717,2.27,2.375,2900,0
ELOG.US,60,20250923,210000,2.38,2.38,2.27,2.27,3450,0
ELOG.US,60,20250923,220000,2.38,2.43,2.3,2.43,2269,0
ELOG.US,60,20250924,160000,2.36,2.39,2.2,2.39,8740,0
ELOG.US,60,20250924,170000,2.33,2.39,2.33,2.39,663,0
ELOG.US,60,20250924,180000,2.5308,2.54,2.5308,2.54,600,0
ELOG.US,60,20250924,190000,2.3584,2.4251,2.31,2.3101,3628,0
ELOG.US,60,20250924,200000,2.5174,2.5174,2.4,2.4,300,0
ELOG.US,60,20250924,220000,2.33,2.355,2.31,2.35,3799,0
ELOG.US,60,20250925,160000,2.4653,2.4653,2.33,2.33,2514,0
ELOG.US,60,20250925,170000,2.3499,2.4548,2.25,2.4548,5525,0
ELOG.US,60,20250925,190000,2.34,2.34,2.34,2.34,500,0
ELOG.US,60,20250925,220000,2.333,2.34,2.33,2.34,1346,0
ELOG.US,60,20250926,160000,2.25,2.39,2.25,2.39,1850,0
ELOG.US,60,20250926,170000,2.3079,2.32,2.21,2.21,5775,0
ELOG.US,60,20250926,180000,2.23,2.3928,2.225,2.225,7550,0
ELOG.US,60,20250926,190000,2.33,2.33,2.33,2.33,200,0
ELOG.US,60,20250926,200000,2.24,2.24,2.23,2.2359,1459,0
ELOG.US,60,20250926,210000,2.24,2.2605,2.16,2.19,5300,0
ELOG.US,60,20250926,220000,2.19,2.3539,2.12,2.33,25267,0
ELOG.US,60,20250929,160000,2.28,2.33,2.2,2.2,3066,0
ELOG.US,60,20250929,170000,2.21,2.2891,2.2,2.2,1100,0
ELOG.US,60,20250929,180000,2.2,2.21,2.2,2.2,1325,0
ELOG.US,60,20250929,190000,2.2,2.2,2.16,2.16,5986,0
ELOG.US,60,20250929,200000,2.16,2.19,2.16,2.19,5113,0
ELOG.US,60,20250929,210000,2.23,2.235,2.1601,2.1902,4900,0
ELOG.US,60,20250929,220000,2.225,2.27,2.17,2.27,753,0
ELOG.US,60,20250930,160000,2.2434,2.2434,2.2,2.2,1793,0
ELOG.US,60,20250930,170000,2.21,2.21,2.2,2.2,451,0
ELOG.US,60,20250930,180000,2.2167,2.2167,2.18,2.18,734,0
ELOG.US,60,20250930,200000,2.2,2.21,2.2,2.2,4295,0
ELOG.US,60,20250930,210000,2.18,2.2489,2.18,2.23,2715,0
ELOG.US,60,20250930,220000,2.23,2.25,2.21,2.21,2314,0
ELOG.US,60,20251001,160000,2.19,2.33,2.19,2.25,1733,0
ELOG.US,60,20251001,170000,2.25,2.4999,2.25,2.29,4037,0
ELOG.US,60,20251001,180000,2.32,2.4499,2.2999,2.3,3708,0
ELOG.US,60,20251001,190000,2.3,2.3,2.28,2.28,250,0
ELOG.US,60,20251001,200000,2.3381,2.35,2.3,2.3,415,0
ELOG.US,60,20251001,210000,2.28,2.28,2.27,2.27,300,0
ELOG.US,60,20251001,220000,2.305,2.32,2.26,2.32,7360,0
ELOG.US,60,20251002,160000,2.25,2.3,2.25,2.3,887,0
ELOG.US,60,20251002,170000,2.32,2.3324,2.28,2.28,2200,0
ELOG.US,60,20251002,180000,2.27,2.27,2.27,2.27,100,0
ELOG.US,60,20251002,190000,2.31,2.31,2.26,2.26,200,0
ELOG.US,60,20251002,200000,2.31,2.31,2.31,2.31,222,0
