<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELPW.US,60,20241125,160000,2.2,2.34,1.85,1.91,92934,0
ELPW.US,60,20241125,170000,1.92,1.9538,1.8,1.8799,97743,0
ELPW.US,60,20241125,180000,1.83,2.15,1.83,2.085,117856,0
ELPW.US,60,20241125,190000,2.0705,2.1399,1.9577,2.0538,54769,0
ELPW.US,60,20241125,200000,2.05,2.0899,1.95,1.99,25177,0
ELPW.US,60,20241125,210000,1.9601,1.984,1.9011,1.9246,41394,0
ELPW.US,60,20241125,220000,1.9207,1.96,1.835,1.85,51038,0
ELPW.US,60,20241126,160000,1.72,1.73,1.47,1.59,130693,0
ELPW.US,60,20241126,170000,1.53,1.69,1.5193,1.52,54398,0
ELPW.US,60,20241126,180000,1.5718,1.5719,1.47,1.5399,58389,0
ELPW.US,60,20241126,190000,1.53,1.5999,1.5,1.55,27880,0
ELPW.US,60,20241126,200000,1.56,1.69,1.56,1.64,36414,0
ELPW.US,60,20241126,210000,1.6417,1.68,1.5719,1.5719,31977,0
ELPW.US,60,20241126,220000,1.5692,1.6199,1.54,1.61,55794,0
ELPW.US,60,20241127,160000,1.52,1.6,1.52,1.53,23528,0
ELPW.US,60,20241127,170000,1.53,1.5907,1.53,1.5486,13709,0
ELPW.US,60,20241127,180000,1.5509,1.59,1.55,1.56,10448,0
ELPW.US,60,20241127,190000,1.56,1.56,1.44,1.46,73444,0
ELPW.US,60,20241127,200000,1.4597,1.49,1.4,1.4295,81252,0
ELPW.US,60,20241127,210000,1.45,1.48,1.41,1.41,10168,0
ELPW.US,60,20241127,220000,1.41,1.4291,1.34,1.4,53259,0
ELPW.US,60,20241129,160000,1.39,1.435,1.3802,1.41,15531,0
ELPW.US,60,20241129,170000,1.4,1.4,1.3081,1.35,40027,0
ELPW.US,60,20241129,180000,1.36,1.4159,1.36,1.38,15360,0
ELPW.US,60,20241129,190000,1.38,1.38,1.31,1.31,32439,0
ELPW.US,60,20241202,160000,1.3,1.3398,1.25,1.25,24463,0
ELPW.US,60,20241202,170000,1.25,1.32,1.24,1.27,23818,0
ELPW.US,60,20241202,180000,1.28,1.33,1.25,1.32,20259,0
ELPW.US,60,20241202,190000,1.328,1.3299,1.305,1.32,7574,0
ELPW.US,60,20241202,200000,1.33,1.33,1.3,1.3,2604,0
ELPW.US,60,20241202,210000,1.3,1.31,1.2709,1.31,2365,0
ELPW.US,60,20241202,220000,1.285,1.46,1.285,1.41,63214,0
ELPW.US,60,20241203,160000,1.41,1.41,1.295,1.34,22629,0
ELPW.US,60,20241203,170000,1.3237,1.3634,1.24,1.2999,39923,0
ELPW.US,60,20241203,180000,1.29,1.3,1.2404,1.2601,9716,0
ELPW.US,60,20241203,190000,1.2981,1.2988,1.25,1.2501,14271,0
ELPW.US,60,20241203,200000,1.2999,1.2999,1.2505,1.2999,1031,0
ELPW.US,60,20241203,210000,1.275,1.3,1.24,1.27,9336,0
ELPW.US,60,20241203,220000,1.2999,1.2999,1.24,1.28,6579,0
ELPW.US,60,20241204,160000,1.25,1.2781,1.18,1.18,21239,0
ELPW.US,60,20241204,170000,1.1891,1.2601,1.14,1.25,24911,0
ELPW.US,60,20241204,180000,1.2488,1.2488,1.21,1.21,4873,0
ELPW.US,60,20241204,190000,1.22,1.2499,1.21,1.2423,4551,0
