<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBIO.US,60,20240411,160000,37.1,38,37.1,37.1,272.40000000000003,0
GBIO.US,60,20240411,170000,37.2,38.7,37.2,38,1502.1,0
GBIO.US,60,20240411,180000,37.8,39,37.8,38.8,1134.1,0
GBIO.US,60,20240411,190000,39.1,40.2,38.9,39.3,1490.7,0
GBIO.US,60,20240411,200000,39.2,40.3,39,40,578.8,0
GBIO.US,60,20240411,210000,40.3,40.4,39.2,39.3,2905.8,0
GBIO.US,60,20240411,220000,39.4,40.1,39.3,40,4148.2,0
GBIO.US,60,20240412,160000,39.6,40.7,39.6,40.46,564.4,0
GBIO.US,60,20240412,170000,40.5,40.7,40,40.5,1056.1,0
GBIO.US,60,20240412,180000,40.6,40.9,40.2,40.4,844.6,0
GBIO.US,60,20240412,190000,40.2,40.6,40.1,40.2,1519,0
GBIO.US,60,20240412,200000,40.1,40.1,38.1,38.2,2134.3,0
GBIO.US,60,20240412,210000,38.15,38.2,36.8,37.039,689.3,0
GBIO.US,60,20240412,220000,37.029,37.3,36,37,5261.9,0
GBIO.US,60,20240415,160000,36.7,36.7,34.9,35.1,1378.2,0
GBIO.US,60,20240415,170000,34.9,36,34.3,34.9,2441.3,0
GBIO.US,60,20240415,180000,34.9,35.145,34.5,34.6,917.6,0
GBIO.US,60,20240415,190000,34.6,34.7,34.4,34.55,612.6,0
GBIO.US,60,20240415,200000,34.5,34.7,34.15,34.7,934.4,0
GBIO.US,60,20240415,210000,35,35.5,34.35,34.5,2039,0
GBIO.US,60,20240415,220000,34.5,37.2,34.4,37.2,7114.6,0
GBIO.US,60,20240416,160000,36.2,36.4,35.2,35.2,1298.5,0
GBIO.US,60,20240416,170000,35.4,36,34.8,35.4,2799,0
GBIO.US,60,20240416,180000,35.5,35.85,35.3,35.3,671.2,0
GBIO.US,60,20240416,190000,35.2,35.35,34.9,35.1,721.6,0
GBIO.US,60,20240416,200000,35.1,35.1,33.5,33.85,1107.6,0
