<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRAN.US,60,20250701,190000,5.9,6.47,4.56,5.0163,1696694,0
GRAN.US,60,20250701,200000,5.04,5.25,4.8,5.0901,50475,0
GRAN.US,60,20250701,210000,4.99,5.13,4.6801,4.9,62144,0
GRAN.US,60,20250701,220000,4.97,4.97,4.54,4.6,82403,0
GRAN.US,60,20250702,160000,4.8,5.44,4.8,5.2,304399,0
GRAN.US,60,20250702,170000,5.2499,5.39,4.95,4.9544,248469,0
GRAN.US,60,20250702,180000,4.94,5.1999,4.86,4.9,31520,0
GRAN.US,60,20250702,190000,4.93,5,4.9,4.92,14015,0
GRAN.US,60,20250702,200000,4.9172,4.93,4.88,4.89,11320,0
GRAN.US,60,20250702,210000,4.89,4.9,4.7,4.85,22423,0
GRAN.US,60,20250702,220000,4.85,5.2,4.72,4.79,63110,0
GRAN.US,60,20250703,160000,4.9,5.03,4.78,4.9,89726,0
GRAN.US,60,20250703,170000,4.97,5.2,4.5502,5.1,330351,0
GRAN.US,60,20250703,180000,5.14,5.3,4.99,5.01,315867,0
GRAN.US,60,20250703,190000,5.18,5.18,4.93,5.12,40664,0
GRAN.US,60,20250707,160000,4.99,5.03,4.9101,5.02,16130,0
GRAN.US,60,20250707,170000,4.93,4.9599,4.75,4.8505,22184,0
GRAN.US,60,20250707,180000,4.76,4.9799,4.6,4.9337,16338,0
GRAN.US,60,20250707,190000,4.957,4.957,4.82,4.82,2150,0
GRAN.US,60,20250707,200000,4.87,4.88,4.82,4.82,1461,0
GRAN.US,60,20250707,210000,4.87,4.94,4.74,4.94,1320,0
GRAN.US,60,20250707,220000,4.75,4.9399,4.695,4.77,9943,0
GRAN.US,60,20250708,160000,4.76,5.95,4.76,5.185,247975,0
GRAN.US,60,20250708,170000,5.3,5.3,5.01,5.0101,30366,0
GRAN.US,60,20250708,180000,5.01,5.0799,5,5.03,11670,0
GRAN.US,60,20250708,190000,5.0306,5.1,5.0306,5.05,6583,0
GRAN.US,60,20250708,200000,5.075,5.095,5.075,5.095,1500,0
GRAN.US,60,20250708,210000,5.08,5.08,5.06,5.06,600,0
GRAN.US,60,20250708,220000,5.062,5.15,5.0604,5.15,4551,0
GRAN.US,60,20250709,160000,5.01,5.5499,5.01,5.225,86276,0
