<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRPN.US,60,20240411,160000,11.28,11.3,10.94,11.14,30893,0
GRPN.US,60,20240411,170000,11.13,11.19,10.985,11.16,81645,0
GRPN.US,60,20240411,180000,11.16,11.21,11.07,11.2,58243,0
GRPN.US,60,20240411,190000,11.18,11.1869,11.05,11.07,29965,0
GRPN.US,60,20240411,200000,11.05,11.17,11.03,11.09,69111,0
GRPN.US,60,20240411,210000,11.09,11.13,10.92,10.93,131498,0
GRPN.US,60,20240411,220000,10.926,10.97,10.67,10.69,466796,0
GRPN.US,60,20240412,160000,10.73,10.795,10.33,10.394,104849,0
GRPN.US,60,20240412,170000,10.385,10.655,10.27,10.6,201269,0
GRPN.US,60,20240412,180000,10.62,10.67,10.35,10.4178,69986,0
GRPN.US,60,20240412,190000,10.42,10.46,10.35,10.35,72918,0
GRPN.US,60,20240412,200000,10.33,10.425,10.27,10.3,94344,0
GRPN.US,60,20240412,210000,10.3,10.355,10.1,10.2,128710,0
GRPN.US,60,20240412,220000,10.21,10.385,10.15,10.3589,305987,0
GRPN.US,60,20240415,160000,10.26,10.31,10.09,10.145,61984,0
GRPN.US,60,20240415,170000,10.14,10.24,10.01,10.125,101315,0
GRPN.US,60,20240415,180000,10.125,10.17,10.08,10.15,82171,0
GRPN.US,60,20240415,190000,10.14,10.19,9.97,9.99,115205,0
GRPN.US,60,20240415,200000,10,10.01,9.84,9.95,119352,0
GRPN.US,60,20240415,210000,9.94,10.06,9.92,10,125968,0
GRPN.US,60,20240415,220000,10,10.03,9.89,9.99,382882,0
GRPN.US,60,20240416,160000,10.36,10.36,10,10.11,136729,0
GRPN.US,60,20240416,170000,10.1,10.62,10.05,10.55,223110,0
GRPN.US,60,20240416,180000,10.545,10.79,10.5,10.6464,151596,0
GRPN.US,60,20240416,190000,10.63,10.89,10.6,10.8764,89217,0
GRPN.US,60,20240416,200000,10.88,10.93,10.72,10.84,146746,0
GRPN.US,60,20240416,210000,10.835,10.938,10.72,10.92,89517,0
GRPN.US,60,20240416,220000,10.92,10.965,10.79,10.81,278132,0
GRPN.US,60,20240417,160000,10.82,11.25,10.82,11.1033,132597,0
GRPN.US,60,20240417,170000,11.08,11.08,10.33,10.37,251977,0
GRPN.US,60,20240417,180000,10.37,10.45,10.34,10.39,86568,0
GRPN.US,60,20240417,190000,10.38,10.42,10.17,10.17,120470,0
GRPN.US,60,20240417,200000,10.17,10.42,10.14,10.18,169927,0
GRPN.US,60,20240417,210000,10.17,10.2,9.89,9.93,226093,0
GRPN.US,60,20240417,220000,9.94,9.96,9.72,9.77,495903,0
GRPN.US,60,20240418,160000,9.78,10.1999,9.78,9.96,79489,0
GRPN.US,60,20240418,170000,9.98,10.04,9.74,9.74,75608,0
GRPN.US,60,20240418,180000,9.75,10.03,9.745,10.005,74863,0
GRPN.US,60,20240418,190000,10.0009,10.01,9.76,9.815,67555,0
GRPN.US,60,20240418,200000,9.82,9.84,9.755,9.805,44164,0
