<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GYRO.US,60,20240411,200000,8,8,7.975,7.975,600,0
GYRO.US,60,20240411,210000,7.9501,7.9501,7.9501,7.9501,2002,0
GYRO.US,60,20240411,220000,7.99,7.99,7.99,7.99,200,0
GYRO.US,60,20240412,180000,7.975,7.975,7.975,7.975,300,0
GYRO.US,60,20240412,210000,7.975,7.992,7.975,7.99,500,0
GYRO.US,60,20240415,160000,7.95,7.95,7.95,7.95,1843,0
GYRO.US,60,20240415,170000,7.96,7.96,7.96,7.96,100,0
GYRO.US,60,20240415,190000,7.95,7.95,7.82,7.9,755,0
GYRO.US,60,20240415,200000,7.8041,7.905,7.8041,7.81,6415,0
GYRO.US,60,20240416,190000,7.86,7.86,7.83,7.83,2814,0
GYRO.US,60,20240416,200000,7.85,7.85,7.84,7.84,2574,0
GYRO.US,60,20240419,220000,7.83,8.02,7.83,8.02,1016,0
GYRO.US,60,20240422,190000,8,8,7.9999,8,12000,0
GYRO.US,60,20240423,200000,7.9999,7.9999,7.9899,7.9899,325,0
GYRO.US,60,20240426,190000,7.95,7.95,7.9499,7.9499,1100,0
GYRO.US,60,20240426,210000,7.9277,7.95,7.9277,7.95,400,0
GYRO.US,60,20240426,220000,7.95,7.95,7.95,7.95,200,0
GYRO.US,60,20240429,180000,7.93,7.93,7.92,7.92,200,0
GYRO.US,60,20240429,200000,7.94,7.94,7.93,7.93,300,0
GYRO.US,60,20240429,220000,7.87,7.8999,7.87,7.8999,270,0
GYRO.US,60,20240501,200000,7.84,7.84,7.81,7.81,800,0
GYRO.US,60,20240502,220000,7.82,7.82,7.79,7.79,5638,0
GYRO.US,60,20240503,180000,7.93,7.93,7.93,7.93,200,0
GYRO.US,60,20240503,210000,7.93,7.94,7.93,7.94,257,0
GYRO.US,60,20240506,200000,7.7897,7.9,7.7897,7.9,268,0
GYRO.US,60,20240509,170000,7.89,7.9,7.89,7.9,1382,0
GYRO.US,60,20240510,180000,7.94,7.94,7.94,7.94,100,0
GYRO.US,60,20240510,200000,7.93,7.95,7.93,7.95,999,0
GYRO.US,60,20240510,210000,8,8,8,8,100,0
GYRO.US,60,20240510,220000,7.97,7.97,7.97,7.97,300,0
GYRO.US,60,20240513,170000,7.97,7.97,7.97,7.97,1690,0
GYRO.US,60,20240514,190000,7.95,7.9999,7.95,7.9999,200,0
GYRO.US,60,20240515,160000,7.8159,7.8159,7.8159,7.8159,100,0
GYRO.US,60,20240515,180000,7.8,7.8,7.8,7.8,294,0
GYRO.US,60,20240515,200000,7.92,7.92,7.92,7.92,100,0
GYRO.US,60,20240520,160000,7.79,7.79,7.79,7.79,120,0
GYRO.US,60,20240521,190000,7.85,7.85,7.85,7.85,100,0
GYRO.US,60,20240522,160000,7.9,7.9,7.825,7.825,499,0
GYRO.US,60,20240522,210000,7.825,7.825,7.77,7.77,200,0
GYRO.US,60,20240523,160000,7.84,7.84,7.8173,7.8173,200,0
GYRO.US,60,20240523,220000,7.85,7.85,7.81,7.84,1198,0
GYRO.US,60,20240528,180000,7.8698,7.8698,7.8698,7.8698,100,0
GYRO.US,60,20240528,190000,7.85,7.85,7.81,7.85,5330,0
GYRO.US,60,20240528,210000,7.8499,7.8499,7.8499,7.8499,199,0
GYRO.US,60,20240528,220000,7.85,7.85,7.85,7.85,100,0
GYRO.US,60,20240529,190000,7.81,7.88,7.81,7.88,1300,0
GYRO.US,60,20240529,210000,7.86,7.88,7.86,7.88,500,0
GYRO.US,60,20240529,220000,7.865,7.88,7.85,7.85,1552,0
GYRO.US,60,20240530,170000,7.9,7.9,7.9,7.9,2990,0
GYRO.US,60,20240530,220000,7.9,7.9,7.9,7.9,462,0
GYRO.US,60,20240603,200000,7.9278,7.9278,7.9278,7.9278,100,0
GYRO.US,60,20240604,180000,7.84,7.84,7.84,7.84,100,0
GYRO.US,60,20240605,160000,7.8015,7.8015,7.8015,7.8015,860,0
GYRO.US,60,20240610,170000,7.85,7.85,7.85,7.85,152,0
GYRO.US,60,20240610,220000,7.85,7.85,7.85,7.85,100,0
GYRO.US,60,20240617,210000,8.005,8.005,8.005,8.005,116,0
GYRO.US,60,20240621,160000,7.96,7.96,7.96,7.96,142,0
GYRO.US,60,20240624,170000,8.15,8.15,8.13,8.13,1000,0
GYRO.US,60,20240703,190000,8.12,8.12,8.12,8.12,100,0
GYRO.US,60,20240705,220000,8.1,8.1,8.1,8.1,100,0
GYRO.US,60,20240708,200000,8.0295,8.1,8.0295,8.0296,904,0
GYRO.US,60,20240708,210000,8.07,8.1,8.07,8.08,1300,0
GYRO.US,60,20240710,220000,8.1,8.13,8,8.13,1866,0
GYRO.US,60,20240711,160000,8.15,8.15,8.15,8.15,259,0
GYRO.US,60,20240711,180000,8.1,8.1,8.1,8.1,505,0
GYRO.US,60,20240712,200000,8.1,8.1,8.1,8.1,553,0
GYRO.US,60,20240716,210000,8.15,8.15,8.15,8.15,150,0
GYRO.US,60,20240716,220000,8.1003,8.1003,8.1002,8.1002,300,0
GYRO.US,60,20240718,170000,8.1,8.1,8.1,8.1,800,0
GYRO.US,60,20240801,220000,7.885,8.14,7.885,8,2379,0
GYRO.US,60,20240802,210000,7.83,7.83,7.8202,7.8202,600,0
GYRO.US,60,20240802,220000,8,8,8,8,100,0
GYRO.US,60,20240808,210000,7.975,7.975,7.975,7.975,167,0
GYRO.US,60,20240809,180000,7.78,7.78,7.78,7.78,900,0
GYRO.US,60,20240809,200000,7.8,7.9367,7.77,7.7752,5318,0
GYRO.US,60,20240809,210000,7.7701,7.9315,7.77,7.77,1006,0
GYRO.US,60,20240822,220000,7.95,8.11,7.95,8.1,800,0
GYRO.US,60,20240830,170000,8.1299,8.13,7.99,7.99,1190,0
GYRO.US,60,20240830,180000,7.9,7.9,7.9,7.9,100,0
GYRO.US,60,20240830,190000,7.9001,7.9022,7.9,7.9022,2051,0
GYRO.US,60,20240830,220000,7.8,7.9,7.8,7.9,1000,0
GYRO.US,60,20240903,200000,7.75,7.75,7.75,7.75,200,0
GYRO.US,60,20240905,220000,7.8,7.8,7.8,7.8,200,0
GYRO.US,60,20240906,170000,7.8,7.8,7.76,7.7601,580,0
GYRO.US,60,20240906,180000,7.78,7.78,7.7701,7.7701,600,0
GYRO.US,60,20240909,190000,7.77,7.7701,7.77,7.7701,896,0
GYRO.US,60,20240909,200000,7.87,7.87,7.87,7.87,100,0
GYRO.US,60,20240911,210000,7.8,8.1,7.65,7.99,5743,0
GYRO.US,60,20240913,170000,7.8,7.8,7.75,7.75,613,0
GYRO.US,60,20240913,180000,7.82,7.84,7.82,7.84,600,0
GYRO.US,60,20240913,200000,7.85,7.85,7.85,7.85,500,0
GYRO.US,60,20240913,220000,7.67,7.67,7.67,7.67,100,0
GYRO.US,60,20240918,210000,7.88,8.0897,7.8,8.0897,854,0
GYRO.US,60,20240920,160000,8,8,8,8,290,0
GYRO.US,60,20240920,190000,7.9164,7.9164,7.9162,7.9162,500,0
GYRO.US,60,20240923,170000,7.8,7.8,7.8,7.8,100,0
GYRO.US,60,20240923,190000,7.8,7.8,7.8,7.8,100,0
GYRO.US,60,20240925,210000,7.9501,7.9501,7.9501,7.9501,370,0
GYRO.US,60,20240925,220000,8.05,8.05,8.05,8.05,267,0
GYRO.US,60,20240927,170000,7.81,7.81,7.8,7.8,597,0
GYRO.US,60,20240927,220000,7.85,7.85,7.8,7.81,500,0
GYRO.US,60,20241001,180000,7.8,7.8,7.8,7.8,881,0
GYRO.US,60,20241004,200000,7.68,7.68,7.68,7.68,129,0
GYRO.US,60,20241007,160000,7.7,7.7,7.7,7.7,100,0
GYRO.US,60,20241007,190000,7.97,7.99,7.86,7.99,500,0
GYRO.US,60,20241007,200000,7.97,7.97,7.95,7.95,400,0
GYRO.US,60,20241007,210000,7.95,8,7.95,8,400,0
GYRO.US,60,20241007,220000,8,8,7.99,8,500,0
GYRO.US,60,20241014,210000,7.71,7.75,7.68,7.75,3502,0
GYRO.US,60,20241014,220000,7.85,8,7.7,7.98,1479,0
GYRO.US,60,20241016,160000,7.88,8,7.88,7.9999,3100,0
GYRO.US,60,20241016,170000,8,8,7.8738,7.9999,1234,0
GYRO.US,60,20241016,180000,8,8.18,7.886,8.1799,2152,0
GYRO.US,60,20241016,190000,8.29,9.0999,8.2899,9.06,5090,0
GYRO.US,60,20241016,200000,8.98,10,8.8047,10,12134,0
GYRO.US,60,20241016,210000,10.035,10.1899,9.99,10.1899,3459,0
GYRO.US,60,20241016,220000,10.18,10.25,10.175,10.19,5648,0
GYRO.US,60,20241017,160000,10.35,10.75,10.35,10.7499,2638,0
GYRO.US,60,20241017,170000,10.9899,10.9899,10.806,10.8257,2338,0
GYRO.US,60,20241017,180000,10.98,10.98,10.88,10.88,300,0
GYRO.US,60,20241017,190000,10.86,10.9699,10.86,10.86,800,0
GYRO.US,60,20241017,200000,10.9699,10.99,10.86,10.99,7892,0
GYRO.US,60,20241017,210000,10.99,11,10.9,10.9899,8876,0
GYRO.US,60,20241017,220000,11.1799,11.38,11.1799,11.34,1438,0
GYRO.US,60,20241018,160000,11.48,11.96,11.43,11.6999,6247,0
GYRO.US,60,20241018,170000,10.88,10.94,10.75,10.94,1091,0
GYRO.US,60,20241018,190000,11.1,11.1,11.1,11.1,100,0
GYRO.US,60,20241018,200000,11.4713,11.5,11.43,11.43,699,0
GYRO.US,60,20241018,210000,11.24,11.32,11.24,11.25,900,0
GYRO.US,60,20241018,220000,11.32,11.32,10.8,11.1,3760,0
GYRO.US,60,20241021,160000,10.99,10.99,10.15,10.15,5518,0
GYRO.US,60,20241021,170000,10.9105,10.9105,10.9105,10.9105,400,0
GYRO.US,60,20241021,180000,10.6691,10.6691,10.5,10.5,200,0
GYRO.US,60,20241021,190000,10.3681,10.3681,10.3,10.3001,980,0
GYRO.US,60,20241021,200000,10.4,10.4,10.4,10.4,699,0
GYRO.US,60,20241021,210000,10.5501,10.5501,10.55,10.55,300,0
GYRO.US,60,20241021,220000,10.55,10.55,10.55,10.55,350,0
GYRO.US,60,20241022,160000,10.395,10.395,10.395,10.395,300,0
GYRO.US,60,20241022,170000,10.68,10.85,10.5283,10.85,1096,0
GYRO.US,60,20241022,180000,10.858,10.858,10.858,10.858,100,0
GYRO.US,60,20241023,160000,10.84,10.84,10.84,10.84,2419,0
GYRO.US,60,20241023,180000,10.64,10.64,10.64,10.64,282,0
GYRO.US,60,20241023,210000,10.6404,10.6404,10.6404,10.6404,747,0
GYRO.US,60,20241023,220000,10.65,10.65,10.45,10.45,2400,0
GYRO.US,60,20241024,170000,10.625,10.625,10.625,10.625,300,0
GYRO.US,60,20241024,180000,10.47,10.48,10.46,10.46,400,0
GYRO.US,60,20241025,170000,10.655,10.655,10.655,10.655,200,0
GYRO.US,60,20241029,150000,10.4,10.4,10.4,10.4,600,0
GYRO.US,60,20241029,160000,10.41,10.41,10.41,10.41,100,0
GYRO.US,60,20241101,170000,10.33,10.33,10.3,10.3,2000,0
GYRO.US,60,20241105,160000,10.5013,10.5013,10.5013,10.5013,112,0
GYRO.US,60,20241112,170000,10.7,10.7,10.5,10.5,500,0
GYRO.US,60,20241113,210000,10.62,10.6201,10.3,10.4,1859,0
GYRO.US,60,20241113,220000,10.39,10.39,10.1,10.1,260,0
GYRO.US,60,20241114,170000,10.2897,10.2897,10.05,10.104,1552,0
GYRO.US,60,20241114,180000,10.05,10.05,10.05,10.05,148,0
GYRO.US,60,20241115,170000,9.0601,9.0601,9.0601,9.0601,100,0
GYRO.US,60,20241115,180000,9.95,9.97,9.95,9.97,300,0
GYRO.US,60,20241115,190000,9.95,9.95,9.91,9.95,400,0
GYRO.US,60,20241115,200000,9.95,9.97,9.75,9.97,700,0
GYRO.US,60,20241115,210000,9.98,10,9.97,10,300,0
GYRO.US,60,20241119,220000,9.9047,9.9047,9.9047,9.9047,1500,0
GYRO.US,60,20241120,160000,9.075,9.075,8.9,8.9,1600,0
GYRO.US,60,20241120,170000,9.41,9.51,8.97,9.5,1913,0
GYRO.US,60,20241120,180000,9.5,9.5,9.5,9.5,1000,0
GYRO.US,60,20241120,190000,9.04,9.04,9.02,9.02,300,0
GYRO.US,60,20241120,200000,9.3174,9.3174,9.3174,9.3174,200,0
GYRO.US,60,20241120,210000,9.4895,9.4895,9.4895,9.4895,200,0
GYRO.US,60,20241120,220000,9.52,9.55,9.49,9.49,8701,0
GYRO.US,60,20241121,160000,9.71,9.71,9.71,9.71,125,0
GYRO.US,60,20241125,170000,9.9185,9.9185,9.9185,9.9185,150,0
GYRO.US,60,20241203,210000,9.3383,9.3383,9.24,9.3383,3245,0
GYRO.US,60,20241204,170000,9.1246,9.1246,9.1246,9.1246,200,0
GYRO.US,60,20241205,180000,9.4,9.4,9.1854,9.1854,450,0
GYRO.US,60,20241205,200000,9.05,9.05,9.05,9.05,200,0
GYRO.US,60,20241209,170000,8.9,8.9,8.9,8.9,168,0
GYRO.US,60,20241209,200000,9,9,9,9,100,0
GYRO.US,60,20241209,210000,8.77,8.77,8.77,8.77,106,0
GYRO.US,60,20241209,220000,8.8,8.8,8.8,8.8,100,0
GYRO.US,60,20241210,210000,9,9.0201,9,9.0201,1736,0
GYRO.US,60,20241210,220000,9.37,9.4,9.37,9.4,400,0
GYRO.US,60,20241217,160000,9.46,9.46,9.02,9.02,1016,0
GYRO.US,60,20241217,170000,9.3,9.3,9.3,9.3,500,0
GYRO.US,60,20241219,180000,9.25,9.25,9.25,9.25,100,0
GYRO.US,60,20241220,200000,9.3556,9.3556,9.3556,9.3556,100,0
GYRO.US,60,20241226,190000,9.25,9.75,9.02,9.75,2310,0
GYRO.US,60,20241226,200000,9.0201,9.88,9.02,9.88,2000,0
GYRO.US,60,20241227,180000,9.2996,9.2996,9.2996,9.2996,292,0
GYRO.US,60,20241227,190000,9.4,9.4,9.4,9.4,100,0
GYRO.US,60,20241231,160000,9.02,9.02,9.02,9.02,400,0
GYRO.US,60,20250106,210000,9.02,9.0601,9.02,9.0601,491,0
GYRO.US,60,20250117,220000,9.02,9.22,9.02,9.22,735,0
GYRO.US,60,20250121,170000,9.06,9.15,9.02,9.15,1128,0
GYRO.US,60,20250121,200000,9.26,9.26,9.26,9.26,100,0
GYRO.US,60,20250128,160000,9.3032,9.5,9.3032,9.5,236,0
GYRO.US,60,20250128,190000,9.15,9.15,9.15,9.15,100,0
GYRO.US,60,20250130,180000,9.15,9.1501,9.15,9.15,902,0
GYRO.US,60,20250203,160000,9.02,9.02,9.02,9.02,228,0
GYRO.US,60,20250204,180000,9.02,9.02,9.02,9.02,891,0
GYRO.US,60,20250206,200000,9.351,9.351,9.19,9.19,329,0
GYRO.US,60,20250206,210000,9.33,9.33,9.33,9.33,100,0
GYRO.US,60,20250206,220000,9.35,9.35,9.35,9.35,100,0
GYRO.US,60,20250207,180000,9.2851,9.2851,9.2851,9.2851,200,0
GYRO.US,60,20250211,220000,9,9.0001,9,9.0001,576,0
GYRO.US,60,20250212,160000,9,9,9,9,155,0
GYRO.US,60,20250218,210000,9.1149,9.1149,9.0869,9.0869,200,0
GYRO.US,60,20250218,220000,9,9.0001,8.9,8.9,500,0
GYRO.US,60,20250219,210000,8.99,8.99,8.99,8.99,100,0
GYRO.US,60,20250220,190000,8.99,8.99,8.9,8.99,992,0
GYRO.US,60,20250220,200000,8.99,8.9932,8.99,8.9932,218,0
GYRO.US,60,20250220,210000,8.785,8.99,8.785,8.99,300,0
GYRO.US,60,20250220,220000,8.9047,8.9047,8.9047,8.9047,329,0
GYRO.US,60,20250224,160000,8.9,8.9,8.9,8.9,1000,0
GYRO.US,60,20250224,190000,8.69,9.11,8.69,9.11,312,0
GYRO.US,60,20250226,180000,8.55,8.76,8.1,8.76,300,0
GYRO.US,60,20250303,210000,8.2,8.8582,8.2,8.52,300,0
GYRO.US,60,20250307,200000,8.775,8.775,8.775,8.775,799,0
GYRO.US,60,20250313,160000,8.5614,8.5614,8.5614,8.5614,200,0
