<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HVIIU.US,60,20250117,170000,9.98,10,9.97,9.985,6247781,0
HVIIU.US,60,20250117,180000,9.985,10,9.98,9.985,2005479,0
HVIIU.US,60,20250117,190000,9.985,9.99,9.98,9.99,188514,0
HVIIU.US,60,20250117,200000,9.985,9.99,9.98,9.98,603350,0
HVIIU.US,60,20250117,210000,9.99,10,9.98,9.985,3004874,0
HVIIU.US,60,20250117,220000,9.985,9.985,9.98,9.98,249875,0
HVIIU.US,60,20250121,160000,9.99,9.99,9.985,9.99,76789,0
HVIIU.US,60,20250121,170000,9.99,9.99,9.986,9.99,22400,0
HVIIU.US,60,20250121,190000,9.99,9.99,9.99,9.99,5000,0
HVIIU.US,60,20250121,200000,9.994,10,9.994,10,5750,0
HVIIU.US,60,20250121,210000,9.994,9.995,9.994,9.995,2220,0
HVIIU.US,60,20250121,220000,9.99,9.99,9.98,9.99,38431,0
HVIIU.US,60,20250122,160000,9.98,10,9.98,9.99,179671,0
HVIIU.US,60,20250122,170000,9.99,10,9.99,9.995,100800,0
HVIIU.US,60,20250122,180000,9.995,9.995,9.995,9.995,100,0
HVIIU.US,60,20250122,210000,9.9949,9.9949,9.9949,9.9949,100,0
HVIIU.US,60,20250122,220000,9.995,10,9.99,10,8858,0
HVIIU.US,60,20250123,160000,10,10,9.99,9.9906,34120,0
HVIIU.US,60,20250123,170000,9.99,9.995,9.99,9.9907,26800,0
HVIIU.US,60,20250123,190000,10,10,10,10,18496,0
HVIIU.US,60,20250123,200000,10,10,10,10,122582,0
HVIIU.US,60,20250123,220000,10,10.01,10,10.01,731,0
HVIIU.US,60,20250124,160000,10.025,10.025,10.025,10.025,200,0
HVIIU.US,60,20250127,170000,9.998,9.998,9.998,9.998,100,0
HVIIU.US,60,20250127,180000,9.99,10.02,9.99,10.02,1100,0
HVIIU.US,60,20250129,160000,10,10.02,10,10.02,300,0
HVIIU.US,60,20250129,170000,10.0127,10.0127,10.0127,10.0127,8100,0
HVIIU.US,60,20250129,180000,10.02,10.02,10.01,10.02,10867,0
HVIIU.US,60,20250129,190000,10.02,10.02,10.0099,10.01,15693,0
HVIIU.US,60,20250129,210000,10.0141,10.0199,10.0141,10.015,1500,0
HVIIU.US,60,20250129,220000,10.01,10.01,10.01,10.01,75000,0
HVIIU.US,60,20250130,160000,10.02,10.02,10.02,10.02,700,0
