<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HVMC.US,60,20251002,170000,10,10,10,10,887,0
HVMC.US,60,20251002,210000,9.9895,9.9895,9.9895,9.9895,100,0
HVMC.US,60,20251002,220000,9.96,9.96,9.96,9.96,899,0
HVMC.US,60,20251003,180000,9.97,9.97,9.95,9.95,8998,0
HVMC.US,60,20251006,170000,9.95,9.95,9.95,9.95,5000,0
HVMC.US,60,20251006,190000,9.96,9.97,9.95,9.95,18300,0
HVMC.US,60,20251006,200000,9.95,9.95,9.95,9.95,8400,0
HVMC.US,60,20251006,220000,9.95,9.95,9.95,9.95,207,0
HVMC.US,60,20251007,170000,9.97,9.97,9.97,9.97,100,0
HVMC.US,60,20251007,220000,9.96,9.96,9.96,9.96,29900,0
HVMC.US,60,20251008,160000,10,10,10,10,1000,0
HVMC.US,60,20251008,190000,9.96,9.96,9.95,9.95,10066,0
HVMC.US,60,20251008,200000,9.955,9.955,9.955,9.955,397,0
HVMC.US,60,20251008,210000,9.955,9.955,9.95,9.95,6212,0
HVMC.US,60,20251008,220000,9.95,9.95,9.94,9.9499,68154,0
HVMC.US,60,20251009,170000,9.95,9.95,9.9421,9.945,2300,0
HVMC.US,60,20251009,200000,9.94,9.945,9.94,9.94,58574,0
HVMC.US,60,20251009,210000,9.94,9.94,9.94,9.94,30000,0
HVMC.US,60,20251010,170000,9.94,9.94,9.94,9.94,36808,0
HVMC.US,60,20251010,200000,9.94,9.94,9.94,9.94,4600,0
HVMC.US,60,20251010,210000,9.94,9.94,9.94,9.94,30000,0
HVMC.US,60,20251010,220000,9.94,9.94,9.93,9.94,15017,0
HVMC.US,60,20251013,170000,9.95,9.96,9.95,9.96,138099,0
HVMC.US,60,20251013,190000,9.955,9.955,9.95,9.95,8300,0
HVMC.US,60,20251013,200000,9.95,9.95,9.95,9.95,30600,0
HVMC.US,60,20251013,210000,9.95,9.96,9.95,9.96,92995,0
HVMC.US,60,20251013,220000,9.96,9.96,9.96,9.96,20395,0
HVMC.US,60,20251014,160000,9.97,10,9.97,9.97,253000,0
HVMC.US,60,20251014,170000,9.97,9.97,9.97,9.97,350000,0
HVMC.US,60,20251014,220000,9.97,9.97,9.97,9.97,571,0
HVMC.US,60,20251015,160000,9.97,9.97,9.97,9.97,41626,0
HVMC.US,60,20251015,170000,9.985,9.985,9.985,9.985,2000,0
HVMC.US,60,20251015,210000,9.985,10,9.97,9.97,787,0
HVMC.US,60,20251015,220000,9.97,9.97,9.97,9.97,966,0
HVMC.US,60,20251016,170000,9.97,9.98,9.97,9.98,2788,0
HVMC.US,60,20251016,200000,9.98,9.98,9.98,9.98,3300,0
HVMC.US,60,20251023,220000,9.98,9.99,9.98,9.99,31335,0
HVMC.US,60,20251024,180000,9.98,9.98,9.98,9.98,355,0
HVMC.US,60,20251027,160000,9.98,9.98,9.98,9.98,100,0
HVMC.US,60,20251028,150000,10,10,10,10,1000,0
HVMC.US,60,20251028,160000,9.99,9.99,9.99,9.99,100,0
HVMC.US,60,20251028,190000,10,10,10,10,65400,0
HVMC.US,60,20251029,160000,9.99,9.99,9.99,9.99,100,0
HVMC.US,60,20251029,210000,9.99,9.99,9.99,9.99,124600,0
HVMC.US,60,20251030,160000,9.99,10,9.99,10,60700,0
HVMC.US,60,20251030,170000,9.99,9.99,9.99,9.99,100,0
HVMC.US,60,20251031,160000,9.99,9.99,9.99,9.99,200000,0
HVMC.US,60,20251031,170000,10.0374,10.0374,10.0374,10.0374,100,0
HVMC.US,60,20251031,210000,9.99,9.99,9.99,9.99,100,0
HVMC.US,60,20251103,170000,10.01,10.01,10.01,10.01,100,0
HVMC.US,60,20251103,220000,9.99,9.99,9.99,9.99,100,0
HVMC.US,60,20251107,170000,10,10,10,10,50000,0
HVMC.US,60,20251112,220000,10,10.01,9.99,10.0099,230400,0
HVMC.US,60,20251113,160000,10.01,10.01,10.01,10.01,13000,0
HVMC.US,60,20251113,170000,10.01,10.01,10.01,10.01,25100,0
HVMC.US,60,20251117,200000,10.01,10.01,10.0001,10.01,12100,0
HVMC.US,60,20251117,220000,10.01,10.01,10.01,10.01,74096,0
HVMC.US,60,20251118,160000,10.01,10.01,10.01,10.01,25896,0
HVMC.US,60,20251124,220000,10.01,10.01,10.01,10.01,100,0
HVMC.US,60,20251126,180000,10.01,10.01,10.01,10.01,100,0
HVMC.US,60,20251126,200000,10.01,10.01,10.01,10.01,100,0
HVMC.US,60,20251128,160000,10.01,10.017,10.01,10.017,10000,0
HVMC.US,60,20251128,170000,10.01,10.01,10.01,10.01,100,0
HVMC.US,60,20251128,190000,10.01,10.01,10.01,10.01,200,0
HVMC.US,60,20251201,160000,10.05,10.05,10.05,10.05,1000,0
HVMC.US,60,20251201,170000,10.05,10.0501,10.05,10.0501,8700,0
HVMC.US,60,20251201,180000,10.02,10.02,10.02,10.02,100,0
HVMC.US,60,20251201,200000,10.025,10.025,10.025,10.025,24770,0
HVMC.US,60,20251201,210000,10.02,10.02,10.02,10.02,1000,0
HVMC.US,60,20251202,170000,10.01,10.01,10.01,10.01,100,0
