<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HVMCU.US,60,20250818,160000,10.03,10.03,10.03,10.03,241,0
HVMCU.US,60,20250818,170000,10.06,10.06,10.06,10.06,300,0
HVMCU.US,60,20250818,210000,10.05,10.05,10.05,10.05,200,0
HVMCU.US,60,20250818,220000,10.055,10.055,10.045,10.05,914,0
HVMCU.US,60,20250819,200000,10.06,10.06,10.06,10.06,100,0
HVMCU.US,60,20250821,220000,10.05,10.06,10.05,10.06,3487,0
HVMCU.US,60,20250822,160000,10.09,10.26,10.07,10.07,2500,0
HVMCU.US,60,20250822,220000,10.0633,10.0633,10.05,10.0592,696,0
HVMCU.US,60,20250825,200000,10.043,10.07,10.043,10.07,597,0
HVMCU.US,60,20250826,160000,10.0315,10.0315,10.0315,10.0315,500,0
HVMCU.US,60,20250826,180000,10.06,10.06,10.06,10.06,300,0
HVMCU.US,60,20250826,190000,10.055,10.055,10.055,10.055,300,0
HVMCU.US,60,20250826,220000,10.06,10.06,10.06,10.06,3321,0
HVMCU.US,60,20250827,170000,10.07,10.07,10.07,10.07,100,0
HVMCU.US,60,20250827,220000,10.05,10.05,10.05,10.05,199,0
HVMCU.US,60,20250828,160000,10.02,10.06,10.02,10.06,500,0
HVMCU.US,60,20250828,180000,10.055,10.055,10.055,10.055,200,0
HVMCU.US,60,20250828,200000,10.06,10.06,10.06,10.06,1864,0
HVMCU.US,60,20250902,160000,10.0553,10.0553,10.0553,10.0553,1175,0
HVMCU.US,60,20250902,170000,10.05,10.05,10.05,10.05,100,0
HVMCU.US,60,20250902,200000,10.05,10.05,10.05,10.05,4899,0
HVMCU.US,60,20250902,210000,10.05,10.05,10.05,10.05,100,0
HVMCU.US,60,20250902,220000,10.05,10.05,10.05,10.05,397915,0
HVMCU.US,60,20250910,170000,10.06,10.06,10.06,10.06,1400,0
HVMCU.US,60,20250910,180000,10.08,10.08,10.08,10.08,300,0
HVMCU.US,60,20250916,220000,10.06,10.07,10.06,10.07,582,0
HVMCU.US,60,20250917,190000,10.07,10.07,10.07,10.07,25000,0
HVMCU.US,60,20250917,210000,10.07,10.09,10.07,10.09,5950,0
HVMCU.US,60,20250918,190000,10.07,10.07,10.07,10.07,49895,0
HVMCU.US,60,20250919,220000,10.08,10.08,10.08,10.08,2960,0
HVMCU.US,60,20250922,200000,10.08,10.08,10.08,10.08,3500,0
HVMCU.US,60,20250923,180000,10.08,10.08,10.08,10.08,31833,0
HVMCU.US,60,20250923,200000,10.08,10.08,10.08,10.08,25000,0
HVMCU.US,60,20250923,210000,10.08,10.08,10.08,10.08,15000,0
HVMCU.US,60,20250923,220000,10.08,10.08,10.08,10.08,12500,0
HVMCU.US,60,20250924,170000,10.4772,10.4772,10.08,10.08,600,0
HVMCU.US,60,20250924,200000,10.08,10.08,10.08,10.08,400,0
HVMCU.US,60,20250924,220000,10.09,10.09,10.085,10.09,7395,0
HVMCU.US,60,20250925,170000,10.08,10.08,10.08,10.08,1000,0
HVMCU.US,60,20250925,180000,10.08,10.08,10.08,10.08,1700,0
HVMCU.US,60,20250926,160000,10.08,10.08,10.08,10.08,1100,0
HVMCU.US,60,20250930,180000,10.1,10.1,10.1,10.1,4960,0
HVMCU.US,60,20250930,190000,10.1,10.1,10.1,10.1,1400,0
HVMCU.US,60,20251002,160000,10.11,10.11,10.05,10.05,1600,0
HVMCU.US,60,20251002,170000,10.1,10.1,10.1,10.1,100,0
HVMCU.US,60,20251002,190000,10.1,10.1,10.1,10.1,1000,0
HVMCU.US,60,20251007,200000,10.07,10.07,10.07,10.07,200,0
HVMCU.US,60,20251008,210000,10.07,10.11,10.07,10.11,1000,0
HVMCU.US,60,20251009,170000,10.11,10.11,10.1,10.11,12486,0
HVMCU.US,60,20251009,180000,10.15,10.15,10.15,10.15,600,0
HVMCU.US,60,20251014,210000,10.125,10.15,10.115,10.1499,10600,0
HVMCU.US,60,20251014,220000,10.1499,10.2035,10.115,10.1501,8393,0
HVMCU.US,60,20251015,190000,10.18,10.18,10.17,10.17,400,0
HVMCU.US,60,20251015,210000,10.15,10.1514,10.15,10.15,900,0
HVMCU.US,60,20251016,170000,10.2,10.2,10.2,10.2,100,0
HVMCU.US,60,20251016,180000,10.2,10.3049,10.17,10.17,6800,0
HVMCU.US,60,20251016,190000,10.1701,10.1701,10.17,10.17,600,0
HVMCU.US,60,20251016,200000,10.17,10.17,10.17,10.17,100,0
HVMCU.US,60,20251016,220000,10.2282,10.2283,10.1701,10.2282,4600,0
