<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYFT.US,60,20240411,160000,1.37,1.385,1.37,1.3706,3103,0
HYFT.US,60,20240411,170000,1.39,1.4,1.39,1.4,215,0
HYFT.US,60,20240411,180000,1.3742,1.3899,1.36,1.3713,21861,0
HYFT.US,60,20240411,190000,1.36,1.39,1.3529,1.39,17498,0
HYFT.US,60,20240411,210000,1.3706,1.38,1.3701,1.38,968,0
HYFT.US,60,20240411,220000,1.38,1.3916,1.37,1.37,2731,0
HYFT.US,60,20240412,160000,1.36,1.39,1.35,1.38,8644,0
HYFT.US,60,20240412,170000,1.3701,1.38,1.355,1.37,10618,0
HYFT.US,60,20240412,180000,1.37,1.39,1.36,1.36,7740,0
HYFT.US,60,20240412,190000,1.36,1.3799,1.35,1.355,20058,0
HYFT.US,60,20240412,200000,1.34,1.36,1.34,1.35,7199,0
HYFT.US,60,20240412,210000,1.35,1.39,1.33,1.33,20435,0
HYFT.US,60,20240412,220000,1.34,1.38,1.3368,1.36,10950,0
HYFT.US,60,20240415,160000,1.33,1.36,1.33,1.34,2106,0
HYFT.US,60,20240415,170000,1.34,1.355,1.3005,1.3005,16559,0
HYFT.US,60,20240415,180000,1.3185,1.3185,1.3,1.31,13991,0
HYFT.US,60,20240415,190000,1.315,1.32,1.3,1.31,3132,0
HYFT.US,60,20240415,200000,1.31,1.31,1.22,1.22,49136,0
HYFT.US,60,20240415,210000,1.25,1.28,1.24,1.25,8981,0
HYFT.US,60,20240415,220000,1.25,1.25,1.24,1.24,9481,0
HYFT.US,60,20240416,160000,1.28,1.28,1.23,1.23,700,0
HYFT.US,60,20240416,170000,1.24,1.28,1.24,1.27,9819,0
HYFT.US,60,20240416,180000,1.28,1.28,1.25,1.26,2391,0
HYFT.US,60,20240416,190000,1.26,1.29,1.26,1.29,300,0
HYFT.US,60,20240416,200000,1.2843,1.2843,1.26,1.26,4832,0
HYFT.US,60,20240416,210000,1.2878,1.3,1.26,1.26,5427,0
HYFT.US,60,20240416,220000,1.29,1.29,1.27,1.29,5420,0
HYFT.US,60,20240417,160000,1.31,1.31,1.28,1.28,5430,0
HYFT.US,60,20240417,170000,1.29,1.3,1.28,1.3,18664,0
HYFT.US,60,20240417,180000,1.28,1.29,1.279,1.29,3362,0
HYFT.US,60,20240417,190000,1.295,1.3,1.28,1.29,2129,0
HYFT.US,60,20240417,200000,1.29,1.29,1.2601,1.28,7775,0
HYFT.US,60,20240417,210000,1.2725,1.28,1.2725,1.28,5308,0
HYFT.US,60,20240417,220000,1.29,1.3,1.26,1.27,9316,0
HYFT.US,60,20240418,160000,1.28,1.28,1.27,1.27,700,0
HYFT.US,60,20240418,170000,1.255,1.255,1.25,1.25,422,0
HYFT.US,60,20240418,180000,1.26,1.27,1.17,1.17,146746,0
HYFT.US,60,20240418,190000,1.215,1.259,1.215,1.259,2678,0
HYFT.US,60,20240418,200000,1.26,1.26,1.25,1.25,5496,0
HYFT.US,60,20240418,210000,1.245,1.245,1.24,1.24,1535,0
HYFT.US,60,20240418,220000,1.2226,1.25,1.2226,1.24,8850,0
HYFT.US,60,20240419,160000,1.24,1.24,1.2134,1.235,2601,0
HYFT.US,60,20240419,170000,1.28,1.28,1.28,1.28,100,0
HYFT.US,60,20240419,180000,1.25,1.25,1.25,1.25,400,0
HYFT.US,60,20240419,190000,1.25,1.25,1.25,1.25,380,0
HYFT.US,60,20240419,200000,1.23,1.26,1.21,1.26,9819,0
HYFT.US,60,20240419,210000,1.2301,1.26,1.22,1.24,79958,0
HYFT.US,60,20240419,220000,1.24,1.26,1.22,1.26,50988,0
HYFT.US,60,20240422,160000,1.24,1.24,1.23,1.23,2430,0
HYFT.US,60,20240422,170000,1.24,1.245,1.225,1.23,7245,0
HYFT.US,60,20240422,180000,1.225,1.23,1.225,1.2268,2742,0
HYFT.US,60,20240422,190000,1.234,1.234,1.225,1.2301,1944,0
HYFT.US,60,20240422,200000,1.245,1.26,1.245,1.245,800,0
HYFT.US,60,20240422,210000,1.245,1.26,1.24,1.26,3335,0
HYFT.US,60,20240422,220000,1.2467,1.25,1.23,1.25,5033,0
HYFT.US,60,20240423,160000,1.23,1.24,1.23,1.24,1076,0
HYFT.US,60,20240423,170000,1.24,1.26,1.2301,1.26,4527,0
HYFT.US,60,20240423,180000,1.26,1.27,1.2452,1.2491,8590,0
HYFT.US,60,20240423,190000,1.2479,1.2479,1.24,1.24,4945,0
HYFT.US,60,20240423,200000,1.27,1.27,1.225,1.225,3090,0
HYFT.US,60,20240423,210000,1.24,1.2489,1.225,1.2489,4758,0
HYFT.US,60,20240423,220000,1.23,1.25,1.225,1.25,9688,0
HYFT.US,60,20240424,160000,1.26,1.26,1.24,1.24,1407,0
HYFT.US,60,20240424,170000,1.2202,1.24,1.22,1.22,1862,0
HYFT.US,60,20240424,180000,1.25,1.25,1.24,1.24,6362,0
HYFT.US,60,20240424,190000,1.235,1.235,1.235,1.235,390,0
HYFT.US,60,20240424,200000,1.225,1.24,1.22,1.22,2605,0
HYFT.US,60,20240424,210000,1.2102,1.23,1.2102,1.23,5784,0
HYFT.US,60,20240424,220000,1.25,1.25,1.22,1.22,3501,0
HYFT.US,60,20240425,160000,1.24,1.24,1.24,1.24,261,0
