<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMPP.US,60,20240411,160000,3.65,3.755,3.6164,3.715,100873,0
IMPP.US,60,20240411,170000,3.715,3.76,3.63,3.7501,176252,0
IMPP.US,60,20240411,180000,3.755,3.78,3.665,3.665,111442,0
IMPP.US,60,20240411,190000,3.67,3.73,3.67,3.69,28612,0
IMPP.US,60,20240411,200000,3.69,3.74,3.69,3.725,30855,0
IMPP.US,60,20240411,210000,3.725,3.74,3.6933,3.715,30183,0
IMPP.US,60,20240411,220000,3.72,3.75,3.67,3.75,84513,0
IMPP.US,60,20240412,160000,3.88,3.92,3.645,3.9,333371,0
IMPP.US,60,20240412,170000,3.92,4.08,3.84,3.935,860211,0
IMPP.US,60,20240412,180000,3.94,4.04,3.725,3.815,546899,0
IMPP.US,60,20240412,190000,3.815,3.8502,3.73,3.7899,205882,0
IMPP.US,60,20240412,200000,3.78,3.94,3.73,3.73,386731,0
IMPP.US,60,20240412,210000,3.73,3.73,3.56,3.61,273163,0
IMPP.US,60,20240412,220000,3.612,3.62,3.51,3.59,180653,0
IMPP.US,60,20240415,160000,3.57,3.68,3.5301,3.66,106629,0
IMPP.US,60,20240415,170000,3.6599,3.6599,3.55,3.59,111337,0
IMPP.US,60,20240415,180000,3.5801,3.6,3.54,3.565,52333,0
IMPP.US,60,20240415,190000,3.56,3.5666,3.4226,3.44,93019,0
IMPP.US,60,20240415,200000,3.435,3.475,3.35,3.415,198651,0
IMPP.US,60,20240415,210000,3.41,3.5,3.39,3.39,224447,0
IMPP.US,60,20240415,220000,3.3897,3.415,3.32,3.39,207055,0
IMPP.US,60,20240416,160000,3.33,3.36,3.17,3.29,138364,0
IMPP.US,60,20240416,170000,3.28,3.29,3.1901,3.205,170638,0
IMPP.US,60,20240416,180000,3.208,3.298,3.19,3.28,138020,0
IMPP.US,60,20240416,190000,3.285,3.31,3.265,3.285,41461,0
IMPP.US,60,20240416,200000,3.285,3.29,3.24,3.2698,50076,0
IMPP.US,60,20240416,210000,3.275,3.315,3.25,3.315,46426,0
IMPP.US,60,20240416,220000,3.32,3.36,3.3101,3.35,65942,0
IMPP.US,60,20240417,160000,3.39,3.39,3.3201,3.3699,49981,0
IMPP.US,60,20240417,170000,3.3697,3.3697,3.2603,3.2852,51369,0
IMPP.US,60,20240417,180000,3.2965,3.3,3.255,3.3,48796,0
IMPP.US,60,20240417,190000,3.3,3.3,3.27,3.29,18273,0
IMPP.US,60,20240417,200000,3.295,3.35,3.29,3.3397,24737,0
IMPP.US,60,20240417,210000,3.34,3.36,3.285,3.295,31491,0
IMPP.US,60,20240417,220000,3.295,3.295,3.265,3.27,25336,0
IMPP.US,60,20240418,160000,3.27,3.32,3.25,3.315,30617,0
IMPP.US,60,20240418,170000,3.31,3.355,3.3032,3.3032,44053,0
IMPP.US,60,20240418,180000,3.3032,3.34,3.27,3.285,27705,0
IMPP.US,60,20240418,190000,3.285,3.29,3.27,3.27,17656,0
IMPP.US,60,20240418,200000,3.275,3.28,3.25,3.265,15920,0
IMPP.US,60,20240418,210000,3.255,3.2599,3.21,3.21,34812,0
IMPP.US,60,20240418,220000,3.215,3.24,3.19,3.195,87596,0
IMPP.US,60,20240419,160000,3.25,3.35,3.25,3.31,37923,0
IMPP.US,60,20240419,170000,3.32,3.43,3.29,3.4299,92624,0
IMPP.US,60,20240419,180000,3.43,3.45,3.36,3.385,98680,0
IMPP.US,60,20240419,190000,3.38,3.42,3.36,3.395,39180,0
IMPP.US,60,20240419,200000,3.385,3.42,3.37,3.38,97326,0
IMPP.US,60,20240419,210000,3.37,3.395,3.35,3.3673,26142,0
IMPP.US,60,20240419,220000,3.36,3.375,3.31,3.36,79348,0
IMPP.US,60,20240422,160000,3.32,3.33,3.25,3.28,60189,0
IMPP.US,60,20240422,170000,3.27,3.29,3.26,3.28,45000,0
IMPP.US,60,20240422,180000,3.275,3.3,3.24,3.285,39610,0
