<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KLAG.US,60,20251219,160000,17.2102,17.2102,17.2102,17.2102,115,0
KLAG.US,60,20251219,170000,17.23,17.25,17.17,17.2,1837,0
KLAG.US,60,20251219,180000,17,17.1,17,17.1,300,0
KLAG.US,60,20251219,190000,17.02,17.07,17.02,17.07,1994,0
KLAG.US,60,20251219,200000,17.0299,17.0299,16.93,16.93,200,0
KLAG.US,60,20251222,160000,18.619,18.619,17.205,17.2893,311,0
KLAG.US,60,20251222,180000,17.34,17.4001,17.34,17.4001,682,0
KLAG.US,60,20251222,200000,17.4176,17.42,17.3673,17.3673,916,0
KLAG.US,60,20251222,210000,17.3825,17.985,17.3825,17.53,1376,0
KLAG.US,60,20251222,220000,17.49,17.56,17.4187,17.56,670,0
KLAG.US,60,20251223,160000,17.5301,17.5301,17.5301,17.5301,300,0
KLAG.US,60,20251223,170000,17.38,17.38,17.38,17.38,100,0
KLAG.US,60,20251223,180000,17.54,17.54,17.48,17.48,200,0
KLAG.US,60,20251223,190000,17.53,17.53,17.52,17.52,7000,0
KLAG.US,60,20251223,200000,17.56,17.56,17.54,17.54,362,0
KLAG.US,60,20251223,210000,17.6,17.6,17.6,17.6,500,0
KLAG.US,60,20251223,220000,17.6,17.67,17.6,17.67,1043,0
KLAG.US,60,20251224,160000,17.5,17.5,17.5,17.5,100,0
KLAG.US,60,20251224,170000,17.57,17.74,17.57,17.74,553,0
KLAG.US,60,20251224,180000,17.5741,17.69,17.5741,17.68,550,0
KLAG.US,60,20251224,190000,17.7,18.07,17.65,17.66,15456,0
KLAG.US,60,20251226,160000,17.85,17.8501,17.8,17.8,2750,0
KLAG.US,60,20251226,170000,17.7299,17.85,17.7,17.7,1400,0
KLAG.US,60,20251226,180000,17.8084,17.87,17.8084,17.82,1250,0
KLAG.US,60,20251226,190000,17.8,17.83,17.796,17.796,849,0
KLAG.US,60,20251226,200000,17.9252,17.9252,17.9252,17.9252,100,0
KLAG.US,60,20251226,210000,17.9699,17.97,17.9,17.9,800,0
KLAG.US,60,20251226,220000,17.8399,17.84,17.8399,17.84,200,0
