<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KOYNU.US,60,20250827,170000,10.03,10.03,10.02,10.02,3765944,0
KOYNU.US,60,20250827,180000,10.02,10.03,10.02,10.02,3401609,0
KOYNU.US,60,20250827,190000,10.02,10.03,10.02,10.02,1946197,0
KOYNU.US,60,20250827,200000,10.02,10.03,10.01,10.01,1205242,0
KOYNU.US,60,20250827,210000,10.01,10.02,10.01,10.01,1416048,0
KOYNU.US,60,20250827,220000,10.01,10.015,10,10,1747984,0
KOYNU.US,60,20250828,160000,10.02,10.05,10.02,10.049,974565,0
KOYNU.US,60,20250828,170000,10.045,10.045,10.03,10.0354,104385,0
KOYNU.US,60,20250828,180000,10.04,10.04,10.035,10.035,901,0
KOYNU.US,60,20250828,190000,10.035,10.04,10.035,10.04,252112,0
KOYNU.US,60,20250828,200000,10.035,10.04,10.0314,10.04,69600,0
KOYNU.US,60,20250828,210000,10.04,10.05,10.035,10.05,100853,0
KOYNU.US,60,20250828,220000,10.045,10.05,10.04,10.05,53403,0
KOYNU.US,60,20250829,160000,10.05,10.06,10.045,10.055,82818,0
KOYNU.US,60,20250829,170000,10.055,10.065,10.0505,10.06,257490,0
KOYNU.US,60,20250829,180000,10.06,10.06,10.0513,10.0513,55510,0
KOYNU.US,60,20250829,190000,10.055,10.06,10.055,10.06,35290,0
KOYNU.US,60,20250829,200000,10.0617,10.0617,10.05,10.0501,26210,0
KOYNU.US,60,20250829,210000,10.055,10.055,10.055,10.055,2200,0
KOYNU.US,60,20250829,220000,10.06,10.06,10.06,10.06,8364,0
KOYNU.US,60,20250902,160000,10.05,10.055,10.05,10.055,7770,0
KOYNU.US,60,20250902,170000,10.055,10.06,10.0514,10.06,68100,0
KOYNU.US,60,20250902,180000,10.06,10.06,10.0515,10.06,64416,0
KOYNU.US,60,20250902,200000,10.055,10.06,10.05,10.06,47415,0
KOYNU.US,60,20250902,210000,10.06,10.07,10.05,10.06,379810,0
KOYNU.US,60,20250902,220000,10.055,10.06,10.05,10.055,53665,0
KOYNU.US,60,20250903,170000,10.05,10.06,10.05,10.05,109940,0
KOYNU.US,60,20250903,180000,10.05,10.05,10.05,10.05,2200,0
KOYNU.US,60,20250903,190000,10.05,10.06,10.05,10.05,22200,0
KOYNU.US,60,20250903,200000,10.05,10.05,10.05,10.05,5530,0
KOYNU.US,60,20250903,210000,10.05,10.05,10.0346,10.0485,395347,0
KOYNU.US,60,20250903,220000,10.0499,10.05,10.04,10.04,19122,0
KOYNU.US,60,20250904,160000,10.041,10.05,10.041,10.05,700,0
KOYNU.US,60,20250904,170000,10.041,10.05,10.0346,10.0393,31200,0
KOYNU.US,60,20250904,180000,10.0393,10.04,10.02,10.02,113200,0
KOYNU.US,60,20250904,190000,10.025,10.035,10.025,10.035,45328,0
KOYNU.US,60,20250904,200000,10.035,10.04,10.035,10.035,52038,0
KOYNU.US,60,20250904,210000,10.035,10.04,10.0346,10.0389,12805,0
KOYNU.US,60,20250904,220000,10.035,10.035,10.03,10.03,6068,0
KOYNU.US,60,20250905,160000,10.04,10.04,10.03,10.03,2490,0
KOYNU.US,60,20250905,170000,10.03,10.04,10.03,10.035,12143,0
KOYNU.US,60,20250905,180000,10.03,10.04,10.03,10.03,3748,0
KOYNU.US,60,20250905,190000,10.0399,10.04,10.03,10.0385,113100,0
KOYNU.US,60,20250905,200000,10.0385,10.04,10.03,10.04,12800,0
KOYNU.US,60,20250905,210000,10.0384,10.04,10.0346,10.04,19641,0
KOYNU.US,60,20250905,220000,10.035,10.035,10.035,10.035,400,0
KOYNU.US,60,20250908,160000,10.03,10.03,10.03,10.03,19988,0
KOYNU.US,60,20250908,170000,10.03,10.0365,10.025,10.0365,13647,0
KOYNU.US,60,20250908,180000,10.04,10.04,10.035,10.035,400,0
KOYNU.US,60,20250908,190000,10.03,10.0358,10.03,10.035,4751,0
KOYNU.US,60,20250908,200000,10.035,10.035,10.03,10.03,2520,0
KOYNU.US,60,20250908,210000,10.0349,10.035,10.0349,10.035,2600,0
KOYNU.US,60,20250908,220000,10.04,10.04,10.03,10.03,14600,0
KOYNU.US,60,20250909,160000,10.035,10.04,10.0346,10.0399,3600,0
KOYNU.US,60,20250909,170000,10.03,10.04,10.03,10.035,23720,0
KOYNU.US,60,20250909,180000,10.035,10.035,10.03,10.0316,9400,0
KOYNU.US,60,20250909,190000,10.0361,10.0392,10.03,10.03,22754,0
KOYNU.US,60,20250909,200000,10.035,10.04,10.0346,10.0399,8788,0
KOYNU.US,60,20250909,210000,10.0383,10.0399,10.0346,10.035,16900,0
KOYNU.US,60,20250909,220000,10.035,10.04,10.035,10.04,2300,0
KOYNU.US,60,20250910,160000,10.03,10.03,10.03,10.03,16000,0
KOYNU.US,60,20250910,170000,10.035,10.035,10.03,10.03,21964,0
KOYNU.US,60,20250910,180000,10.03,10.035,10.025,10.03,30482,0
KOYNU.US,60,20250910,190000,10.0314,10.032,10.03,10.0307,400,0
KOYNU.US,60,20250910,200000,10.03,10.03,10.03,10.03,2100,0
KOYNU.US,60,20250910,210000,10.0332,10.0332,10.0332,10.0332,200,0
KOYNU.US,60,20250910,220000,10.035,10.035,10.03,10.03,29153,0
KOYNU.US,60,20250911,160000,10.03,10.035,10.03,10.035,1620,0
KOYNU.US,60,20250911,170000,10.035,10.04,10.035,10.04,13534,0
KOYNU.US,60,20250911,180000,10.04,10.04,10.035,10.04,15855,0
KOYNU.US,60,20250911,190000,10.045,10.045,10.0405,10.0414,3870,0
KOYNU.US,60,20250911,200000,10.04,10.045,10.04,10.045,5200,0
KOYNU.US,60,20250911,210000,10.04,10.049,10.0332,10.04,13149,0
KOYNU.US,60,20250911,220000,10.05,10.05,10.04,10.05,42219,0
KOYNU.US,60,20250912,160000,10.05,10.05,10.05,10.05,3647,0
KOYNU.US,60,20250912,170000,10.045,10.0463,10.04,10.0463,2080,0
KOYNU.US,60,20250912,180000,10.04,10.045,10.04,10.045,1800,0
KOYNU.US,60,20250912,200000,10.05,10.05,10.05,10.05,2021,0
KOYNU.US,60,20250912,220000,10.05,10.05,10.05,10.05,100,0
KOYNU.US,60,20250915,170000,10.05,10.05,10.05,10.05,2800,0
KOYNU.US,60,20250915,210000,10.05,10.05,10.05,10.05,800,0
KOYNU.US,60,20250915,220000,10.0416,10.05,10.0407,10.045,7180,0
KOYNU.US,60,20250916,180000,10.04,10.04,10.04,10.04,500,0
KOYNU.US,60,20250916,190000,10.04,10.05,10.04,10.045,16600,0
KOYNU.US,60,20250916,210000,10.045,10.0457,10.043,10.0457,1100,0
KOYNU.US,60,20250916,220000,10.045,10.05,10.04,10.05,28120,0
KOYNU.US,60,20250917,160000,10.06,10.07,10.05,10.06,12090,0
KOYNU.US,60,20250917,170000,10.06,10.11,10.06,10.09,247958,0
KOYNU.US,60,20250917,180000,10.0841,10.0888,10.07,10.07,7600,0
KOYNU.US,60,20250917,190000,10.0781,10.08,10.06,10.07,21252,0
KOYNU.US,60,20250917,200000,10.07,10.0779,10.07,10.0745,23330,0
KOYNU.US,60,20250917,210000,10.07,10.0757,10.07,10.0757,1400,0
KOYNU.US,60,20250917,220000,10.07,10.08,10.07,10.075,10383,0
KOYNU.US,60,20250918,170000,10.0966,10.0966,10.07,10.085,258347,0
KOYNU.US,60,20250918,180000,10.09,10.1,10.0801,10.0906,16389,0
KOYNU.US,60,20250918,190000,10.091,10.095,10.09,10.0902,3200,0
KOYNU.US,60,20250918,200000,10.0901,10.0954,10.09,10.09,500,0
KOYNU.US,60,20250918,210000,10.095,10.12,10.09,10.11,18885,0
KOYNU.US,60,20250918,220000,10.11,10.114,10.09,10.1,77702,0
KOYNU.US,60,20250919,160000,10.1046,10.13,10.1046,10.1202,48835,0
KOYNU.US,60,20250919,170000,10.13,10.15,10.1245,10.14,66000,0
KOYNU.US,60,20250919,180000,10.14,10.15,10.14,10.14,53634,0
KOYNU.US,60,20250919,190000,10.14,10.1454,10.135,10.135,7589,0
KOYNU.US,60,20250919,200000,10.13,10.13,10.12,10.125,35000,0
KOYNU.US,60,20250919,210000,10.12,10.13,10.12,10.13,2018,0
KOYNU.US,60,20250919,220000,10.12,10.14,10.12,10.1329,63143,0
KOYNU.US,60,20250922,160000,10.14,10.14,10.14,10.14,101,0
KOYNU.US,60,20250922,170000,10.13,10.15,10.13,10.14,17500,0
KOYNU.US,60,20250922,180000,10.135,10.135,10.135,10.135,1100,0
KOYNU.US,60,20250922,190000,10.135,10.135,10.135,10.135,100,0
KOYNU.US,60,20250922,200000,10.135,10.14,10.13,10.14,25880,0
KOYNU.US,60,20250922,210000,10.145,10.145,10.14,10.14,9000,0
KOYNU.US,60,20250922,220000,10.13,10.14,10.13,10.135,4000,0
KOYNU.US,60,20250923,160000,10.19,10.19,10.14,10.1401,500,0
KOYNU.US,60,20250923,170000,10.1301,10.1514,10.13,10.13,2000,0
KOYNU.US,60,20250923,180000,10.13,10.17,10.12,10.1202,3900,0
KOYNU.US,60,20250923,190000,10.1415,10.1415,10.12,10.1202,4666,0
KOYNU.US,60,20250923,210000,10.1301,10.15,10.13,10.1301,2600,0
KOYNU.US,60,20250923,220000,10.1301,10.1354,10.12,10.12,9971,0
KOYNU.US,60,20250924,160000,10.18,10.19,10.18,10.18,300,0
KOYNU.US,60,20250924,170000,10.15,10.15,10.15,10.15,100,0
KOYNU.US,60,20250924,190000,10.12,10.12,10.12,10.12,1700,0
KOYNU.US,60,20250924,200000,10.13,10.13,10.13,10.13,100,0
KOYNU.US,60,20250924,220000,10.13,10.13,10.13,10.13,1399,0
KOYNU.US,60,20250925,170000,10.1301,10.1301,10.13,10.13,500,0
KOYNU.US,60,20250925,180000,10.1301,10.1304,10.13,10.1301,1000,0
KOYNU.US,60,20250925,200000,10.13,10.13,10.13,10.13,10000,0
KOYNU.US,60,20250925,210000,10.14,10.1461,10.125,10.13,28134,0
KOYNU.US,60,20250925,220000,10.13,10.14,10.13,10.14,30858,0
KOYNU.US,60,20250926,160000,10.11,10.11,10.11,10.11,10700,0
KOYNU.US,60,20250926,170000,10.11,10.11,10.11,10.11,17123,0
KOYNU.US,60,20250926,180000,10.115,10.12,10.11,10.12,3000,0
