<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRYS.US,60,20240411,160000,176.63,177.84,175.39,175.39,3890,0
KRYS.US,60,20240411,170000,176.04,176.8,174.77,175.955,9066,0
KRYS.US,60,20240411,180000,175.63,178.18,175.51,177.86,4267,0
KRYS.US,60,20240411,190000,177.95,178.81,177.525,177.525,6868,0
KRYS.US,60,20240411,200000,178.2,180.4,178.18,179.5,8133,0
KRYS.US,60,20240411,210000,180.1,180.25,178.98,180.25,8033,0
KRYS.US,60,20240411,220000,179.945,180.57,179.005,180.05,29871,0
KRYS.US,60,20240412,160000,179.08,179.08,178.12,178.16,2924,0
KRYS.US,60,20240412,170000,178.525,179.095,177.79,178.345,4519,0
KRYS.US,60,20240412,180000,178.69,178.69,175.2,175.635,11304,0
KRYS.US,60,20240412,190000,175.33,176.17,174.77,175.37,5648,0
KRYS.US,60,20240412,200000,175.28,176.21,174.23,174.73,11300,0
KRYS.US,60,20240412,210000,174.53,174.91,172.37,172.49,46167,0
KRYS.US,60,20240412,220000,172.48,174.375,171.575,173.62,107017,0
KRYS.US,60,20240415,160000,173.89,174.79,172.56,173.775,5058,0
KRYS.US,60,20240415,170000,173.835,173.835,170.85,172,33428,0
KRYS.US,60,20240415,180000,172.055,172.75,170.74,172.37,29645,0
KRYS.US,60,20240415,190000,172.585,172.585,171.02,171.6325,18793,0
KRYS.US,60,20240415,200000,171.75,172,169.6232,170.26,15595,0
KRYS.US,60,20240415,210000,170.34,172.28,169.94,170.61,12187,0
KRYS.US,60,20240415,220000,170.54,171.94,169.12,169.86,38253,0
KRYS.US,60,20240416,160000,170.9,171.14,169.02,170.94,5278,0
KRYS.US,60,20240416,170000,172.085,172.085,170.09,171.165,6764,0
KRYS.US,60,20240416,180000,171.64,172.44,171.47,172.33,3500,0
KRYS.US,60,20240416,190000,172.18,172.4,171.53,171.53,15173,0
KRYS.US,60,20240416,200000,171.51,171.9555,169.68,169.68,10079,0
KRYS.US,60,20240416,210000,169.48,170.79,168.96,170.665,7157,0
KRYS.US,60,20240416,220000,170.65,170.65,168.48,169.86,35280,0
KRYS.US,60,20240417,160000,171.14,171.53,171.04,171.46,1056,0
KRYS.US,60,20240417,170000,170.89,172.31,169.6,171.07,8637,0
KRYS.US,60,20240417,180000,171.47,172.19,171.3,172.08,10065,0
KRYS.US,60,20240417,190000,171.79,171.79,168.62,169.22,6943,0
KRYS.US,60,20240417,200000,169.36,170.71,169.305,170.095,5469,0
KRYS.US,60,20240417,210000,170.37,170.62,168.9201,169.43,4142,0
KRYS.US,60,20240417,220000,169.14,169.83,168.595,169.64,13319,0
KRYS.US,60,20240418,160000,167.97,170.03,167.53,169.5302,21140,0
KRYS.US,60,20240418,170000,169.62,171.455,169.45,170.32,17336,0
KRYS.US,60,20240418,180000,170.05,170.65,168.56,168.705,15137,0
KRYS.US,60,20240418,190000,168.255,169.64,167.8,168.27,13036,0
KRYS.US,60,20240418,200000,168.18,168.18,165.52,166.09,5800,0
KRYS.US,60,20240418,210000,166.035,166.035,165,165,13717,0
KRYS.US,60,20240418,220000,164.73,164.81,163.45,164.19,35303,0
KRYS.US,60,20240419,160000,162.69,164.525,161.8068,163.91,11639,0
KRYS.US,60,20240419,170000,163.315,163.585,158.255,160.23,26276,0
KRYS.US,60,20240419,180000,160.22,160.49,158.12,158.64,22283,0
KRYS.US,60,20240419,190000,158.36,158.36,155.91,157.35,17606,0
KRYS.US,60,20240419,200000,157.315,158.87,156.605,158.18,29950,0
KRYS.US,60,20240419,210000,158.0972,158.3,157.2,158.2,34031,0
KRYS.US,60,20240419,220000,157.22,158.87,156.84,158.58,26367,0
KRYS.US,60,20240422,160000,158.32,159.17,156.52,156.53,10915,0
KRYS.US,60,20240422,170000,157.26,158.99,156.905,158.8257,25060,0
KRYS.US,60,20240422,180000,158.795,160.6,158.5,159.435,11276,0
KRYS.US,60,20240422,190000,159.88,160.56,159.02,159.25,20833,0
KRYS.US,60,20240422,200000,159.3,160.695,159.14,159.965,62606,0
KRYS.US,60,20240422,210000,159.87,159.87,158.48,158.715,28213,0
KRYS.US,60,20240422,220000,158.71,158.71,156.52,157.25,24872,0
KRYS.US,60,20240423,160000,157.92,161.37,157.92,161.325,9514,0
KRYS.US,60,20240423,170000,161.52,164.73,160.86,164.73,16889,0
KRYS.US,60,20240423,180000,164.68,164.68,162.75,162.795,7095,0
KRYS.US,60,20240423,190000,162.53,164.29,162.52,163.03,11474,0
KRYS.US,60,20240423,200000,163.1,164.4042,162.76,163.59,8011,0
KRYS.US,60,20240423,210000,163.62,164.19,163.12,163.44,6615,0
KRYS.US,60,20240423,220000,163.18,163.89,161.735,161.94,26037,0
KRYS.US,60,20240424,160000,163.18,164.635,163.18,164.115,8963,0
KRYS.US,60,20240424,170000,164.6149,165.785,163.94,163.94,10159,0
KRYS.US,60,20240424,180000,163.48,163.79,161.88,161.88,9605,0
KRYS.US,60,20240424,190000,161.4,162.02,160.59,160.65,11985,0
KRYS.US,60,20240424,200000,160.8862,162.04,160.71,161.75,3839,0
