<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KYMR.US,60,20240411,160000,35.61,35.89,35.43,35.512,16845,0
KYMR.US,60,20240411,170000,35.54,36.51,35.52,36.065,31690,0
KYMR.US,60,20240411,180000,36.0275,36.72,36.025,36.72,10543,0
KYMR.US,60,20240411,190000,36.79,36.82,36.55,36.625,23473,0
KYMR.US,60,20240411,200000,36.675,36.91,36.63,36.705,22161,0
KYMR.US,60,20240411,210000,36.72,36.88,36.63,36.685,33506,0
KYMR.US,60,20240411,220000,36.63,37.32,36.61,37.25,81448,0
KYMR.US,60,20240412,160000,36.81,36.895,36.515,36.755,12552,0
KYMR.US,60,20240412,170000,36.7,36.7,36.15,36.225,18777,0
KYMR.US,60,20240412,180000,36.2,36.2,35.7,35.845,27845,0
KYMR.US,60,20240412,190000,35.8,35.8,35.385,35.4145,13751,0
KYMR.US,60,20240412,200000,35.41,35.52,34.955,35.174,21277,0
KYMR.US,60,20240412,210000,35.13,35.14,34.745,34.83,22371,0
KYMR.US,60,20240412,220000,34.84,35.67,34.77,35.58,323546,0
KYMR.US,60,20240415,160000,35.81,35.82,35.37,35.64,24295,0
KYMR.US,60,20240415,170000,35.6,35.62,35.05,35.075,25416,0
KYMR.US,60,20240415,180000,35.05,35.11,34.79,35.04,20555,0
KYMR.US,60,20240415,190000,35.05,35.1,34.85,34.96,11482,0
KYMR.US,60,20240415,200000,34.9,34.99,34.765,34.91,11939,0
KYMR.US,60,20240415,210000,34.97,34.97,34.44,34.62,44856,0
KYMR.US,60,20240415,220000,34.59,34.605,34.2,34.39,217544,0
KYMR.US,60,20240416,160000,33.78,34.348,33.58,34.25,18583,0
KYMR.US,60,20240416,170000,34.32,34.76,34.27,34.595,34794,0
KYMR.US,60,20240416,180000,34.55,34.61,34.25,34.28,16562,0
KYMR.US,60,20240416,190000,34.22,34.22,33.92,34.12,28377,0
KYMR.US,60,20240416,200000,34.12,34.12,33.67,33.84,39709,0
KYMR.US,60,20240416,210000,33.81,34.22,33.735,34.13,32014,0
KYMR.US,60,20240416,220000,34.15,34.2,33.84,33.91,93934,0
KYMR.US,60,20240417,160000,34.39,34.41,34.035,34.035,36324,0
KYMR.US,60,20240417,170000,34.01,34.01,33.19,33.415,17787,0
KYMR.US,60,20240417,180000,33.37,33.67,33.29,33.49,11205,0
KYMR.US,60,20240417,190000,33.45,33.6,33.17,33.38,60998,0
KYMR.US,60,20240417,200000,33.4,33.91,33.4,33.79,11451,0
KYMR.US,60,20240417,210000,33.84,34.06,33.74,33.825,14193,0
KYMR.US,60,20240417,220000,33.78,33.86,33.67,33.76,162584,0
KYMR.US,60,20240418,160000,33.67,34.26,33.67,34.045,24091,0
KYMR.US,60,20240418,170000,34.04,34.905,33.97,34.895,28709,0
KYMR.US,60,20240418,180000,34.93,34.95,34.56,34.6,42512,0
KYMR.US,60,20240418,190000,34.69,35.005,34.57,34.98,31545,0
KYMR.US,60,20240418,200000,35,35.32,35,35.16,43134,0
KYMR.US,60,20240418,210000,35.15,35.3,35.07,35.3,27876,0
KYMR.US,60,20240418,220000,35.29,35.57,35.08,35.12,232828,0
KYMR.US,60,20240419,160000,34.98,35.51,34.58,35.46,18010,0
KYMR.US,60,20240419,170000,35.26,35.38,34.6,34.81,46805,0
KYMR.US,60,20240419,180000,34.805,34.84,34.115,34.44,38282,0
KYMR.US,60,20240419,190000,34.42,34.565,34.15,34.39,27636,0
KYMR.US,60,20240419,200000,34.43,34.58,34.21,34.525,39266,0
KYMR.US,60,20240419,210000,34.525,34.56,34.18,34.45,67638,0
KYMR.US,60,20240419,220000,34.425,34.93,33.35,33.98,150036,0
KYMR.US,60,20240422,160000,34.87,35.02,34.41,34.8986,17251,0
KYMR.US,60,20240422,170000,34.85,35.06,34.006,34.125,13225,0
KYMR.US,60,20240422,180000,34.1986,34.48,33.85,34.48,18290,0
KYMR.US,60,20240422,190000,34.53,35.0099,34.53,34.74,15065,0
KYMR.US,60,20240422,200000,34.72,35.27,34.66,35.08,12911,0
