<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAFAU.US,60,20251024,170000,9.99,10.01,9.99,10.01,2167246,0
LAFAU.US,60,20251024,180000,10.01,10.01,10,10.0099,209100,0
LAFAU.US,60,20251024,190000,10,10.005,9.995,9.995,150896,0
LAFAU.US,60,20251024,200000,9.995,10,9.995,9.995,377954,0
LAFAU.US,60,20251024,210000,9.995,10.015,9.995,10.01,345148,0
LAFAU.US,60,20251024,220000,10.01,10.03,10.01,10.01,149710,0
LAFAU.US,60,20251027,150000,10,10.03,10,10.03,3468,0
LAFAU.US,60,20251027,160000,10.03,10.03,10.02,10.02,2700,0
LAFAU.US,60,20251027,170000,10.02,10.03,10.01,10.02,10804,0
LAFAU.US,60,20251027,180000,10.0188,10.0188,10.0188,10.0188,200,0
LAFAU.US,60,20251027,200000,10.03,10.03,10.0193,10.0193,27300,0
LAFAU.US,60,20251027,210000,10.02,10.02,10.02,10.02,600,0
LAFAU.US,60,20251028,150000,10.05,10.1,10.01,10.0109,16000,0
LAFAU.US,60,20251028,160000,10.0216,10.12,10.005,10.005,72145,0
LAFAU.US,60,20251028,170000,10,10.005,10,10.0045,8400,0
LAFAU.US,60,20251028,180000,10,10.005,10,10,65655,0
LAFAU.US,60,20251028,190000,10.005,10.01,10.005,10.005,12390,0
LAFAU.US,60,20251028,200000,10.01,10.0102,10.005,10.0102,94600,0
LAFAU.US,60,20251028,210000,10.01,10.03,10.01,10.02,1808,0
LAFAU.US,60,20251029,150000,10.1,10.11,10.08,10.08,31605,0
LAFAU.US,60,20251029,170000,10.01,10.02,10.01,10.02,25200,0
LAFAU.US,60,20251029,200000,10.02,10.0299,10.02,10.0298,1700,0
LAFAU.US,60,20251030,150000,10.0388,10.06,10.0204,10.031,10300,0
LAFAU.US,60,20251030,170000,10.03,10.03,10.02,10.02,1100,0
LAFAU.US,60,20251030,180000,10.03,10.03,10.02,10.03,6000,0
LAFAU.US,60,20251030,190000,10.03,10.03,10.02,10.03,17294,0
LAFAU.US,60,20251030,200000,10.03,10.03,10.02,10.03,4100,0
LAFAU.US,60,20251030,210000,10.02,10.03,10.02,10.02,7939,0
LAFAU.US,60,20251031,160000,10.03,10.04,10.03,10.03,3942,0
LAFAU.US,60,20251031,170000,10.03,10.03,10.03,10.03,6175,0
LAFAU.US,60,20251031,180000,10.03,10.04,10.03,10.03,5507,0
LAFAU.US,60,20251031,190000,10.03,10.04,10.03,10.03,5717,0
LAFAU.US,60,20251031,200000,10.03,10.1,10.03,10.03,7444,0
LAFAU.US,60,20251031,210000,10.03,10.08,10.03,10.06,21627,0
LAFAU.US,60,20251103,160000,10,10,10,10,200,0
LAFAU.US,60,20251103,180000,10.02,10.03,10.02,10.02,10200,0
LAFAU.US,60,20251103,200000,10.05,10.05,10.05,10.05,788,0
LAFAU.US,60,20251103,210000,10.07,10.07,10.07,10.07,604,0
LAFAU.US,60,20251103,220000,10.06,10.06,10.05,10.05,314,0
LAFAU.US,60,20251104,160000,10.0425,10.0425,10.0425,10.0425,2948,0
LAFAU.US,60,20251104,170000,10.05,10.05,10.05,10.05,36204,0
LAFAU.US,60,20251104,180000,10.065,10.065,10.065,10.065,313,0
LAFAU.US,60,20251104,210000,10.06,10.07,10.06,10.06,15687,0
LAFAU.US,60,20251104,220000,10.06,10.06,10.06,10.06,400,0
LAFAU.US,60,20251105,160000,10.1,10.1,10.1,10.1,436,0
LAFAU.US,60,20251105,170000,10.0505,10.0505,10.0505,10.0505,314,0
LAFAU.US,60,20251105,210000,10.1,10.1,10.1,10.1,405,0
LAFAU.US,60,20251106,160000,10.1,10.1,10.1,10.1,1000,0
LAFAU.US,60,20251106,170000,10.1,10.1,10.1,10.1,102,0
LAFAU.US,60,20251106,210000,10.04,10.04,10.04,10.04,539,0
LAFAU.US,60,20251107,170000,10.1,10.1,10.1,10.1,600,0
LAFAU.US,60,20251107,180000,10.1,10.1,10.1,10.1,385,0
LAFAU.US,60,20251107,210000,10.09,10.09,10.09,10.09,500,0
LAFAU.US,60,20251107,220000,10.08,10.08,10.08,10.08,143,0
LAFAU.US,60,20251110,180000,10.07,10.07,10.07,10.07,300,0
LAFAU.US,60,20251110,200000,10.06,10.06,10.04,10.04,1400,0
LAFAU.US,60,20251110,220000,10.04,10.05,10.04,10.05,1001,0
LAFAU.US,60,20251111,170000,10.09,10.09,10.05,10.05,649,0
LAFAU.US,60,20251111,180000,10.04,10.04,10.04,10.04,300,0
LAFAU.US,60,20251111,200000,10.055,10.055,10.055,10.055,451,0
LAFAU.US,60,20251111,220000,10.05,10.05,10.05,10.05,100,0
LAFAU.US,60,20251112,160000,10.02,10.02,10.02,10.02,300,0
LAFAU.US,60,20251112,180000,10.09,10.09,10.09,10.09,312,0
LAFAU.US,60,20251112,200000,10.07,10.07,10.03,10.03,4443,0
LAFAU.US,60,20251112,210000,10.0421,10.0421,10.0306,10.0306,1100,0
LAFAU.US,60,20251112,220000,10.0305,10.0305,10.0305,10.0305,1000,0
LAFAU.US,60,20251113,170000,10.05,10.05,10.05,10.05,245,0
LAFAU.US,60,20251113,180000,10.03,10.03,10.03,10.03,100,0
LAFAU.US,60,20251113,220000,10.04,10.04,10.03,10.03,3100,0
LAFAU.US,60,20251114,190000,10.04,10.04,10.04,10.04,1000,0
LAFAU.US,60,20251114,220000,10.04,10.04,10.04,10.04,2000,0
LAFAU.US,60,20251117,170000,10.05,10.05,10.0346,10.0346,2289,0
LAFAU.US,60,20251117,200000,10.03,10.03,10.03,10.03,5000,0
LAFAU.US,60,20251117,210000,10.02,10.025,10.02,10.02,10000,0
LAFAU.US,60,20251117,220000,10.02,10.02,10.02,10.02,16818,0
LAFAU.US,60,20251118,180000,10.04,10.04,10.04,10.04,233,0
LAFAU.US,60,20251119,190000,10.05,10.05,10.05,10.05,230,0
LAFAU.US,60,20251120,170000,10.1,10.1,10.1,10.1,218,0
LAFAU.US,60,20251121,160000,10.12,10.12,10.1,10.12,5200,0
LAFAU.US,60,20251121,190000,10.1,10.1,10.1,10.1,100,0
LAFAU.US,60,20251121,210000,10.0507,10.0507,10.04,10.0401,1314,0
LAFAU.US,60,20251124,180000,10.01,10.01,10.01,10.01,100,0
LAFAU.US,60,20251124,190000,10.01,10.01,10.01,10.01,100,0
LAFAU.US,60,20251124,220000,10.0174,10.02,10.0174,10.02,6251,0
LAFAU.US,60,20251125,180000,10.0301,10.073,10.03,10.0301,1700,0
LAFAU.US,60,20251126,160000,10.03,10.03,10.02,10.03,20365,0
LAFAU.US,60,20251126,170000,10.035,10.08,10.03,10.03,25885,0
LAFAU.US,60,20251126,180000,10.03,10.03,10.03,10.03,100,0
LAFAU.US,60,20251126,190000,10.03,10.03,10.03,10.03,15000,0
LAFAU.US,60,20251126,200000,10.03,10.03,10.03,10.03,100,0
LAFAU.US,60,20251126,210000,10.0386,10.0386,10.0355,10.0355,2000,0
LAFAU.US,60,20251126,220000,10.03,10.03,10.03,10.03,100,0
LAFAU.US,60,20251128,160000,10.05,10.15,10.0499,10.08,5600,0
LAFAU.US,60,20251201,180000,10.04,10.04,10.03,10.03,4100,0
LAFAU.US,60,20251201,210000,10.03,10.03,10.03,10.03,1869,0
LAFAU.US,60,20251201,220000,10.03,10.03,10.03,10.03,100,0
LAFAU.US,60,20251208,160000,10.03,10.03,10.03,10.03,200,0
LAFAU.US,60,20251215,190000,10.04,10.06,10.03,10.06,2290,0
LAFAU.US,60,20251223,160000,10.0325,10.0325,10.0325,10.0325,100,0
LAFAU.US,60,20251223,170000,10.02,10.0326,10.02,10.02,300,0
LAFAU.US,60,20251226,220000,10.055,10.055,10.055,10.055,100,0
