<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBGJ.US,60,20241023,170000,4.74,5.5,4.5,4.56,831521,0
LBGJ.US,60,20241023,180000,4.57,4.7415,4.5,4.56,99403,0
LBGJ.US,60,20241023,190000,4.567,4.89,4.46,4.7401,53916,0
LBGJ.US,60,20241023,200000,4.7944,4.8,4.31,4.4,73278,0
LBGJ.US,60,20241023,210000,4.33,4.5199,4.2,4.25,51183,0
LBGJ.US,60,20241023,220000,4.26,4.2993,4.06,4.1,71083,0
LBGJ.US,60,20241024,160000,4.2544,4.2999,4,4.045,85416,0
LBGJ.US,60,20241024,170000,4.04,4.0723,3.9,4.01,82929,0
LBGJ.US,60,20241024,180000,3.98,4.08,3.9601,4.08,14576,0
LBGJ.US,60,20241024,190000,4.1,4.2,4.0001,4.05,16858,0
LBGJ.US,60,20241024,200000,4.13,4.13,4,4,119611,0
LBGJ.US,60,20241024,210000,4.055,4.075,3.96,4.05,20358,0
LBGJ.US,60,20241024,220000,4.1,4.1,3.93,3.93,37530,0
LBGJ.US,60,20241025,160000,3.8,3.99,3.73,3.93,2410,0
LBGJ.US,60,20241025,170000,3.99,3.99,3.88,3.954,8681,0
LBGJ.US,60,20241025,180000,3.91,4.05,3.82,4.05,301186,0
LBGJ.US,60,20241025,190000,3.9137,4,3.9001,4,2014,0
LBGJ.US,60,20241025,200000,3.985,4.05,3.92,3.93,4000,0
LBGJ.US,60,20241025,210000,3.91,3.92,3.83,3.92,16419,0
LBGJ.US,60,20241025,220000,3.885,3.9,3.8,3.81,25874,0
LBGJ.US,60,20241028,150000,3.945,4.2,3.945,4.14,33621,0
LBGJ.US,60,20241028,160000,4.1831,4.25,4.11,4.2,9765,0
LBGJ.US,60,20241028,170000,4.15,4.42,4.11,4.2997,28751,0
LBGJ.US,60,20241028,180000,4.22,4.6,4.21,4.51,33251,0
LBGJ.US,60,20241028,190000,4.4702,4.52,4.365,4.51,7920,0
LBGJ.US,60,20241028,200000,4.48,4.48,4.36,4.36,4600,0
LBGJ.US,60,20241028,210000,4.36,4.43,4.26,4.3,9862,0
LBGJ.US,60,20241029,150000,4.27,4.34,4.27,4.34,3100,0
LBGJ.US,60,20241029,160000,4.2998,4.49,4.2549,4.35,22370,0
LBGJ.US,60,20241029,170000,4.392,4.392,4.18,4.3,3434,0
LBGJ.US,60,20241029,180000,4.215,4.22,4,4.122,40009,0
LBGJ.US,60,20241029,190000,4.122,4.122,4.122,4.122,1600,0
LBGJ.US,60,20241029,210000,4.27,4.32,4.2006,4.26,5331,0
LBGJ.US,60,20241030,150000,4.152,4.16,4.152,4.16,1300,0
LBGJ.US,60,20241030,160000,4.15,4.29,4.15,4.29,1940,0
LBGJ.US,60,20241030,180000,4.33,4.35,4.33,4.35,1398,0
LBGJ.US,60,20241030,190000,4.4,4.4,4.4,4.4,800,0
LBGJ.US,60,20241030,200000,4.41,4.42,4.15,4.299,21694,0
LBGJ.US,60,20241030,210000,4.37,4.39,4.31,4.31,1294,0
LBGJ.US,60,20241031,160000,4.0995,4.3235,4.0995,4.3235,3950,0
LBGJ.US,60,20241031,170000,4.32,4.32,4.14,4.2825,1600,0
LBGJ.US,60,20241031,180000,4.3168,4.35,4.2249,4.34,9083,0
LBGJ.US,60,20241031,190000,4.34,4.41,4.16,4.34,18109,0
LBGJ.US,60,20241031,200000,4.35,4.38,4.22,4.36,5500,0
LBGJ.US,60,20241031,210000,4.25,4.25,4.25,4.25,110,0
LBGJ.US,60,20241101,150000,4.012,4.02,4.012,4.02,200,0
LBGJ.US,60,20241101,160000,4.07,4.2389,4.02,4.2389,1100,0
LBGJ.US,60,20241101,170000,4.22,4.23,4.1365,4.2265,4840,0
LBGJ.US,60,20241101,180000,4.1937,4.2,4.1201,4.1201,1400,0
LBGJ.US,60,20241101,190000,4.15,4.16,4.15,4.16,300,0
LBGJ.US,60,20241101,200000,4.1999,4.1999,4.1999,4.1999,100,0
LBGJ.US,60,20241101,210000,4.12,4.12,4.12,4.12,100,0
LBGJ.US,60,20241104,170000,4.1321,4.1321,4.07,4.11,2774,0
LBGJ.US,60,20241104,180000,4.13,4.135,4.07,4.0895,1900,0
LBGJ.US,60,20241104,190000,4.07,4.145,4.07,4.145,750,0
LBGJ.US,60,20241104,200000,4.1,4.145,4.09,4.09,300,0
LBGJ.US,60,20241104,210000,4.09,4.09,4.09,4.09,100,0
LBGJ.US,60,20241104,220000,4.09,4.2,4.09,4.2,700,0
LBGJ.US,60,20241105,160000,4.28,4.47,4.28,4.47,6139,0
LBGJ.US,60,20241105,170000,4.4453,4.47,4.2013,4.2138,10811,0
LBGJ.US,60,20241105,180000,4.21,4.29,4.2,4.2003,9230,0
LBGJ.US,60,20241105,190000,4.37,4.38,4.36,4.37,2500,0
LBGJ.US,60,20241105,210000,4.29,4.37,4.283,4.283,3416,0
LBGJ.US,60,20241106,160000,4.33,4.33,4.17,4.21,1103,0
LBGJ.US,60,20241106,170000,4.31,4.4,4.276,4.3,2150,0
LBGJ.US,60,20241106,180000,4.3,4.3,4.3,4.3,1049,0
LBGJ.US,60,20241106,190000,4.298,4.298,4.298,4.298,1000,0
LBGJ.US,60,20241106,220000,4.2101,4.2101,4.2101,4.2101,100,0
LBGJ.US,60,20241107,160000,4.16,4.35,4.16,4.22,6257,0
LBGJ.US,60,20241107,170000,4.21,4.25,4.06,4.11,5646,0
LBGJ.US,60,20241107,190000,4.3782,4.3782,4.3782,4.3782,121,0
LBGJ.US,60,20241107,200000,4.1301,4.15,4.075,4.1,20290,0
LBGJ.US,60,20241107,210000,4.1,4.23,4,4.13,8430,0
LBGJ.US,60,20241107,220000,4.09,4.15,4.025,4.05,2860,0
LBGJ.US,60,20241108,170000,4.04,4.0715,3.918,3.922,4195,0
LBGJ.US,60,20241108,180000,3.95,3.987,3.95,3.98,900,0
LBGJ.US,60,20241108,200000,3.93,3.97,3.91,3.97,2369,0
LBGJ.US,60,20241108,210000,3.92,3.99,3.92,3.99,1431,0
LBGJ.US,60,20241108,220000,3.98,3.99,3.98,3.98,303,0
LBGJ.US,60,20241111,160000,3.98,3.98,3.91,3.91,3357,0
LBGJ.US,60,20241111,170000,3.95,3.9843,3.91,3.91,2891,0
LBGJ.US,60,20241111,210000,4.01,4.01,4.01,4.01,100,0
LBGJ.US,60,20241111,220000,4,4,4,4,150,0
LBGJ.US,60,20241112,160000,3.94,3.95,3.91,3.91,5439,0
LBGJ.US,60,20241112,170000,4,4,3.92,3.9202,1900,0
LBGJ.US,60,20241112,180000,3.93,3.934,3.92,3.934,2620,0
LBGJ.US,60,20241112,190000,3.99,4.0099,3.96,4.0099,7223,0
LBGJ.US,60,20241112,210000,4.01,4.01,4.01,4.01,600,0
LBGJ.US,60,20241113,170000,4.03,4.03,4.03,4.03,1100,0
LBGJ.US,60,20241113,180000,4.03,4.03,3.92,3.92,1400,0
LBGJ.US,60,20241113,210000,4.072,4.226,4.072,4.1473,600,0
LBGJ.US,60,20241113,220000,4.15,4.15,4.15,4.15,200,0
LBGJ.US,60,20241114,170000,4.08,4.1,4.0568,4.1,7747,0
LBGJ.US,60,20241114,190000,4.1,4.1,4.1,4.1,500,0
LBGJ.US,60,20241114,200000,4.05,4.05,4.02,4.05,3400,0
LBGJ.US,60,20241114,210000,4.0451,4.0451,4.019,4.02,7500,0
LBGJ.US,60,20241114,220000,4.02,4.025,4.02,4.025,1482,0
LBGJ.US,60,20241115,160000,4.1,4.1,4.1,4.1,351,0
LBGJ.US,60,20241115,170000,4.0001,4.05,3.92,3.97,10278,0
LBGJ.US,60,20241115,180000,3.9,3.965,3.6,3.7295,40819,0
LBGJ.US,60,20241115,190000,3.8,3.85,3.8,3.8,5459,0
LBGJ.US,60,20241115,200000,3.763,3.87,3.752,3.87,773,0
LBGJ.US,60,20241115,210000,3.86,3.86,3.8,3.8,1400,0
LBGJ.US,60,20241115,220000,3.81,3.81,3.7,3.7,1852,0
LBGJ.US,60,20241118,160000,3.609,3.609,3.03,3.07,5911,0
LBGJ.US,60,20241118,170000,3.35,3.375,3.0969,3.0969,16074,0
LBGJ.US,60,20241118,190000,3.16,3.25,3.16,3.18,1118,0
LBGJ.US,60,20241118,200000,3.23,3.23,3.18,3.18,273,0
LBGJ.US,60,20241118,210000,3.2945,3.3,3.2945,3.3,1000,0
LBGJ.US,60,20241118,220000,3.24,3.24,3.19,3.19,300,0
LBGJ.US,60,20241119,170000,3.272,3.7,3.2,3.6,40427,0
LBGJ.US,60,20241119,180000,3.62,3.62,3.5,3.51,4715,0
LBGJ.US,60,20241119,190000,3.58,3.7,3.57,3.7,19016,0
LBGJ.US,60,20241119,200000,3.76,3.9756,3.71,3.71,6361,0
LBGJ.US,60,20241119,210000,3.89,3.9,3.8,3.84,2593,0
LBGJ.US,60,20241119,220000,3.9,4,3.89,3.99,7984,0
LBGJ.US,60,20241120,160000,3.99,4.18,3.99,4.18,14400,0
LBGJ.US,60,20241120,170000,4.1569,4.365,4,4,117386,0
LBGJ.US,60,20241120,180000,4.047,4.05,3.81,3.84,30359,0
LBGJ.US,60,20241120,190000,3.8987,3.9592,3.72,3.72,24502,0
LBGJ.US,60,20241120,200000,3.84,3.9,3.58,3.6,7632,0
LBGJ.US,60,20241120,210000,3.62,3.62,3.55,3.59,15551,0
LBGJ.US,60,20241120,220000,3.6,3.8,3.5,3.5,120970,0
LBGJ.US,60,20241121,160000,3.5,3.63,3.5,3.63,2249,0
LBGJ.US,60,20241121,180000,3.72,3.86,3.6,3.66,9962,0
LBGJ.US,60,20241121,200000,3.6,3.6,3.4758,3.4758,990,0
LBGJ.US,60,20241121,210000,3.63,3.63,3.51,3.51,800,0
LBGJ.US,60,20241121,220000,3.54,3.54,3.4801,3.4801,900,0
LBGJ.US,60,20241122,160000,3.433,3.57,3.3304,3.5,1800,0
LBGJ.US,60,20241122,170000,3.54,3.6943,3.54,3.6939,2358,0
LBGJ.US,60,20241122,180000,3.6,3.6,3.6,3.6,100,0
LBGJ.US,60,20241122,190000,3.7,3.7,3.7,3.7,860,0
LBGJ.US,60,20241122,210000,3.7,3.7,3.65,3.65,400,0
LBGJ.US,60,20241122,220000,3.6813,3.6999,3.6813,3.6999,2262,0
LBGJ.US,60,20241125,160000,3.8246,4.2599,3.8246,3.87,3898,0
LBGJ.US,60,20241125,170000,4.01,4.05,3.6,3.66,39815,0
LBGJ.US,60,20241125,180000,3.69,3.69,3.5,3.5,57589,0
LBGJ.US,60,20241125,190000,3.54,3.69,3.5,3.69,32737,0
LBGJ.US,60,20241125,200000,3.6001,3.605,3.53,3.6,3994,0
LBGJ.US,60,20241125,210000,3.52,3.61,3.52,3.58,12531,0
LBGJ.US,60,20241125,220000,3.56,3.65,3.47,3.47,4633,0
LBGJ.US,60,20241126,160000,3.54,3.804,3.5254,3.804,2333,0
LBGJ.US,60,20241126,170000,3.65,3.65,3.36,3.51,10370,0
LBGJ.US,60,20241126,180000,3.47,3.4985,3.47,3.47,4867,0
LBGJ.US,60,20241126,190000,3.47,3.62,3.47,3.52,7771,0
LBGJ.US,60,20241126,200000,3.45,3.5,3.37,3.5,9548,0
LBGJ.US,60,20241126,210000,3.43,3.43,3.4,3.42,2467,0
LBGJ.US,60,20241126,220000,3.4,3.41,3.33,3.4,1569,0
LBGJ.US,60,20241127,160000,3.39,3.49,3.39,3.49,503,0
LBGJ.US,60,20241127,170000,3.49,3.61,3.41,3.53,4150,0
LBGJ.US,60,20241127,180000,3.57,3.57,3.35,3.45,9243,0
LBGJ.US,60,20241127,190000,3.49,3.51,3.49,3.51,464,0
LBGJ.US,60,20241127,200000,3.45,3.574,3.43,3.43,2320,0
LBGJ.US,60,20241127,210000,3.39,3.455,3.36,3.36,762,0
LBGJ.US,60,20241127,220000,3.36,3.36,3.3,3.3,4028,0
LBGJ.US,60,20241129,160000,3.35,3.4,3.33,3.4,1598,0
LBGJ.US,60,20241129,170000,3.4,3.401,3.28,3.28,9853,0
LBGJ.US,60,20241129,180000,3.3511,3.3511,3.3511,3.3511,200,0
