<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTCC.US,60,20251028,150000,25.3499,25.379,25.05,25.0688,14547,0
LTCC.US,60,20251028,160000,25.0391,25.0391,24.11,24.23,16529,0
LTCC.US,60,20251028,170000,24.29,24.39,24.24,24.335,7410,0
LTCC.US,60,20251028,180000,24.389,24.54,24.36,24.5,1574,0
LTCC.US,60,20251028,190000,24.57,24.59,24.44,24.59,1898,0
LTCC.US,60,20251028,200000,24.45,24.45,24.3691,24.42,723,0
LTCC.US,60,20251028,210000,24.42,24.42,24.17,24.18,5033,0
LTCC.US,60,20251029,150000,24.66,24.7675,24.54,24.65,5361,0
LTCC.US,60,20251029,160000,24.53,24.53,24.23,24.27,3012,0
LTCC.US,60,20251029,170000,24.27,24.33,24.06,24.06,3114,0
LTCC.US,60,20251029,180000,24.085,24.33,24.05,24.3201,14676,0
LTCC.US,60,20251029,190000,24.28,24.4555,24.19,24.43,21307,0
LTCC.US,60,20251029,200000,24.35,24.35,23.6799,24.29,2825,0
LTCC.US,60,20251029,210000,24.51,24.51,24.33,24.3389,1423,0
LTCC.US,60,20251030,150000,23.35,23.35,22.97,23.0099,4994,0
LTCC.US,60,20251030,160000,23.06,23.07,22.82,22.94,2813,0
LTCC.US,60,20251030,170000,22.94,22.94,22.6,22.6,3752,0
LTCC.US,60,20251030,180000,22.704,22.7428,22.62,22.62,1933,0
LTCC.US,60,20251030,190000,22.68,22.68,22.3865,22.62,2333,0
LTCC.US,60,20251030,200000,22.6,22.6,22.44,22.485,2058,0
LTCC.US,60,20251030,210000,22.49,22.52,22.26,22.26,1364,0
LTCC.US,60,20251031,150000,23.44,23.44,23.2513,23.34,1695,0
LTCC.US,60,20251031,160000,23.3399,23.4384,23.3399,23.4384,1398,0
LTCC.US,60,20251031,170000,23.564,23.569,23.48,23.5,1007,0
LTCC.US,60,20251031,180000,23.5,23.5,23.24,23.24,4707,0
LTCC.US,60,20251031,200000,23.28,23.32,23.21,23.3,6529,0
LTCC.US,60,20251031,210000,23.275,23.625,23.275,23.61,13861,0
LTCC.US,60,20251103,160000,22.85,22.85,22.52,22.709,4475,0
LTCC.US,60,20251103,170000,22.54,22.54,21.29,21.595,2754,0
LTCC.US,60,20251103,180000,21.55,21.9,21.55,21.8,10624,0
LTCC.US,60,20251103,190000,21.83,22.14,21.795,22.14,8604,0
LTCC.US,60,20251103,200000,22.115,22.115,21.919,22,3381,0
LTCC.US,60,20251103,210000,21.81,21.81,21.57,21.66,8917,0
LTCC.US,60,20251103,220000,21.5,21.56,21.33,21.38,5329,0
LTCC.US,60,20251104,160000,21.531,21.9,21.531,21.9,6091,0
LTCC.US,60,20251104,170000,21.69,21.82,21.66,21.66,1411,0
LTCC.US,60,20251104,180000,21.5892,21.6595,21.18,21.18,5594,0
LTCC.US,60,20251104,190000,21.15,21.22,20.72,21.02,5875,0
LTCC.US,60,20251104,200000,20.93,20.93,20.255,20.3,3425,0
LTCC.US,60,20251104,210000,20.725,20.82,20.6512,20.6512,2615,0
LTCC.US,60,20251104,220000,20.53,20.575,19.78,20.38,12410,0
LTCC.US,60,20251105,160000,21.2,21.4155,21.16,21.355,3416,0
LTCC.US,60,20251105,170000,21.38,21.59,21.28,21.59,4284,0
LTCC.US,60,20251105,180000,21.58,21.6385,21.38,21.6385,1926,0
LTCC.US,60,20251105,190000,21.705,21.73,21.595,21.595,1361,0
LTCC.US,60,20251105,200000,21.616,21.8315,21.61,21.8315,3371,0
LTCC.US,60,20251105,210000,21.81,21.9,21.81,21.9,400,0
LTCC.US,60,20251105,220000,21.846,21.87,21.83,21.87,845,0
LTCC.US,60,20251106,160000,21.46,21.4611,21.27,21.27,878,0
LTCC.US,60,20251106,170000,21.3499,21.59,21.25,21.25,1855,0
LTCC.US,60,20251106,180000,21.325,21.325,20.96,21.1936,4100,0
LTCC.US,60,20251106,190000,21.19,21.2201,21.19,21.2201,395,0
LTCC.US,60,20251106,200000,21.29,21.59,21.26,21.59,638,0
LTCC.US,60,20251106,210000,21.5,21.509,21.455,21.46,4100,0
LTCC.US,60,20251106,220000,21.54,21.54,21.29,21.29,650,0
LTCC.US,60,20251107,160000,21.68,22.06,21.68,22.06,760,0
LTCC.US,60,20251107,170000,21.94,23.05,21.85,23.05,11167,0
LTCC.US,60,20251107,180000,22.8,25.57,22.76,25.1,11361,0
LTCC.US,60,20251107,190000,25.28,25.69,24.9915,25.5,4803,0
LTCC.US,60,20251107,200000,25.4652,25.62,24.775,24.91,15117,0
LTCC.US,60,20251107,210000,24.77,25.129,24.73,24.73,3900,0
LTCC.US,60,20251107,220000,24.71,24.91,24.5,24.87,13831,0
LTCC.US,60,20251110,160000,26.3,26.3,25.85,26.03,22011,0
LTCC.US,60,20251110,170000,26.13,26.9392,26.13,26.4322,89893,0
LTCC.US,60,20251110,180000,26.44,26.7,26.19,26.26,4029,0
LTCC.US,60,20251110,190000,26.26,26.87,26.26,26.609,18082,0
LTCC.US,60,20251110,200000,26.6,26.66,26.36,26.445,5621,0
LTCC.US,60,20251110,210000,26.54,26.55,26.31,26.455,6439,0
LTCC.US,60,20251110,220000,26.42,26.6,26.27,26.348,5438,0
LTCC.US,60,20251111,160000,25.06,25.06,24.9,25.01,8705,0
LTCC.US,60,20251111,170000,25.21,25.22,24.64,24.76,3728,0
LTCC.US,60,20251111,180000,24.86,24.94,24.7599,24.7748,2598,0
LTCC.US,60,20251111,190000,24.75,24.85,24.57,24.72,13969,0
LTCC.US,60,20251111,200000,24.8,24.8,24.53,24.53,11024,0
LTCC.US,60,20251111,210000,24.6,24.769,24.41,24.62,12132,0
LTCC.US,60,20251111,220000,24.62,24.62,24.3998,24.4,6265,0
LTCC.US,60,20251112,160000,25.33,25.33,24.81,24.94,7206,0
LTCC.US,60,20251112,170000,24.99,24.99,24.5,24.5,12534,0
LTCC.US,60,20251112,180000,24.555,24.595,23.36,23.36,17251,0
LTCC.US,60,20251112,190000,23.3604,23.55,23.3604,23.5404,2567,0
