<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBINL.US,60,20241126,160000,25.48,25.65,25.47,25.59,114266,0
MBINL.US,60,20241126,170000,25.59,25.65,25.56,25.6,37243,0
MBINL.US,60,20241126,180000,25.5999,25.6,25.54,25.57,30833,0
MBINL.US,60,20241126,190000,25.57,25.6,25.55,25.55,24420,0
MBINL.US,60,20241126,200000,25.55,25.62,25.53,25.53,37147,0
MBINL.US,60,20241126,210000,25.53,25.6,25.53,25.54,16650,0
MBINL.US,60,20241126,220000,25.53,25.5999,25.4701,25.48,34272,0
MBINL.US,60,20241127,160000,25.48,25.53,25.4,25.475,44248,0
MBINL.US,60,20241127,170000,25.45,25.5,25.43,25.4699,22700,0
MBINL.US,60,20241127,180000,25.45,25.5,25.45,25.48,38425,0
MBINL.US,60,20241127,190000,25.48,25.5,25.48,25.48,16575,0
MBINL.US,60,20241127,200000,25.48,25.5,25.475,25.48,43308,0
MBINL.US,60,20241127,210000,25.48,25.5,25.45,25.45,26467,0
MBINL.US,60,20241127,220000,25.45,25.5,25.45,25.45,20283,0
MBINL.US,60,20241129,160000,25.48,25.6399,25.48,25.55,11103,0
MBINL.US,60,20241129,170000,25.55,25.55,25.44,25.48,13292,0
MBINL.US,60,20241129,180000,25.48,25.55,25.47,25.55,41681,0
MBINL.US,60,20241129,190000,25.55,25.63,25.52,25.53,84777,0
MBINL.US,60,20241129,200000,25.55,25.55,25.55,25.55,29765,0
MBINL.US,60,20241202,160000,25.49,25.6,25.49,25.55,9560,0
MBINL.US,60,20241202,170000,25.55,25.73,25.54,25.6,18636,0
MBINL.US,60,20241202,180000,25.6,25.67,25.5999,25.6,32374,0
MBINL.US,60,20241202,190000,25.5997,25.65,25.5997,25.64,59907,0
MBINL.US,60,20241202,200000,25.64,25.67,25.63,25.65,12255,0
MBINL.US,60,20241202,210000,25.65,25.67,25.64,25.6475,9388,0
MBINL.US,60,20241202,220000,25.64,25.67,25.64,25.67,17875,0
MBINL.US,60,20241203,160000,25.67,25.7399,25.6,25.6953,38856,0
MBINL.US,60,20241203,170000,25.67,25.71,25.61,25.65,21987,0
MBINL.US,60,20241203,180000,25.65,25.65,25.64,25.64,1499,0
MBINL.US,60,20241203,190000,25.67,25.6799,25.67,25.6799,3800,0
MBINL.US,60,20241203,200000,25.65,25.65,25.6452,25.65,2858,0
MBINL.US,60,20241203,210000,25.65,25.65,25.65,25.65,600,0
MBINL.US,60,20241203,220000,25.64,25.6401,25.62,25.64,6162,0
MBINL.US,60,20241204,160000,25.7,25.7,25.62,25.6494,9298,0
MBINL.US,60,20241204,170000,25.65,25.69,25.6414,25.69,5678,0
MBINL.US,60,20241204,180000,25.69,25.7,25.69,25.7,2778,0
MBINL.US,60,20241204,190000,25.67,25.69,25.61,25.61,40600,0
MBINL.US,60,20241204,200000,25.61,25.64,25.59,25.6,25164,0
MBINL.US,60,20241204,210000,25.6,25.66,25.5999,25.66,33299,0
MBINL.US,60,20241204,220000,25.67,25.7,25.66,25.68,11014,0
MBINL.US,60,20241205,160000,25.7,25.73,25.698,25.73,4105,0
MBINL.US,60,20241205,170000,25.73,25.81,25.73,25.8,16389,0
MBINL.US,60,20241205,180000,25.8,25.82,25.75,25.82,11094,0
MBINL.US,60,20241205,190000,25.76,25.79,25.76,25.79,1486,0
MBINL.US,60,20241205,200000,25.8199,25.8199,25.758,25.8,6764,0
MBINL.US,60,20241205,210000,25.7999,25.8,25.7651,25.7651,2895,0
MBINL.US,60,20241205,220000,25.7999,25.88,25.77,25.85,406675,0
MBINL.US,60,20241206,160000,25.89,25.89,25.75,25.8,29450,0
MBINL.US,60,20241206,170000,25.8,25.84,25.7725,25.84,5416,0
MBINL.US,60,20241206,180000,25.84,25.84,25.81,25.84,3523,0
MBINL.US,60,20241206,190000,25.84,25.87,25.82,25.84,15581,0
MBINL.US,60,20241206,200000,25.84,25.87,25.83,25.86,10776,0
MBINL.US,60,20241206,210000,25.86,25.87,25.84,25.87,5955,0
MBINL.US,60,20241206,220000,25.87,25.87,25.83,25.87,5342,0
MBINL.US,60,20241209,160000,25.81,25.89,25.8023,25.89,3142,0
MBINL.US,60,20241209,170000,25.89,25.89,25.86,25.86,1200,0
MBINL.US,60,20241209,180000,25.86,25.87,25.8104,25.87,2047,0
MBINL.US,60,20241209,190000,25.81,25.86,25.81,25.86,200,0
MBINL.US,60,20241209,200000,25.84,25.85,25.84,25.85,1738,0
MBINL.US,60,20241209,210000,25.81,25.85,25.8,25.84,5923,0
MBINL.US,60,20241209,220000,25.83,25.85,25.79,25.83,7035,0
MBINL.US,60,20241210,160000,25.78,25.85,25.78,25.85,2114,0
MBINL.US,60,20241210,170000,25.84,25.85,25.825,25.85,1259,0
MBINL.US,60,20241210,190000,25.84,25.85,25.84,25.85,3443,0
MBINL.US,60,20241210,200000,25.8499,25.85,25.84,25.84,753,0
MBINL.US,60,20241210,210000,25.84,25.845,25.81,25.84,2756,0
MBINL.US,60,20241210,220000,25.84,25.84,25.81,25.84,6957,0
MBINL.US,60,20241211,160000,25.8,25.85,25.8,25.84,1581,0
MBINL.US,60,20241211,170000,25.84,25.84,25.78,25.84,3585,0
MBINL.US,60,20241211,180000,25.84,25.84,25.7799,25.7799,6089,0
MBINL.US,60,20241211,190000,25.78,25.84,25.78,25.83,10590,0
MBINL.US,60,20241211,200000,25.83,25.83,25.82,25.83,4300,0
MBINL.US,60,20241211,210000,25.83,25.85,25.8299,25.85,4239,0
MBINL.US,60,20241211,220000,25.85,25.9,25.81,25.81,11340,0
MBINL.US,60,20241212,160000,25.77,25.88,25.77,25.87,30733,0
MBINL.US,60,20241212,170000,25.855,25.855,25.84,25.84,2287,0
MBINL.US,60,20241212,180000,25.85,25.85,25.8,25.815,4407,0
MBINL.US,60,20241212,190000,25.8,25.8,25.8,25.8,514,0
MBINL.US,60,20241212,200000,25.8,25.82,25.781,25.79,3653,0
MBINL.US,60,20241212,210000,25.8,25.8,25.78,25.78,2740,0
